dates,nzd0363-0000,nzd0363-0001,nzd0363-0002,nzd0363-0003,nzd0363-0004,nzd0363-0005,nzd0363-0006,nzd0363-0007,nzd0363-0008,nzd0363-0009,nzd0363-0010,nzd0363-0011,nzd0363-0012,nzd0363-0013,nzd0363-0014,nzd0363-0015,nzd0363-0016,nzd0363-0017,nzd0363-0018,nzd0363-0019,nzd0363-0020,nzd0363-0021,nzd0363-0022,nzd0363-0023,nzd0363-0024,nzd0363-0025,nzd0363-0026,nzd0363-0027,nzd0363-0028,nzd0363-0029,nzd0363-0030,nzd0363-0031,nzd0363-0032,nzd0363-0033,nzd0363-0034,nzd0363-0035,nzd0363-0036,nzd0363-0037,nzd0363-0038,nzd0363-0039
1999-08-26 22:06:20+00:00,,,,329.38,,,,,,299.28,,,,,289.57,,284.56,282.27,283.29,,,271.97,281.87,,298.87,295.51,293.66,298.6,,309.52,,305.28,,302.65,,,,,,
1999-10-13 22:06:24+00:00,356.63,,,343.22,,,353.37,,,299.28,,,337.84,334.9,289.57,,284.56,282.27,283.29,,,271.97,281.87,,298.87,295.51,293.66,298.6,,309.52,,305.28,,302.65,,296.42,293.59,,,
1999-11-21 22:12:24+00:00,361.58,,,343.22,,,353.37,384.65,,299.28,,,356.75,348.28999999999996,289.57,,284.56,282.27,283.29,,,271.97,281.87,,298.87,295.51,293.66,298.6,,309.52,374.45,305.28,,302.65,,296.42,293.59,,,
2000-01-17 22:06:11+00:00,361.58,,,343.22,,,353.37,368.44,346.2,315.135,337.28,332.73,351.81333333333333,342.50666666666666,305.225,,295.41999999999996,297.755,283.29,,,271.97,281.87,,298.87,295.51,293.66,311.70500000000004,,317.445,356.02,322.63,330.71,315.11,325.44,313.475,285.255,,,
2000-03-21 22:06:01+00:00,361.58,,335.27,346.49,,319.92,333.68,351.37999999999994,331.075,321.145,322.245,318.86,341.47249999999997,334.3075,317.02,,305.51,308.71500000000003,262.03,,,291.71,297.17,303.08,306.21,305.2,299.38,315.195,,325.37,337.27,320.37,319.77,316.29999999999995,309.615,313.475,269.4433333333333,,219.61,214.09
2000-05-24 22:05:22+00:00,,,335.27,335.92,,319.92,313.99,334.74499999999995,331.075,321.145,322.245,318.86,326.19499999999994,320.32500000000005,317.02,,305.51,308.71500000000003,262.03,,,291.71,297.17,303.08,306.21,305.2,299.38,315.195,,325.37,318.67999999999995,320.37,319.77,316.29999999999995,316.4266666666667,334.25,257.37,,219.61,214.09
2000-08-03 22:10:43+00:00,,,335.27,335.92,,319.92,313.99,336.615,331.43,330.5,307.21,304.99,310.45,309.71,313.16,329.01,324.70500000000004,304.19,262.03,,,291.71,297.17,303.08,319.65,305.2,299.38,305.58,,,299.77,300.76,308.83,305.03,311.91999999999996,339.78,237.82,,219.61,214.09
2000-08-19 22:10:38+00:00,,,331.38,329.94,,319.92,313.99,336.615,323.0733333333333,330.5,301.565,300.83500000000004,303.845,303.66999999999996,306.15,316.58,324.70500000000004,300.18,278.65,279.14,285.09,291.71,297.17,286.25,319.65,305.2,296.63,303.76,,278.47,285.37,302.655,308.83,305.03,311.91999999999996,305.24666666666667,235.79500000000002,216.17,219.61,214.09
2000-09-13 22:04:02+00:00,,,331.38,329.94,357.24,313.155,313.41499999999996,336.615,319.8775,330.5,301.84666666666664,299.1066666666666,301.9266666666667,302.67333333333335,304.99666666666667,316.1166666666666,324.70500000000004,301.24666666666667,288.07,294.72,298.145,307.495,310.25,286.25,324.41,301.65999999999997,314.92,320.69666666666666,,278.47,285.33,296.3066666666667,320.975,305.03,310.71999999999997,295.71000000000004,236.21,221.24,205.265,214.39499999999998
2000-09-20 22:10:03+00:00,382.02,366.98,327.49,323.96,361.145,321.775,312.84,361.83500000000004,325.9975,355.48,299.16499999999996,296.16499999999996,297.66499999999996,299.155,315.90666666666664,325.5075,349.42,312.3633333333333,301.09000000000003,308.2266666666667,298.145,335.75,323.33,269.42,333.51,298.12,323.1933333333333,335.61333333333334,,278.47,278.11,294.08000000000004,333.12,,319.185,295.71000000000004,235.405,221.24,190.92,228.45999999999998
