dates,satname,nzd0184-0000,nzd0184-0001,nzd0184-0002,nzd0184-0003,nzd0184-0004,nzd0184-0005,nzd0184-0006,nzd0184-0007,nzd0184-0008,nzd0184-0009,nzd0184-0010,nzd0184-0011,nzd0184-0012,nzd0184-0013,nzd0184-0014,nzd0184-0015,nzd0184-0016,nzd0184-0017,nzd0184-0018,nzd0184-0019,nzd0184-0020,nzd0184-0021,nzd0184-0022,nzd0184-0023,nzd0184-0024,nzd0184-0025,nzd0184-0026,nzd0184-0027,nzd0184-0028,nzd0184-0029,nzd0184-0030,nzd0184-0031,nzd0184-0032,nzd0184-0033
2002-01-31 21:54:50.570000,L7,309.79,276.81,249.05,205.67,178.60,418.23,403.14,444.10,289.56,425.85,237.86,233.09,190.06,326.61,320.49,322.35,328.65,339.07,335.85,316.83,340.30,399.39,375.58,340.35,325.59,396.18,443.50,475.40,500.25,295.12,512.79,561.87,252.47,
2003-01-18 21:54:30.278000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.53
2003-07-21 21:42:33.857000,L5,,,,,,,,,,,,,,,,,,181.19,198.21,200.24,198.79,202.85,217.83,224.40,188.80,221.17,221.05,,,,,,,
2003-08-06 21:42:51.203000,L5,,,,,,338.70,381.66,,,,,,,,,,,202.14,206.21,213.69,214.97,205.91,224.64,222.20,222.96,234.39,238.73,,,,,,,
2003-09-14 21:49:42.739000,L5,270.77,244.10,195.93,197.00,256.33,411.75,422.47,,,,,,,,,,,,,,,184.59,200.43,185.18,184.61,186.63,179.31,,,,192.36,195.14,184.36,242.00
2003-10-25 21:44:04.226000,L5,,,,,,381.39,381.66,,,,,,,,,,184.38,196.85,207.78,223.71,215.90,211.19,217.40,214.29,218.33,221.97,222.53,210.87,219.53,232.71,211.57,210.55,211.66,285.23
2003-11-17 21:50:33.425000,L5,242.92,237.51,193.59,206.98,406.99,464.88,433.47,276.35,276.53,274.59,232.05,173.58,,,,,189.75,214.41,218.59,216.26,212.28,205.61,216.86,209.22,188.45,183.70,208.86,206.03,215.97,,,,,278.97
2004-01-04 21:50:58.245000,L5,297.77,252.97,220.83,191.51,302.78,464.04,397.64,,,,,,,,,,185.97,192.77,196.17,193.06,199.34,203.45,205.12,185.97,183.38,190.03,196.82,187.25,178.61,,,,,
2004-02-14 21:44:57.678000,L5,,,,,,360.73,370.75,,,,,,,,,,,173.16,186.69,200.24,183.35,200.79,212.08,211.76,204.49,217.78,210.01,196.77,197.04,203.98,,,,
2004-03-01 21:45:02.553000,L5,,,,,,368.68,374.24,286.52,233.77,213.28,176.25,,,,,,195.17,194.76,223.86,220.72,209.20,225.27,233.67,226.67,221.39,235.32,235.86,228.11,221.28,220.71,187.91,200.59,189.42,301.35
2004-07-30 21:54:52.116000,L5,234.33,221.24,188.23,190.47,,398.20,414.84,,,,,,,,,,,,,,,,,,,,,,,,,,,193.66
2004-08-15 21:55:13.826000,L5,247.22,226.23,179.04,178.40,,395.46,392.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-24 21:49:18.016000,L5,260.13,249.64,,,,332.05,377.12,,,,,,,,,,,189.26,201.07,209.84,204.15,211.34,229.37,220.49,221.88,233.35,232.91,211.05,171.62,,,,,
2004-10-18 21:56:47.864000,L5,281.81,277.35,251.00,197.89,402.72,419.34,411.26,,,,,,,,,178.08,195.74,203.25,200.63,201.96,198.64,203.67,192.34,175.74,177.40,178.51,,,,,,,,
2004-11-03 21:57:06.950000,L5,232.68,223.74,184.57,185.13,,493.72,431.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-16 21:52:37.927000,L5,,,,,,,,,,,,,,,,,,169.32,181.01,190.92,172.33,188.41,209.32,204.21,205.41,219.67,214.76,199.26,201.45,210.63,172.23,184.26,,
2005-03-04 21:52:52.217000,L5,,,,,,360.65,371.24,215.05,181.49,,,,,,,,,197.56,203.59,208.24,206.18,216.04,230.18,236.92,237.09,238.69,237.13,220.26,224.93,223.27,180.06,193.14,197.45,294.77
2005-06-15 21:59:46.511000,L5,,,,,,384.34,276.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-22 22:00:47.086000,L5,222.85,207.45,,,,420.29,412.82,,,,,,,,,,,189.57,192.88,191.34,177.63,185.65,194.39,190.95,,,,,,,,,,
2006-02-03 21:56:19.035000,L5,,,,,,372.88,374.34,,,,,,,,,,,186.15,193.43,199.88,179.51,200.74,212.31,213.02,210.69,224.15,218.74,204.64,207.34,216.47,182.72,191.65,183.06,306.94
2006-02-10 22:02:39.278000,L5,283.10,271.78,250.34,233.42,404.27,465.33,422.57,202.79,217.14,233.18,244.87,228.64,207.50,207.58,202.73,220.12,227.53,225.47,228.81,207.51,200.32,210.30,210.60,195.62,191.95,185.13,,,,,,,,
2006-04-15 22:03:54.771000,L5,249.43,238.68,212.80,192.06,236.95,411.03,404.90,,,,,,,,,,182.01,193.40,197.16,185.61,182.23,191.49,195.96,183.35,186.48,183.38,171.52,,,,,,,
2006-11-25 22:06:43.926000,L5,,,,,367.85,388.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-13 22:07:11.341000,L5,,,,,,405.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-25 22:05:12.918000,L5,279.06,256.37,244.79,203.51,356.74,408.80,409.54,,,,,,,,,194.97,201.15,195.94,195.91,193.29,191.17,195.70,197.05,184.84,199.99,192.21,180.41,,,,,,,
2008-11-14 21:55:28.444000,L5,298.04,290.24,229.16,203.86,412.53,431.00,368.27,202.44,214.80,217.82,206.16,175.26,,,,187.90,203.16,208.19,214.97,213.75,204.94,199.58,205.81,201.51,200.43,187.53,179.88,,,,,,,
2009-02-02 21:57:46.384000,L5,235.14,212.67,188.37,178.60,385.63,414.28,362.81,,,,,,,,,,187.65,193.95,191.21,188.14,184.00,187.82,194.10,179.20,184.73,177.44,,,,,,,,
2010-01-13 21:56:49.389000,L5,219.83,202.07,182.25,,,404.35,383.59,190.10,178.32,,,,,,221.88,226.07,234.29,213.46,223.50,260.18,263.17,240.28,275.87,272.40,239.54,245.92,250.72,272.53,264.37,248.91,216.93,217.77,234.29,290.38
