dates,satname,nzd0527-0000,nzd0527-0001,nzd0527-0002,nzd0527-0003,nzd0527-0004,nzd0527-0005,nzd0527-0006,nzd0527-0007,nzd0527-0008,nzd0527-0009,nzd0527-0010,nzd0527-0011,nzd0527-0012,nzd0527-0013,nzd0527-0014,nzd0527-0015,nzd0527-0016,nzd0527-0017
1999-08-17 22:13:37.953000,L7,,,,,,,,,,,,,269.26,279.45,278.68,263.89,,
1999-11-05 22:13:40.966000,L7,,,,,,356.97,338.39,312.19,333.10,359.79,363.50,372.72,367.03,345.45,,,,
1999-12-07 22:13:41.663000,L7,329.98,336.02,332.79,316.10,343.40,349.60,347.31,346.61,351.23,370.85,360.97,371.27,366.26,307.09,307.87,301.46,355.62,329.00
1999-12-16 22:07:33.708000,L7,,,,,376.20,382.64,307.99,307.78,329.51,323.02,315.97,311.85,314.86,308.45,308.33,305.24,333.65,329.98
2000-05-08 22:06:44.900000,L7,315.13,310.49,300.75,335.25,318.70,301.32,306.16,304.46,334.66,309.94,301.48,290.10,308.83,312.21,297.01,294.04,305.45,371.70
2000-09-20 22:11:14.930000,L7,313.02,311.43,303.33,318.64,320.73,306.15,300.56,300.05,,,257.26,288.16,301.49,300.98,302.35,294.42,296.41,307.85
2000-12-18 22:05:01.704000,L7,,,,,372.65,331.33,322.69,318.26,,,,,,,348.17,340.15,338.25,344.26
2001-01-03 22:05:00.181000,L7,338.44,352.03,296.49,300.06,333.57,295.88,299.28,290.11,312.27,311.71,306.46,304.54,307.62,297.47,298.76,295.09,344.76,354.81
2001-02-20 22:05:00.525000,L7,304.49,291.40,292.57,302.05,308.87,295.30,288.24,294.29,306.04,305.12,286.23,286.38,293.55,280.71,291.09,276.95,286.28,293.19
2001-07-14 22:03:57.537000,L7,301.95,301.52,293.37,307.86,309.64,291.04,250.52,282.93,290.68,287.68,,,,,,,,
2002-01-29 22:09:33.112000,L7,,,,,,344.32,337.90,335.20,336.48,,,339.23,342.59,344.02,309.10,353.83,347.07,354.14
2002-03-11 22:03:31.366000,L7,347.17,342.05,344.43,350.60,,315.13,312.11,303.36,321.02,327.92,324.64,319.08,317.76,328.34,310.64,301.91,302.84,370.24
2002-09-10 22:08:43.416000,L7,312.20,303.32,296.85,310.83,326.91,302.84,300.08,301.53,,,,,,,,,,
2003-02-01 22:09:21.746000,L7,,,,,,347.84,340.82,337.08,,349.68,343.32,346.50,342.71,336.35,335.05,335.64,334.17,330.89
2003-08-13 21:51:32.649000,L5,325.22,321.01,316.22,336.33,343.68,316.12,309.40,313.62,343.14,327.32,315.05,319.66,313.31,309.12,,298.43,311.73,353.08
2003-08-29 21:51:49.928000,L5,325.83,321.57,320.53,334.42,342.60,320.81,315.77,318.23,340.90,330.34,325.42,322.67,318.22,311.51,,303.91,317.21,354.26
2003-10-07 21:58:35.519000,L5,333.69,324.61,325.80,345.95,348.64,319.80,315.93,316.45,343.46,335.23,327.87,323.34,317.72,316.95,,309.70,317.77,346.15
2003-11-17 21:52:57.120000,L5,330.13,325.34,322.63,338.71,341.08,322.25,311.81,307.09,327.69,324.60,317.88,320.61,316.25,314.69,303.52,303.62,310.71,346.75
2003-12-26 21:59:30.091000,L5,319.87,314.54,309.67,326.23,316.21,297.72,299.93,297.67,320.03,319.19,311.63,309.22,313.95,311.03,306.67,301.86,307.24,333.77
2004-01-20 21:53:24.777000,L5,342.73,329.97,326.70,355.77,354.54,338.45,333.52,333.64,355.45,353.77,344.61,347.85,346.23,341.74,332.91,325.70,329.40,368.65
2004-01-27 21:59:38.149000,L5,319.80,317.39,314.37,326.41,331.59,314.72,310.80,306.14,325.35,333.39,328.09,326.58,326.27,323.76,325.17,317.43,313.36,344.98
2004-03-31 21:59:59.745000,L5,317.74,311.13,291.20,306.46,318.66,296.50,287.74,289.64,297.08,298.95,283.64,298.85,305.29,305.55,298.12,291.65,299.57,319.37
2004-05-02 22:00:57.398000,L5,336.14,332.84,337.75,356.40,357.32,331.59,320.91,327.85,343.43,339.16,336.26,340.65,349.78,340.63,328.90,319.97,326.92,355.19
2004-05-18 22:01:26.569000,L5,315.39,294.31,284.15,300.88,310.34,288.19,281.64,289.13,315.73,304.54,294.40,289.80,290.74,294.03,296.28,285.89,300.47,322.88
2004-06-12 21:55:59.429000,L5,314.49,312.77,304.19,318.89,321.40,300.65,299.11,302.75,314.32,312.15,271.86,281.99,287.66,295.65,294.61,287.77,291.63,320.93
2004-10-18 21:59:11.702000,L5,323.69,316.11,312.78,331.31,334.08,313.10,311.16,308.81,335.22,326.45,316.49,318.96,313.97,312.97,310.65,304.57,309.48,331.40
2005-01-13 22:06:52.927000,L5,334.09,323.72,322.84,345.50,343.06,327.56,322.68,316.22,341.05,323.22,321.81,319.00,319.29,318.32,311.49,307.27,308.80,331.01
2005-01-22 22:00:50.292000,L5,317.32,312.81,307.70,325.20,327.56,310.24,309.71,313.78,340.82,334.09,327.17,326.18,328.20,323.17,316.63,313.01,314.92,334.00
2005-02-14 22:07:21.106000,L5,352.49,347.74,346.70,362.71,371.98,352.24,348.77,351.01,367.54,361.63,361.88,352.57,350.57,346.42,347.63,345.53,344.43,366.52
2005-06-15 22:02:10.206000,L5,279.92,288.18,284.25,304.05,307.62,283.09,272.56,285.52,292.13,289.24,,,262.05,276.17,270.12,274.67,287.09,307.14
2005-06-22 22:08:22.866000,L5,297.26,297.19,291.27,303.39,301.38,285.98,286.58,291.14,304.58,301.79,,278.51,282.23,289.17,281.68,277.76,282.73,306.44
2005-08-09 22:08:46.932000,L5,324.16,317.85,313.68,333.84,341.97,323.19,323.54,321.24,345.00,335.71,327.94,327.56,320.79,319.59,314.82,315.39,314.63,337.66
2005-08-25 22:08:52.862000,L5,329.89,323.53,314.02,334.31,341.12,319.95,315.47,313.65,338.67,330.93,319.30,311.51,316.59,314.39,310.84,307.54,314.36,337.85
2005-09-10 22:08:55.708000,L5,341.64,335.74,335.08,360.00,362.23,346.00,340.86,336.52,357.95,360.03,357.07,355.51,354.15,348.78,333.92,335.38,338.31,360.10
2005-11-13 22:09:08.414000,L5,325.99,318.76,316.79,334.63,337.54,313.73,310.59,306.46,340.87,339.92,333.99,331.46,333.55,331.85,322.77,322.22,324.98,354.51
2006-02-01 22:11:01.629000,L5,,349.26,349.01,362.78,364.84,337.46,337.23,334.54,352.75,361.53,377.99,362.81,358.43,353.52,344.77,351.34,353.17,
2006-03-14 22:05:42.635000,L5,,,,,,355.51,332.46,311.64,342.62,335.73,329.42,329.66,328.91,327.47,326.99,320.81,327.06,358.89
2006-04-15 22:06:18.610000,L5,334.97,328.75,323.35,354.48,358.25,332.36,331.56,327.76,354.37,337.34,331.49,332.76,333.19,334.95,320.01,321.02,338.25,379.15
2006-04-22 22:12:36.093000,L5,332.16,326.06,320.18,329.57,339.68,320.18,314.05,312.43,335.48,328.24,321.02,319.97,322.08,318.98,318.73,313.69,328.28,348.80
2006-06-25 22:13:31.961000,L5,300.17,284.86,288.93,307.87,309.39,,,,,,,,280.40,290.48,285.20,279.53,286.54,301.27
2006-07-27 22:13:58.731000,L5,303.99,289.07,293.08,299.93,,,,,,,,,286.93,282.53,283.28,271.68,274.74,301.11
2006-08-05 22:07:55.109000,L5,340.84,342.31,334.61,359.67,372.44,338.02,344.33,341.18,365.01,349.06,357.74,351.59,368.13,358.14,347.28,338.08,347.55,368.11
2006-08-28 22:14:23.601000,L5,335.78,331.70,327.30,343.08,353.86,336.83,342.26,340.73,357.91,354.37,350.23,356.82,351.22,354.61,339.87,340.32,333.73,353.30
2006-09-13 22:14:35.259000,L5,318.78,323.64,320.71,333.00,,,312.31,316.87,338.18,330.93,316.47,315.14,304.19,302.86,301.09,296.57,301.43,323.18
2006-11-25 22:09:07.763000,L5,,,,,,,307.30,310.00,332.29,327.95,317.29,312.09,310.17,308.94,283.44,297.28,299.49,322.52
2007-09-09 22:07:45.163000,L5,,,307.06,323.93,331.61,310.84,307.92,307.77,327.02,318.14,306.40,313.53,308.55,311.52,309.14,304.16,309.32,331.12
2008-11-14 21:57:52.281000,L5,326.90,321.37,314.15,340.03,340.16,324.11,318.91,308.70,332.76,324.72,321.75,323.46,323.65,322.57,316.97,311.23,312.95,338.91
2008-12-23 22:05:16.170000,L5,,,,316.11,327.65,311.62,305.11,294.52,320.96,325.79,323.14,327.33,329.19,323.81,317.68,310.96,314.90,337.61
