dates,satname,nzd0026-0000,nzd0026-0001,nzd0026-0002,nzd0026-0003,nzd0026-0004,nzd0026-0005,nzd0026-0006,nzd0026-0007,nzd0026-0008,nzd0026-0009,nzd0026-0010,nzd0026-0011,nzd0026-0012,nzd0026-0013
1999-08-17 22:10:26.276000,L7,352.38,359.53,358.04,347.73,,,,,,,,,,
1999-09-27 22:04:25.056000,L7,,352.48,372.00,378.43,381.35,376.63,368.84,406.38,410.09,410.21,394.19,404.65,399.43,395.04
1999-10-04 22:10:38.131000,L7,,,,,414.11,352.29,340.26,314.04,322.67,308.92,319.43,320.86,323.65,327.03
1999-10-13 22:04:24.936000,L7,403.70,416.24,409.11,378.14,391.49,385.11,418.21,407.28,408.98,405.23,410.35,404.07,392.24,384.49
1999-11-14 22:04:18.343000,L7,364.70,391.59,389.62,387.94,391.21,393.86,378.81,374.87,342.62,364.54,348.00,369.49,367.05,
1999-12-07 22:10:30.042000,L7,328.11,332.57,331.27,341.06,,,,,,,,,,
2000-02-09 22:10:19.398000,L7,375.78,379.49,352.19,386.70,390.97,379.48,372.32,371.44,370.55,366.88,362.05,359.51,359.61,340.67
2000-03-28 22:10:07.233000,L7,399.65,409.67,407.85,357.10,417.04,404.58,389.84,391.05,388.54,413.64,405.08,397.99,410.04,394.27
2000-04-29 22:09:53.797000,L7,410.10,422.45,360.05,351.93,355.69,347.97,412.70,413.43,403.62,398.99,404.68,327.17,389.62,380.05
2000-05-15 22:09:42.527000,L7,411.94,418.58,415.40,418.56,413.50,408.63,385.34,394.63,389.60,381.79,389.18,434.22,427.39,416.64
2000-08-03 22:08:44.137000,L7,361.81,356.67,356.55,346.66,342.49,349.69,339.89,314.07,322.73,300.45,,,,
2000-08-19 22:08:38.248000,L7,334.47,350.44,343.64,342.18,,,,,,,410.05,437.45,,458.35
2000-09-04 22:08:22.800000,L7,,,,,,419.82,404.84,420.17,403.27,394.51,389.43,392.10,389.74,381.68
2000-10-06 22:07:59.689000,L7,415.12,405.42,401.96,402.81,390.75,384.35,415.19,405.16,415.31,401.35,402.52,398.48,407.04,418.84
2000-10-22 22:07:50.487000,L7,,,,,,405.82,354.91,342.24,347.48,329.45,333.46,340.11,341.72,337.08
2000-11-07 22:07:53.532000,L7,412.22,403.91,390.13,401.42,397.80,394.34,391.27,382.30,388.70,394.07,391.76,386.14,387.17,375.17
2001-02-27 22:07:54.461000,L7,311.25,328.51,340.53,340.39,341.92,,336.07,307.83,314.97,304.62,308.27,309.99,310.90,
2001-03-15 22:07:52.114000,L7,377.26,366.21,387.52,387.27,390.55,386.01,374.54,369.38,362.10,355.53,357.76,428.73,423.03,406.59
2001-06-03 22:07:16.736000,L7,,418.69,414.17,412.97,361.00,395.12,413.23,412.65,403.91,406.93,408.51,408.70,424.22,411.64
