dates,nzd0026-0000,nzd0026-0001,nzd0026-0002,nzd0026-0003,nzd0026-0004,nzd0026-0005,nzd0026-0006,nzd0026-0007,nzd0026-0008,nzd0026-0009,nzd0026-0010,nzd0026-0011,nzd0026-0012,nzd0026-0013,satname
1999-08-17 22:10:26+00:00,,323.66,,,,,329.95,,,,,,,,L7
1999-09-27 22:04:25+00:00,,323.66,,,360.36,,341.685,359.92,356.55,339.76,328.24,,,367.52,L7
1999-10-13 22:04:24+00:00,,323.66,,365.93,360.36,,347.6366666666667,360.09000000000003,345.765,347.685,337.195,,,365.29999999999995,L7
1999-11-14 22:04:18+00:00,,342.63,,365.93,360.36,,352.74,361.0366666666667,351.74,349.1933333333333,337.4733333333333,,,365.29999999999995,L7
1999-12-07 22:10:30+00:00,,342.63,,365.93,362.255,,352.74,361.0366666666667,351.74,349.1933333333333,337.4733333333333,,,357.78,L7
2000-02-09 22:10:19+00:00,345.97,353.38000000000005,,365.93,362.255,,352.74,361.0366666666667,351.74,349.1933333333333,344.47249999999997,,,354.385,L7
2000-04-29 22:09:53+00:00,344.66,358.06333333333333,337.04,340.69,351.865,,368.05,330.96500000000003,339.91999999999996,323.65999999999997,329.75,311.0,312.09,333.64000000000004,L7
2000-05-15 22:09:42+00:00,342.66333333333336,348.8633333333334,344.39,341.62,339.06,,,299.78,317.67999999999995,296.32500000000005,320.02,311.91499999999996,315.7,330.27000000000004,L7
2000-08-03 22:08:44+00:00,339.86,345.14,338.9866666666667,341.62,316.93666666666667,,336.02,299.4533333333333,318.74666666666667,294.81,320.02,307.77,312.93666666666667,320.8125,L7
2000-10-06 22:07:59+00:00,337.8233333333333,335.22666666666663,338.9866666666667,341.62,316.93666666666667,,336.02,299.4533333333333,325.03,294.81,297.29499999999996,307.77,312.93666666666667,313.01666666666665,L7
2001-02-27 22:07:54+00:00,,,318.81,336.17,337.56,,335.68,299.72,328.28499999999997,302.88,308.83,311.93,312.87,310.76,L7
2001-06-03 22:07:16+00:00,327.27,321.68,327.79499999999996,336.17,337.56,,335.68,294.77,316.35,287.6,308.83,311.93,312.67,312.245,L7
2001-06-19 22:07:05+00:00,323.625,315.94,327.79499999999996,336.17,337.56,,334.66499999999996,294.77,316.35,274.77,308.83,311.93,312.67,311.99,L7
2001-11-19 21:59:56+00:00,331.1666666666667,322.44,335.92499999999995,339.96,336.26,312.65,331.59,305.875,320.61,280.4066666666667,318.51,324.34,319.82500000000005,314.1933333333333,L7
