dates,nzd0056-0000,nzd0056-0001,nzd0056-0002,nzd0056-0003,nzd0056-0004,nzd0056-0005,satname
1999-07-25 22:04:15+00:00,,247.55,262.16,236.63,,256.7,L7
1999-09-27 22:04:25+00:00,,247.55,262.16,236.63,181.42,255.01,L7
1999-11-14 22:04:18+00:00,,247.94,262.16,236.63,181.765,252.19666666666663,L7
2000-01-01 22:04:13+00:00,,247.36,262.16,236.63,181.765,247.44,L7
2000-01-17 22:04:11+00:00,,247.36,262.16,236.63,189.29666666666665,245.81799999999998,L7
2000-05-24 22:03:22+00:00,,246.2,,,185.98000000000002,239.03,L7
2000-08-12 22:02:30+00:00,,243.1,254.88,229.94,167.6,241.495,L7
2001-03-08 22:01:45+00:00,,261.23,272.22,245.09,,,L7
2001-03-24 22:01:35+00:00,302.51,261.23,272.22,245.09,185.38,242.29,L7
2001-06-12 22:01:01+00:00,302.51,247.59500000000003,272.22,245.09,185.38,242.29,L7
2001-08-15 22:00:14+00:00,302.51,244.26333333333332,272.22,245.09,185.38,217.155,L7
2001-12-05 21:59:55+00:00,308.95,235.69333333333336,,,,196.055,L7
2001-12-21 22:00:05+00:00,308.95,236.56,,,181.35,199.85,L7
2002-01-22 22:00:16+00:00,308.95,236.56,,,181.35,210.65,L7
2002-02-23 22:00:19+00:00,308.95,235.52,,,187.29500000000002,222.19750000000002,L7
2002-03-27 22:00:13+00:00,308.95,235.52,,,187.29500000000002,214.88400000000001,L7
2002-04-28 22:00:14+00:00,273.5,235.52,,,176.78333333333333,213.54833333333332,L7
2002-08-18 21:59:33+00:00,255.38500000000002,,,,171.9433333333333,205.325,L7
2002-09-19 21:59:11+00:00,255.38500000000002,,,,165.2,194.36333333333332,L7
2003-07-28 21:48:04+00:00,,,,,,169.49,L5
2003-08-29 21:48:38+00:00,283.78,247.22,258.89,,132.17,169.49,L5
2004-06-12 21:52:47+00:00,,282.46,290.89,,165.59,214.38,L5
2004-07-30 21:54:04+00:00,,283.65,292.695,283.45,162.95499999999998,214.09,L5
2004-09-16 21:55:17+00:00,332.47,283.96999999999997,292.75666666666666,282.63,166.87333333333333,216.83666666666667,L5
2005-02-23 21:58:07+00:00,329.38,283.385,291.71500000000003,277.34000000000003,170.055,217.06,L5
2005-03-11 21:58:20+00:00,317.43666666666667,283.385,291.71500000000003,277.34000000000003,157.28666666666666,209.68666666666664,L5
2005-03-27 21:58:27+00:00,309.92,284.36,291.265,280.175,153.57,206.96666666666667,L5
2005-05-30 21:58:51+00:00,303.16333333333336,271.03333333333336,275.0566666666667,280.175,153.57,199.765,L5
2005-07-17 21:59:11+00:00,299.675,265.77250000000004,270.9675,280.175,153.57,196.082,L5
2005-09-19 21:59:32+00:00,289.43,267.1525,271.145,283.145,172.0,191.2266666666667,L5
2005-11-22 21:59:59+00:00,291.74333333333334,260.1175,264.01,278.81,180.44,179.755,L5
2006-02-10 22:01:51+00:00,292.445,262.73,267.49,278.81,157.94,182.47,L5
2006-03-14 22:02:31+00:00,292.445,272.13,275.9625,291.815,162.92999999999998,207.54500000000002,L5
2006-05-17 22:03:33+00:00,292.445,272.1525,278.155,292.99,157.61666666666667,211.27666666666667,L5
2006-11-25 22:06:19+00:00,280.91,290.28,295.21,309.26,,,L5
2007-02-13 22:06:23+00:00,305.32000000000005,285.35,291.585,289.78499999999997,175.1,218.16,L5
2010-02-05 22:02:17+00:00,292.97,249.02,253.57,,143.09,197.61,L5
2011-08-19 22:00:12+00:00,,270.26,268.24,259.54,163.72,198.43,L5
2011-09-04 22:00:03+00:00,,276.995,277.925,270.05,169.135,207.845,L5
2013-04-25 22:19:21+00:00,,293.7,298.42,289.92,185.32,243.34,L8
2013-05-20 22:13:26+00:00,323.19,279.185,285.155,273.24,165.605,225.35000000000002,L8
2013-09-09 22:13:25+00:00,323.19,263.44666666666666,285.155,273.24,156.19666666666666,216.96666666666667,L8
2013-10-11 22:13:41+00:00,323.19,268.5775,286.62,279.32,161.115,216.96666666666667,L8
2013-10-27 22:13:31+00:00,308.03,259.485,276.81666666666666,268.21666666666664,153.04666666666668,203.77999999999997,L8
2013-11-03 22:19:20+00:00,309.7,264.28000000000003,279.865,268.21666666666664,153.04666666666668,203.77999999999997,L8
2014-01-31 22:12:28+00:00,307.8333333333333,267.726,284.08,277.09666666666664,163.65333333333334,219.165,L8
2014-02-07 22:18:33+00:00,310.305,270.5,283.16999999999996,277.09666666666664,163.65333333333334,218.29666666666665,L8
2014-02-23 22:18:20+00:00,310.305,273.6242857142857,285.2966666666667,279.96000000000004,167.525,224.505,L8
2014-03-27 22:17:50+00:00,310.305,282.74142857142857,287.19142857142856,281.892,177.39,233.61249999999998,L8
2014-04-05 22:11:34+00:00,312.80600000000004,282.91375,287.375,279.335,176.378,231.414,L8
2014-04-12 22:17:37+00:00,312.80600000000004,284.60249999999996,288.1725,278.4216666666667,176.744,230.165,L8
2014-04-28 22:17:22+00:00,317.79,289.82375,291.795,283.9316666666667,177.0533333333333,228.4385714285714,L8
2014-05-14 22:17:08+00:00,318.15250000000003,289.85125,291.01875,283.9316666666667,176.09428571428572,225.39249999999998,L8
2014-07-26 22:11:19+00:00,318.15250000000003,289.97,290.92555555555555,284.97285714285715,175.81125,224.54,L8
2014-09-19 22:17:42+00:00,318.6500000000001,289.1471428571429,289.41857142857145,284.61199999999997,174.94000000000003,220.50666666666666,L8
2014-10-14 22:11:38+00:00,314.49,289.332,289.774,293.3066666666667,174.995,214.815,L8
2014-12-01 22:11:36+00:00,,285.695,287.88,295.125,175.38333333333335,217.04666666666665,L8
2015-01-02 22:11:50+00:00,,285.695,287.88,295.125,168.82000000000002,212.5125,L8
2015-01-25 22:17:32+00:00,,283.9533333333333,287.11333333333334,309.37,167.15,217.6925,L8
2015-05-10 22:10:28+00:00,,279.03499999999997,282.395,319.71,162.59333333333333,215.8125,L8
2015-06-27 22:11:10+00:00,324.39,274.435,277.01,319.71,159.00333333333333,213.86,L8
2015-07-29 22:11:25+00:00,324.39,277.1166666666667,280.02000000000004,284.4,165.84666666666666,211.08666666666667,L8
2015-08-14 22:11:31+00:00,323.585,276.1825,279.2375,277.0,164.7925,210.29999999999998,L8
2015-12-20 22:11:57+00:00,329.3833333333333,275.96999999999997,281.27,278.9866666666667,166.2975,210.91,L8
2016-03-25 22:11:32+00:00,325.59000000000003,279.14,290.645,282.16499999999996,169.56,214.31,L8
2016-04-01 22:17:14+00:00,325.59000000000003,280.13666666666666,288.6366666666667,273.27,169.56,214.31,L8
2016-05-12 22:10:56+00:00,324.54,277.1225,288.6366666666667,273.27,166.68,210.885,L8
2016-06-13 22:11:06+00:00,324.54,278.748,289.845,273.27,169.16333333333333,213.57000000000002,L8
