dates,satname,nzd0234-0000,nzd0234-0001,nzd0234-0002,nzd0234-0003,nzd0234-0004,nzd0234-0005,nzd0234-0006,nzd0234-0007,nzd0234-0008,nzd0234-0009,nzd0234-0010,nzd0234-0011,nzd0234-0012,nzd0234-0013,nzd0234-0014,nzd0234-0015,nzd0234-0016,nzd0234-0017,nzd0234-0018,nzd0234-0019,nzd0234-0020,nzd0234-0021,nzd0234-0022,nzd0234-0023,nzd0234-0024,nzd0234-0025,nzd0234-0026,nzd0234-0027,nzd0234-0028,nzd0234-0029,nzd0234-0030,nzd0234-0031,nzd0234-0032,nzd0234-0033,nzd0234-0034,nzd0234-0035,nzd0234-0036,nzd0234-0037,nzd0234-0038,nzd0234-0039,nzd0234-0040,nzd0234-0041,nzd0234-0042,nzd0234-0043,nzd0234-0044,nzd0234-0045,nzd0234-0046,nzd0234-0047,nzd0234-0048,nzd0234-0049,nzd0234-0050,nzd0234-0051,nzd0234-0052,nzd0234-0053,nzd0234-0054,nzd0234-0055,nzd0234-0056,nzd0234-0057,nzd0234-0058,nzd0234-0059,nzd0234-0060,nzd0234-0061,nzd0234-0062,nzd0234-0069,nzd0234-0070,nzd0234-0071,nzd0234-0072,nzd0234-0073,nzd0234-0074,nzd0234-0075,nzd0234-0076,nzd0234-0077,nzd0234-0078,nzd0234-0079,nzd0234-0080,nzd0234-0081,nzd0234-0082,nzd0234-0083,nzd0234-0084,nzd0234-0085,nzd0234-0086,nzd0234-0087,nzd0234-0088,nzd0234-0089,nzd0234-0090,nzd0234-0091,nzd0234-0092,nzd0234-0093,nzd0234-0105,nzd0234-0106,nzd0234-0107,nzd0234-0108,nzd0234-0109,nzd0234-0110,nzd0234-0111,nzd0234-0112,nzd0234-0113,nzd0234-0114,nzd0234-0115,nzd0234-0118,nzd0234-0119,nzd0234-0120,nzd0234-0121,nzd0234-0122,nzd0234-0123,nzd0234-0124,nzd0234-0125,nzd0234-0126,nzd0234-0127,nzd0234-0128,nzd0234-0129,nzd0234-0130,nzd0234-0131,nzd0234-0132,nzd0234-0133,nzd0234-0134,nzd0234-0135,nzd0234-0136,nzd0234-0137,nzd0234-0138,nzd0234-0141,nzd0234-0142,nzd0234-0143,nzd0234-0144,nzd0234-0145,nzd0234-0146,nzd0234-0147,nzd0234-0148,nzd0234-0149,nzd0234-0065,nzd0234-0066,nzd0234-0067,nzd0234-0068,nzd0234-0097,nzd0234-0098,nzd0234-0099,nzd0234-0100,nzd0234-0101,nzd0234-0102,nzd0234-0103,nzd0234-0104,nzd0234-0116,nzd0234-0063,nzd0234-0064,nzd0234-0094,nzd0234-0095,nzd0234-0096,nzd0234-0117,nzd0234-0139,nzd0234-0140
2000-12-04 21:50:10.162000,L7,352.55,372.39,351.21,346.72,348.48,350.88,357.90,357.67,349.55,361.05,359.85,370.92,373.42,377.83,383.40,372.30,365.53,382.68,,,374.25,369.80,363.58,370.28,359.34,360.28,353.21,358.41,370.49,378.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.51,104.69,,,,,,,,,,,,,,,,,,,,,
2000-12-20 21:50:16.996000,L7,329.98,318.98,320.40,329.32,301.55,302.03,317.99,320.79,338.64,347.16,363.64,350.48,383.45,359.50,323.75,310.10,325.64,317.78,332.74,368.88,341.78,326.88,359.89,321.61,316.59,338.01,345.11,343.63,346.17,315.89,307.94,315.96,331.34,311.29,319.79,305.29,309.03,302.93,302.16,367.22,,311.91,357.81,360.48,,,,,,,,,351.19,308.88,315.60,357.10,313.60,326.49,321.36,328.88,332.69,330.41,321.56,,360.25,365.44,325.27,303.58,324.60,311.51,295.45,,,,318.62,321.49,325.23,327.35,332.52,349.28,297.17,315.42,352.81,363.54,319.72,317.89,314.92,319.08,352.26,346.06,342.98,373.83,356.65,363.69,367.70,366.05,349.18,349.97,345.24,,,,,,,,395.57,405.83,377.66,373.05,375.72,359.75,357.17,352.94,366.26,358.78,,,347.33,354.02,358.31,356.87,357.68,366.33,360.89,379.11,361.91,336.50,71.93,303.20,301.31,306.16,306.43,325.61,321.09,329.44,329.87,363.09,400.68,352.11,348.30,340.08,304.10,317.79,312.97,314.47,321.07,,351.48,346.65
2001-01-05 21:50:16.585000,L7,400.44,311.08,312.00,312.78,315.19,304.38,321.98,342.61,340.43,343.14,349.39,314.64,306.95,309.55,371.89,375.63,344.36,370.10,364.93,307.79,307.68,320.30,313.11,323.68,357.90,335.86,338.23,355.07,362.76,361.93,360.65,358.98,363.49,349.72,292.91,291.59,317.85,304.20,298.19,299.92,303.24,294.25,307.48,309.83,307.33,313.75,324.62,319.08,317.58,361.43,368.94,367.75,316.31,330.56,345.72,339.42,339.46,341.98,342.71,342.27,342.31,,,339.16,343.37,365.29,355.36,368.53,373.64,,,,,,,,,367.48,370.60,349.14,335.08,335.09,351.32,345.35,352.35,,,,,,,,,,,,,,,,,,,379.81,379.51,389.87,393.14,392.08,389.69,401.33,387.77,391.10,401.75,415.29,,,,385.05,393.69,375.92,373.14,375.01,374.46,368.23,371.52,371.08,370.86,374.83,84.19,,,,,357.06,360.95,372.30,375.42,372.73,382.94,382.54,380.90,,,,,,370.59,,379.50,374.31
2001-03-10 21:50:10.732000,L7,307.76,320.15,324.92,324.14,315.09,353.63,358.97,363.97,328.59,309.49,310.18,310.16,309.29,314.68,311.95,305.20,315.66,319.39,315.88,318.77,315.71,318.64,327.53,333.73,331.83,344.18,346.76,341.91,335.06,345.76,337.89,336.83,337.73,330.47,319.66,307.63,311.37,319.01,313.41,315.23,308.33,312.45,324.83,324.57,329.31,336.70,338.40,330.85,336.25,343.19,334.49,325.72,329.18,314.59,330.53,317.39,327.99,346.40,342.59,336.54,340.40,343.75,332.51,316.29,313.20,332.78,325.15,329.30,322.04,336.80,339.61,327.77,322.46,323.30,315.88,329.96,333.62,336.32,331.79,335.34,328.95,329.25,331.05,328.47,341.03,331.91,330.08,326.15,340.92,346.65,343.43,341.68,342.67,342.23,345.49,340.41,360.33,374.22,361.78,347.79,346.68,351.64,358.58,359.28,353.62,353.49,365.22,361.96,344.56,,,,,,,,,,,,380.81,364.00,371.95,367.21,361.29,352.23,335.87,330.77,67.24,313.78,317.73,314.72,311.10,339.58,333.54,333.59,333.62,336.24,341.44,344.37,340.75,355.15,311.04,313.08,328.20,324.80,333.06,349.76,,
2001-03-26 21:50:01.268000,L7,,,,,,,,,,,,330.65,330.17,334.42,351.99,,,385.73,315.81,305.84,300.11,308.04,,,,,,,,,,,,,,,,,,,,,,308.18,301.01,326.34,377.77,,,,,,390.78,371.72,354.24,302.97,290.67,312.67,334.12,323.66,338.08,312.66,300.76,,376.34,346.67,352.72,352.07,294.76,,,,,,,,,375.09,372.53,357.06,348.93,348.80,300.24,319.12,343.90,377.48,,,,,,,,301.38,343.28,309.04,,,,,,,,,,,,,,,,,,,,,,398.72,371.21,316.18,322.44,319.97,337.12,354.12,396.82,402.98,354.25,,61.30,,,,,,,355.57,356.79,325.17,323.17,330.44,349.58,,331.52,302.64,,,,,313.34,320.62
2001-06-30 21:49:12.248000,L7,316.21,346.62,320.65,328.50,326.84,338.66,326.38,327.40,328.49,330.04,333.22,319.37,333.09,317.97,335.25,318.90,319.00,320.65,317.15,311.14,311.55,312.78,314.06,305.65,314.50,304.74,311.45,315.08,304.43,311.49,321.18,341.43,351.13,356.36,301.77,311.12,296.12,303.21,311.11,330.19,344.52,332.87,362.36,314.01,313.61,314.04,330.48,376.21,385.91,379.65,342.26,347.08,343.95,382.07,338.27,385.35,342.40,351.06,353.81,359.00,384.61,339.39,363.55,366.28,,,,,,,368.46,354.94,358.38,359.30,367.69,366.13,335.89,360.85,373.22,369.32,343.33,356.68,362.10,355.88,364.50,358.59,351.43,356.28,386.93,383.30,367.63,380.61,358.97,372.54,367.87,372.42,385.20,381.61,382.70,369.09,,,,377.65,389.79,393.17,390.88,400.44,403.85,410.89,,,403.36,394.01,393.27,392.55,393.63,392.51,383.00,384.73,368.43,369.24,360.81,367.46,381.03,368.29,362.98,336.78,72.87,335.77,323.47,325.85,352.49,370.16,369.15,365.07,367.69,369.79,358.95,365.59,367.80,374.40,349.45,315.63,350.89,355.56,365.09,374.57,383.92,372.87
2001-09-02 21:48:29.341000,L7,358.72,375.40,361.43,360.27,364.67,348.74,335.09,359.91,387.47,344.74,347.53,336.34,324.94,322.51,350.16,360.58,346.07,342.98,376.61,338.73,343.29,347.78,335.32,317.41,331.15,341.00,326.30,326.95,347.93,323.30,323.15,339.39,328.60,361.45,325.44,313.11,314.48,313.22,313.28,332.36,330.28,321.64,325.78,322.03,319.17,323.57,330.02,319.57,326.00,336.73,332.28,338.07,329.81,328.72,327.62,321.14,320.79,334.09,340.67,353.39,335.68,332.52,319.46,317.48,320.87,317.54,317.66,317.96,307.93,321.38,323.05,322.82,327.51,334.97,333.90,330.79,330.98,330.91,322.46,324.64,319.97,320.77,320.58,357.44,353.94,325.28,329.01,315.97,343.04,347.63,344.74,337.29,332.80,341.12,351.81,352.79,340.79,327.95,345.32,343.62,346.58,348.20,345.42,347.28,344.41,356.87,358.20,360.91,372.33,353.65,353.10,361.53,381.19,340.60,352.95,351.55,358.96,348.28,346.68,338.75,359.39,341.98,342.66,352.02,351.97,342.65,336.85,316.69,68.30,312.75,316.72,314.02,314.08,326.95,336.05,329.92,337.77,351.09,335.31,337.22,343.98,338.10,309.44,312.31,321.85,325.77,320.04,343.94,345.34,346.60
2001-09-18 21:48:17.356000,L7,369.34,369.03,364.16,372.24,365.39,369.24,375.90,371.27,382.96,373.06,381.68,378.17,365.05,373.28,389.40,378.26,363.10,374.41,375.48,362.77,359.04,359.75,352.85,356.97,350.21,357.97,371.40,380.90,371.07,359.86,361.47,,,383.47,373.63,351.47,364.34,348.26,355.77,346.72,382.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.97,401.38,398.26,395.35,394.70,383.17,383.33,386.87,389.49,396.11,387.68,381.94,7.73,105.94,,,,,,,,,,,,,,,,,,,,387.28,378.73
2001-10-20 21:48:09.707000,L7,393.83,362.39,381.56,382.45,392.83,,,,,,,,,392.08,384.88,352.62,366.61,370.09,353.30,375.93,362.71,369.51,362.04,363.53,360.46,365.33,379.99,368.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.45,193.74,172.62,183.85,175.01,197.89,206.42,236.63,106.56,,,,,,,,,,,,,,,,,,,,,
2002-02-09 21:48:45.674000,L7,318.96,325.30,296.94,279.74,297.13,304.18,303.81,305.35,297.33,306.08,303.28,310.35,303.44,304.97,303.18,302.44,309.84,302.59,300.75,301.72,305.94,304.79,304.03,362.57,376.36,341.90,373.91,291.42,295.59,368.04,355.86,349.98,364.33,360.30,354.84,292.95,296.89,302.22,351.30,338.70,342.52,358.84,361.97,350.04,296.17,291.77,313.78,302.63,317.16,320.25,336.32,356.78,368.75,329.92,315.89,338.49,334.66,331.71,369.90,306.68,304.47,309.56,341.04,342.96,,358.23,357.65,321.71,315.87,370.69,,,,,,355.68,365.49,359.39,353.94,357.52,369.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.85,362.87,368.39,375.16,374.92,368.53,364.15,342.55,63.38,313.52,319.01,305.81,323.23,336.52,363.93,374.39,370.86,374.58,383.15,,,,341.27,293.49,,,339.28,,369.08,369.29
