dates,nzd0234-0000,nzd0234-0001,nzd0234-0002,nzd0234-0003,nzd0234-0004,nzd0234-0005,nzd0234-0006,nzd0234-0007,nzd0234-0008,nzd0234-0009,nzd0234-0010,nzd0234-0011,nzd0234-0012,nzd0234-0013,nzd0234-0014,nzd0234-0015,nzd0234-0016,nzd0234-0017,nzd0234-0018,nzd0234-0019,nzd0234-0020,nzd0234-0021,nzd0234-0022,nzd0234-0023,nzd0234-0024,nzd0234-0025,nzd0234-0026,nzd0234-0027,nzd0234-0028,nzd0234-0029,nzd0234-0030,nzd0234-0031,nzd0234-0032,nzd0234-0033,nzd0234-0034,nzd0234-0035,nzd0234-0036,nzd0234-0037,nzd0234-0038,nzd0234-0039,nzd0234-0040,nzd0234-0041,nzd0234-0042,nzd0234-0043,nzd0234-0044,nzd0234-0045,nzd0234-0046,nzd0234-0047,nzd0234-0048,nzd0234-0049,nzd0234-0050,nzd0234-0051,nzd0234-0052,nzd0234-0053,nzd0234-0054,nzd0234-0055,nzd0234-0056,nzd0234-0057,nzd0234-0058,nzd0234-0059,nzd0234-0060,nzd0234-0061,nzd0234-0062,nzd0234-0069,nzd0234-0070,nzd0234-0071,nzd0234-0072,nzd0234-0073,nzd0234-0074,nzd0234-0075,nzd0234-0076,nzd0234-0077,nzd0234-0078,nzd0234-0079,nzd0234-0080,nzd0234-0081,nzd0234-0082,nzd0234-0083,nzd0234-0084,nzd0234-0085,nzd0234-0086,nzd0234-0087,nzd0234-0088,nzd0234-0089,nzd0234-0090,nzd0234-0091,nzd0234-0092,nzd0234-0093,nzd0234-0105,nzd0234-0106,nzd0234-0107,nzd0234-0108,nzd0234-0109,nzd0234-0110,nzd0234-0111,nzd0234-0112,nzd0234-0113,nzd0234-0114,nzd0234-0115,nzd0234-0118,nzd0234-0119,nzd0234-0120,nzd0234-0121,nzd0234-0122,nzd0234-0123,nzd0234-0124,nzd0234-0125,nzd0234-0126,nzd0234-0127,nzd0234-0128,nzd0234-0129,nzd0234-0130,nzd0234-0131,nzd0234-0132,nzd0234-0133,nzd0234-0134,nzd0234-0135,nzd0234-0136,nzd0234-0137,nzd0234-0138,nzd0234-0141,nzd0234-0142,nzd0234-0143,nzd0234-0144,nzd0234-0145,nzd0234-0146,nzd0234-0147,nzd0234-0148,nzd0234-0149,nzd0234-0065,nzd0234-0066,nzd0234-0067,nzd0234-0068,nzd0234-0097,nzd0234-0098,nzd0234-0099,nzd0234-0100,nzd0234-0101,nzd0234-0102,nzd0234-0103,nzd0234-0104,nzd0234-0116,nzd0234-0063,nzd0234-0064,nzd0234-0094,nzd0234-0095,nzd0234-0096,nzd0234-0117,nzd0234-0139,nzd0234-0140,satname
1999-08-12 21:52:44+00:00,,,,,324.31,335.81,337.42,311.77,339.28,344.15,,321.88,,322.36,,337.66,340.81,350.22,340.53,,,323.95,340.84,,341.76,336.61,337.13,309.48,,303.89,,298.15,311.77,299.98,318.61,,,329.62,325.67,347.26,318.04,320.17,326.01,315.8,325.64,302.64,305.62,,,328.87,341.37,329.6,,297.68,310.03,,,311.39,352.19,326.58,,363.2,,,,,317.03,,,,,,,332.54,333.39,,331.66,336.08,321.01,338.13,,,,,,,,,330.42,332.27,350.18,329.52,309.81,,,,324.56,369.22,,335.68,337.56,348.75,330.49,,353.18,353.66,347.02,,349.32,,,,344.37,342.07,347.99,360.97,,346.71,347.26,334.89,,,,,,,,,,314.26,319.49,328.03,,,,348.12,,373.58,355.72,350.53,334.66,,356.86,326.15,,,,335.37,333.46,,L7
1999-09-29 21:52:52+00:00,350.83,356.11,351.83,346.48,337.935,342.255,343.155,328.6,343.755,342.865,350.01,337.78999999999996,358.61,339.19,354.29,342.4,337.435,347.475,339.32,343.78,338.65,334.18,344.53999999999996,338.0,339.22,336.39,340.08,322.54,345.21,318.9,344.87,318.09,327.025,317.43,327.32,331.49,331.22,335.61,330.235,350.67499999999995,334.28,329.71000000000004,330.69,323.65,322.02,317.435,324.07,358.94,362.99,348.42,351.005,337.69,342.79,316.9,325.585,333.94,352.57,331.19,355.095,346.44,374.54,364.84000000000003,372.09,368.01,359.42,,330.9,,343.11,340.65,343.9,338.18,343.33,339.51,341.81,347.64,341.14,346.65,321.01,345.07,348.62,348.24,340.71,348.45,344.99,,351.38,358.69,330.42,350.935,350.18,345.72,309.81,367.37,371.41,378.86,324.56,369.22,375.04,335.68,351.245,348.75,330.49,,362.09000000000003,365.56,364.04499999999996,386.06,349.32,391.46,,393.33,344.37,361.635,347.99,375.055,389.97,346.71,347.26,334.89,192.95,,,,,,,31.1,109.25,314.26,319.49,328.03,,,,348.12,,373.58,355.72,350.53,334.66,,356.86,326.15,,,,335.37,333.46,,L7
1999-10-15 21:52:49+00:00,348.66999999999996,349.975,352.755,346.84000000000003,341.84999999999997,344.52,342.53999999999996,335.25,343.6666666666667,343.12999999999994,346.88,340.29,359.345,343.45,346.625,342.33666666666664,336.73,346.5833333333333,342.22333333333336,343.17499999999995,344.075,337.45666666666665,346.69666666666666,338.265,342.18,336.3666666666667,341.6033333333333,326.68333333333334,344.12,324.1333333333334,344.495,318.09,330.6133333333333,323.68,329.71666666666664,334.52,331.305,336.43,329.87333333333333,347.3666666666666,338.64000000000004,331.19,327.85999999999996,325.04,321.9533333333333,321.5733333333333,330.32666666666665,358.8,361.395,352.48,352.3833333333334,340.56333333333333,342.065,322.6566666666667,328.53666666666663,334.61,352.53,339.57,357.3633333333333,353.75666666666666,374.01,368.08666666666664,372.09,359.52,354.98,,338.6166666666666,,344.27,340.495,342.41999999999996,333.90999999999997,339.45,342.00666666666666,341.33666666666664,345.265,343.56666666666666,346.9166666666667,335.21000000000004,346.82,345.53999999999996,348.33000000000004,340.245,346.885,345.375,350.23,352.14,358.69,330.42,350.935,350.18,345.72,309.81,367.37,369.36,378.86,324.56,368.20000000000005,372.95500000000004,335.68,351.245,348.75,330.49,,362.09000000000003,369.00666666666666,364.04499999999996,386.06,349.32,391.46,,393.33,344.37,361.635,347.99,375.055,387.3,346.71,347.26,334.89,192.95,,,,,,,40.835,109.195,314.26,337.96000000000004,342.39,355.93,,369.69,348.12,,373.58,355.72,350.53,334.66,,356.86,326.15,,,,335.37,333.46,,L7
2000-02-04 21:52:37+00:00,334.67333333333335,339.43333333333334,352.755,346.84000000000003,341.84999999999997,344.52,342.53999999999996,329.34749999999997,342.745,339.9625,333.16,333.955,359.345,343.45,331.87333333333333,331.34000000000003,330.0775,336.22,333.7775,331.07666666666665,331.79333333333335,328.03499999999997,335.73,325.28666666666663,332.9,327.98,331.58,321.925,333.57,319.2575,327.81,313.03666666666663,322.72749999999996,317.2625,320.365,324.48333333333335,319.16333333333336,326.9975,325.3725,335.16499999999996,328.8,322.8825,323.705,316.3025,315.9475,315.5375,326.315,344.8066666666667,361.395,342.3625,341.925,335.51,336.09,324.2825,320.3325,329.8433333333333,334.54333333333335,333.5525,350.3375,344.0375,354.58666666666664,357.435,354.41999999999996,355.2633333333333,350.65333333333336,310.34,338.7075,334.18,337.1466666666667,336.44666666666666,336.71666666666664,331.8933333333334,334.69,338.90500000000003,339.6425,342.76,343.45500000000004,344.5575,335.90333333333336,342.84749999999997,342.3433333333333,343.48333333333335,337.7966666666666,341.67333333333335,338.44,337.115,344.5233333333333,348.77,345.21000000000004,353.9166666666667,352.21500000000003,348.00333333333333,329.51,356.93,361.8433333333333,363.355,342.7,366.60666666666674,370.46000000000004,348.33000000000004,351.245,352.405,340.475,353.0,360.3433333333333,369.73,365.7633333333333,380.23,361.54499999999996,385.1,,383.82,344.37,369.98,347.99,381.83,387.3,346.71,347.26,334.89,200.45999999999998,210.74,,,,,,40.835,99.20333333333333,317.445,336.5566666666667,339.6333333333333,348.49,363.04,365.605,351.4,348.37,361.17999999999995,356.515,357.625,351.08500000000004,367.64,354.14,334.365,343.38,351.81,354.61,335.37,352.0,,L7
2000-04-24 21:52:10+00:00,306.68,318.35,,,,,,303.195,331.675,330.46,305.72,333.7,350.7,354.38,323.3,298.35,309.72,315.12,313.405,321.635,314.045,318.23,312.53,299.33,308.40999999999997,303.615,313.9,328.47,308.895,315.685,294.44,302.93,320.21500000000003,307.055,310.16499999999996,315.235,294.88,298.7,311.87,298.56,299.28,297.96,311.24,290.09,311.815,297.43,314.28,328.45,359.95,316.96000000000004,323.185,329.065,324.14,329.16,295.72,327.15999999999997,305.29999999999995,311.675,323.79999999999995,327.57,328.3,332.20500000000004,344.86,346.75,344.14,329.68499999999995,338.98,334.495,322.9,331.45000000000005,332.5,323.895,318.21500000000003,329.51,334.56,328.58000000000004,331.245,326.095,337.29,318.71000000000004,330.135,333.79,332.9,324.22,312.52,314.57,329.29,338.85,360.0,353.48,342.46000000000004,347.445,337.21,349.315,337.855,338.475,360.84,363.42,355.82500000000005,358.295,,356.06,350.395,347.89,351.17,357.78499999999997,369.2,363.99,373.77,371.485,,358.75,341.09,386.67,384.45,395.38,358.01,,351.98,324.12,207.97,226.345,,,,,,,79.22,320.475,333.75,332.55,340.295,359.57000000000005,353.325,354.68,348.37,348.78,357.31,364.72,367.51,362.08,349.185,328.585,343.38,351.81,354.61,320.09,357.81,,L7
2000-05-26 21:51:48+00:00,321.525,335.295,354.48,342.25,343.89,371.73,344.93,317.9066666666667,331.49333333333334,332.78,305.72,346.25666666666666,355.375,354.38,335.26,317.21500000000003,319.6333333333333,318.43666666666667,321.32666666666665,321.8,315.78000000000003,322.2633333333333,313.99,315.155,321.41,310.42,311.8866666666667,333.3,319.94,323.05,298.06,302.93,320.21500000000003,307.055,322.06,315.235,308.65,298.7,311.87,298.56,299.28,318.875,326.45000000000005,306.895,320.52,297.43,314.28,328.45,359.95,316.96000000000004,323.185,329.9533333333333,320.73,332.08000000000004,315.65,327.15999999999997,318.5466666666667,316.90000000000003,323.79999999999995,327.57,328.3,332.20500000000004,344.86,346.75,344.14,329.68499999999995,338.98,334.495,322.9,331.45000000000005,332.5,323.895,318.21500000000003,329.51,334.56,328.58000000000004,331.245,326.095,337.29,318.71000000000004,330.135,333.79,332.9,324.22,312.52,314.57,329.29,338.85,360.0,353.48,342.46000000000004,347.445,337.21,349.315,337.855,338.475,360.84,363.42,355.82500000000005,358.295,,356.06,350.395,347.89,351.17,357.78499999999997,369.2,363.99,373.77,371.485,,358.75,341.09,386.67,384.45,395.38,358.01,,351.98,324.12,216.755,226.91333333333333,213.21,224.87,209.32,211.03,243.02,,82.59,320.475,333.75,332.55,340.295,359.57000000000005,353.325,354.68,348.37,348.78,357.31,364.72,367.51,362.08,349.185,328.585,343.38,351.81,354.61,320.09,357.81,176.99,L7
2000-08-14 21:50:56+00:00,325.435,338.065,343.08000000000004,338.02,335.065,354.015,336.19,324.1433333333334,326.48333333333335,324.31,308.58,349.15333333333336,355.375,341.8,341.74666666666667,333.90999999999997,323.30333333333334,324.6566666666667,323.9066666666667,332.4433333333333,319.80333333333334,333.8666666666666,325.07666666666665,322.315,324.18,311.3433333333333,314.67,335.1333333333333,316.97999999999996,324.0133333333333,302.33500000000004,320.32,324.985,317.49,328.97,325.195,322.145,335.3,320.73,317.02,315.17,327.39,324.935,317.92499999999995,329.0466666666666,,334.53,336.235,346.63,326.8,330.7,328.23,320.435,326.23,325.86,333.76,334.6933333333333,328.1566666666667,334.65999999999997,341.36,340.295,337.07500000000005,343.985,340.24,341.08,341.395,340.37,337.005,341.28,331.28999999999996,335.37,326.85,322.6,330.795,327.87,319.32000000000005,326.425,325.755,336.35,318.155,325.11,329.41,328.62,319.84000000000003,313.13,315.04999999999995,324.75,334.17,366.92,355.235,350.47,357.115,345.725,358.26,346.01,347.09000000000003,364.13,363.25,353.28,358.34000000000003,360.72,360.67,358.395,353.48,358.625,357.23,376.23,366.92,379.64,375.08500000000004,381.2,363.845,363.235,389.18,379.865,381.27,367.15999999999997,372.81,358.415,343.115,225.33499999999998,232.79666666666665,213.5,221.9,210.375,212.005,244.24,,83.31,326.94,334.82,333.44500000000005,337.415,344.61,346.24,350.07,359.86,357.66,363.79,364.59,367.92,360.585,338.53,320.495,339.13,336.51,335.23,341.215,360.73,174.07,L7
2000-09-15 21:50:25+00:00,331.62333333333333,343.8233333333333,349.43666666666667,342.89000000000004,344.9866666666667,357.8933333333334,345.77,331.365,332.4,329.73333333333335,308.58,349.10249999999996,356.15333333333336,344.50333333333333,344.54,339.4166666666667,328.9975,331.1325,329.60249999999996,336.1275,323.28,336.64,325.07666666666665,328.28,325.3275,317.4525,318.3525,334.6475,322.8125,326.79499999999996,302.33500000000004,325.315,324.985,322.28333333333336,330.96750000000003,332.8,322.145,339.1,333.12,328.345,315.17,330.3866666666667,331.2966666666667,324.7133333333333,329.0466666666666,,343.53,336.235,349.81333333333333,334.0833333333333,335.43333333333334,328.23,332.68666666666667,326.23,333.58,333.76,345.7075,341.57,349.3033333333333,341.36,340.295,337.07500000000005,349.8533333333333,349.685,341.08,341.395,340.37,337.005,341.28,331.28999999999996,342.6366666666667,326.85,322.6,330.795,327.87,319.32000000000005,326.425,325.755,336.35,318.155,325.11,329.41,328.62,326.84666666666664,313.13,315.04999999999995,324.75,340.34000000000003,366.92,355.235,350.47,357.115,345.725,358.26,346.01,347.09000000000003,364.13,363.25,353.28,358.34000000000003,360.72,360.67,358.395,353.48,358.625,357.23,376.23,366.92,379.64,375.08500000000004,381.2,363.845,363.235,389.18,379.865,381.27,367.15999999999997,372.81,358.415,343.115,225.33499999999998,232.79666666666665,213.5,221.9,210.375,212.005,244.24,20.68,91.50333333333333,331.87666666666667,334.82,339.0466666666667,341.9766666666667,344.61,346.24,350.07,359.86,357.66,368.795,364.59,367.92,360.585,341.43,320.495,339.13,336.51,335.23,341.215,360.73,174.07,L7
2000-12-04 21:50:10+00:00,337.01666666666665,339.615,346.91499999999996,343.21000000000004,345.535,350.975,346.18999999999994,341.69000000000005,337.54999999999995,327.05,308.58,336.29499999999996,357.71,339.565,337.375,341.08500000000004,333.605,337.17499999999995,331.43499999999995,342.995,326.50499999999994,339.77,336.09,326.92999999999995,321.06999999999994,320.68499999999995,319.63,323.16999999999996,321.95000000000005,321.3299999999999,302.99,325.315,308.61,325.375,325.0,336.16999999999996,321.87,339.1,333.12,328.345,315.17,325.68500000000006,326.115,325.22,323.51,,343.53,332.39,344.745,340.16999999999996,335.24,315.18,340.37,317.46,332.58000000000004,333.51,362.88,365.53999999999996,364.78499999999997,342.46,339.73,335.22,348.29499999999996,349.685,335.88,333.76,340.37,339.2,341.28,328.03,344.11,333.77,333.94,332.17,327.87,319.23,333.48,336.8,336.35,329.82,325.9,329.41,328.62,331.67499999999995,325.79,324.96,324.75,340.34000000000003,366.92,363.39,370.27,371.91,366.24,364.38,363.12,365.08,364.13,363.25,360.38,361.07,360.72,360.67,366.46,364.18,371.76,370.79,376.23,374.43,379.64,385.94,381.2,384.5,385.38,389.18,375.28,381.27,376.31,372.81,364.85,362.11,225.13,228.39,213.79,218.93,211.43,212.98,245.46,13.094999999999999,97.74666666666667,337.655,334.82,343.08000000000004,343.19500000000005,333.12,347.35,350.07,359.86,357.66,368.795,364.59,367.92,364.65,338.66999999999996,326.4,339.13,336.51,335.23,362.34,376.38,171.15,L7
2000-12-20 21:50:16+00:00,335.2575,332.7366666666667,338.07666666666665,338.58,330.87333333333333,350.975,336.78999999999996,334.72333333333336,337.54999999999995,327.05,308.58,341.0233333333333,357.71,339.565,332.8333333333333,330.7566666666667,330.95,330.71,331.87,342.995,331.59666666666664,335.4733333333333,336.09,325.1566666666667,319.57666666666665,320.68499999999995,319.63,323.16999999999996,321.95000000000005,319.51666666666665,305.46500000000003,322.19666666666666,319.975,320.68,323.2633333333333,325.8766666666666,315.45,327.04333333333335,322.8,328.345,315.17,321.09333333333336,326.115,325.22,323.51,,343.53,332.39,344.745,340.16999999999996,335.24,315.18,340.37,313.16999999999996,326.92,333.51,346.4533333333334,352.5233333333333,350.31,335.66999999999996,336.21000000000004,332.81500000000005,339.3833333333333,349.685,335.88,333.76,332.82,321.39,332.94,319.77,344.11,333.77,333.94,332.17,323.245,320.36,329.355,332.07500000000005,334.435,329.82,311.53499999999997,322.415,328.62,331.67499999999995,322.755,321.42499999999995,319.83500000000004,333.25333333333333,359.59000000000003,354.725,356.625,371.91,361.445,364.38,363.12,365.08,356.655,356.61,352.81,361.07,360.72,360.67,366.46,364.18,371.76,370.79,376.23,374.43,379.64,385.94,381.2,372.125,371.275,371.06,370.77,370.025,376.31,372.81,356.09000000000003,358.065,225.13,228.39,213.79,218.93,211.43,212.98,245.46,13.094999999999999,91.2925,326.17,318.065,330.77333333333337,343.19500000000005,329.365,334.22,339.755,344.865,357.66,368.795,358.35,358.11,352.365,327.1466666666667,322.095,326.05,325.49,328.15,362.34,363.93,258.9,L7
