dates,nzd0028-0000,nzd0028-0001,nzd0028-0002,nzd0028-0003,nzd0028-0004,nzd0028-0005,nzd0028-0006,nzd0028-0007,nzd0028-0008,nzd0028-0009,nzd0028-0010,nzd0028-0011,nzd0028-0012,nzd0028-0013,nzd0028-0014,nzd0028-0015,nzd0028-0016,nzd0028-0017,nzd0028-0018,nzd0028-0019,nzd0028-0020,nzd0028-0021,nzd0028-0022,nzd0028-0023,nzd0028-0024,nzd0028-0025,nzd0028-0026,nzd0028-0027,nzd0028-0028,nzd0028-0029,nzd0028-0030,nzd0028-0031,nzd0028-0032,nzd0028-0033,nzd0028-0034,nzd0028-0035,nzd0028-0036,nzd0028-0037,satname
1999-08-17 22:10:26.276,,,510.56,,,,,,,,,,,,,,,,341.65,357.1,360.0,357.64,361.05,364.07,362.94,360.9,360.99,355.75,359.5,364.13,363.67,360.87,372.58,375.59,370.15,355.44,355.68,353.91,L7
1999-10-04 22:10:38.131,,,503.28999999999996,,341.72,,,,341.37,297.9,255.97,287.53,,258.95,270.18,,,,329.37,351.385,349.79499999999996,352.74,357.105,362.385,360.20500000000004,357.865,359.70000000000005,355.21000000000004,358.83500000000004,362.425,362.385,354.36,370.41999999999996,373.735,367.15,353.275,355.63,352.645,L7
1999-12-07 22:10:30.042,,411.89,503.28999999999996,256.4,337.635,408.45,419.09,,332.115,289.91499999999996,239.48000000000002,278.78499999999997,,240.19,252.015,,,,329.37,351.385,349.79499999999996,352.74,357.105,362.385,360.20500000000004,357.865,359.70000000000005,355.21000000000004,358.83500000000004,362.425,362.385,354.36,370.41999999999996,373.735,367.15,353.275,348.6166666666666,339.0266666666667,L7
2000-02-09 22:10:19.398,,400.53499999999997,503.28999999999996,258.465,337.635,426.13,433.72,486.13,332.115,289.91499999999996,239.48000000000002,278.78499999999997,494.19,240.19,252.015,,,,329.37,351.385,334.09666666666664,341.70666666666665,357.105,362.385,360.20500000000004,346.56333333333333,359.70000000000005,355.21000000000004,358.83500000000004,362.425,362.385,354.36,370.41999999999996,373.735,367.15,353.275,348.6166666666666,339.0266666666667,L7
2000-03-28 22:10:07.233,408.87,400.53499999999997,496.02,258.465,338.1433333333334,426.13,433.72,495.71000000000004,332.115,289.91499999999996,239.48000000000002,278.78499999999997,487.845,240.19,252.015,,,,317.09,345.67,321.145,333.73999999999995,353.16,360.7,356.735,344.89000000000004,358.505,354.13,358.515,360.685,361.99,347.85,368.18,371.03,363.34,342.065,346.88999999999993,331.6,L7
2000-04-29 22:09:53.797,418.38,400.53499999999997,481.76,258.465,336.355,426.13,433.72,511.46333333333337,322.86,281.93,222.99,270.04,498.38000000000005,221.43,233.85,,,,,363.73,302.7,341.52,367.18,369.8,356.0,339.9200000000001,358.6,357.63,362.055,362.91499999999996,363.655,366.47,373.1,375.68,367.385,345.89,348.5833333333333,334.2166666666667,L7
2000-05-15 22:09:42.527,418.38,400.53499999999997,497.55,258.465,336.355,426.13,433.72,511.5325,322.86,281.93,222.99,270.04,503.69500000000005,221.43,258.04499999999996,,,,,360.815,302.7,346.07,364.14,368.695,360.63,347.6233333333333,358.52,358.1233333333333,361.66,363.8933333333334,362.80333333333334,363.06500000000005,373.18666666666667,376.0466666666666,368.9533333333333,348.57,351.3675,340.64250000000004,L7
2000-06-16 22:09:26.713,415.31,396.88,497.55,260.53,339.16,443.81,402.57000000000005,511.5325,353.7,278.4,,,503.69500000000005,,283.86,,,,,359.89000000000004,302.7,348.4475,361.69000000000005,367.15333333333336,362.25,352.475,359.96333333333337,357.505,361.6225,364.7925,363.48,361.6133333333334,373.07000000000005,376.0466666666666,368.9533333333333,349.38,357.14000000000004,349.76750000000004,L7
2000-08-03 22:08:44.137,415.31,396.88,497.55,253.17,339.16,443.81,349.00333333333333,511.5325,353.7,265.0,,,503.69500000000005,,283.86,,,,,359.89000000000004,283.195,348.4475,361.69000000000005,367.15333333333336,362.25,352.475,359.96333333333337,340.094,361.6225,364.7925,363.48,361.6133333333334,373.07000000000005,376.0466666666666,368.9533333333333,349.38,357.14000000000004,349.76750000000004,L7
2000-08-19 22:08:38.248,406.6375,404.58,497.55,243.14499999999998,339.16,,278.00666666666666,520.0,353.7,259.3233333333333,,,506.8633333333334,,283.86,,,,,359.89000000000004,261.95500000000004,358.05,361.69000000000005,367.15333333333336,362.25,361.98,359.96333333333337,328.575,361.6225,364.7925,363.48,361.6133333333334,373.07000000000005,376.0466666666666,368.9533333333333,349.38,357.14000000000004,349.76750000000004,L7
2000-09-04 22:08:22.800,406.6375,404.58,506.81666666666666,243.14499999999998,337.93,322.33,273.635,520.0,344.595,266.28,228.48,274.5,506.8633333333334,,283.86,,,451.53,,359.89000000000004,261.95500000000004,358.05,361.69000000000005,367.15333333333336,356.02,353.09749999999997,358.71000000000004,325.1871428571429,359.986,362.77,362.92600000000004,349.4275,366.854,372.9375,366.0425,345.656,354.59800000000007,346.39000000000004,L7
2000-09-20 22:08:03.348,406.6375,404.58,506.81666666666666,243.14499999999998,338.3666666666667,323.62,272.826,520.0,349.9266666666667,266.28,225.71499999999997,261.895,506.8633333333334,218.48,276.16333333333336,,245.66,462.5,,359.89000000000004,261.95500000000004,358.05,367.32500000000005,367.15333333333336,356.02,353.238,359.442,322.57875,358.7616666666667,362.3016666666667,361.95166666666665,349.392,368.2716666666667,367.604,366.04200000000003,344.94,353.92833333333334,345.08500000000004,L7
2000-10-22 22:07:50.487,407.4525,404.58,506.81666666666666,243.14499999999998,342.8833333333334,330.55333333333334,272.826,527.355,353.5825,266.28,225.71499999999997,261.895,519.5450000000001,218.48,294.85749999999996,356.67,264.675,462.5,334.44,359.4975,261.95500000000004,357.31,366.396,366.575,358.28999999999996,354.78999999999996,360.646,318.1485714285714,359.83,364.01666666666665,362.8866666666666,344.315,369.32500000000005,369.282,367.636,348.0916666666667,355.08833333333337,348.3316666666667,L7
2000-11-07 22:07:53.532,400.64000000000004,404.58,519.345,243.14499999999998,342.8833333333334,342.825,272.826,511.74,357.118,266.28,225.71499999999997,261.895,532.2049999999999,218.48,311.25,372.86,264.675,462.5,334.44,364.64,261.95500000000004,358.58,366.2,361.88,359.346,356.9416666666666,363.71000000000004,311.75428571428574,359.74499999999995,363.784,367.25,339.88399999999996,371.62833333333333,370.11199999999997,368.934,350.895,353.97400000000005,346.15200000000004,L7
2001-02-27 22:07:54.461,412.13,,525.35,344.85,342.35,342.825,264.62666666666667,,357.97249999999997,281.16499999999996,226.01666666666665,265.1166666666667,544.77,225.245,333.2775,372.86,264.675,462.5,334.44,371.30999999999995,273.07,361.78499999999997,373.455,357.92999999999995,355.32666666666665,352.8974999999999,364.28999999999996,317.9575,355.776,353.3375,366.648,318.395,364.88,365.5,368.14500000000004,349.90749999999997,347.19,334.1775,L7
2001-06-03 22:07:16.736,,,,355.755,346.66999999999996,352.63,263.77,500.59,,275.18,226.62,271.56,,232.01,346.34999999999997,351.66,,,,,273.07,360.93,361.2,367.39,367.45,367.92,360.82000000000005,352.095,352.08500000000004,347.23,361.04,323.77,357.515,365.8,370.58,356.09,346.885,314.16,L7
2001-09-07 22:06:11.116,392.35,435.65,,366.66,352.59,352.63,,500.59,,,,287.27,,,346.255,339.365,247.61,,,,,360.93,361.2,367.39,367.45,367.92,361.16,351.90999999999997,359.74,362.34000000000003,364.18,338.735,370.53999999999996,376.735,372.46500000000003,357.05499999999995,357.025,349.73,L7
2001-09-23 22:06:03.238,392.35,446.255,,365.41,354.395,352.115,360.98,500.59,,,,287.27,,,346.255,339.365,247.61,467.05,,,,360.93,361.2,367.39,367.45,367.92,361.16,351.90999999999997,359.74,362.34000000000003,364.18,338.735,370.53999999999996,376.735,372.46500000000003,357.05499999999995,357.025,349.73,L7
2001-11-26 22:06:09.518,392.35,446.255,,370.31333333333333,356.49333333333334,353.22333333333336,368.565,500.59,379.05,295.79,261.03,303.30499999999995,,,344.68,339.365,252.2,467.05,,348.92,,356.065,351.41499999999996,363.77,367.45,367.92,361.16,351.90999999999997,359.74,362.34000000000003,364.18,338.735,370.53999999999996,376.735,372.46500000000003,357.05499999999995,355.22,349.73,L7
2001-12-12 22:06:14.960,392.35,466.60999999999996,517.3,372.14,348.47333333333336,353.52000000000004,425.84999999999997,,379.05,295.79,261.03,303.30499999999995,539.71,,342.96,327.07,242.58,467.05,,348.92,270.92,351.2,341.63,360.15,,,340.85,345.37,358.1,357.99,362.63,322.46,366.76,375.59,374.35,358.02,347.9633333333333,349.73,L7
2002-01-29 22:06:21.478,392.35,480.3875,511.79499999999996,372.14,348.47333333333336,353.52000000000004,452.1675,539.04,379.05,295.79,245.685,303.30499999999995,539.71,221.82,342.96,327.07,241.1875,467.05,,340.15,270.92,351.2,341.63,360.15,,,345.625,345.37,358.1,346.625,362.63,310.69,366.76,363.21,361.02,344.08,347.9633333333333,349.73,L7
