dates,satname,nzd0028-0000,nzd0028-0001,nzd0028-0002,nzd0028-0003,nzd0028-0004,nzd0028-0005,nzd0028-0019,nzd0028-0020,nzd0028-0021,nzd0028-0022,nzd0028-0023,nzd0028-0024,nzd0028-0025,nzd0028-0026,nzd0028-0027,nzd0028-0028,nzd0028-0029,nzd0028-0030,nzd0028-0031,nzd0028-0032,nzd0028-0033,nzd0028-0034,nzd0028-0035,nzd0028-0036,nzd0028-0037,nzd0028-0018,nzd0028-0006,nzd0028-0007,nzd0028-0008,nzd0028-0009,nzd0028-0010,nzd0028-0011,nzd0028-0012,nzd0028-0013,nzd0028-0014,nzd0028-0015,nzd0028-0016,nzd0028-0017
1999-10-04 22:10:38.131000,L7,,,,,,,338.92,332.45,346.32,343.69,354.09,353.61,346.98,355.72,349.92,351.44,353.24,357.85,306.35,350.59,365.13,358.85,338.94,348.63,341.59,,,,,,,,,,,,,
1999-12-07 22:10:30.042000,L7,,,,,,,,,,,,,,,,,,,,339.72,350.74,344.78,330.35,337.55,315.60,,,,,,,,,,,,,
2000-02-09 22:10:19.398000,L7,,,,,,,,,,,,,,,,,,357.08,310.43,340.17,365.38,361.43,335.59,346.78,318.01,,,,,440.01,434.80,429.41,429.47,433.56,,,,
2000-04-29 22:09:53.797000,L7,472.53,346.85,345.31,352.89,351.80,340.70,350.73,352.22,355.71,359.08,363.48,361.40,358.81,360.89,355.60,362.01,360.92,362.04,360.48,369.70,373.22,368.33,348.97,353.38,350.69,,,,,,,,,,,,,
2000-05-15 22:09:42.527000,L7,,,,,,,,,,,,,,,,,,,,312.06,361.85,336.52,330.15,340.35,,,,,,,,,,,,,,
2000-08-03 22:08:44.137000,L7,380.44,336.73,328.53,,,,,,,,,353.39,338.16,356.99,346.99,345.55,351.78,357.26,307.48,343.29,363.02,358.59,334.47,344.67,328.74,,,,,,,,,,,,,
2000-08-19 22:08:38.248000,L7,,,,,,,337.75,332.61,346.00,337.17,,352.06,336.48,352.63,309.03,347.59,349.18,357.06,306.79,332.74,361.90,353.24,331.06,341.55,332.82,,,,,,,,,,,,,
2000-09-04 22:08:22.800000,L7,,,374.99,424.73,349.42,343.32,423.15,433.01,356.62,355.78,363.81,362.76,363.74,363.95,354.69,360.53,366.64,367.52,363.69,370.48,373.13,366.94,351.06,353.35,350.39,395.66,345.56,358.52,360.62,361.50,359.93,345.85,,335.08,435.15,373.87,364.81,384.04
2000-09-20 22:08:03.348000,L7,346.50,335.39,305.58,,,,,,,,,,,,302.44,318.31,354.01,355.22,348.88,368.58,338.06,361.59,338.35,346.57,333.56,,,,,,,,,,,,,
2000-10-22 22:07:50.487000,L7,447.47,344.54,333.15,350.32,351.50,345.16,351.04,352.42,353.28,354.33,360.46,357.89,355.49,363.04,350.06,360.18,367.52,366.58,318.53,364.10,372.89,368.74,347.71,353.53,346.36,327.37,,,,,,,,,,,,
2000-11-07 22:07:53.532000,L7,333.89,325.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-27 22:07:54.461000,L7,,,,,,,337.22,331.40,345.59,,,,,359.91,352.50,344.94,335.07,357.79,301.37,339.67,355.24,,,,,336.05,,,,,,,,,,,359.03,366.90
2001-06-03 22:07:16.736000,L7,461.95,362.36,360.70,364.86,357.44,357.39,343.06,360.31,365.65,364.97,368.23,370.16,372.15,364.65,359.47,363.78,369.50,367.63,364.32,375.23,380.02,373.91,357.49,358.46,361.78,348.22,362.83,364.88,365.05,368.40,367.23,357.74,363.22,355.43,351.57,355.72,347.18,353.67
2001-06-19 22:07:05.722000,L7,346.18,341.82,302.40,,,,330.81,331.91,348.86,343.16,359.05,359.38,353.92,358.68,348.55,357.94,362.22,362.70,309.06,342.54,365.96,362.25,331.53,344.06,312.57,,,,,,,,,,,,,
2001-09-07 22:06:11.116000,L7,402.27,361.75,361.75,361.93,357.27,354.17,356.28,357.06,360.07,367.22,366.97,365.61,368.79,366.46,356.59,363.67,367.42,366.96,355.74,370.47,380.65,378.18,362.11,364.65,358.89,330.79,358.92,366.34,364.77,361.96,367.09,356.99,361.67,350.44,350.41,352.44,340.59,307.81
