dates,nzd0474-0000,nzd0474-0001,nzd0474-0002,nzd0474-0003,nzd0474-0004,nzd0474-0005,nzd0474-0006,nzd0474-0007,nzd0474-0008,nzd0474-0009,nzd0474-0010,nzd0474-0011,nzd0474-0012,nzd0474-0013,nzd0474-0014,nzd0474-0020,nzd0474-0021,nzd0474-0022,nzd0474-0023,nzd0474-0024,nzd0474-0025,nzd0474-0026,nzd0474-0027,nzd0474-0028,nzd0474-0029,nzd0474-0030,nzd0474-0043,nzd0474-0044,nzd0474-0045,nzd0474-0046,nzd0474-0047,nzd0474-0048,nzd0474-0054,nzd0474-0055,nzd0474-0015,nzd0474-0016,nzd0474-0017,nzd0474-0018,nzd0474-0019,nzd0474-0031,nzd0474-0032,nzd0474-0033,nzd0474-0034,nzd0474-0035,nzd0474-0036,nzd0474-0037,nzd0474-0038,nzd0474-0039,nzd0474-0040,nzd0474-0041,nzd0474-0042,nzd0474-0049,nzd0474-0050,nzd0474-0051,nzd0474-0052,nzd0474-0053,nzd0474-0056,nzd0474-0057,nzd0474-0058,nzd0474-0059,nzd0474-0060,nzd0474-0061,nzd0474-0062,nzd0474-0063,nzd0474-0064,nzd0474-0065,nzd0474-0066,nzd0474-0067,nzd0474-0068,nzd0474-0069,nzd0474-0070,nzd0474-0071,nzd0474-0072,satname
2001-07-14 22:03:33+00:00,294.2,299.53,283.74,281.16999999999996,291.78000000000003,278.41499999999996,294.6,304.07,282.71,279.475,297.3,289.16,274.99,292.72,281.03,271.8833333333334,272.77000000000004,279.8,287.43,269.71999999999997,271.4375,283.68,280.48333333333335,273.7875,291.81,277.78333333333336,275.1,256.07,273.6366666666667,274.83000000000004,318.4866666666667,308.25666666666666,306.6325,314.80499999999995,276.36,281.56333333333333,272.05,275.36,265.42333333333335,276.57666666666665,267.02,280.31333333333333,283.1466666666667,293.345,283.3633333333333,280.06666666666666,261.6266666666667,258.93,275.94,310.45,302.375,238.37333333333333,,289.30333333333334,293.005,297.365,308.575,296.47,,,,,,306.48,266.95,,,339.12,253.82,330.56,225.45,323.345,316.61,L7
2001-08-15 22:03:02+00:00,275.83500000000004,299.53,265.005,293.13666666666666,295.22,286.13666666666666,295.0133333333333,302.60333333333335,288.40333333333336,284.15000000000003,300.025,292.16499999999996,281.36333333333334,297.615,284.595,277.4925,274.7425,281.41999999999996,290.775,269.71999999999997,271.4375,283.68,283.4275,275.576,294.2925,281.7375,281.21500000000003,264.9875,281.8025,286.92,318.2675,306.69,306.6325,314.80499999999995,285.8933333333334,284.2475,278.845,277.05,270.6575,277.305,270.81,281.9375,285.9125,293.008,285.705,283.32,269.58500000000004,272.2866666666667,282.0875,305.565,299.46333333333337,227.85500000000002,,289.30333333333334,293.005,297.365,298.33666666666664,298.58500000000004,,,,,,306.48,266.95,,,339.12,253.82,330.40999999999997,225.45,323.1066666666667,315.72,L7
2001-11-03 22:02:34+00:00,279.32500000000005,313.49,267.005,300.33666666666664,297.6366666666667,291.59,295.63,299.70000000000005,298.345,294.40999999999997,301.7966666666667,294.4633333333333,285.93,303.69,295.995,277.96000000000004,267.9425,282.29249999999996,286.155,279.40333333333336,272.21666666666664,292.91,284.56666666666666,274.92,290.2066666666667,295.075,287.575,264.9075,282.89,286.92,317.88,305.5575,302.34000000000003,307.83,289.09,280.4633333333333,286.47,281.96000000000004,276.325,286.355,271.115,287.82500000000005,291.03999999999996,289.525,288.8575,288.015,283.77250000000004,278.8725,279.78,300.68,298.04499999999996,194.78250000000003,,271.52,306.36,291.885,297.84999999999997,298.34999999999997,289.53,307.8,295.62,,,,,,,,,330.26,,322.3933333333334,315.72,L7
2002-03-11 22:03:07+00:00,299.74,318.3,290.21500000000003,307.31,308.46500000000003,298.95000000000005,292.94,299.63,296.21,301.1,314.995,315.46500000000003,308.355,317.575,310.03,287.48,237.575,266.63,276.15,297.525,286.1,298.71,289.71,277.865,282.84,274.87,296.595,300.405,309.385,325.53,330.29,327.295,314.94,318.88,304.12,297.01,297.96500000000003,293.515,294.485,298.55,278.37,278.77,290.765,296.455,290.755,297.23,300.94500000000005,301.235,304.76,307.12,303.185,253.73,311.27,297.91,304.31,308.14,309.39,297.88,289.53,309.86,306.905,328.5,341.18,340.05,283.84,309.91,,342.46,238.46,,217.19,331.27,342.57,L7
2002-04-12 22:03:01+00:00,289.47333333333336,315.8666666666667,287.4766666666667,306.3833333333333,309.4533333333333,297.53333333333336,292.6166666666667,303.31333333333333,301.7233333333333,294.81333333333333,317.7033333333333,315.46500000000003,309.56333333333333,321.21999999999997,308.3433333333333,287.48,240.31333333333336,263.27666666666664,276.15,297.525,286.1,298.71,289.71,280.4266666666667,287.015,277.225,299.5133333333333,299.69,314.9666666666667,322.205,327.28,326.48,314.94,318.88,301.9866666666667,297.62666666666667,297.96500000000003,296.00666666666666,296.32,293.645,277.86,281.515,288.80333333333334,295.31666666666666,291.1233333333334,297.2966666666667,299.7,300.81,302.96999999999997,302.555,299.95666666666665,276.81333333333333,311.27,304.855,304.31,308.14,308.57666666666665,297.88,289.53,310.18,306.905,328.5,341.18,335.425,283.84,309.91,338.83,342.46,238.46,,274.68,332.9866666666667,342.57,L7
2002-05-14 22:02:55+00:00,283.62,306.7133333333333,270.0833333333333,307.8533333333333,306.55333333333334,296.34,291.0166666666667,299.3566666666666,300.93,297.42333333333335,315.91333333333336,308.7,309.4433333333333,318.93333333333334,305.4166666666667,293.465,251.8166666666667,264.26,294.305,293.93,294.65,295.395,289.62,278.95000000000005,286.28,279.8933333333334,304.3933333333334,305.4266666666667,319.58,319.4433333333333,327.5566666666667,329.99666666666667,313.365,316.0,310.2866666666667,297.7,298.765,289.93,302.04,288.2366666666667,277.67,282.51,287.6466666666667,294.2866666666667,290.73333333333335,294.5566666666667,296.78333333333336,297.4166666666667,298.69666666666666,304.4266666666667,300.68666666666667,309.68333333333334,301.725,299.81333333333333,295.40999999999997,298.47,310.115,,,311.37,318.19,328.5,339.15,335.425,283.84,309.91,332.875,341.69,238.46,,274.68,333.43333333333334,336.935,L7
2002-05-30 22:02:49+00:00,283.62,292.1825,266.0525,309.9175,303.77750000000003,294.71,289.885,296.12,298.4325,293.495,311.72249999999997,301.25,302.99,313.51,301.2975,291.83,259.32,269.735,298.8433333333333,292.8066666666667,291.7133333333333,294.46,288.8833333333333,280.28000000000003,291.1875,282.455,304.3175,304.6825,321.675,318.3775,326.765,329.1275,314.25666666666666,318.71,310.90000000000003,292.4325,293.59,284.41499999999996,298.78499999999997,284.90500000000003,277.4575,283.745,289.04,294.825,291.8825,296.035,296.5725,296.65,300.5525,306.3325,302.46250000000003,311.8125,304.93666666666667,297.9775,299.02666666666664,303.09,305.17,306.52,,311.37,318.19,328.5,339.15,321.18,274.04499999999996,295.485,335.5,341.99666666666667,238.46,339.94,295.06333333333333,332.395,336.935,L7
2002-06-15 22:02:43+00:00,283.62,292.1825,266.0525,308.534,301.006,291.726,289.885,296.12,298.4325,293.495,308.38199999999995,296.4975,296.02,307.92199999999997,295.52000000000004,288.9925,262.236,271.29,296.6075,292.725,289.925,294.3375,288.8833333333333,278.492,289.87399999999997,282.94,302.97400000000005,305.27200000000005,318.538,318.3775,326.765,329.1275,314.25666666666666,318.71,310.90000000000003,292.4325,293.59,284.41499999999996,293.548,280.596,275.27,283.204,285.506,294.078,291.044,293.102,296.31,293.052,299.16999999999996,300.32800000000003,302.46250000000003,311.8125,304.93666666666667,297.9775,299.02666666666664,303.09,305.17,306.52,,311.37,314.345,328.5,336.65333333333336,321.18,274.04499999999996,300.57666666666665,333.5075,338.865,237.04000000000002,337.72,304.7075,328.336,336.935,L7
2002-07-01 22:02:38+00:00,283.62,292.1825,266.0525,306.81,299.34166666666664,290.76,289.885,296.12,298.4325,293.495,304.5366666666667,292.606,293.575,307.92199999999997,295.52000000000004,287.206,264.825,273.8183333333333,295.688,290.53000000000003,289.43,292.392,288.8833333333333,276.06,288.885,282.94,298.5266666666667,302.035,313.4916666666667,315.16999999999996,323.872,329.1275,314.25666666666666,318.71,310.90000000000003,285.26,282.8025,284.41499999999996,291.58166666666665,279.045,274.83,283.13166666666666,283.66,292.615,289.95,290.965,294.6616666666667,291.305,298.4533333333333,300.32800000000003,302.46250000000003,311.8125,304.93666666666667,297.9775,299.02666666666664,303.09,305.17,306.52,,311.37,314.1933333333333,326.225,335.5525,321.18,274.04499999999996,300.57666666666665,333.5075,338.865,237.04000000000002,334.09,308.62,325.8916666666667,336.935,L7
2002-11-22 22:02:21+00:00,305.6,285.52,271.72,311.9125,296.28,290.555,287.555,300.495,288.945,287.78,297.62,287.9775,283.375,291.405,280.675,282.89750000000004,286.12,282.3875,291.975,284.1175,285.95000000000005,290.39000000000004,280.045,270.73749999999995,295.21000000000004,279.44666666666666,296.94,296.745,307.40333333333336,308.76,318.345,324.0,316.04,324.13,312.74,266.6,272.0466666666667,288.36,285.5875,271.83750000000003,271.395,277.9875,274.4475,290.9433333333333,269.1575,267.3075,292.54,285.1933333333333,289.41,294.18000000000006,307.79,318.65999999999997,311.36,296.86,306.26,310.945,295.28,306.52,,,312.19499999999994,323.95,333.1233333333334,315.735,264.25,295.90999999999997,332.4066666666667,336.04,235.62,334.09,331.2466666666666,319.0425,,L7
