dates,satname,nzd0474-0000,nzd0474-0001,nzd0474-0002,nzd0474-0003,nzd0474-0004,nzd0474-0005,nzd0474-0006,nzd0474-0007,nzd0474-0008,nzd0474-0009,nzd0474-0010,nzd0474-0011,nzd0474-0012,nzd0474-0013,nzd0474-0014,nzd0474-0015,nzd0474-0016,nzd0474-0017,nzd0474-0018,nzd0474-0019,nzd0474-0020,nzd0474-0021,nzd0474-0022,nzd0474-0023,nzd0474-0024,nzd0474-0025,nzd0474-0026,nzd0474-0027,nzd0474-0028,nzd0474-0029,nzd0474-0030,nzd0474-0031,nzd0474-0032,nzd0474-0033,nzd0474-0034,nzd0474-0035,nzd0474-0036,nzd0474-0037,nzd0474-0038,nzd0474-0039,nzd0474-0040,nzd0474-0041,nzd0474-0042,nzd0474-0043,nzd0474-0044,nzd0474-0045,nzd0474-0046,nzd0474-0047,nzd0474-0048,nzd0474-0049,nzd0474-0050,nzd0474-0051,nzd0474-0052,nzd0474-0053,nzd0474-0054,nzd0474-0055,nzd0474-0056,nzd0474-0057,nzd0474-0058,nzd0474-0059,nzd0474-0060,nzd0474-0061,nzd0474-0062,nzd0474-0063,nzd0474-0064,nzd0474-0065,nzd0474-0066,nzd0474-0067,nzd0474-0068,nzd0474-0069,nzd0474-0070,nzd0474-0071,nzd0474-0072
1999-08-26 22:07:08.722000,L7,,,,294.85,298.50,291.19,290.06,291.72,296.66,274.75,303.67,292.16,281.95,299.01,287.81,,,,,276.42,287.83,290.86,289.36,302.83,289.48,285.38,289.55,267.69,273.59,287.08,276.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-30 22:06:59.059000,L7,,,,288.80,291.46,279.79,275.11,280.88,280.65,277.79,300.07,289.67,288.29,294.85,284.72,378.02,346.02,349.00,376.41,377.89,382.76,373.04,366.40,340.44,369.51,365.00,371.37,363.57,350.07,352.15,354.70,358.82,344.25,274.87,276.50,280.44,302.74,297.12,272.59,270.17,281.61,268.87,289.72,278.64,293.41,296.82,305.59,318.08,312.32,270.35,,,269.85,294.60,312.42,316.39,309.47,299.66,301.93,292.78,,,,,,,,,,,,,
1999-12-16 22:07:09.748000,L7,312.99,311.33,291.28,295.10,300.15,285.28,280.43,284.30,283.13,284.85,306.56,302.96,296.58,302.09,297.29,373.44,360.82,359.94,380.44,382.32,277.26,272.80,271.98,281.42,279.18,354.81,366.59,364.88,362.73,275.38,270.91,287.49,277.53,288.13,351.38,365.12,350.10,363.58,344.64,372.40,377.01,367.52,371.09,376.82,390.84,384.48,386.93,391.53,394.64,372.56,384.67,383.16,378.87,320.56,328.23,337.38,329.84,311.32,309.46,319.19,323.90,332.92,337.40,339.20,345.02,345.08,347.89,347.16,343.90,354.43,350.70,334.82,321.09
2000-03-21 22:06:49.022000,L7,,,,,,,,264.20,298.90,285.52,307.79,306.83,303.98,306.82,304.52,295.74,285.51,286.83,292.24,322.01,302.49,284.10,288.54,313.20,306.28,300.20,304.48,291.20,282.25,305.78,293.49,300.11,291.89,288.77,299.94,294.17,303.37,307.05,307.29,316.39,313.63,306.00,304.16,293.96,306.92,312.96,325.12,329.38,332.66,329.70,317.29,316.49,298.06,319.32,325.76,331.75,331.30,312.44,312.96,302.52,,,,335.37,335.77,346.47,344.26,340.42,351.53,352.48,342.79,342.32,340.88
2000-05-08 22:06:20.956000,L7,,,,339.64,337.13,316.11,323.22,331.57,341.54,350.63,354.29,345.10,334.78,343.13,340.96,335.88,322.29,314.39,296.29,319.42,316.83,297.37,312.24,318.21,313.83,311.00,312.96,308.62,309.88,312.43,306.02,305.84,305.92,307.11,308.18,312.55,311.94,319.51,314.99,319.16,319.86,320.65,322.64,319.04,325.16,332.49,332.21,340.36,343.47,339.79,324.04,317.50,321.50,318.62,320.71,324.55,330.49,325.54,322.78,313.96,322.28,334.47,337.52,349.38,349.26,351.32,345.61,354.62,350.10,348.35,349.54,346.28,345.52
2000-06-25 22:05:55.844000,L7,,,,336.70,317.44,315.06,319.04,314.20,325.87,330.25,335.27,305.75,332.52,312.01,302.18,317.53,296.57,317.96,287.19,322.71,291.18,292.04,,315.27,310.23,299.71,317.19,292.05,304.11,308.60,318.32,293.16,300.58,307.89,312.80,309.04,298.76,297.26,,,297.93,304.76,319.49,313.23,324.32,338.28,358.53,342.41,353.43,337.74,326.89,322.25,316.01,322.24,329.46,334.19,321.47,315.11,329.76,321.20,,345.02,348.52,345.82,296.97,344.79,349.57,343.33,356.20,350.03,344.28,334.54,339.55
2000-07-27 22:05:24.302000,L7,,,,328.58,316.66,309.55,310.18,311.36,317.61,310.50,320.43,307.70,312.42,319.15,332.20,304.68,297.51,301.89,289.04,303.02,294.64,287.04,296.92,303.39,300.93,304.27,300.43,295.23,297.59,307.08,322.36,293.82,289.35,349.15,353.77,358.39,347.96,310.59,307.80,315.19,314.69,299.41,318.04,312.06,312.43,317.98,322.36,344.49,340.68,334.16,326.12,326.96,323.14,323.47,331.11,332.98,323.14,,,,,,,344.96,347.59,347.93,355.75,318.73,363.72,383.18,378.64,338.42,351.61
2000-08-12 22:05:17.927000,L7,,,,318.96,310.79,296.29,296.00,301.38,302.00,288.37,314.14,307.88,298.73,388.96,377.15,365.98,355.28,360.90,361.23,392.32,381.84,,,309.22,305.17,302.81,301.53,293.84,300.52,307.68,357.33,368.60,347.66,346.95,347.62,350.52,369.19,300.10,300.69,310.82,317.73,312.13,309.97,290.34,300.37,311.27,316.84,330.58,329.31,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-18 22:04:37.758000,L7,353.04,366.40,366.25,282.63,285.07,268.23,267.78,276.07,278.84,273.34,300.45,379.75,367.99,380.81,373.24,368.25,365.18,358.98,368.94,358.53,358.12,352.49,358.50,360.70,351.60,341.90,340.60,333.33,337.40,338.87,337.07,333.45,331.33,342.77,319.63,317.89,344.12,329.49,325.04,342.46,337.46,264.76,287.42,278.63,294.55,303.39,306.67,317.49,360.84,342.78,294.59,289.84,299.07,311.90,313.75,326.52,344.65,,,,,,,,,,,,,372.35,374.83,379.55,343.47
2001-01-03 22:04:36.218000,L7,297.75,301.34,279.77,286.95,292.55,271.30,273.25,281.45,281.22,279.18,301.99,294.79,287.23,295.28,289.61,,,376.98,375.71,382.72,372.49,318.16,,371.23,266.80,270.62,266.82,265.55,263.21,265.04,259.16,270.24,266.20,272.78,273.72,285.39,279.05,279.96,268.73,274.94,289.75,269.25,290.03,280.00,305.32,307.35,311.80,313.36,342.21,315.47,310.32,299.34,315.68,318.36,313.97,319.49,310.24,347.84,,,,,,,,,,,,,,,
