dates,satname,nzd0036-0000,nzd0036-0001,nzd0036-0002,nzd0036-0003,nzd0036-0004,nzd0036-0005,nzd0036-0006,nzd0036-0007,nzd0036-0008,nzd0036-0009,nzd0036-0010,nzd0036-0011
1999-07-25 22:04:15.362000,L7,389.13,349.24,283.93,283.31,293.93,296.35,296.41,305.75,313.35,308.59,295.67,
1999-08-17 22:10:26.276000,L7,394.15,360.91,300.11,315.39,310.37,303.17,302.80,305.97,315.29,303.66,297.49,
1999-09-27 22:04:25.056000,L7,,377.18,374.96,371.47,345.48,331.09,340.07,337.88,343.32,335.96,321.80,309.63
1999-10-04 22:10:38.131000,L7,334.45,337.41,290.04,296.44,300.18,301.28,304.06,305.24,310.58,300.75,374.83,357.59
1999-10-13 22:04:24.936000,L7,383.81,346.82,312.61,296.68,293.77,293.39,299.51,305.27,307.32,302.78,289.85,
1999-11-14 22:04:18.343000,L7,365.02,312.45,261.54,,,,,,,,,
1999-11-21 22:10:24.244000,L7,334.53,329.17,293.82,289.68,271.64,283.15,282.74,284.19,,,,292.20
2000-01-17 22:04:11.868000,L7,,,319.74,374.44,380.36,377.92,301.81,309.54,316.82,320.88,,337.80
2000-02-09 22:10:19.398000,L7,392.36,367.08,364.19,306.22,270.68,304.60,304.18,309.91,313.61,309.54,306.15,303.32
2000-02-18 22:04:05.276000,L7,415.69,305.18,269.46,280.30,,,,,,,,
2000-04-29 22:09:53.797000,L7,392.50,376.53,372.43,386.87,370.69,364.30,306.58,310.40,373.54,368.45,359.11,349.88
2000-05-15 22:09:42.527000,L7,,,298.44,345.21,315.72,,367.30,311.62,316.99,319.99,312.88,344.01
2000-05-24 22:03:22.722000,L7,,,,,,,375.25,373.82,365.43,349.72,361.16,340.00
2000-08-03 22:08:44.137000,L7,409.08,367.18,353.15,372.16,356.27,346.54,337.26,324.32,323.57,327.82,299.67,298.37
2000-08-12 22:02:30.151000,L7,387.16,352.61,278.13,285.32,286.64,287.20,293.93,300.73,309.91,307.57,289.56,
2000-08-19 22:08:38.248000,L7,333.02,329.84,286.15,297.10,320.39,301.94,305.02,305.69,297.60,285.33,,
2000-09-04 22:08:22.800000,L7,386.47,353.97,297.43,324.98,328.50,386.80,369.96,304.32,311.74,308.71,291.40,297.96
2000-10-22 22:07:50.487000,L7,396.25,337.39,318.91,314.72,294.84,266.54,,,,,,
2000-11-07 22:07:53.532000,L7,,,367.64,314.38,376.64,358.01,360.47,355.95,355.94,348.21,311.46,
2001-02-27 22:07:54.461000,L7,366.55,366.22,363.74,346.61,,,,349.80,320.24,311.01,299.92,
2001-03-08 22:01:45.126000,L7,346.06,331.41,262.33,,,297.32,289.45,294.32,302.18,299.59,,
2001-03-24 22:01:35.778000,L7,388.61,353.38,270.80,282.12,291.45,288.71,293.61,304.52,310.41,310.29,313.39,320.76
2001-06-03 22:07:16.736000,L7,388.81,344.22,319.52,327.56,327.17,318.54,325.39,334.53,336.42,347.88,333.36,339.96
2001-06-19 22:07:05.722000,L7,348.60,349.68,327.56,320.21,324.07,312.31,313.06,325.35,338.09,317.99,297.87,
2001-06-28 22:00:45.094000,L7,,377.32,339.36,309.57,320.47,333.72,320.52,336.47,341.29,349.15,309.46,323.37
2001-08-15 22:00:14.727000,L7,,,375.21,364.99,371.48,360.12,303.30,311.73,325.02,373.55,374.60,383.33
2001-09-07 22:06:11.116000,L7,344.62,344.30,309.40,309.54,313.70,308.59,305.51,305.08,311.05,292.91,,
