dates,nzd0036-0000,nzd0036-0001,nzd0036-0002,nzd0036-0003,nzd0036-0004,nzd0036-0005,nzd0036-0006,nzd0036-0007,nzd0036-0008,nzd0036-0009,nzd0036-0010,nzd0036-0011
1999-07-25 22:04:15+00:00,,,,280.8,261.43,291.72,292.31,300.62,,308.19,,
1999-08-17 22:10:26+00:00,322.03,326.02,289.28,285.775,275.885,293.47,294.21000000000004,299.095,,308.19,,
1999-09-27 22:04:25+00:00,341.085,330.335,294.72,290.9866666666667,270.09666666666664,299.06,295.24666666666667,300.00666666666666,309.93,306.11,234.16,
1999-10-04 22:10:38+00:00,341.085,330.335,294.72,290.9866666666667,270.09666666666664,301.66,299.58500000000004,304.1075,314.58000000000004,320.1933333333333,234.16,
1999-10-13 22:04:24+00:00,341.085,330.335,294.72,290.9866666666667,270.09666666666664,301.66,299.58500000000004,304.1075,314.58000000000004,320.1933333333333,234.16,340.69
1999-11-14 22:04:18+00:00,345.02,327.3,282.9433333333333,290.065,266.1825,300.76000000000005,299.22200000000004,303.64,314.6433333333334,317.59749999999997,247.25,326.225
2000-02-09 22:10:19+00:00,340.0775,331.11,286.1075,283.27250000000004,272.03499999999997,302.846,301.85600000000005,305.272,313.5725,316.5525,247.39999999999998,326.225
2000-04-29 22:09:53+00:00,339.07,335.63000000000005,286.62999999999994,283.7966666666667,282.2,303.27,303.7266666666667,309.37999999999994,315.5933333333333,308.60333333333335,254.01999999999998,311.76
2000-05-24 22:03:22+00:00,325.25,346.25,290.72333333333336,283.5233333333333,295.1133333333333,303.01666666666665,303.68666666666667,309.1066666666666,316.34666666666664,308.0,247.7,
2000-08-03 22:08:44+00:00,325.115,338.8225,289.02750000000003,280.36749999999995,294.80999999999995,300.815,303.68666666666667,296.995,316.34666666666664,308.0,247.7,
2000-08-12 22:02:30+00:00,324.98,338.57500000000005,286.83666666666664,288.9475,287.98,295.8375,300.21666666666664,294.9425,315.72333333333336,309.92,,
2000-09-04 22:08:22+00:00,319.495,332.624,283.355,283.482,285.48999999999995,290.584,300.21666666666664,294.9425,315.72333333333336,309.92,,275.49
2001-03-24 22:01:35+00:00,,364.29,,,,,,,307.06,306.14,220.96,
2001-06-03 22:07:16+00:00,328.45,354.20500000000004,305.58,317.48,317.66,312.45,312.26,319.12,313.84000000000003,305.585,220.96,
2001-06-19 22:07:05+00:00,330.48,351.1933333333333,309.565,316.645,315.5,311.735,312.255,320.91499999999996,317.94666666666666,309.6066666666666,220.96,
2001-06-28 22:00:45+00:00,330.48,351.1933333333333,309.565,311.6033333333333,313.74,308.65000000000003,309.66,315.19,316.375,312.45,220.96,
2001-09-07 22:06:11+00:00,327.2733333333333,346.725,305.1933333333333,309.28,308.4425,305.8925,305.71000000000004,302.72,313.38,312.45,220.96,
2001-12-05 21:59:55+00:00,326.68499999999995,329.25,291.9566666666667,302.14,292.98,300.71999999999997,302.1975,291.4975,313.73249999999996,309.31666666666666,244.63,307.03
2002-01-22 22:00:16+00:00,344.58000000000004,315.74333333333334,277.56333333333333,293.35333333333335,267.29333333333335,292.5933333333333,296.8,282.67,310.90000000000003,301.03999999999996,247.64999999999998,310.54999999999995
2002-01-29 22:06:21+00:00,339.44,320.235,280.57,295.545,271.0825,291.9425,296.8,282.67,310.90000000000003,301.03999999999996,247.64999999999998,304.49666666666667
2002-02-14 22:06:29+00:00,339.44,320.235,280.57,295.545,271.0825,291.9425,307.1425,295.825,316.47749999999996,306.24666666666667,247.64999999999998,304.49666666666667
2002-03-27 22:00:13+00:00,348.73,326.61,275.9625,292.34749999999997,261.745,290.36,308.1275,306.5775,319.98499999999996,308.8825,235.46,304.49666666666667
2002-06-15 21:59:55+00:00,348.73,333.52,280.83500000000004,293.85249999999996,269.97,292.125,307.95,312.2525,317.1275,313.49,230.875,303.23
2002-06-22 22:06:03+00:00,343.74666666666667,333.52,287.21,298.39399999999995,280.506,296.506,310.726,312.2525,320.13800000000003,315.054,230.875,303.23
2002-07-01 21:59:51+00:00,346.765,332.5,285.9633333333333,296.87166666666667,282.425,296.07666666666665,306.67333333333335,305.966,316.695,315.054,230.875,303.23
2002-08-18 21:59:33+00:00,344.79999999999995,341.37999999999994,295.302,297.57000000000005,289.645,299.5175,300.885,295.3566666666666,312.84250000000003,315.2833333333333,211.08,
2003-01-09 21:59:45+00:00,368.09,306.54,300.70500000000004,290.6,,295.87,298.4,304.19,313.18,,,
2003-04-22 22:06:19+00:00,368.09,306.54,280.72,290.6,,295.87,308.47,312.85,320.025,,,
2003-05-24 22:06:17+00:00,347.32,321.225,288.20000000000005,297.47,307.96,300.635,308.9866666666667,312.7033333333333,317.9266666666667,,,
2003-07-28 21:48:04+00:00,315.53,335.91,295.68,304.34,307.96,305.4,314.28000000000003,316.96000000000004,320.29999999999995,,,
2003-08-29 21:48:38+00:00,315.53,329.85,307.41499999999996,314.04999999999995,319.685,317.44,318.43,321.03000000000003,326.1066666666666,335.33,,
2003-09-30 21:49:06+00:00,315.12333333333333,316.0133333333333,293.49333333333334,300.99,319.685,317.44,318.43,321.03000000000003,326.1066666666666,335.33,,
2004-06-12 21:52:47+00:00,297.0,275.11,240.92,242.08,,,,,,,,
2004-07-30 21:54:04+00:00,296.195,273.255,242.18,243.26,,,,,,,,
2004-11-03 21:56:19+00:00,320.0566666666667,292.28,265.5933333333333,267.6333333333333,326.16,324.2,325.5,333.86,336.97,327.23,,328.99
2004-11-19 21:56:31+00:00,324.8225,295.6975,269.625,272.715,312.77,309.36,308.435,311.355,316.99,309.36,245.83,315.02
