dates,nzd0125-0000,nzd0125-0001,nzd0125-0002,nzd0125-0003,nzd0125-0004,nzd0125-0005,nzd0125-0006,nzd0125-0007,nzd0125-0008,nzd0125-0009,nzd0125-0010,nzd0125-0011,nzd0125-0012,nzd0125-0013,nzd0125-0014,nzd0125-0015,nzd0125-0016,nzd0125-0017,nzd0125-0018,nzd0125-0019,nzd0125-0020,nzd0125-0021,nzd0125-0022,nzd0125-0023,nzd0125-0024,nzd0125-0025,nzd0125-0026
2002-03-27 22:00:37+00:00,343.22333333333336,284.64,277.85,331.63,339.03,260.78,270.14,346.03499999999997,302.03,300.225,288.47,287.2025,351.59,,315.49,293.275,240.47,228.29,232.425,240.735,251.185,261.6333333333334,272.6266666666667,360.02,278.24666666666667,273.1133333333333,338.11
2002-04-12 22:00:37+00:00,344.07500000000005,284.64,277.85,310.975,336.19999999999993,260.78,270.14,348.42,256.51,265.46,305.93,297.28,354.125,383.79,315.49,293.275,246.52,236.67,237.44,246.8,257.33,263.67500000000007,274.36,363.40999999999997,284.20000000000005,279.03999999999996,338.11
2002-05-23 21:54:18+00:00,345.6666666666667,290.695,284.3,300.5933333333333,336.19999999999993,261.53499999999997,270.515,348.42,258.64,265.975,310.2925,307.2375,350.9866666666667,367.52,315.49,278.9433333333333,248.70499999999998,232.95999999999998,237.65,247.22,253.52000000000004,263.5166666666667,273.68333333333334,363.40999999999997,284.20000000000005,279.03999999999996,338.11
2002-06-15 22:00:19+00:00,345.6666666666667,290.695,284.3,300.5933333333333,336.19999999999993,261.53499999999997,270.515,348.42,258.64,265.975,316.454,314.456,352.615,362.58666666666664,323.8066666666667,278.9433333333333,248.70499999999998,232.95999999999998,237.65,247.22,253.52000000000004,263.5166666666667,273.68333333333334,363.3433333333333,284.20000000000005,279.03999999999996,338.11
2002-07-17 22:00:08+00:00,357.3966666666667,294.345,286.4,291.9575,336.19999999999993,260.165,270.075,348.42,258.16999999999996,263.51,331.1875,326.35749999999996,352.615,362.58666666666664,323.8066666666667,270.35249999999996,248.82999999999998,228.53,236.115,245.93,248.735,261.57666666666665,272.5133333333333,363.3433333333333,296.74,287.19,338.11
2002-08-18 21:59:57+00:00,357.3966666666667,294.345,281.99,266.14,334.14,251.99,270.075,,253.41666666666666,260.93666666666667,329.3,326.84,357.71000000000004,362.58666666666664,329.20500000000004,253.1025,245.43666666666664,226.31333333333336,233.15333333333334,242.58666666666667,246.1833333333333,259.855,272.5133333333333,365.005,296.74,287.19,341.03
2002-08-27 21:53:36+00:00,357.3966666666667,294.345,281.99,266.14,333.855,251.99,270.075,337.56,275.90999999999997,277.1975,326.27750000000003,326.16,352.295,358.3,330.83,253.1025,245.43666666666664,245.59,251.555,259.71,263.58,271.158,287.8475,357.59666666666664,296.74,287.19,332.35
2002-09-19 21:59:35+00:00,352.62,296.8233333333333,280.77,266.88599999999997,333.855,252.4625,268.63666666666666,337.56,275.90999999999997,277.1975,329.486,330.27,357.102,358.3,330.83,250.858,245.685,245.59,259.076,259.71,263.58,271.158,287.8475,357.59666666666664,296.74,272.21500000000003,335.08666666666664
2002-10-14 21:53:19+00:00,353.3033333333333,296.8233333333333,280.77,267.53999999999996,333.57,252.4625,268.63666666666666,351.66999999999996,294.146,294.88800000000003,331.0025,337.8175,358.262,349.80333333333334,337.26,243.38,245.685,245.59,259.076,259.71,263.58,288.228,292.91,352.995,,257.24,335.08666666666664
2002-10-21 21:59:36+00:00,353.3033333333333,296.8233333333333,280.77,267.53999999999996,315.725,252.4625,277.225,351.66999999999996,306.26666666666665,302.88166666666666,334.01,339.39,355.87166666666667,350.6125,338.4533333333333,258.996,261.422,260.25,270.345,275.504,278.37,295.17833333333334,305.175,355.1933333333333,,295.655,335.08666666666664
