dates,nzd0176-0000,nzd0176-0001,nzd0176-0002,nzd0176-0003,nzd0176-0004,nzd0176-0005,nzd0176-0006,nzd0176-0007,nzd0176-0008,nzd0176-0009,nzd0176-0010,nzd0176-0011,nzd0176-0012,nzd0176-0013,nzd0176-0014,nzd0176-0015,nzd0176-0016,nzd0176-0017,nzd0176-0018,nzd0176-0019,nzd0176-0020,nzd0176-0021,nzd0176-0022,nzd0176-0023,nzd0176-0024,nzd0176-0025,nzd0176-0026,nzd0176-0027,nzd0176-0028,nzd0176-0029,nzd0176-0030,nzd0176-0031,nzd0176-0032,nzd0176-0033,nzd0176-0034,nzd0176-0035,nzd0176-0036,nzd0176-0037,nzd0176-0038,nzd0176-0039,nzd0176-0040,nzd0176-0041,satname
1999-09-20 21:58:32+00:00,,,365.07,,,,248.08,,347.92,350.45,355.43,352.92,305.08,285.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-22 21:58:28+00:00,,,365.07,,,,262.39,,345.21500000000003,335.29499999999996,341.07500000000005,339.595,320.905,302.615,310.54,271.29,317.46,315.54,319.46,326.74,,,225.93,176.48,297.36,300.58,317.82,313.12,313.08,315.74,313.5,,,,,,,,,,,,L7
1999-12-09 21:58:57+00:00,,,346.275,,,,262.39,286.16,344.8633333333334,329.31666666666666,330.22333333333336,339.595,316.28,309.32,310.54,271.29,317.46,315.54,319.46,323.83000000000004,322.35,311.91,225.93,176.48,297.36,300.58,317.82,313.12,313.08,315.74,313.5,,,,,,,,,,,,L7
2000-02-27 21:58:40+00:00,,,346.275,,,,262.39,287.8,341.695,325.3025,329.18,334.45,313.66999999999996,313.03,310.54,271.29,317.46,315.54,319.46,322.5833333333333,322.81,310.615,227.555,176.48,297.36,300.58,317.82,313.12,313.08,315.74,313.5,,,,,,,,,,,,L7
2000-03-14 21:58:11+00:00,,,346.275,,,,262.39,298.74666666666667,342.39,331.808,329.18,332.04,315.8,315.994,300.99,275.52,312.995,314.76,320.83,321.2,321.71666666666664,304.4066666666667,223.16666666666666,187.265,297.355,300.1,321.89,315.95500000000004,307.49,320.3,317.65999999999997,,,,,,,,,,,,L7
2000-03-30 21:58:09+00:00,,,327.48,,,,276.7,310.955,341.0075,327.1475,320.43,325.08,318.48,323.6575,300.99,275.52,318.81666666666666,322.91,325.18666666666667,324.76,326.41999999999996,304.4066666666667,223.16666666666666,203.86333333333334,300.28000000000003,306.68666666666667,334.43666666666667,315.95500000000004,307.49,320.3,317.65999999999997,343.79,329.13,334.43,343.3,348.34,325.14,330.71,322.23,316.0,302.62,,L7
2000-08-05 21:56:44+00:00,,,,,,,,319.21999999999997,338.68,335.54499999999996,326.05,324.485,315.08000000000004,326.005,291.44,279.75,319.495,326.595,328.04999999999995,325.37999999999994,327.7766666666666,300.655,221.785,217.555,301.74,309.74,334.1933333333333,320.38,293.205,318.65,309.955,343.79,329.13,334.43,343.3,348.34,325.14,330.71,322.23,316.0,302.62,,L7
2001-01-12 21:56:06+00:00,,,,348.57,,333.55,,319.04,341.73,333.39,347.42,330.94,315.84,325.42,,,326.47,323.3,325.02,333.12,321.47,312.55,,244.54,301.32,303.04,322.67999999999995,320.4,303.15999999999997,314.90999999999997,305.2,339.67,322.08,330.83,340.24,323.67,,,,,,,L7
2001-06-05 21:55:40+00:00,,,,348.57,,333.55,294.5,309.71500000000003,341.73,333.39,347.42,330.94,315.84,325.42,,,326.47,323.3,325.02,325.64,319.82000000000005,312.55,,244.54,301.32,305.90999999999997,330.615,328.55499999999995,329.095,317.43,316.305,333.565,322.08,330.83,340.24,323.67,,,,,,,L7
2001-06-21 21:55:29+00:00,,,,348.57,,333.55,297.32000000000005,321.76666666666665,341.73,333.39,347.42,330.94,315.84,325.42,,,326.47,308.385,322.21500000000003,326.2633333333333,322.79333333333335,312.55,227.9,244.54,292.475,304.72333333333336,330.24333333333334,329.74,329.09666666666664,320.58,310.67333333333335,333.565,314.66999999999996,332.78499999999997,340.045,324.20000000000005,304.36,,,,,,L7
