dates,satname,nzd0176-0000,nzd0176-0001,nzd0176-0002,nzd0176-0003,nzd0176-0004,nzd0176-0005,nzd0176-0006,nzd0176-0007,nzd0176-0008,nzd0176-0009,nzd0176-0010,nzd0176-0011,nzd0176-0012,nzd0176-0013,nzd0176-0014,nzd0176-0015,nzd0176-0016,nzd0176-0017,nzd0176-0018,nzd0176-0019,nzd0176-0020,nzd0176-0021,nzd0176-0022,nzd0176-0023,nzd0176-0024,nzd0176-0025,nzd0176-0026,nzd0176-0027,nzd0176-0028,nzd0176-0029,nzd0176-0030,nzd0176-0031,nzd0176-0032,nzd0176-0033,nzd0176-0034,nzd0176-0035,nzd0176-0036,nzd0176-0037,nzd0176-0038,nzd0176-0039,nzd0176-0040,nzd0176-0041
1999-09-20 21:58:32.521000,L7,348.64,363.57,365.07,364.56,367.94,347.32,248.08,292.91,347.92,350.45,355.43,352.92,305.08,285.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-22 21:58:28.758000,L7,372.45,372.88,371.60,371.86,371.33,352.99,276.70,331.68,342.51,320.14,326.72,326.27,336.73,319.89,310.54,271.29,317.46,315.54,319.46,326.74,239.59,237.32,225.93,176.48,297.36,300.58,317.82,313.12,313.08,315.74,313.50,,,,,,,,,,,
1999-12-09 21:58:33.708000,L7,269.02,323.73,328.06,355.79,352.84,337.99,136.69,283.76,341.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-09 21:58:57.676000,L7,267.09,291.96,327.48,356.29,352.96,338.19,176.47,286.16,344.16,317.36,308.52,279.74,307.03,322.73,,,,,,320.92,322.35,311.91,,,,,,,,,,,,,,,,,,,,
2000-01-10 21:58:52.465000,L7,,344.98,344.71,260.29,338.50,,,,,,,265.57,269.73,286.58,358.03,300.60,338.41,382.55,,,267.35,335.33,265.17,237.89,301.10,310.99,332.89,333.51,322.28,338.86,325.93,332.69,335.29,343.49,348.39,346.03,312.50,296.60,294.09,313.64,303.41,
2000-02-27 21:58:16.566000,L7,,,373.42,370.02,370.82,356.43,323.30,346.75,367.32,382.34,385.00,374.29,370.65,367.32,321.65,277.15,323.46,329.55,327.91,331.19,332.07,328.26,298.15,193.08,303.04,304.00,319.24,313.98,313.36,319.63,314.53,323.38,323.67,331.08,335.51,332.10,,,,,,
2000-02-27 21:58:40.521000,L7,,371.91,368.92,364.61,365.66,350.82,247.68,289.44,332.19,313.26,326.05,324.16,305.84,324.16,,,,,,320.09,323.27,309.32,229.18,,,,,,,,,,,,,,,,,,,
2000-03-14 21:58:11.336000,L7,363.22,365.96,365.17,360.18,358.73,344.61,175.15,320.64,345.17,357.83,372.08,324.81,324.32,327.85,291.44,279.75,308.53,313.98,322.20,317.05,319.53,291.99,214.39,198.05,297.35,299.62,325.96,318.79,301.90,324.86,321.82,278.68,,,,,,,,,,
2000-03-14 21:58:35.291000,L7,361.00,364.94,363.06,358.58,356.73,343.43,126.56,286.90,341.63,318.73,326.36,322.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:58:09.573000,L7,,,,,,,328.06,347.58,374.05,378.19,382.59,372.42,374.67,366.87,369.09,372.32,330.46,339.21,333.90,339.00,340.53,342.07,323.06,237.06,306.13,319.86,359.53,373.97,361.44,376.99,366.07,343.79,329.13,334.43,343.30,348.34,325.14,330.71,322.23,316.00,302.62,
