dates,satname,nzd0572-0000,nzd0572-0001,nzd0572-0002,nzd0572-0003,nzd0572-0004,nzd0572-0005,nzd0572-0006,nzd0572-0007,nzd0572-0008,nzd0572-0009,nzd0572-0010,nzd0572-0011
1999-07-25 22:05:51.165000,L7,226.78,239.20,228.80,239.84,232.54,209.50,213.01,222.62,235.26,243.37,224.20,222.20
1999-08-26 22:06:20.800000,L7,207.81,216.71,217.96,201.44,188.93,170.04,157.31,188.15,204.81,212.30,208.19,203.02
1999-09-20 22:00:08.403000,L7,319.61,276.24,286.37,289.63,284.64,313.15,326.58,294.14,294.14,313.69,324.11,282.11
1999-09-27 22:06:00.877000,L7,205.45,218.98,162.24,156.79,86.25,76.18,194.20,211.06,211.65,209.69,209.97,205.05
1999-10-22 22:00:04.598000,L7,221.00,215.63,142.86,270.88,337.02,364.62,353.99,,286.38,252.18,231.29,218.82
1999-11-30 22:05:47.159000,L7,108.92,204.77,208.79,189.68,191.67,181.94,168.94,183.82,187.05,192.71,196.96,156.36
1999-12-09 22:00:09.551000,L7,254.29,258.75,264.74,260.89,258.46,259.05,260.59,262.77,255.43,267.38,262.50,264.18
1999-12-16 22:05:57.846000,L7,255.16,258.18,259.00,259.75,268.77,256.56,251.64,268.29,249.71,247.00,246.15,239.35
1999-12-25 22:00:04.067000,L7,222.84,226.05,230.60,215.49,224.44,216.22,213.89,222.61,224.20,227.69,220.11,217.22
2000-01-26 22:00:02.226000,L7,272.53,256.07,261.02,260.91,257.30,254.79,253.56,259.97,260.68,259.78,254.62,248.69
2000-02-11 21:59:57.866000,L7,270.95,257.26,263.45,254.88,250.30,252.63,250.88,252.18,252.61,257.28,251.88,246.21
2000-02-27 21:59:52.393000,L7,261.19,250.66,254.34,256.85,254.33,253.93,250.24,256.87,253.75,258.86,255.62,245.87
2000-03-30 21:59:45.397000,L7,218.70,216.86,218.60,212.96,209.21,200.66,174.11,209.48,218.38,214.26,219.25,215.41
2000-05-01 21:59:30.586000,L7,220.73,238.62,227.84,231.66,225.00,226.26,215.98,224.63,232.27,224.20,230.13,225.99
2000-05-08 22:05:09.063000,L7,,,112.41,157.88,26.47,44.24,174.01,190.91,181.57,99.52,,
2000-05-24 22:04:58.537000,L7,214.12,212.43,158.10,201.37,211.39,201.91,172.04,207.32,204.30,204.58,213.75,210.17
2000-06-18 21:59:03.789000,L7,210.35,179.75,214.76,207.24,204.30,140.92,161.41,172.97,177.53,198.51,201.27,
2000-07-04 21:58:50.402000,L7,132.72,216.77,212.42,205.35,206.11,157.84,141.96,132.19,138.42,68.38,31.67,146.45
2000-08-05 21:58:20.584000,L7,211.79,216.89,162.55,73.92,204.83,187.27,64.21,82.63,123.04,55.20,31.69,130.76
2000-09-13 22:04:02.015000,L7,,,103.98,174.09,159.85,174.35,179.58,182.99,204.41,205.23,198.34,196.73
2000-10-24 21:57:29.684000,L7,218.14,231.59,226.23,213.33,221.50,219.05,216.39,225.56,212.35,209.19,211.92,217.00
2000-11-09 21:57:33.274000,L7,224.43,225.12,230.43,218.04,224.91,221.29,215.56,224.24,229.61,229.93,225.51,220.70
2000-11-25 21:57:34.931000,L7,220.97,222.51,226.68,216.22,218.23,213.12,211.11,213.25,219.70,226.05,217.96,213.54
2000-12-11 21:57:36.803000,L7,209.83,213.61,215.27,207.90,204.33,196.45,189.23,196.04,205.96,204.60,202.69,186.76
2001-01-03 22:03:24.303000,L7,260.51,262.63,267.03,262.13,255.37,260.56,256.05,265.66,257.71,263.42,258.18,245.08
2001-01-19 22:03:55.051000,L7,230.67,232.12,232.88,215.38,231.43,231.25,219.12,225.12,233.18,209.78,229.49,226.18
2001-02-13 21:57:39.607000,L7,220.86,224.88,228.90,221.85,213.78,205.19,205.10,218.50,231.03,228.65,223.99,221.67
2001-02-20 22:03:48.640000,L7,224.82,233.54,172.27,155.19,221.77,215.62,215.28,212.04,209.47,205.49,211.38,211.53
2001-05-20 21:57:04.892000,L7,208.28,,,132.14,123.41,116.67,18.08,192.64,,,,
2001-05-27 22:03:12.319000,L7,168.92,206.31,202.58,189.84,194.92,144.60,163.42,182.80,164.46,184.48,178.70,
2001-06-05 21:56:52.440000,L7,223.96,238.92,232.03,217.27,215.57,217.96,208.16,215.24,213.97,216.06,221.48,214.36
