dates,nzd0355-0000,nzd0355-0001,nzd0355-0002,nzd0355-0003,nzd0355-0004,nzd0355-0005,nzd0355-0006,nzd0355-0007,nzd0355-0008,nzd0355-0009,nzd0355-0010,nzd0355-0011,nzd0355-0012,nzd0355-0013,nzd0355-0014,nzd0355-0015,nzd0355-0016,nzd0355-0017,nzd0355-0018,nzd0355-0019,nzd0355-0020,nzd0355-0021,nzd0355-0022,nzd0355-0023,nzd0355-0024,nzd0355-0025,nzd0355-0026,nzd0355-0027,nzd0355-0028,nzd0355-0029,nzd0355-0030,nzd0355-0031,nzd0355-0032,nzd0355-0033,nzd0355-0034,nzd0355-0035,nzd0355-0036,nzd0355-0037,nzd0355-0038,nzd0355-0039,nzd0355-0040,nzd0355-0041,nzd0355-0042,nzd0355-0043,nzd0355-0044,nzd0355-0045,nzd0355-0046,nzd0355-0047,nzd0355-0048,nzd0355-0049,nzd0355-0050,nzd0355-0051,nzd0355-0052,nzd0355-0053,nzd0355-0054,nzd0355-0055,nzd0355-0056,nzd0355-0057,nzd0355-0058,nzd0355-0059,nzd0355-0060,nzd0355-0061,nzd0355-0062,nzd0355-0063,nzd0355-0064,nzd0355-0065,nzd0355-0066,nzd0355-0067,nzd0355-0068,nzd0355-0069,nzd0355-0070,nzd0355-0071,nzd0355-0072,nzd0355-0073,nzd0355-0074,nzd0355-0075,nzd0355-0076,nzd0355-0077,nzd0355-0078,nzd0355-0079,nzd0355-0080,nzd0355-0081,nzd0355-0082,nzd0355-0083,nzd0355-0084,nzd0355-0096,nzd0355-0097,nzd0355-0098,nzd0355-0099,nzd0355-0100,nzd0355-0101,nzd0355-0102,nzd0355-0085,nzd0355-0086,nzd0355-0087,nzd0355-0088,nzd0355-0089,nzd0355-0090,nzd0355-0091,nzd0355-0092,nzd0355-0093,nzd0355-0094,nzd0355-0095,satname
1999-09-04 22:00:09.953,,,,,,,531.85,503.91,495.34,488.66,479.16,474.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.16,,,,,,,,,,,,,,,,,,192.96,196.24,208.84,198.08,199.97,,,198.48,181.59,,,,,,177.28,183.48,,,206.77,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-20 22:00:08.403,,,457.38,481.12,505.14,503.59,522.765,506.48,491.38,485.07000000000005,473.42,474.905,518.76,508.62,508.16,508.24,487.95,483.22,514.97,486.93,460.21,468.45,473.01,,462.72,462.09,438.39,463.24,448.09,456.67,442.15,428.46,427.0,400.34,,,402.22,380.39,382.21,,,,,362.56,357.47,303.35,319.3,335.6,335.21,329.44,303.55,297.49,,311.18,,321.75,,,,286.7,288.54,270.08,269.08,198.765,215.98000000000002,224.215,208.05,216.735,265.12,,206.83499999999998,192.51999999999998,241.3,244.36,,238.24,,193.7,192.85,,,219.86,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-22 22:00:04.598,,,457.38,481.12,505.14,503.59,522.765,506.48,491.38,485.07000000000005,473.42,474.905,520.675,513.79,512.17,507.85,499.84000000000003,493.58500000000004,506.875,491.115,477.21,478.245,487.245,,474.175,465.29499999999996,450.865,467.71000000000004,457.30499999999995,460.07000000000005,452.65999999999997,441.63,437.44,413.945,437.2,438.77,410.93,397.235,401.565,418.01,409.71,406.22,392.5,375.48,369.04,303.35,337.445,345.70000000000005,342.335,334.88,322.15,316.53999999999996,339.16,326.275,345.95,325.4,326.72,325.9,311.62,298.35,292.77,278.695,273.88,198.765,215.98000000000002,224.215,208.05,216.735,278.485,289.25,206.83499999999998,192.51999999999998,247.9,250.76000000000002,255.68,247.85,264.25,193.7,192.85,289.1,279.46,219.86,270.8,279.49,237.55,,282.48,272.52,275.31,,,,186.08,184.37,201.69,191.03,215.69,226.03,217.23,220.86,,199.97,178.54,L7
1999-12-09 22:00:09.551,,,457.38,481.12,505.14,503.59,522.765,506.48,491.38,485.07000000000005,473.42,474.905,520.675,513.79,515.4499999999999,511.83,506.3933333333334,500.26,510.62999999999994,494.1666666666667,479.47333333333336,480.3633333333334,485.49333333333334,,473.70666666666665,467.21000000000004,455.58,463.1166666666666,456.18666666666667,455.40333333333336,448.66333333333336,440.20666666666665,433.6666666666667,417.7633333333333,428.67499999999995,426.885,409.6066666666666,398.14333333333326,402.0133333333333,409.765,410.92999999999995,401.52,393.68,379.1333333333334,370.8500000000001,303.35,345.15000000000003,348.8233333333333,344.8,341.54333333333335,333.55333333333334,327.7233333333333,343.56500000000005,336.1433333333334,349.11,328.62666666666667,329.145,325.39,321.825,303.77,302.12,283.68666666666667,279.52,198.765,215.98000000000002,224.215,208.05,216.735,280.19666666666666,277.505,206.83499999999998,192.51999999999998,244.13,244.9466666666667,250.67000000000002,246.61333333333332,259.265,193.7,192.85,277.18,270.38,236.62,260.9,266.105,232.73000000000002,,282.48,272.52,275.31,,,,181.55,178.285,188.67000000000002,187.88,210.875,214.995,206.37,205.77,175.1,188.07999999999998,174.745,L7
2000-02-11 21:59:57.866,494.97,,457.38,481.12,505.14,503.59,522.765,506.48,500.8966666666667,492.53000000000003,484.37000000000006,481.74666666666667,507.8633333333334,504.3833333333334,497.275,493.6825,506.3933333333334,500.26,510.62999999999994,494.1666666666667,479.47333333333336,480.3633333333334,485.49333333333334,,473.70666666666665,467.21000000000004,455.58,463.1166666666666,456.18666666666667,455.40333333333336,448.66333333333336,440.20666666666665,433.6666666666667,417.7633333333333,428.67499999999995,426.885,409.6066666666666,398.14333333333326,402.0133333333333,409.765,410.92999999999995,401.52,393.68,379.1333333333334,370.8500000000001,302.6766666666667,345.15000000000003,348.8233333333333,344.8,341.54333333333335,333.55333333333334,327.7233333333333,343.56500000000005,336.1433333333334,349.11,328.62666666666667,329.145,325.39,321.825,303.77,302.12,283.68666666666667,279.52,203.94333333333336,215.0566666666667,220.66333333333333,209.30333333333337,218.91666666666666,280.19666666666666,277.505,207.35333333333332,194.60999999999999,244.13,244.9466666666667,250.67000000000002,246.61333333333332,259.265,193.36666666666667,198.23000000000002,277.18,270.38,236.62,260.9,266.105,232.73000000000002,,282.48,272.52,275.31,,,,181.55,178.285,188.67000000000002,187.88,210.875,214.995,206.37,205.77,175.1,188.07999999999998,174.745,L7
2000-02-27 21:59:52.393,494.97,,457.38,481.12,505.14,503.59,522.765,506.48,500.8966666666667,492.53000000000003,484.37000000000006,481.74666666666667,507.8633333333334,504.3833333333334,497.275,493.6825,510.4125,504.9525,511.92499999999995,497.745,482.88,481.8675,483.9925,,471.86,465.4,454.8025,459.7525,455.0025,451.355,447.5575,440.1975,430.475,417.335,428.6233333333333,421.4633333333333,406.75,397.8375,401.3,405.09666666666664,408.14333333333326,397.9533333333334,394.9866666666667,379.1375,370.26,302.6766666666667,351.4225,350.725,345.74,345.045,337.14,329.985,341.8433333333333,339.125,347.33,331.24,326.30333333333334,322.57,314.45666666666665,302.5125,300.4575,293.09749999999997,282.025,203.94333333333336,215.0566666666667,220.66333333333333,209.30333333333337,218.91666666666666,283.785,279.77,207.35333333333332,194.60999999999999,243.8675,243.955,248.51999999999998,248.165,258.61333333333334,193.36666666666667,198.23000000000002,278.22333333333336,273.15333333333336,249.305,265.97,265.4066666666667,238.59333333333333,,282.48,272.52,275.31,,,,192.33666666666667,185.73000000000002,194.25,195.66333333333333,214.67999999999998,217.08,211.07000000000002,204.1966666666667,188.065,184.4333333333333,175.23333333333335,L7
2000-03-30 21:59:45.397,479.795,473.61,492.4,505.42,518.26,515.67,512.85,501.88,512.45,497.235,485.655,478.20500000000004,483.6766666666667,481.98,479.075,464.1575,488.93,512.1966666666666,510.9099999999999,501.34999999999997,490.43666666666667,486.34,487.65333333333336,,474.9066666666667,466.50333333333333,460.27333333333337,458.59,457.3066666666667,449.5833333333333,449.35999999999996,444.10999999999996,431.6333333333334,423.0,428.6233333333333,421.4633333333333,408.26,403.65333333333336,407.66333333333336,405.09666666666664,408.14333333333326,397.9533333333334,394.9866666666667,384.66333333333336,374.5233333333333,292.47,362.13000000000005,355.7666666666667,349.25,350.24666666666667,348.33666666666664,340.81666666666666,341.8433333333333,348.44,347.33,334.40333333333336,326.30333333333334,322.57,314.45666666666665,307.7833333333333,304.43,300.77,286.34,210.465,212.5,214.24,216.03,222.36,290.0066666666667,279.77,205.005,195.73,244.72333333333336,243.82000000000002,248.51999999999998,251.47333333333333,258.61333333333334,191.13,206.585,278.22333333333336,273.15333333333336,278.75,265.97,265.4066666666667,238.59333333333333,,282.48,272.52,275.31,,,,192.33666666666667,185.73000000000002,194.25,195.66333333333333,214.67999999999998,217.08,211.07000000000002,204.1966666666667,188.065,184.4333333333333,175.23333333333335,L7
2000-04-15 21:59:31.785,479.795,473.61,492.4,505.42,518.26,515.67,512.85,501.88,512.45,497.235,485.655,478.20500000000004,483.6766666666667,481.98,479.075,464.1575,488.93,512.1966666666666,510.9099999999999,501.34999999999997,498.705,490.53499999999997,487.7125,496.49,481.175,470.7925,465.1175,460.84250000000003,458.5025,452.73,450.47249999999997,444.78499999999997,434.0525,425.495,427.93,421.735,411.225,407.08500000000004,409.15999999999997,407.865,410.075,400.8025,394.6625,385.0625,377.09250000000003,292.47,365.525,358.25500000000005,352.34,352.555,349.8825,342.51,343.8825,348.3025,347.78,335.56,326.51,322.24,315.6325,307.7833333333333,304.43,303.515,289.625,210.465,212.5,214.24,216.03,222.36,297.4375,283.7925,205.005,195.73,251.75750000000002,248.6825,251.41750000000002,253.2025,261.8325,191.13,206.585,278.7275,278.2375,293.7733333333333,277.22,265.4066666666667,238.59333333333333,,265.51,267.685,285.75,,,,192.33666666666667,185.73000000000002,194.25,207.1175,218.4875,219.345,212.2775,204.0875,198.17666666666665,184.4333333333333,175.23333333333335,L7
2000-05-01 21:59:30.586,479.795,473.61,492.4,505.42,518.26,515.67,512.85,501.88,512.45,497.235,485.655,478.20500000000004,464.21999999999997,463.49,466.7066666666667,449.72333333333336,481.33,516.3199999999999,516.9749999999999,504.375,500.2033333333334,499.7075,486.6825,498.38,487.54,479.80500000000006,477.3425,466.3125,458.0325,452.5,451.515,442.6675,434.15999999999997,429.5075,424.15,416.955,408.7925,406.79499999999996,408.065,405.78499999999997,409.885,402.0775,390.9375,384.42249999999996,375.48750000000007,292.47,370.995,361.1275,353.7275,355.58500000000004,354.0725,345.98,346.1275,352.0675,348.97249999999997,338.08,328.94,322.2375,318.15250000000003,309.09,306.56,311.8375,303.2275,210.465,212.5,214.24,216.03,222.36,303.075,290.8875,205.005,195.73,256.4625,257.59499999999997,253.58999999999997,255.1375,264.14750000000004,191.13,206.585,277.6275,286.605,295.72249999999997,281.48,264.87,245.26666666666665,,248.54,262.85,296.19,,,,199.29,192.03333333333333,198.39333333333335,215.865,219.98,214.5825,207.935,194.5775,197.64,173.10999999999999,173.58000000000004,L7
2000-05-17 21:59:19.400,456.21333333333337,460.74,492.4,505.42,518.26,515.67,512.85,501.88,512.45,497.235,466.0,478.20500000000004,449.75,445.9166666666667,466.7066666666667,429.1525,452.6725,516.3199999999999,516.9749999999999,504.375,500.2033333333334,499.7075,486.6825,498.38,487.54,479.80500000000006,477.3425,466.3125,458.0325,452.5,451.515,442.6675,434.15999999999997,429.5075,424.15,416.955,408.7925,406.79499999999996,408.065,405.78499999999997,409.885,377.642,390.9375,384.42249999999996,375.48750000000007,282.73,370.995,361.1275,332.25000000000006,336.826,354.0725,345.98,346.1275,352.0675,348.97249999999997,338.08,328.94,300.0,318.15250000000003,282.445,306.56,311.8375,303.2275,201.32333333333335,200.54999999999998,207.49666666666667,216.03,213.66,303.075,290.8875,200.98333333333335,189.5333333333333,256.4625,257.59499999999997,253.58999999999997,255.1375,264.14750000000004,183.79999999999998,196.1,277.6275,286.605,295.72249999999997,281.48,264.87,245.26666666666665,,248.54,262.85,296.19,,,,199.29,192.03333333333333,198.39333333333335,215.865,219.98,214.5825,207.935,194.5775,197.64,173.10999999999999,173.58000000000004,L7
