dates,satname,nzd0055-0000,nzd0055-0001,nzd0055-0002,nzd0055-0003,nzd0055-0004,nzd0055-0005,nzd0055-0023,nzd0055-0024,nzd0055-0025,nzd0055-0007,nzd0055-0008,nzd0055-0009,nzd0055-0010,nzd0055-0011,nzd0055-0012,nzd0055-0006,nzd0055-0013,nzd0055-0014,nzd0055-0015,nzd0055-0022,nzd0055-0021
2005-09-19 21:59:32.955000,L5,368.53,356.17,362.02,327.56,355.28,301.01,,,,314.80,326.20,369.21,368.87,366.78,,283.00,,,,,
2006-02-10 22:01:51.332000,L5,385.21,362.20,365.23,331.82,361.46,366.91,,,,313.11,274.41,316.06,342.73,338.57,352.72,282.70,351.65,342.27,297.66,,
2006-03-14 22:02:31.280000,L5,381.75,369.56,364.54,340.67,358.68,366.23,,,,309.88,271.30,305.22,338.06,327.42,341.63,278.31,347.34,344.31,299.77,,
2006-04-06 22:09:08.139000,L5,,,,,,261.56,,,,354.42,339.51,374.17,366.78,369.93,,322.81,,,,,
2006-05-08 22:09:38.251000,L5,,,,,,,382.36,334.86,326.27,,,,,,,,,,,,
2006-05-17 22:03:33.996000,L5,384.09,367.54,365.19,329.46,360.10,369.79,,,,322.28,312.58,361.42,357.86,358.46,361.38,276.61,,,,,
2006-06-25 22:10:20.606000,L5,402.67,399.37,364.19,357.01,,,,,,,,,,,,,,,,,
2006-08-12 22:10:59.603000,L5,,372.87,353.49,335.94,357.56,,,,,,,,,,,,,,,,
2006-08-21 22:04:55.513000,L5,395.53,389.18,411.55,336.25,367.25,306.21,,,,323.55,322.68,370.14,367.54,362.57,,274.63,,,,,
2006-11-25 22:06:19.953000,L5,311.28,294.41,294.35,266.92,311.63,200.04,,,,286.80,316.55,327.26,328.61,320.96,312.41,254.20,308.56,285.09,223.77,,
2007-02-13 22:06:23.395000,L5,382.13,361.60,359.50,331.24,353.66,367.05,,,,312.04,301.64,355.01,349.93,352.70,352.00,288.62,347.62,339.84,287.58,,
2007-09-16 22:10:40.887000,L5,,,,,,,365.48,338.80,328.56,,,,,,,,,,,276.00,
2007-09-25 22:04:24.972000,L5,404.18,374.19,381.16,347.29,381.03,388.17,,,,324.05,333.36,373.83,373.66,368.23,,303.06,,,,,
2007-10-02 22:10:31.289000,L5,,,,,,,361.75,,,,,,,,,,,,,,
2008-02-16 22:01:58.190000,L5,,,291.47,310.34,332.96,350.84,,,,,,287.54,333.30,335.19,347.99,254.51,345.20,337.04,290.35,,
2008-11-21 22:01:05.982000,L5,,,,,,,,342.74,316.53,,,,,,,,,,,,
2008-12-16 21:55:41.804000,L5,374.35,348.13,349.46,325.10,348.29,356.76,,,,315.15,288.72,338.78,365.40,355.98,360.88,281.67,355.52,346.03,300.37,,
2009-01-01 21:56:07.642000,L5,383.37,362.51,361.28,332.45,360.48,363.36,,,,,,,,,,244.69,,,,,
2009-01-24 22:02:55.057000,L5,419.36,403.74,391.66,361.75,390.51,394.68,,,,,,,,,,,,,,,
2009-02-02 21:56:58.438000,L5,385.26,369.09,364.10,334.92,367.11,377.82,,,,324.92,302.25,360.48,363.05,357.61,359.09,296.48,358.04,348.96,305.61,,
2010-02-12 22:08:30.110000,L5,,,,368.43,393.38,399.98,,,,331.81,306.93,342.94,,,,317.25,,,,,
2010-10-03 22:01:28.836000,L5,395.47,372.63,376.46,341.33,371.82,384.02,,,,352.67,369.23,384.74,385.85,,,313.23,,,,,
2010-11-27 22:07:24.215000,L5,,,,366.73,395.88,399.66,,,,356.05,,,,,,327.85,,,,,
2011-01-14 22:07:31.728000,L5,,,,,,336.85,,,,336.12,307.05,351.34,361.88,359.88,351.46,312.31,348.36,337.71,285.07,,
2011-02-15 22:07:34.670000,L5,,,,,,329.70,,,,365.40,330.30,381.23,377.58,,,327.63,,,,,
2011-03-12 22:01:19.581000,L5,379.15,360.19,364.57,329.44,356.23,297.66,,,,314.49,297.70,360.87,358.46,356.82,355.72,273.92,359.31,350.11,300.98,,
2011-03-28 22:01:14.403000,L5,360.17,350.17,361.92,324.65,325.65,209.42,,,,,271.22,370.33,366.57,359.32,,,,,,,
2011-08-19 22:00:12.535000,L5,393.84,375.07,377.20,326.46,357.22,366.76,,,,348.13,360.46,373.87,372.81,,,294.10,,,,,
2011-09-04 22:00:03.630000,L5,393.33,372.97,374.23,336.14,362.38,380.35,,,,344.40,354.77,377.40,369.49,,,283.39,,,,,
2011-09-11 22:06:09.236000,L5,,,,330.16,383.54,,,,,,306.19,319.29,357.37,358.03,359.93,,356.75,323.34,269.20,,
2013-04-25 22:19:21.025000,L8,,,,,,400.12,370.76,366.94,345.43,346.76,,,,,,355.32,,,,388.67,
2013-05-11 22:19:31.249000,L8,377.07,315.02,362.02,355.22,394.02,,,,,,,,,237.63,345.72,,355.33,297.90,265.87,,
2013-05-20 22:13:26.604000,L8,427.56,368.61,335.12,323.65,379.53,395.92,,,,367.60,382.36,378.40,375.74,,,330.62,,,,,
2013-06-05 22:13:27.306000,L8,,,,,,277.83,366.38,,,375.43,383.37,379.58,373.65,,,340.24,,,,408.62,
2013-06-28 22:19:33.252000,L8,403.49,412.76,382.74,367.88,,397.98,371.50,367.12,349.81,378.00,,,,,,351.41,,,,392.89,
2013-07-07 22:13:24.262000,L8,355.98,364.79,334.87,324.60,374.14,364.66,,,,315.27,301.20,369.21,367.53,,,313.85,,,,,
2013-07-14 22:19:34.707000,L8,,,,,,,393.52,372.56,363.95,,,,,,,,,,,396.95,326.16
2013-08-31 22:19:38.558000,L8,,,,373.54,293.78,282.87,,,,,,383.46,376.03,325.99,294.29,,302.49,285.60,286.96,,
2013-09-09 22:13:25.749000,L8,351.48,357.00,337.87,317.16,366.70,360.74,,,,319.00,374.76,375.06,371.06,,,317.45,,,,,
2013-09-25 22:13:17.289000,L8,362.66,364.50,363.76,326.56,374.65,377.76,,,,367.94,381.53,379.45,374.97,,,327.27,,,,,
2013-10-02 22:19:28.820000,L8,,,,,408.21,367.27,376.60,358.34,340.07,383.26,,,,,,353.95,,,,384.56,
2013-10-11 22:13:17.650000,L8,358.39,354.72,343.15,321.94,375.43,380.18,,,,365.84,382.54,381.16,375.14,,,331.30,,,,,
2013-10-27 22:13:07.896000,L8,,,,265.14,306.54,,,,,,,,,,,,,,,,
2013-11-03 22:19:20.378000,L8,402.69,400.70,384.26,343.93,411.12,396.24,,,,336.16,383.60,,,,,335.91,,,,,
2013-12-05 22:19:13.005000,L8,,266.29,304.98,338.99,381.92,,,,,,,,256.47,336.58,359.24,,350.26,306.27,260.93,,
2013-12-14 22:12:57.636000,L8,371.18,359.60,377.91,330.03,376.28,387.72,,,,363.10,376.92,375.95,372.56,,,328.53,,,,,
2013-12-30 22:12:49.393000,L8,361.27,353.99,341.62,321.65,367.31,371.58,,,,314.20,317.60,315.78,331.10,368.23,340.19,283.62,257.26,248.39,226.83,,
2014-01-06 22:18:54.881000,L8,,420.19,370.72,353.51,405.60,377.57,,,,,,,,,,,,,,,
2014-01-15 22:12:33.689000,L8,352.57,349.47,334.40,320.96,359.92,362.51,,,,,,,,,,304.87,,,,,
2014-01-31 22:12:28.855000,L8,361.99,352.58,342.08,320.66,354.12,353.83,,,,,,308.44,343.30,346.73,339.23,261.82,348.99,315.18,270.94,,
2014-02-07 22:18:33.391000,L8,,,,,,300.22,367.53,355.67,337.91,335.20,392.19,,,,,345.38,,,,375.61,
2014-02-23 22:18:20.398000,L8,402.86,400.33,374.31,360.20,401.52,393.30,,,,339.62,392.44,,,,,344.75,,,,,
2014-03-04 22:11:59.077000,L8,352.40,350.11,330.00,316.37,356.26,348.66,,,,311.49,287.20,332.94,362.18,362.59,360.96,305.70,,,,,
2014-03-11 22:18:08.266000,L8,,,,,405.67,396.01,369.98,360.33,344.68,340.55,,,,,,349.71,,,,383.52,
2014-03-27 22:17:50.001000,L8,,,,,,376.04,366.14,363.14,344.54,342.23,391.61,,,,,346.86,,,,380.97,
2014-04-05 22:11:34.747000,L8,362.27,362.48,367.13,356.26,369.19,389.05,,,,364.46,377.57,379.24,375.83,,,325.89,,,,,
2014-04-12 22:17:37.464000,L8,,,,,,383.63,367.63,362.60,346.00,346.64,390.70,,,,,350.16,,,,383.29,
2014-04-21 22:11:18.224000,L8,351.48,352.30,329.30,316.21,362.25,362.57,,,,312.47,298.51,341.12,364.62,367.45,,313.11,,,,,
2014-04-28 22:17:22.576000,L8,,,,,,376.72,373.97,369.40,346.90,377.10,,,,,,363.04,,,,387.51,
2014-05-07 22:11:02.102000,L8,337.29,312.33,313.82,322.35,295.38,214.49,,,,,,,,,239.37,239.74,329.93,300.40,225.53,,
2014-05-07 22:11:26.052000,L8,,,,,,,,,,,,,,,240.90,,333.33,302.16,232.35,,
2014-05-14 22:17:08.923000,L8,,,,,,,371.11,372.72,347.35,,,,,,,,,,,387.42,
2014-05-30 22:17:11.184000,L8,,416.00,375.39,362.69,410.83,390.52,369.16,326.61,345.21,355.22,,,,,,349.52,,,,357.09,
2014-07-01 22:17:22.417000,L8,381.92,386.69,357.42,349.01,387.19,,,,,,,,,,,,,,,,
2014-07-17 22:17:28.260000,L8,,,,,,376.05,372.54,331.34,350.41,368.53,,,,,,347.15,,,,354.10,
2014-07-26 22:11:19.207000,L8,358.02,379.53,335.26,333.97,383.66,389.30,,,,370.36,383.65,382.59,378.13,,,332.71,,,,,
2014-09-19 22:17:42.798000,L8,,,,,406.57,396.44,385.92,367.43,346.41,378.10,,,,,,351.52,,,,383.75,
2014-10-14 22:11:38.746000,L8,372.17,359.18,366.60,325.11,382.16,383.24,,,,361.31,377.14,379.15,375.41,,,324.47,,,,,
2014-12-01 22:11:36.363000,L8,415.26,352.72,338.79,321.96,373.71,388.55,,,,360.89,376.66,375.76,371.13,371.82,,322.91,,,,,
2015-01-02 22:11:27.004000,L8,370.06,378.25,353.76,326.55,372.64,384.04,,,,361.60,376.82,378.22,372.29,372.20,,329.19,,,,,
2015-01-09 22:17:38.882000,L8,409.95,396.07,371.66,355.52,397.21,268.50,,,,334.12,294.57,343.39,352.80,360.66,336.26,292.92,350.01,312.53,256.20,,
2015-01-25 22:17:32.812000,L8,410.48,401.68,395.11,360.32,404.48,390.36,,,,339.90,383.63,376.80,374.56,,,340.33,,,,,
2015-02-19 22:11:13.759000,L8,357.64,352.17,329.84,317.61,354.17,348.69,,,,307.91,285.16,323.64,334.53,331.81,342.13,272.63,342.74,319.77,272.48,,
2015-03-30 22:17:01.871000,L8,,,,,,,,,,,,,,248.76,282.41,,317.41,290.24,222.55,,
2015-04-24 22:10:44.446000,L8,358.06,352.16,336.97,321.39,377.80,377.58,,,,349.20,373.82,378.85,373.54,,,308.57,,,,,
2015-05-10 22:10:28.533000,L8,352.33,370.17,334.58,326.84,376.25,380.55,,,,359.70,377.23,378.58,373.75,,,322.24,,,,,
2015-06-02 22:16:44.532000,L8,,,,,,,,,,,,,,,,,,,,277.75,351.77
2015-06-11 22:10:40.593000,L8,418.89,367.39,334.08,327.69,383.14,398.51,,,,367.60,381.15,381.29,375.84,,,328.49,,,,,
