dates,nzd0055-0000,nzd0055-0001,nzd0055-0002,nzd0055-0003,nzd0055-0004,nzd0055-0005,nzd0055-0023,nzd0055-0024,nzd0055-0025,nzd0055-0007,nzd0055-0008,nzd0055-0009,nzd0055-0010,nzd0055-0011,nzd0055-0012,nzd0055-0006,nzd0055-0013,nzd0055-0014,nzd0055-0015,nzd0055-0022,nzd0055-0021,satname
1999-11-14 22:04:18+00:00,,,,,,,,,,,370.86,384.65,380.52,,,314.94,,,,,,L7
2000-05-24 22:03:22+00:00,,,,,,,,,,,377.25,388.76,382.63,,,320.26,,,,,,L7
2000-09-20 22:08:03+00:00,,,,,,,,,,317.18,377.25,353.40999999999997,348.96000000000004,,,302.21000000000004,,,,,,L7
2001-03-24 22:01:35+00:00,375.6,,,274.15,,,,,,291.57,,335.07,331.49,343.24,329.39,,,,,,,L7
2001-08-15 22:00:14+00:00,375.6,,,274.15,,287.82,,,,291.57,373.07,335.07,331.49,343.24,329.39,314.79,,,,,,L7
2002-01-22 22:00:16+00:00,,,302.73,270.97,313.2,287.82,,,,,373.07,307.36,360.77,356.5,319.86,314.79,,,,,,L7
2002-03-27 22:00:13+00:00,,,302.73,270.97,313.2,,,,,,367.23,307.36,360.77,356.5,319.86,,,,,,,L7
2002-04-28 22:00:14+00:00,,,302.73,270.97,313.2,,,,,299.36,367.23,330.975,362.72,356.365,334.38,,,,,,,L7
2002-07-17 21:59:44+00:00,,,302.73,270.97,313.2,300.97,,,,325.48,370.26,330.975,362.72,356.365,334.38,315.37,,,,,,L7
2002-08-18 21:59:33+00:00,,,,,,293.33500000000004,,,,325.48,372.03000000000003,354.59,364.67,356.23,348.9,317.945,,,,,,L7
2002-09-19 21:59:11+00:00,349.19,311.43,334.67,272.36,348.01,314.56333333333333,,,,325.48,372.03000000000003,354.59,364.67,356.23,348.9,298.41333333333336,,,,,,L7
2003-01-09 21:59:45+00:00,349.19,311.43,334.67,279.145,348.01,314.56333333333333,,,,351.6,374.43000000000006,,,317.81,,298.41333333333336,293.79,,,,,L7
2003-07-28 21:48:04+00:00,353.02,346.19,328.7,312.21,329.61,,,,,,,,,311.09,327.17,,325.38,,,,,L5
2003-08-29 21:48:38+00:00,353.02,353.69,344.24,320.185,345.265,,,,,321.16,331.1,367.01,361.25,334.395,342.85,288.96,341.55,354.2,312.11,,,L5
2004-06-12 21:52:47+00:00,,373.21,369.58,334.02,369.08,376.61,,,,333.21,318.72,360.98,359.15,361.25,358.46,273.0,,,,,,L5
2004-07-30 21:54:04+00:00,,373.12,369.58,334.91499999999996,368.16499999999996,376.83000000000004,,,,326.455,313.185,359.8,358.685,359.0,358.46,274.31,359.5,,,,,L5
2004-09-16 21:55:17+00:00,378.97,368.24666666666667,365.82,332.81333333333333,364.5833333333333,373.6966666666667,,,,330.5566666666667,321.43666666666667,364.4166666666667,361.87999999999994,361.43333333333334,360.835,279.21666666666664,359.5,,,,,L5
2004-11-03 21:56:19+00:00,383.69000000000005,368.35749999999996,364.1766666666667,331.6725,363.9625,373.33000000000004,,,,327.11249999999995,322.565,367.3675,364.8275,361.43333333333334,360.835,281.5625,359.5,,,,,L5
2005-02-23 21:58:07+00:00,380.02333333333337,363.29999999999995,362.0833333333333,329.97333333333336,359.6566666666667,370.64000000000004,,,,321.9266666666667,314.99333333333334,355.8433333333333,361.7966666666666,355.8,356.52,288.94,348.81,339.56,301.48,,,L5
2005-03-11 21:58:20+00:00,377.83500000000004,360.9625,360.0975,328.39750000000004,356.4725,367.35749999999996,,,,315.4125,314.99333333333334,355.8433333333333,355.3375,344.53999999999996,348.0133333333333,283.78,340.86,334.6,288.97,,,L5
2005-03-27 21:58:27+00:00,377.4566666666667,361.5725,359.7725,330.015,356.4825,365.59250000000003,,,,306.4125,292.02,335.8066666666667,347.1725,333.22333333333336,340.65999999999997,281.8175,342.9666666666667,338.53,290.59666666666664,,,L5
2005-04-03 22:04:40+00:00,377.4566666666667,361.5725,360.668,332.804,356.4825,365.59250000000003,,,,306.4125,292.02,335.8066666666667,347.1725,333.22333333333336,340.65999999999997,281.8175,342.9666666666667,338.53,290.59666666666664,,,L5
2005-04-12 21:58:31+00:00,376.7325,360.62,360.57,332.8283333333333,355.558,363.09000000000003,,,,308.28599999999994,295.12749999999994,338.485,346.992,336.4525,343.7775,281.53200000000004,344.5625,338.185,292.0075,,,L5
2005-06-06 22:05:05+00:00,372.84,358.60249999999996,360.50600000000003,333.74399999999997,353.9225,360.80499999999995,,,,315.598,298.1325,325.9066666666667,340.3225,336.4525,346.628,287.908,346.786,338.185,292.0075,,,L5
2005-07-17 21:59:11+00:00,372.84,362.72999999999996,360.50600000000003,334.53666666666663,357.894,360.80499999999995,,,,315.598,298.1325,325.9066666666667,344.668,340.896,346.628,289.8566666666666,346.786,338.185,292.0075,,,L5
2006-02-10 22:01:51+00:00,,362.2,365.23,331.82,361.46,366.91,,,,,,316.06,342.73,338.57,352.72,282.7,351.65,342.27,297.66,,,L5
2006-03-14 22:02:31+00:00,,365.88,365.23,336.245,360.07,366.91,,,,,,310.64,340.395,332.995,347.175,280.505,349.495,343.28999999999996,298.71500000000003,,,L5
2006-04-06 22:09:08+00:00,,365.88,365.23,336.245,360.07,366.91,,,,354.42,339.51,331.81666666666666,349.19,332.995,347.175,280.505,349.495,343.28999999999996,298.71500000000003,,,L5
2006-05-17 22:03:33+00:00,384.09,366.43333333333334,365.21000000000004,333.98333333333335,360.08,368.35,,,,338.35,326.04499999999996,339.21750000000003,351.3575,341.48333333333335,351.91,279.20666666666665,349.495,343.28999999999996,298.71500000000003,,,L5
2006-06-25 22:10:20+00:00,384.09,366.43333333333334,364.87000000000006,339.74,360.08,368.35,,,,338.35,326.04499999999996,339.21750000000003,351.3575,341.48333333333335,351.91,279.20666666666665,349.495,343.28999999999996,298.71500000000003,,,L5
2006-08-12 22:10:59+00:00,384.09,368.54999999999995,364.69000000000005,340.77,359.39,369.79,,,,338.35,326.04499999999996,346.9366666666667,354.23333333333335,342.94000000000005,351.505,277.46000000000004,347.34,344.31,299.77,,,L5
2006-08-21 22:04:55+00:00,384.09,368.54999999999995,364.69000000000005,339.866,359.39,369.79,,,,333.4166666666667,324.92333333333335,352.7375,357.56,349.48333333333335,351.505,276.5166666666667,347.34,344.31,299.77,,,L5
2006-11-25 22:06:19+00:00,,,364.19,343.0666666666666,,,,,,305.175,322.68,370.14,367.54,362.57,312.41,264.41499999999996,308.56,,,,,L5
2007-02-13 22:06:23+00:00,,361.6,,333.745,353.66,367.05,,,,307.46333333333337,312.15999999999997,362.575,358.735,357.635,332.20500000000004,272.48333333333335,328.09000000000003,339.84,287.58,,,L5
2007-10-02 22:10:31+00:00,,,,,,,361.75,,,,,,,,,,,,,,,L5
2008-11-21 22:01:05+00:00,,,,,,,,342.74,316.53,,,,,,,,,,,,,L5
2009-02-02 21:56:58+00:00,,369.09,364.1,334.92,367.11,377.82,,342.74,316.53,324.92,302.25,360.48,363.05,357.61,359.09,296.48,358.04,348.96,305.61,,,L5
2010-11-27 22:07:24+00:00,,,,,,,,,,356.05,,,,,,327.85,,,,,,L5
2011-02-15 22:07:34+00:00,,,,,,,,,,360.725,330.3,,,,,327.74,,,,,,L5
2011-03-12 22:01:19+00:00,,360.19,364.57,329.44,356.23,,,,,345.31333333333333,314.0,360.87,358.46,356.82,355.72,309.8,359.31,350.11,300.98,,,L5
2011-08-19 22:00:12+00:00,,360.19,364.57,327.95,356.725,366.76,,,,331.31,329.08,360.87,358.46,356.82,355.72,284.01,359.31,350.11,300.98,,,L5
