dates,satname,nzd0120-0000,nzd0120-0001,nzd0120-0002,nzd0120-0003,nzd0120-0004,nzd0120-0005,nzd0120-0006,nzd0120-0007,nzd0120-0008,nzd0120-0011,nzd0120-0012,nzd0120-0013,nzd0120-0020,nzd0120-0021,nzd0120-0022,nzd0120-0010,nzd0120-0025,nzd0120-0026,nzd0120-0027,nzd0120-0028,nzd0120-0029,nzd0120-0031,nzd0120-0032
2000-12-11 21:56:00.959000,L7,382.23,412.84,378.69,368.17,369.38,356.62,,,,,,,,,,,,,,,,,
2002-10-30 21:53:25.867000,L7,381.49,348.92,347.29,,,,,,,,,,,,,,,,,,,,
2015-12-13 22:05:45.605000,L8,,,,386.78,364.43,371.44,,,,,,,,,,,,,,,,,
2017-05-24 22:05:10.453000,L8,,,,,379.61,375.63,320.88,286.75,,,,,318.61,315.73,294.44,,,,,,,,
2017-06-25 22:05:23.687000,L8,336.96,415.13,373.26,366.68,329.25,385.83,380.61,340.38,355.58,332.41,334.68,341.16,,,,,,,,,,,
2018-03-08 22:05:15.942000,L8,,,,,,,,,,375.61,363.86,287.20,,,,363.32,,,,,,,
2021-04-17 22:05:18.296000,L8,,,,391.95,385.53,376.12,,,,,,,,,,,,,,,,,
2021-07-22 22:05:36.953000,L8,,,,,,,,,,,,,,,,,350.77,312.96,283.20,293.66,286.50,,
2022-05-22 22:05:34.636000,L8,,,,,,,,,,,,,,,,,,,383.81,394.69,374.23,336.89,338.20
2024-12-13 22:05:46.012000,L9,,,,,,,,,,,,,,,,,779.20,739.76,,,,,
