dates,satname,nzd0561-0000,nzd0561-0001,nzd0561-0002,nzd0561-0003,nzd0561-0004,nzd0561-0005,nzd0561-0006,nzd0561-0007,nzd0561-0008,nzd0561-0009
1999-08-08 22:19:52.507000,L7,233.16,235.67,236.97,244.78,191.15,208.06,173.61,208.32,189.86,260.53
1999-10-27 22:19:51.122000,L7,384.78,477.94,471.34,428.36,264.47,223.27,212.26,215.82,236.50,282.38
1999-12-07 22:14:05.637000,L7,486.11,489.49,500.45,489.21,487.84,474.04,473.81,452.33,438.48,428.37
2000-04-13 22:13:30.062000,L7,257.43,237.74,231.42,233.78,260.30,228.37,218.94,217.94,230.98,297.53
2000-04-20 22:19:15.385000,L7,219.73,235.32,234.10,243.24,273.08,265.03,202.30,206.53,186.32,273.45
2000-09-20 22:11:38.892000,L7,223.71,226.53,212.11,212.46,237.72,235.24,202.30,218.43,226.14,249.63
2000-09-27 22:17:24.534000,L7,227.29,212.57,216.04,,,,,,,
2000-10-06 22:11:35.303000,L7,218.85,273.01,222.66,358.81,,,,225.75,150.45,252.01
2000-10-29 22:17:19.582000,L7,479.85,484.66,494.59,490.95,488.92,463.87,460.79,412.23,436.78,410.39
2001-01-26 22:11:42.689000,L7,249.69,247.34,260.57,198.69,216.89,198.41,187.43,144.49,229.71,272.96
2001-02-11 22:11:36.766000,L7,354.64,395.93,394.26,405.52,411.47,397.78,389.20,390.38,385.03,313.56
2001-03-06 22:17:18.578000,L7,233.12,239.17,246.65,236.48,259.26,208.07,196.75,204.50,212.22,263.08
2001-03-22 22:17:09.568000,L7,333.78,255.04,280.46,258.92,269.85,230.38,213.13,215.61,239.50,272.83
2001-04-07 22:17:01.469000,L7,230.91,241.53,231.20,240.26,251.12,208.65,192.00,208.81,167.35,244.37
2001-11-01 22:15:17.839000,L7,493.34,490.23,469.57,471.26,461.24,458.10,440.21,421.21,433.40,434.99
2001-11-26 22:09:45.291000,L7,398.92,400.49,409.12,414.76,410.21,423.61,400.50,397.20,400.06,388.76
2001-12-19 22:15:37.819000,L7,325.94,446.06,451.62,450.73,499.58,508.59,488.25,507.15,521.50,472.92
2002-03-18 22:09:57.913000,L7,413.74,408.41,297.50,316.20,294.68,283.55,398.28,411.60,417.11,392.36
2002-03-25 22:15:47.156000,L7,417.75,418.75,398.68,399.46,366.01,383.24,387.00,363.03,357.57,370.80
2002-05-21 22:09:53.053000,L7,300.73,396.90,418.73,421.02,419.38,396.62,417.64,379.63,401.71,416.14
2002-07-31 22:15:11.713000,L7,,223.98,210.36,,,,168.61,196.19,180.73,262.89
2002-10-03 22:14:41.164000,L7,474.04,417.24,408.08,448.63,418.34,427.99,430.32,431.13,434.88,328.46
