dates,satname,nzd0121-0001,nzd0121-0002,nzd0121-0003,nzd0121-0062,nzd0121-0063,nzd0121-0065,nzd0121-0090,nzd0121-0091,nzd0121-0092,nzd0121-0101,nzd0121-0102,nzd0121-0103,nzd0121-0104,nzd0121-0140,nzd0121-0141,nzd0121-0142,nzd0121-0143,nzd0121-0144,nzd0121-0145,nzd0121-0146,nzd0121-0147,nzd0121-0148,nzd0121-0149,nzd0121-0150,nzd0121-0151,nzd0121-0152,nzd0121-0153,nzd0121-0154,nzd0121-0155,nzd0121-0156,nzd0121-0157,nzd0121-0158,nzd0121-0159,nzd0121-0160,nzd0121-0161,nzd0121-0162,nzd0121-0004,nzd0121-0005,nzd0121-0006,nzd0121-0007,nzd0121-0008,nzd0121-0011,nzd0121-0012,nzd0121-0013,nzd0121-0014,nzd0121-0015,nzd0121-0020,nzd0121-0021,nzd0121-0024,nzd0121-0025,nzd0121-0026,nzd0121-0057,nzd0121-0058,nzd0121-0059,nzd0121-0060,nzd0121-0064,nzd0121-0073,nzd0121-0074,nzd0121-0075,nzd0121-0084,nzd0121-0085,nzd0121-0086,nzd0121-0087,nzd0121-0088,nzd0121-0114,nzd0121-0115,nzd0121-0116,nzd0121-0117,nzd0121-0118,nzd0121-0119,nzd0121-0120,nzd0121-0121,nzd0121-0122,nzd0121-0123,nzd0121-0124,nzd0121-0130,nzd0121-0131,nzd0121-0132,nzd0121-0133,nzd0121-0134,nzd0121-0135,nzd0121-0136,nzd0121-0137,nzd0121-0009,nzd0121-0128,nzd0121-0129,nzd0121-0138,nzd0121-0139,nzd0121-0010,nzd0121-0076,nzd0121-0077,nzd0121-0078,nzd0121-0083,nzd0121-0089,nzd0121-0105,nzd0121-0106,nzd0121-0112,nzd0121-0113,nzd0121-0125,nzd0121-0126,nzd0121-0127,nzd0121-0070,nzd0121-0071,nzd0121-0072,nzd0121-0079,nzd0121-0080,nzd0121-0081,nzd0121-0082,nzd0121-0163,nzd0121-0164,nzd0121-0165,nzd0121-0166,nzd0121-0167,nzd0121-0168,nzd0121-0169,nzd0121-0170,nzd0121-0171,nzd0121-0172,nzd0121-0173,nzd0121-0016,nzd0121-0019,nzd0121-0022,nzd0121-0066,nzd0121-0067,nzd0121-0068,nzd0121-0176,nzd0121-0177,nzd0121-0178,nzd0121-0017,nzd0121-0094,nzd0121-0095,nzd0121-0096,nzd0121-0097,nzd0121-0098,nzd0121-0099,nzd0121-0174,nzd0121-0175,nzd0121-0040,nzd0121-0044,nzd0121-0045,nzd0121-0046,nzd0121-0061,nzd0121-0093,nzd0121-0107,nzd0121-0108,nzd0121-0109,nzd0121-0110,nzd0121-0023,nzd0121-0055,nzd0121-0056,nzd0121-0069,nzd0121-0179,nzd0121-0100,nzd0121-0027,nzd0121-0028,nzd0121-0111,nzd0121-0030,nzd0121-0043,nzd0121-0048,nzd0121-0049,nzd0121-0050,nzd0121-0051,nzd0121-0052,nzd0121-0053,nzd0121-0054
1999-08-26 22:04:44.971000,L7,,,,,,,297.58,321.54,291.45,279.22,200.14,218.18,232.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.29,22.38,,,,159.55,172.58,184.77,250.00,285.53,304.06,292.10,288.09,186.17,121.96,179.29,199.61,187.66,,,,,,,,,,,,,,,,,,,,,188.36,228.44,223.88,236.86,301.27,216.33,,181.85,195.46,,,,,,133.90,218.79,210.59,255.95,255.01,,,,,,,,,,,,,,,,,,,,,,300.88,301.60,,,,,,,,,,,,296.74,,,,,,31.97,16.79,,,263.76,,,155.88,,,,,,,,19.30,34.17
1999-09-27 22:04:48.949000,L7,,,,,,,,,,,,,,68.99,90.81,101.02,116.38,115.83,115.94,129.95,147.19,151.49,161.27,164.15,58.96,68.77,76.62,118.04,101.31,156.38,160.38,180.34,121.78,180.08,198.39,211.70,,,,,,,,,,,,,,,,54.30,54.76,35.03,,,147.75,160.77,165.02,279.07,267.66,278.81,305.40,333.87,,,,,,211.23,210.18,205.77,143.23,184.70,,61.44,141.19,121.39,159.37,169.30,,,110.43,,94.17,133.88,118.65,59.35,,151.73,165.30,,285.66,,,,237.62,213.36,,133.67,129.29,,,,,,,286.10,132.01,153.75,174.74,225.50,,,,,,,,,,,,,,,,,,,,,,,,,,,40.23,25.29,,,,,,,213.97,,,31.78,,,,,,225.08,,,,,,,,,
1999-11-14 22:04:42.286000,L7,,,,109.04,,59.52,,,,,,,,127.01,134.29,59.47,61.41,73.29,83.09,84.18,78.48,84.54,120.86,104.85,59.92,64.41,74.11,78.96,91.07,106.46,114.56,111.33,119.36,133.40,146.90,137.94,,,,,,,,,,,,,,,,70.54,41.63,49.32,54.95,46.86,139.44,146.98,144.48,279.87,,,,348.62,146.65,117.96,123.95,111.20,114.28,158.61,165.02,168.60,161.46,200.96,,64.36,103.30,58.71,81.05,79.23,70.43,71.38,70.33,,52.38,76.03,84.23,104.38,,,,164.92,259.76,334.64,,194.30,153.91,155.59,,,,155.60,120.73,137.53,179.93,197.63,253.36,260.38,122.43,156.72,179.00,188.60,197.84,209.05,218.86,224.18,219.48,224.33,233.44,,,,77.36,102.38,167.10,257.42,260.75,,,,,,,,,243.08,254.73,,,,,20.41,,238.85,,,129.43,,15.74,41.95,168.22,,,,,153.61,,,,,,,,,60.60
2000-01-01 22:04:37.439000,L7,,,,,,97.22,237.84,243.70,302.08,,273.14,212.78,218.32,,,,,,,,,,,,,57.05,66.60,75.66,87.58,91.96,106.66,112.32,116.14,126.68,138.30,133.65,,,,,,,,,,,,,,,,,,,,77.22,,,,,,,,,187.33,193.67,196.09,210.56,210.04,199.27,211.78,155.18,159.39,144.76,158.08,,,,,,,,,,,,,,,,,,,234.98,214.31,228.44,194.75,173.81,190.48,168.12,188.06,,,,,,,,,155.83,171.34,179.85,158.03,201.86,212.23,215.53,185.25,191.26,228.54,,,,,,,256.29,261.93,,,253.55,205.00,303.17,256.42,250.94,316.75,243.82,249.47,,,,,,266.85,186.26,182.03,185.09,164.51,,,,,,,,,178.43,,,,,,,,,
2000-01-17 22:04:35.821000,L7,,,,,,,,,,,268.02,260.88,258.31,89.47,112.65,125.88,137.83,162.11,137.37,148.53,159.68,157.86,166.01,173.97,117.14,143.70,151.64,157.89,169.22,123.73,117.42,135.81,144.98,139.89,156.89,140.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.65,200.20,223.12,200.38,200.81,201.61,208.24,206.94,,,81.89,75.06,117.03,88.78,83.09,82.36,90.34,100.05,,85.56,83.09,99.03,98.38,,,,,,,,,,,,58.21,89.73,,,,,,,,87.10,114.36,153.89,183.24,196.18,203.06,220.33,213.43,185.17,223.68,234.94,197.45,,,,,,262.85,269.43,,109.72,223.84,199.81,265.59,277.21,311.43,228.25,245.04,212.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-18 22:04:29.218000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.82,93.99,85.74,104.16,,,,,,75.29,77.95,,,,,,,,,,,,,,,155.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-24 22:03:46.662000,L7,,,,,,,322.18,266.30,288.54,213.79,244.37,231.91,240.46,164.27,,,,,154.96,121.41,147.88,146.01,172.82,,,73.42,72.32,91.77,103.49,118.38,133.03,137.86,146.17,153.76,149.92,148.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.94,146.61,159.22,174.01,165.65,139.22,167.24,168.48,184.57,196.76,186.17,,,165.80,146.27,145.99,73.28,112.92,144.56,,,,160.07,156.33,,,,,,199.60,220.82,,204.79,218.21,157.22,142.85,,,,,,,,,158.85,173.71,192.86,192.03,207.43,221.35,227.06,230.61,234.34,,,,,,,,,,,,,,,311.83,268.26,272.02,209.29,,,,55.37,32.63,28.08,,,,,,166.02,,,,,,208.20,,,201.60,,41.06,,,,,,,
2000-07-11 22:03:17.779000,L7,,,,,,,,,,,,,,77.00,80.32,78.72,70.23,86.13,96.69,104.31,127.90,127.05,146.86,108.08,133.52,143.47,164.98,169.60,165.40,154.62,175.56,160.45,165.68,173.84,208.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.59,166.74,170.53,176.63,186.28,193.48,192.98,,,,,,,45.56,71.98,79.50,80.35,72.17,100.89,,,,78.04,87.90,,,,,,,,189.31,153.80,158.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.67,206.46,184.88,195.29,,,,,,,,,194.53,,,,,,,,,
2000-10-15 22:01:56.204000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.45,167.50,161.30,189.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-03 22:02:12.432000,L7,,,,,,,,,,,,,,,,,,,,,,,,131.41,144.36,156.97,156.98,168.02,171.00,72.24,114.09,123.18,132.12,145.09,150.46,150.01,,,,,,290.57,210.60,207.22,202.28,244.25,,,,,,,,,,,185.21,,,223.65,304.34,333.64,,,138.27,187.73,177.67,149.06,167.36,200.33,207.04,202.47,,,,,,,,92.59,124.66,101.78,,,,,,,326.80,,,207.53,231.47,,,,,,,,,160.38,195.65,133.51,217.51,227.27,213.52,227.67,150.11,170.83,183.03,192.67,205.75,212.38,222.34,227.98,229.35,229.09,240.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-24 22:01:59.719000,L7,,,,,,99.49,,,243.55,223.63,229.29,232.76,251.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.54,325.10,,,,,,,,216.99,191.07,,,,143.83,,173.97,131.77,140.89,143.17,149.94,158.07,175.71,,,,,,,,,,,,223.60,253.19,224.17,180.48,170.57,165.02,,69.59,,,,,,,,,,,,,,,,,,,,,121.76,164.23,134.45,,,,,254.96,226.49,201.67,,,,,,,,,,,186.63,242.23,,,,,61.48,29.98,113.88,,233.46,,,201.66,,,,,,,,,66.81
2001-10-02 22:00:04.650000,L7,,,,,,,,,,294.30,,,243.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.20,222.42,209.84,218.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.04,262.09,276.74,262.51,233.14,223.30,,,,,,,,318.78,200.19,225.19,224.81,155.56,,,,,,213.09,,,195.41,,,,,,,,,
2001-11-03 22:00:10.954000,L7,,,,,59.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.66,405.75,437.00,407.89,415.01,326.36,295.69,297.19,258.90,275.71,93.01,121.43,51.85,29.88,30.82,80.95,87.09,49.50,126.49,43.80,223.96,219.28,204.36,192.64,201.00,263.62,222.38,282.73,129.29,151.66,179.97,151.34,121.67,112.07,195.65,136.70,210.23,109.54,140.80,150.74,111.44,121.78,113.68,127.85,134.32,152.64,165.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-05 22:00:18.987000,L7,,,,,,,247.20,,,,,,235.31,151.21,157.87,162.09,156.97,148.14,,,,,,,,,,,,,,,,,,,,,,340.08,360.61,275.16,237.45,232.63,189.95,191.77,,,,,,,,,,,,,190.13,256.48,280.39,315.24,277.15,303.20,138.69,157.26,159.58,147.56,139.00,163.23,163.79,213.94,222.26,130.60,92.04,96.85,79.05,99.42,96.03,104.94,124.61,130.69,137.69,285.17,119.34,116.02,136.22,149.68,285.57,243.06,234.73,216.56,205.86,256.19,214.81,271.68,129.43,140.53,107.53,114.22,117.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-21 22:00:29.925000,L7,,,,,,,236.89,236.22,234.12,,,294.95,205.20,139.60,136.00,143.92,148.87,139.49,135.40,167.82,135.54,,,,,,,,,,163.22,111.47,121.97,131.11,139.92,140.76,,,,,,,,,,,,,,,,,,,,,138.47,168.87,172.04,168.75,233.25,297.45,250.25,268.00,,,,,,,,,,,,105.24,64.30,37.95,99.78,75.83,126.38,113.74,119.85,,98.00,102.62,147.02,188.80,,252.64,241.59,227.93,299.79,217.52,,,,,,98.56,85.94,,,,244.81,272.08,270.38,269.11,80.94,154.94,178.98,187.71,200.69,207.75,214.06,221.90,220.89,224.53,232.12,,,,,,,257.39,261.48,,,230.87,236.95,263.83,274.30,,,240.92,249.39,,,,,,227.93,199.71,186.88,196.85,242.39,,,,,,,,,,,,,,,,,,
2002-01-06 22:00:31.992000,L7,,,,69.37,72.30,90.55,327.24,302.68,209.47,,,,,137.49,109.47,105.89,100.31,109.05,119.77,133.72,155.24,144.67,146.48,147.57,163.23,69.91,76.12,86.73,97.81,111.00,123.42,131.37,132.18,142.20,156.69,146.50,,,,,,,,,,,,,,,,73.56,93.37,83.47,103.87,90.70,178.15,182.92,152.31,287.17,281.94,234.28,227.58,231.74,,,199.99,209.51,188.13,,,,,,,,,,,,77.97,79.92,86.23,,,,89.68,118.30,,,,,256.45,232.60,,,220.32,206.04,,,,,149.52,170.40,167.59,196.17,265.42,261.56,86.88,173.73,188.80,199.67,204.93,211.20,214.85,220.15,226.23,225.61,238.66,,,,128.85,,,255.25,261.43,,,200.07,204.11,260.47,280.81,285.67,278.73,246.48,250.15,,,,,23.75,201.76,,217.67,225.28,219.68,,,33.86,,,283.14,,,233.41,,,,,,11.40,,,
2002-01-22 22:00:40.906000,L7,,,,,,,305.10,234.26,223.41,,285.82,228.57,,146.48,171.84,148.38,93.51,,,,,,,,,,,,,180.16,187.29,193.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.40,257.18,255.46,270.93,337.44,176.20,194.71,193.30,189.43,218.47,214.76,239.37,,,,,,,,,142.78,70.05,133.64,164.84,,,,164.71,164.14,,,,188.38,238.63,269.48,,183.71,171.65,175.55,,,,,,,191.00,255.85,288.92,235.70,,,,,,,,,,,,,,,,,,,,,,195.31,199.45,210.67,249.57,255.02,309.44,,,,,,,,219.71,178.56,155.90,226.30,234.99,,,,,,,,,231.36,,,,,,,,,
2002-02-23 22:00:43.620000,L7,,,,,,,276.99,282.89,289.31,,291.84,277.17,216.43,,,,,,,,,,,,165.28,163.11,154.56,157.70,167.92,167.19,95.88,98.75,91.36,,,,,,,,,,,,,,,,58.73,46.49,,,,,,,,,,181.98,197.65,230.04,288.45,246.44,106.66,129.39,150.03,147.26,,188.77,213.25,204.10,179.02,160.57,177.28,,99.73,115.15,104.08,133.96,149.39,165.62,,,,,,,,,,,,269.71,218.91,214.83,,,,,,,,,,,,,,,,,,,,190.32,172.55,161.91,149.10,,,,,,,210.30,206.65,193.81,,,,,,,,181.67,196.16,,,,,,,,,,,40.71,,,,193.98,,,,,,,,,,,,,
2002-03-27 22:00:37.575000,L7,,,,,,76.74,,,,,,,,,,,,153.66,147.60,157.70,,,,,56.25,169.19,130.66,128.72,131.61,,173.05,170.88,114.69,110.04,180.02,,,,,,,,281.80,249.49,247.02,276.41,81.98,93.05,,,,,,,,17.08,,,,,,,,,,,,,,,116.20,109.72,136.79,132.10,127.72,156.41,161.07,163.77,169.11,73.90,75.94,85.89,,,121.60,159.54,,,,,,,,,,,,,139.10,,,,,,,,,,,,,,,,,,,,,161.76,99.75,86.62,88.81,157.81,176.51,215.55,241.77,191.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-12 22:00:37.812000,L7,,,,,,,213.14,,,181.58,188.98,190.32,200.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.73,286.87,,,,,153.46,173.56,188.46,203.27,193.96,206.67,184.29,,,,,,,,,,,,,,,,,,,234.55,,,,,184.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.15,,,,,,,,,,,,
2002-04-28 22:00:38.357000,L7,,,,,,,,234.03,256.31,232.71,229.63,266.03,,143.54,134.57,122.97,158.98,,,,,,173.98,169.32,179.27,175.71,172.83,162.23,169.04,175.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.04,159.24,177.44,172.97,175.84,175.51,,,,,,160.57,162.83,66.59,131.74,156.75,147.11,143.85,161.24,,133.27,166.99,169.81,144.27,,162.54,218.65,208.89,293.28,,,,188.78,164.92,,,,,,,205.19,192.45,262.09,268.42,,,,,,,,,,,,,,,,,,,,,,249.54,223.58,,,,,,,,,,,,232.26,,,,191.32,,50.35,,,,,,,170.76,,,,,,,,,21.74
