dates,nzd0121-0001,nzd0121-0002,nzd0121-0003,nzd0121-0062,nzd0121-0063,nzd0121-0065,nzd0121-0090,nzd0121-0091,nzd0121-0092,nzd0121-0101,nzd0121-0102,nzd0121-0103,nzd0121-0104,nzd0121-0140,nzd0121-0141,nzd0121-0142,nzd0121-0143,nzd0121-0144,nzd0121-0145,nzd0121-0146,nzd0121-0147,nzd0121-0148,nzd0121-0149,nzd0121-0150,nzd0121-0151,nzd0121-0152,nzd0121-0153,nzd0121-0154,nzd0121-0155,nzd0121-0156,nzd0121-0157,nzd0121-0158,nzd0121-0159,nzd0121-0160,nzd0121-0161,nzd0121-0162,nzd0121-0004,nzd0121-0005,nzd0121-0006,nzd0121-0007,nzd0121-0008,nzd0121-0011,nzd0121-0012,nzd0121-0013,nzd0121-0014,nzd0121-0015,nzd0121-0020,nzd0121-0021,nzd0121-0024,nzd0121-0025,nzd0121-0026,nzd0121-0057,nzd0121-0058,nzd0121-0059,nzd0121-0060,nzd0121-0064,nzd0121-0073,nzd0121-0074,nzd0121-0075,nzd0121-0084,nzd0121-0085,nzd0121-0086,nzd0121-0087,nzd0121-0088,nzd0121-0114,nzd0121-0115,nzd0121-0116,nzd0121-0117,nzd0121-0118,nzd0121-0119,nzd0121-0120,nzd0121-0121,nzd0121-0122,nzd0121-0123,nzd0121-0124,nzd0121-0130,nzd0121-0131,nzd0121-0132,nzd0121-0133,nzd0121-0134,nzd0121-0135,nzd0121-0136,nzd0121-0137,nzd0121-0009,nzd0121-0128,nzd0121-0129,nzd0121-0138,nzd0121-0139,nzd0121-0010,nzd0121-0076,nzd0121-0077,nzd0121-0078,nzd0121-0083,nzd0121-0089,nzd0121-0105,nzd0121-0106,nzd0121-0112,nzd0121-0113,nzd0121-0125,nzd0121-0126,nzd0121-0127,nzd0121-0070,nzd0121-0071,nzd0121-0072,nzd0121-0079,nzd0121-0080,nzd0121-0081,nzd0121-0082,nzd0121-0163,nzd0121-0164,nzd0121-0165,nzd0121-0166,nzd0121-0167,nzd0121-0168,nzd0121-0169,nzd0121-0170,nzd0121-0171,nzd0121-0172,nzd0121-0173,nzd0121-0016,nzd0121-0019,nzd0121-0022,nzd0121-0066,nzd0121-0067,nzd0121-0068,nzd0121-0176,nzd0121-0177,nzd0121-0178,nzd0121-0017,nzd0121-0094,nzd0121-0095,nzd0121-0096,nzd0121-0097,nzd0121-0098,nzd0121-0099,nzd0121-0174,nzd0121-0175,nzd0121-0040,nzd0121-0044,nzd0121-0045,nzd0121-0046,nzd0121-0061,nzd0121-0093,nzd0121-0107,nzd0121-0108,nzd0121-0109,nzd0121-0110,nzd0121-0023,nzd0121-0055,nzd0121-0056,nzd0121-0069,nzd0121-0179,nzd0121-0100,nzd0121-0027,nzd0121-0028,nzd0121-0111,nzd0121-0030,nzd0121-0043,nzd0121-0048,nzd0121-0049,nzd0121-0050,nzd0121-0051,nzd0121-0052,nzd0121-0053,nzd0121-0054,satname
1999-08-26 22:04:44+00:00,,,,,,,,,291.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.29,,,,,159.55,172.58,184.77,250.0,285.53,,292.1,,186.17,121.96,,,,,,,,,,,,,,,,,,,,,,,,188.36,228.44,223.88,,301.27,,,,,,,,,,133.9,218.79,210.59,255.95,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.74,,,,,,31.97,16.79,,,,,,,,,,,,,,19.3,,L7
1999-09-27 22:04:48+00:00,,,,,,,,,291.45,,,,,,,,,,115.94,,,,,,58.96,68.77,76.62,118.04,101.31,,,,121.78,,,,,,,,,,,,,,,,,,,36.295,54.76,35.03,,,153.65,166.675,174.895,264.53499999999997,276.595,,298.75,333.87,186.17,121.96,,,,,,205.77,143.23,,,,,,,,,,,,,,,,,170.04500000000002,196.87,223.88,285.66,301.27,,,,,,,,,,133.9,218.79,210.59,255.95,270.555,132.01,153.75,174.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.74,,,,,,31.97,24.285,,,,,,,,,,,,,,19.3,,L7
1999-11-14 22:04:42+00:00,,,,109.04,,59.52,,,291.45,,,,,127.01,134.29,,61.41,73.29,99.515,,,,120.86,,59.44,66.59,75.36500000000001,98.5,96.19,106.46,114.56,111.33,120.57,133.4,146.9,137.94,,,,,,,,,,,,,,,,47.71,48.195,42.175,,46.86,148.91333333333333,160.11,164.75666666666666,264.53499999999997,276.595,,298.75,341.245,166.41,121.96,,,,,,187.185,152.345,,,,,,,,,,,,52.38,76.03,84.23,104.38,,170.04500000000002,196.87,223.88,272.71000000000004,317.955,,194.3,,155.59,,,,155.6,120.73,135.715,218.79,204.11,254.655,270.555,127.22,155.235,176.87,188.6,197.84,209.05,218.86,224.18,219.48,224.33,233.44,,,,77.36,102.38,,257.42,,,,,,,,,,243.08,254.73,,,,,20.41,296.74,,,,129.43,,23.855,30.173333333333336,168.22,,,,,153.61,,,,,,,,19.3,60.6,L7
2000-01-01 22:04:37+00:00,,,,109.04,,78.37,,,291.45,,,212.78,218.32,127.01,134.29,,61.41,73.29,99.515,,,,120.86,,59.44,63.41,72.44333333333333,90.88666666666666,93.32,99.21,110.61,111.82499999999999,119.09333333333332,130.04000000000002,142.60000000000002,135.79500000000002,,,,,,,,,,,,,,,,47.71,48.195,42.175,,62.04,148.91333333333333,160.11,164.75666666666666,264.53499999999997,276.595,,298.75,341.245,173.38333333333333,121.96,196.09,210.56,,,,176.51666666666665,154.69333333333333,,158.08,,,,,,,,,,52.38,76.03,84.23,104.38,,170.04500000000002,196.87,223.88,272.71000000000004,290.2966666666667,214.31,211.37,194.75,164.7,190.48,168.12,188.06,155.6,120.73,135.715,218.79,204.11,254.655,270.555,127.22,155.43333333333334,175.02666666666667,184.225,177.935,205.455,215.54500000000002,219.85500000000002,202.365,207.79500000000002,230.99,,,,77.36,102.38,,256.855,,,,,,303.17,256.42,250.94,,243.45,252.1,,,,,20.41,281.795,,,185.09,146.97,,23.855,30.173333333333336,168.22,,,,,166.02,,,,,,,,19.3,60.6,L7
2000-05-24 22:03:46+00:00,,,,,,97.22,322.18,266.3,288.54,213.79,244.37,222.345,229.39,,,,,,,,,,,,,57.05,66.6,75.66,87.58,91.96,106.66,112.32,116.14,126.68,138.3,133.65,,,,,,,,,,,,,,,,,,,,77.22,,,,,,,,,184.135,146.61,177.655,192.285,,,167.24,161.82999999999998,171.98,,172.125,,,,,,,,,,,,,,,,,,,217.29,217.565,228.44,199.76999999999998,196.01,173.85,155.485,188.06,,,,,,,,,155.83,171.34,179.85,158.03,201.86,212.23,215.53,185.25,191.26,228.54,,,,,,,256.29,,,,,,307.5,262.34000000000003,261.48,209.29,243.82,249.47,,55.37,32.63,28.08,,266.85,,,185.09,165.265,,,,,,208.2,,,190.015,,41.06,,,,,,,,L7
2000-10-15 22:01:56+00:00,,,,,,,322.18,266.3,288.54,213.79,244.37,231.91,240.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.195,157.055,160.26,181.99,,,167.24,168.48,184.57,,186.17,,,,,,,,,,,,,,,,,,,199.6,220.82,,204.79,218.21,157.22,142.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.83,268.26,272.02,209.29,,,,55.37,32.63,28.08,,,,,,166.02,,,,,,208.2,,,201.6,,41.06,,,,,,,,L7
2001-03-24 22:01:59+00:00,,,,,,99.49,,,243.55,223.63,229.29,232.76,251.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.54,325.1,,,199.45,167.5,161.3,189.97,,,191.07,,,,,,,131.77,140.89,143.17,149.94,158.07,175.71,,,,,,,,,,,,223.6,253.19,224.17,180.48,170.57,165.02,,69.59,,,,,,,,,,,,,,,,,,,,,121.76,164.23,134.45,,,,,,226.49,,,,,,,,,,,,186.63,,,,,,,,113.88,,233.46,,,201.66,,,,,,,,,,L7
2001-10-02 22:00:04+00:00,,,,,,,,,,,,,243.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.2,222.42,209.84,218.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.14,223.3,,,,,,,,,200.19,225.19,224.81,155.56,,,,,,213.09,,,195.41,,,,,,,,,,L7
2001-11-03 22:00:10+00:00,,,,,59.02,,,,,,,,243.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.95,,49.5,126.49,43.8,,219.28,,,,263.62,222.38,,217.47,,179.97,151.34,,,195.65,136.7,210.23,,,,111.44,121.78,113.68,127.85,134.32,152.64,165.67,,,,,,,,,,,,210.2,222.42,209.84,218.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.14,223.3,,,,,,,,,200.19,225.19,224.81,155.56,,,,,,213.09,,,195.41,,,,,,,,,,L7
2002-01-06 22:00:31+00:00,,,,69.37,65.66,90.55,327.24,302.68,209.47,,,,243.38,137.49,109.47,105.89,100.31,109.05,119.77,,,,146.48,,,69.91,76.12,86.73,97.81,111.0,123.42,131.37,132.18,142.2,156.69,146.5,,,,,,,,,,,,,,,,77.255,,66.485,115.18,43.8,178.15,201.1,152.31,287.17,281.94,248.95,224.98000000000002,,217.47,,189.98000000000002,151.34,188.13,,195.65,136.7,210.23,,,,111.44,121.78,113.68,127.85,134.32,152.64,165.67,,,,89.68,118.3,,,,,256.45,232.6,210.2,222.42,215.07999999999998,212.27499999999998,,,,,149.52,170.4,,,265.42,261.56,86.88,173.73,188.8,199.67,,211.2,214.85,220.15,,225.61,238.66,,,,128.85,,,,,,,,204.11,260.47,280.81,233.14,223.3,246.48,,,,,,23.75,201.76,200.19,221.43,225.04500000000002,187.62,,,33.86,,,213.09,,,214.41,,,,,,11.4,,,,L7
