dates,nzd0438-0000,nzd0438-0001,nzd0438-0002,nzd0438-0003,nzd0438-0004,nzd0438-0005,nzd0438-0006,nzd0438-0007,nzd0438-0008,nzd0438-0009,nzd0438-0010,nzd0438-0011,nzd0438-0012,nzd0438-0013,nzd0438-0014,nzd0438-0015,nzd0438-0016,nzd0438-0017,nzd0438-0018,nzd0438-0019,nzd0438-0020,nzd0438-0021,nzd0438-0022,nzd0438-0023,nzd0438-0024,nzd0438-0025,nzd0438-0026,nzd0438-0027,nzd0438-0028,nzd0438-0029,nzd0438-0030,nzd0438-0031,nzd0438-0032,nzd0438-0033,nzd0438-0034,nzd0438-0035,nzd0438-0036,nzd0438-0037,nzd0438-0038,nzd0438-0039,nzd0438-0040,nzd0438-0041,nzd0438-0042,nzd0438-0043,nzd0438-0044,nzd0438-0045,nzd0438-0046,nzd0438-0047,nzd0438-0048,nzd0438-0049,nzd0438-0050,nzd0438-0051,nzd0438-0052,nzd0438-0053,nzd0438-0054,nzd0438-0055,nzd0438-0056,nzd0438-0057,nzd0438-0058,nzd0438-0059,nzd0438-0060,nzd0438-0061,nzd0438-0062,nzd0438-0063,nzd0438-0064,nzd0438-0065,nzd0438-0066,nzd0438-0067,nzd0438-0068,nzd0438-0069,nzd0438-0070,nzd0438-0071,nzd0438-0072,nzd0438-0073,nzd0438-0074,nzd0438-0075,nzd0438-0076,nzd0438-0077,nzd0438-0078,nzd0438-0108,nzd0438-0109,nzd0438-0110,nzd0438-0111,nzd0438-0112,nzd0438-0113,nzd0438-0114,nzd0438-0115,nzd0438-0116,nzd0438-0117,nzd0438-0118,nzd0438-0119,nzd0438-0120,nzd0438-0121,nzd0438-0122,nzd0438-0123,nzd0438-0124,nzd0438-0125,nzd0438-0126,nzd0438-0127,nzd0438-0128,nzd0438-0129,nzd0438-0130,nzd0438-0131,nzd0438-0132,nzd0438-0133,nzd0438-0134,nzd0438-0135,nzd0438-0136,nzd0438-0079,nzd0438-0080,nzd0438-0081,nzd0438-0082,nzd0438-0083,nzd0438-0084,nzd0438-0085,nzd0438-0086,nzd0438-0087,nzd0438-0088,nzd0438-0089,nzd0438-0090,nzd0438-0091,nzd0438-0092,nzd0438-0093,nzd0438-0094,nzd0438-0095,nzd0438-0096,nzd0438-0097,nzd0438-0098,nzd0438-0099,nzd0438-0100,nzd0438-0101,nzd0438-0102,nzd0438-0103,nzd0438-0104,nzd0438-0105,nzd0438-0106,nzd0438-0107
1999-11-21 22:12:47+00:00,,,,,,,,,,,176.21,,196.82,208.78,230.53,226.95,223.11,211.09,224.52,232.47,227.7,229.07,235.87,233.79,237.27,224.57,,,,,,,,,,211.9,227.56,223.44,209.9,207.68,210.36,212.09,219.09,223.61,198.33,208.83,224.26,225.73,223.61,245.49,243.53,241.38,249.66,228.89,210.1,232.12,236.78,231.15,230.4,219.57,206.7,220.17,,,,,,,,257.36,222.04,275.57,291.68,272.99,281.06,285.4,,,,,,,,,,,,198.35,220.45,235.41,229.11,211.75,217.07,240.4,241.96,232.22,237.03,230.71,237.71,242.79,222.76,193.92,174.78,228.94,231.61,244.41,208.52,217.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-28 22:18:56+00:00,,,,,,,233.98,222.08,220.86,239.82,178.265,183.31,196.84,209.60500000000002,233.43,230.605,226.23000000000002,211.09,224.52,232.47,227.7,229.07,235.87,233.79,237.27,224.57,,,,,,,230.51,228.73,217.59,216.5,228.84,224.255,212.12,207.755,212.10000000000002,210.97,219.11,225.13,198.14,214.85500000000002,226.22,231.51,221.05,244.485,243.78,245.315,249.005,227.95499999999998,197.70999999999998,233.68,237.935,237.04000000000002,235.46,221.095,212.665,229.805,240.14,,,,,,,252.89,222.415,279.46000000000004,293.4,272.775,282.08000000000004,288.81,272.34,,,,,,,,,,,198.35,226.83499999999998,236.39,230.64,218.035,217.165,240.055,241.79000000000002,231.435,234.97,233.405,235.41500000000002,245.29500000000002,223.93,196.40499999999997,180.42000000000002,232.215,235.29500000000002,251.10500000000002,205.865,206.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-07 22:12:53+00:00,,,,,,,233.98,222.08,220.86,239.82,177.33,181.73000000000002,193.83,208.20666666666668,231.56333333333336,228.49,223.04,199.22,223.34,231.28,227.76,224.89,230.565,224.755,235.04500000000002,218.51999999999998,,,,,,,221.435,222.18,212.41,213.14666666666668,224.53333333333333,220.79999999999998,214.16666666666666,205.1966666666667,211.01333333333332,211.33333333333334,221.06000000000003,224.26,197.73666666666668,212.40333333333334,224.4433333333333,230.04666666666665,222.86666666666667,241.00333333333333,243.02666666666667,242.71666666666667,245.88666666666666,226.62,201.22666666666666,233.28666666666666,238.08333333333334,234.40333333333334,236.98666666666668,222.00333333333333,214.32333333333335,230.68999999999997,239.74,,,,,,,254.81333333333336,222.30666666666664,278.84666666666664,287.7633333333333,271.1066666666666,282.08000000000004,288.81,272.34,,,,,,217.65,244.9,,,,198.35,223.99333333333334,234.43999999999997,233.1,215.71333333333334,220.05999999999997,239.06333333333336,241.74,230.26,231.06000000000003,233.84666666666666,235.51666666666665,241.40333333333334,224.46333333333334,198.08666666666667,180.42000000000002,231.4333333333333,233.76,248.82000000000002,204.55333333333337,209.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-07 22:10:17+00:00,,,,,222.34,,254.25,238.09,228.48,244.23,242.51,204.2,,211.05,236.6,232.05,233.34,,227.78,235.04,231.91,228.27,225.44,184.21,255.06,228.76,235.16,236.77,239.22,239.84,242.81,,233.13,231.66,,,,,,,,198.66,225.05,223.09,196.45,212.91,224.16,231.68,222.96,245.85,242.43,241.91,247.29,232.06,207.56,234.72,238.47,243.34,236.87,219.58,211.9,208.46,,,,,,,,,186.27,,240.32,,280.54,291.19,273.1,,,,,,,,,,,,222.57,239.06,242.4,,231.9,234.66,245.19,237.46,244.32,236.62,240.8,250.02,218.44,194.5,222.46,232.07,250.4,254.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-14 22:16:30+00:00,,,,201.83,213.49,,247.28,229.345,223.98,240.785,242.51,204.2,,211.05,236.6,232.05,233.34,,227.78,235.04,231.91,228.27,225.44,184.21,255.06,228.76,235.16,236.77,239.22,239.84,242.81,,233.13,231.66,,,,,215.82,210.6,214.85,198.18,222.44,225.07,200.795,216.22,224.495,233.435,226.805,245.85,242.43,241.91,247.29,232.06,213.445,235.975,240.785,243.585,233.745,221.825,211.9,208.46,,,,,,,,,186.27,275.95,268.52,278.16,280.54,291.19,273.1,,,,,,,,,,,,222.57,236.95,240.16500000000002,211.56,223.185,234.66,245.19,237.46,244.32,236.62,240.8,229.22500000000002,220.32999999999998,198.06,198.59,232.07,250.4,254.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-16 22:16:35+00:00,,,,201.83,213.49,,247.28,225.76666666666665,222.72666666666666,239.86666666666667,242.51,204.2,,211.05,236.6,232.05,233.34,,225.765,232.76,226.35500000000002,225.27,229.075,199.18,255.06,228.76,235.16,236.77,239.22,239.84,242.81,,233.13,231.66,,,,,215.82,210.6,212.595,197.82333333333335,219.37666666666667,221.61666666666667,200.795,216.22,224.495,233.435,226.805,245.85,242.43,241.91,243.31,227.78,197.19333333333336,234.2733333333333,240.785,243.585,233.745,221.825,211.9,208.46,,,,,,,,246.8,207.32999999999998,275.95,268.52,278.16,280.54,291.19,273.1,,,,,,,,,,,,215.36,227.28333333333333,240.16500000000002,212.67000000000002,214.56333333333336,234.66,245.19,222.63,230.365,229.23000000000002,217.48000000000002,229.22500000000002,220.32999999999998,198.06,198.59,232.07,250.4,254.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-10 22:10:27+00:00,,,,201.83,213.49,,247.28,226.0575,222.945,239.72,237.58999999999997,192.2,188.98,209.07,230.715,231.35000000000002,224.57999999999998,195.76,224.9766666666667,232.17666666666665,225.4466666666667,223.2266666666667,225.91333333333333,199.61,243.935,219.33999999999997,232.825,233.675,238.175,236.22,241.11,162.9,231.505,226.075,212.31,212.0,224.68,207.6,206.95999999999998,203.66,212.595,197.82333333333335,219.37666666666667,221.61666666666667,200.795,216.22,224.495,233.435,226.805,245.85,235.72,236.67000000000002,241.25,221.67999999999998,189.475,232.0775,240.785,243.585,233.745,221.825,211.9,208.46,,,,,,,,242.425,209.65,254.74,270.19,259.3,280.54,291.19,273.1,,,,,,,,,,,,214.20666666666668,221.925,240.16500000000002,208.34666666666666,214.56333333333336,234.66,245.19,215.97333333333336,225.78,225.25,209.28,233.56333333333336,219.65666666666667,193.85,189.95666666666668,232.07,241.25,250.75,199.2,198.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-26 22:10:30+00:00,,,,201.83,213.49,,247.28,226.54000000000002,217.22199999999998,239.238,237.58999999999997,185.83,193.46499999999997,208.52333333333334,229.71333333333334,229.46666666666667,219.66333333333333,196.95999999999998,223.195,230.42499999999998,222.9275,220.54,225.435,199.2425,239.99333333333334,213.97666666666666,229.72,230.73333333333335,238.175,236.22,241.11,162.9,228.34,223.84333333333333,210.685,211.015,222.715,212.465,198.08666666666667,203.66,212.595,197.82333333333335,219.37666666666667,221.61666666666667,200.795,216.22,224.495,233.435,226.805,245.85,234.04333333333332,236.01666666666665,239.51749999999998,217.6925,189.475,232.0775,240.785,243.585,233.745,221.825,211.9,208.46,,,,,,,,239.9333333333333,210.92,249.83333333333334,272.6875,259.83666666666664,280.54,291.19,273.1,,,,,,,,,,,,214.20666666666668,221.925,240.16500000000002,208.34666666666666,214.56333333333336,234.66,245.19,209.87,222.84,221.5125,205.29250000000002,235.48000000000002,217.435,192.0775,189.95666666666668,232.07,241.25,250.75,199.2,198.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-18 22:16:35+00:00,,,,201.83,213.49,,247.28,226.83166666666668,218.08666666666667,239.58333333333334,230.55666666666664,184.965,197.82333333333335,208.75,230.8925,227.64,218.3325,200.48333333333335,223.18200000000002,229.998,223.36999999999998,220.984,227.28000000000003,200.18800000000002,238.32750000000001,215.755,229.57,229.89000000000001,238.175,236.22,241.11,162.9,228.85,223.1225,209.78333333333333,211.08666666666667,223.06333333333336,212.25333333333333,201.20499999999998,201.25333333333333,210.87333333333333,201.15,217.85250000000002,221.5625,200.795,215.16666666666666,221.74,232.0666666666667,223.22333333333336,245.85,235.2025,234.6925,239.38400000000001,220.086,185.11399999999998,231.38000000000002,236.51,238.32333333333335,233.745,219.35666666666665,211.9,208.46,,,,,,,,239.0625,213.158,248.11,274.57,262.1875,280.54,291.19,273.1,,,,,,,,,,,,213.785,223.164,238.09,209.0675,212.5,232.785,226.195,211.60999999999999,221.54000000000002,221.996,207.308,237.32200000000003,217.292,192.55599999999998,186.8975,232.07,241.25,250.75,199.2,198.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-23 22:08:26+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.89,210.83,201.61,174.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
