dates,satname,nzd0438-0000,nzd0438-0001,nzd0438-0002,nzd0438-0003,nzd0438-0004,nzd0438-0005,nzd0438-0006,nzd0438-0007,nzd0438-0008,nzd0438-0009,nzd0438-0010,nzd0438-0011,nzd0438-0012,nzd0438-0013,nzd0438-0014,nzd0438-0015,nzd0438-0016,nzd0438-0017,nzd0438-0018,nzd0438-0019,nzd0438-0020,nzd0438-0021,nzd0438-0022,nzd0438-0023,nzd0438-0024,nzd0438-0025,nzd0438-0026,nzd0438-0027,nzd0438-0028,nzd0438-0029,nzd0438-0030,nzd0438-0031,nzd0438-0032,nzd0438-0033,nzd0438-0034,nzd0438-0035,nzd0438-0036,nzd0438-0037,nzd0438-0038,nzd0438-0039,nzd0438-0040,nzd0438-0041,nzd0438-0042,nzd0438-0043,nzd0438-0044,nzd0438-0045,nzd0438-0046,nzd0438-0047,nzd0438-0048,nzd0438-0049,nzd0438-0050,nzd0438-0051,nzd0438-0052,nzd0438-0053,nzd0438-0054,nzd0438-0055,nzd0438-0056,nzd0438-0057,nzd0438-0058,nzd0438-0059,nzd0438-0060,nzd0438-0061,nzd0438-0062,nzd0438-0063,nzd0438-0064,nzd0438-0065,nzd0438-0066,nzd0438-0067,nzd0438-0068,nzd0438-0069,nzd0438-0070,nzd0438-0071,nzd0438-0072,nzd0438-0073,nzd0438-0074,nzd0438-0075,nzd0438-0076,nzd0438-0077,nzd0438-0078,nzd0438-0079,nzd0438-0080,nzd0438-0081,nzd0438-0082,nzd0438-0083,nzd0438-0084,nzd0438-0085,nzd0438-0086,nzd0438-0087,nzd0438-0088,nzd0438-0089,nzd0438-0090,nzd0438-0091,nzd0438-0092,nzd0438-0093,nzd0438-0094,nzd0438-0095,nzd0438-0096,nzd0438-0097,nzd0438-0098,nzd0438-0099,nzd0438-0100,nzd0438-0101,nzd0438-0102,nzd0438-0103,nzd0438-0104,nzd0438-0105,nzd0438-0106,nzd0438-0107,nzd0438-0108,nzd0438-0109,nzd0438-0110,nzd0438-0111,nzd0438-0112,nzd0438-0113,nzd0438-0114,nzd0438-0115,nzd0438-0116,nzd0438-0117,nzd0438-0118,nzd0438-0119,nzd0438-0120,nzd0438-0121,nzd0438-0122,nzd0438-0123,nzd0438-0124,nzd0438-0125,nzd0438-0126,nzd0438-0127,nzd0438-0128,nzd0438-0129,nzd0438-0130,nzd0438-0131,nzd0438-0132,nzd0438-0133,nzd0438-0134,nzd0438-0135,nzd0438-0136
2002-01-20 22:15:01.686000,L7,,,,,,,,229.58,225.10,237.47,,,,,,,,,223.87,233.90,228.63,225.85,235.37,231.31,238.89,210.45,228.32,,180.43,240.37,238.59,156.54,229.01,226.13,218.25,213.58,229.24,212.94,207.82,204.98,,,,,,,,,,,233.92,237.34,245.41,208.51,,,,,,,,,,,,,,,,204.68,225.39,245.50,279.97,265.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.79,220.73,230.07,206.42,215.77,,,220.92,216.09,227.59,199.33,246.04,217.66,198.86,,,,,,
2002-01-29 22:08:45.213000,L7,,,,,,,,,,,179.26,172.33,182.83,189.95,225.30,223.81,212.80,201.41,222.43,226.89,224.86,225.77,232.78,237.18,233.23,221.65,229.85,224.08,,,,209.12,223.85,220.61,207.91,209.62,226.83,231.77,211.22,201.18,211.48,205.47,207.15,218.54,191.92,207.06,,,,243.39,240.00,237.43,238.37,225.36,195.06,228.59,226.21,226.45,230.28,217.08,168.17,,,,,,,,,245.59,220.27,219.75,243.00,270.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.61,230.07,238.76,211.55,222.36,238.72,240.15,223.35,216.35,233.59,232.14,242.34,217.06,189.05,175.88,231.15,233.15,245.09,,
2002-02-05 22:15:01.569000,L7,,,,,,,,227.36,215.84,200.33,,,,,,,,,,,,,,,231.50,208.43,224.89,229.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.48,214.68,189.64,206.66,,,,,,,,,,235.79,219.63,217.77,277.59,267.20,275.96,276.70,265.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.73,223.06,192.02,243.14,216.79,188.31,169.65,,,,,
2002-02-14 22:08:53.179000,L7,,,,,,,,,,,177.74,180.46,183.88,195.80,214.21,220.44,206.90,196.99,220.76,225.21,225.78,223.81,229.21,230.97,230.31,210.27,221.41,217.32,191.02,228.58,230.58,,221.67,217.57,207.54,204.99,219.15,218.22,218.99,218.76,218.37,228.50,241.32,233.64,229.90,237.91,232.13,243.70,237.72,243.60,239.69,219.43,233.59,237.81,236.13,234.68,242.08,245.03,244.18,230.10,239.99,241.83,245.11,248.54,246.91,240.81,240.14,243.58,229.58,256.35,261.13,201.74,285.26,285.01,286.23,279.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.82,225.24,221.71,251.37,255.43,264.04,269.52,227.21,241.80,245.71,245.65,235.12,234.02,250.77,247.41,226.37,219.69,232.68,246.20,246.38,239.79,240.69,236.36,229.41,232.99,,,
2002-03-09 22:15:05.816000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.76,203.90,186.92,219.19,207.19,218.99,,,,,,,,224.35,208.55,230.60,237.88,229.77,,,,,,,,,,,,241.63,195.13,220.58,276.04,268.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.51,221.89,197.88,167.87,,,,,
2002-10-12 22:07:38.359000,L7,,,,,,,,,,,,,,,,,,167.60,220.36,228.56,229.09,212.19,233.20,173.59,231.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31 22:08:20.096000,L7,,,,,,,,229.37,221.88,235.78,183.45,175.29,187.35,206.04,231.36,225.44,227.13,222.86,224.08,229.86,219.79,225.95,235.06,228.07,233.98,215.19,227.15,228.04,234.37,237.24,238.11,227.49,229.56,227.02,220.88,222.77,227.97,225.23,204.24,204.37,207.78,193.41,208.67,220.63,,,,,,244.21,243.38,236.84,242.52,225.47,166.25,230.21,173.07,222.73,229.60,215.39,189.72,219.56,,,,,,,,242.26,226.02,266.67,281.37,266.95,272.59,283.03,272.35,,,,,,,,,442.53,400.29,375.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.37,229.22,233.71,211.70,223.56,235.56,220.24,217.03,224.24,236.51,241.94,248.10,218.58,188.47,174.33,229.86,236.83,256.01,200.60,199.32
2003-01-07 22:14:28.836000,L7,,,,,,,,192.47,226.11,236.33,192.45,183.24,194.99,208.33,237.27,235.45,235.83,237.47,228.42,237.08,228.61,232.77,239.25,239.81,240.55,240.26,234.80,234.85,241.88,243.52,242.54,228.01,232.94,230.65,239.66,231.62,233.92,237.52,209.34,202.74,209.40,207.15,219.95,220.83,205.57,,,,225.37,248.75,241.86,241.06,244.84,223.69,206.48,234.88,231.23,240.95,230.76,222.10,205.77,225.99,217.57,220.65,,,,,224.12,253.71,227.87,274.61,285.98,274.29,274.47,280.73,274.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.45,235.53,239.79,217.32,230.56,242.88,242.30,234.10,240.95,239.27,246.82,252.17,226.59,193.73,175.00,199.57,244.77,259.97,211.58,215.14
2003-02-24 22:14:49.328000,L7,,,,,,,,,,,192.89,183.12,198.11,202.52,232.38,229.30,222.73,218.37,227.99,236.80,229.74,213.59,239.50,232.40,241.07,224.26,233.80,,,,,216.41,233.02,187.29,217.77,216.22,227.98,227.17,210.65,201.69,211.38,200.39,219.50,220.30,,,,,,,,,,,,233.25,227.36,236.38,,,,,,,,,,,,250.62,232.00,265.13,287.53,276.95,278.32,291.29,277.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.54,222.34,238.96,215.47,219.11,175.86,211.97,234.38,226.53,239.37,219.73,250.48,223.25,190.53,174.60,,247.74,230.38,208.98,171.61
2003-04-13 22:14:55.747000,L7,,,,,,,,,,,,,,,195.25,221.26,204.59,167.19,219.17,232.43,182.87,209.54,233.01,214.78,232.58,,,,,,,,,,,207.96,223.28,222.52,201.29,206.61,217.40,226.58,206.12,227.03,205.53,,,242.61,245.22,235.10,236.58,239.44,247.53,228.60,209.01,231.50,240.49,179.82,,,,,,,,,,,,237.58,227.46,233.45,280.15,272.58,211.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.55,190.75,242.36,218.56,232.78,234.76,246.46,224.97,237.37,181.89,,,192.46,202.87,220.37
2003-08-11 22:03:03.501000,L5,,,,,,,,,,,,,,,,,174.59,199.07,215.55,223.71,221.20,229.49,227.76,240.42,232.66,231.98,,206.73,216.07,216.70,218.42,218.28,222.06,213.38,213.78,220.88,232.29,236.12,244.09,239.22,245.05,247.89,256.77,243.73,245.10,247.61,247.66,244.33,237.50,238.31,248.90,240.21,231.97,243.57,244.13,245.05,254.09,235.43,230.41,232.85,229.31,226.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.12,241.03,230.86,250.43,257.56,262.98,273.24,257.32,259.13,256.34,252.04,235.88,245.53,256.37,265.78,252.28,238.03,252.91,255.42,258.92,259.23,244.52,236.70,232.75,235.23,199.89,233.61,257.21
2003-08-20 21:57:03.003000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.58,212.78,216.86,214.27,216.21,215.33,212.82,210.65,223.92,224.62,223.69,216.23,231.75,227.82,231.68,229.60,232.21,236.03,202.30,217.68,241.33,244.36,247.39,235.69,234.81,238.92,234.02,238.25,241.51,185.70,187.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.81,254.07,240.76,232.55,244.40,245.09,244.01,240.91,230.91,225.94,223.52,216.10,,,
2003-08-27 22:03:21.662000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.09,203.57,216.12,215.73,223.83,218.15,221.89,227.98,222.58,225.82,217.07,218.64,,,,217.02,223.08,228.00,226.11,219.05,224.35,220.38,224.30,,,,,,177.38,216.75,221.50,230.98,242.56,248.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.91,225.65,171.59,,,224.25,240.76,192.49,200.24,219.45,214.24,,,,,,,,,
2003-12-10 21:58:29.659000,L5,,,,226.44,234.12,243.36,230.17,242.42,242.35,235.05,255.71,256.22,228.32,238.68,248.94,250.31,242.86,236.17,241.16,242.36,246.33,246.86,247.66,260.80,259.35,259.05,256.90,257.72,255.20,255.51,249.04,241.90,243.62,244.53,236.21,242.17,246.13,257.12,255.85,264.76,266.17,269.11,275.36,267.35,267.16,264.58,263.19,267.14,263.80,261.73,257.52,266.18,270.96,266.20,271.46,271.05,272.97,275.36,263.78,259.26,260.22,264.85,265.57,267.37,267.12,275.37,277.23,273.75,282.07,292.87,303.10,310.17,303.27,307.87,310.25,307.70,291.37,193.34,165.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.26,220.26,258.82,263.89,273.62,281.22,283.99,285.42,286.71,272.68,273.38,267.31,262.78,265.61,269.14,268.57,262.69,260.74,263.85,266.07,275.79,270.56,264.03,247.95,247.83,251.00,257.45,256.99,275.34
2003-12-26 21:58:42.145000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.47,209.57,212.79,215.07,228.93,237.53,,,,,,,,219.41,226.47,233.56,240.14,243.62,244.59,245.52,241.50,248.39,253.65,253.19,246.56,236.41,243.19,238.63,247.27,255.12,258.19,278.73,279.88,300.48,231.14,291.36,199.10,182.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.03,210.68,213.41,224.68,235.76,238.96,239.04,249.56,250.90,245.44,226.94,242.10,234.13,250.66,233.78,191.04,180.60,220.43,223.56,228.09,218.99,221.04,227.73,228.95,230.08,236.79,253.35,275.52
2004-01-18 22:04:57.325000,L5,,,,237.87,244.64,255.13,234.84,240.16,234.27,230.88,247.31,245.19,226.54,229.14,246.35,251.13,243.26,248.38,252.79,249.41,252.88,246.48,241.77,250.11,243.79,244.64,241.30,239.07,252.56,256.64,257.18,256.60,247.45,251.19,243.14,244.53,246.24,237.66,248.51,244.63,242.24,251.48,258.28,265.63,270.48,275.77,276.39,275.57,274.27,264.11,246.50,246.02,247.00,240.62,252.67,249.05,257.92,275.72,266.20,269.78,273.69,280.80,279.65,272.66,264.63,263.04,261.75,262.02,264.93,273.00,286.01,306.13,313.99,322.91,323.18,323.56,313.23,231.60,163.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.63,235.36,256.30,256.92,266.97,275.13,275.73,277.20,290.97,291.01,280.56,278.57,278.49,271.53,267.17,258.37,239.63,235.01,248.82,249.43,257.45,255.32,264.97,262.73,260.72,267.48,265.89,275.71,286.58
