dates,satname,nzd0222-0000,nzd0222-0001,nzd0222-0002,nzd0222-0003,nzd0222-0004,nzd0222-0005,nzd0222-0006,nzd0222-0007,nzd0222-0008,nzd0222-0009,nzd0222-0010,nzd0222-0011,nzd0222-0012,nzd0222-0013,nzd0222-0014,nzd0222-0015,nzd0222-0016,nzd0222-0017,nzd0222-0018,nzd0222-0019,nzd0222-0020,nzd0222-0021,nzd0222-0025,nzd0222-0026,nzd0222-0027,nzd0222-0028,nzd0222-0029,nzd0222-0030,nzd0222-0031,nzd0222-0032,nzd0222-0033,nzd0222-0041,nzd0222-0042,nzd0222-0022,nzd0222-0023,nzd0222-0024,nzd0222-0034,nzd0222-0035,nzd0222-0036,nzd0222-0037,nzd0222-0040,nzd0222-0038,nzd0222-0039
1999-09-29 21:52:52.243000,L7,306.23,306.69,310.21,311.83,310.95,313.93,314.07,315.40,315.05,313.52,308.97,315.07,215.52,217.44,204.44,220.53,194.13,190.53,192.94,231.66,233.15,216.99,310.69,311.98,319.70,321.44,319.29,315.21,317.56,327.70,320.20,0.45,3.29,,,,,,,,,,
1999-10-15 21:52:49.322000,L7,305.84,306.41,310.74,310.51,313.65,316.14,315.78,317.23,316.15,313.17,309.33,317.71,315.07,319.79,248.95,316.06,313.84,312.10,96.12,311.38,311.43,309.83,312.14,314.80,319.08,322.30,319.24,317.33,327.66,334.50,332.13,7.10,9.75,300.50,303.95,306.78,313.17,,,,,,
2000-02-04 21:52:37.377000,L7,302.49,306.92,308.41,308.50,308.44,314.56,313.45,316.21,313.88,313.65,308.17,314.47,315.36,314.21,318.40,315.66,311.77,311.85,99.71,311.69,306.48,286.33,313.47,313.89,319.71,322.49,322.85,342.14,349.91,343.05,339.47,8.11,10.90,287.14,304.89,305.64,329.15,348.63,325.51,,,,
2000-02-20 21:52:29.720000,L7,294.57,304.44,302.52,307.84,306.06,314.29,311.35,315.59,312.96,310.11,307.51,313.27,203.42,221.81,197.37,216.08,218.56,219.53,215.67,229.82,226.38,,361.98,361.50,365.20,322.11,320.28,315.53,322.78,272.39,327.39,1.91,1.50,,,356.07,,,,,,,
2000-08-14 21:50:56.232000,L7,310.89,313.41,309.11,312.63,314.08,316.47,316.99,321.32,319.40,325.49,336.68,326.90,319.38,322.84,320.46,320.38,294.15,316.86,239.51,315.08,318.28,321.68,319.92,317.00,324.30,327.15,329.11,331.81,331.48,330.56,333.65,17.18,20.04,312.57,317.74,315.13,304.22,,,,,,
2000-09-15 21:50:25.712000,L7,,,,,,,,,,,,326.76,321.52,338.40,315.69,323.97,303.38,353.12,291.55,318.13,342.63,359.30,363.13,335.73,319.34,326.15,351.84,358.70,354.14,375.92,367.95,13.47,20.54,350.90,365.09,366.64,357.06,347.78,331.35,343.81,160.92,366.38,329.04
2000-10-17 21:50:01.277000,L7,,,,,,,,,,,,,,,,310.58,306.88,310.41,279.94,291.87,235.02,212.26,310.55,307.13,318.56,320.10,279.09,314.09,309.47,317.30,318.90,2.29,5.19,,,292.47,,,,,,,
2000-12-04 21:50:10.162000,L7,302.90,306.25,304.73,312.08,314.30,315.73,312.72,316.28,315.26,320.54,318.04,324.51,316.12,315.42,231.21,256.80,270.61,270.74,263.35,243.96,273.85,275.53,254.79,245.08,225.64,204.99,197.44,316.89,316.18,320.19,323.55,10.00,29.47,267.92,281.88,266.32,321.12,323.75,290.69,316.39,2.17,,
2000-12-20 21:50:16.996000,L7,310.28,370.35,375.90,346.55,366.99,317.66,318.29,321.78,320.51,323.77,319.09,327.11,320.88,366.62,228.77,252.01,256.70,381.38,396.69,388.98,396.77,422.01,374.64,347.63,346.70,331.22,190.24,363.04,363.74,374.67,373.97,12.93,273.82,373.82,380.66,373.78,377.50,286.46,353.80,370.05,,365.21,
2001-01-05 21:50:16.585000,L7,309.65,312.34,310.38,315.07,316.96,318.67,315.57,317.25,315.01,318.75,385.33,397.48,389.32,359.79,395.92,254.77,229.04,263.40,248.41,394.34,386.65,267.65,240.75,226.95,215.54,195.57,172.39,412.59,191.49,225.24,325.52,368.39,331.16,259.33,269.76,259.87,351.98,378.51,323.04,367.48,294.09,370.99,369.38
2001-03-10 21:50:10.732000,L7,296.66,301.52,299.72,306.90,304.38,308.12,308.70,308.40,308.84,311.04,307.06,315.17,312.80,309.07,315.09,311.40,305.14,309.40,305.53,309.56,304.07,230.07,274.48,311.68,272.55,321.54,319.78,314.82,318.05,317.69,314.69,,4.50,,,304.78,,,,,,,
2001-03-26 21:50:01.268000,L7,305.64,305.18,305.34,308.99,306.95,312.82,313.30,314.36,314.72,314.84,311.83,319.27,314.64,315.24,317.71,312.80,312.05,313.21,105.00,310.63,305.61,294.48,311.84,314.53,319.16,324.86,321.71,319.75,319.83,319.24,320.90,5.60,6.42,,302.56,285.97,313.96,,,,,,
2001-06-30 21:49:12.248000,L7,312.83,312.69,314.08,321.48,318.09,319.92,317.14,323.72,318.48,322.33,322.78,323.22,325.13,320.60,327.41,322.67,326.51,319.54,95.51,322.27,303.26,248.59,322.21,275.65,333.35,332.05,236.56,327.81,328.67,251.45,326.07,11.22,34.99,,,311.69,317.97,,,,,,
2001-09-18 21:48:17.356000,L7,306.73,308.15,311.48,310.59,307.93,316.23,317.34,318.72,316.42,315.91,316.24,320.68,325.69,321.78,319.51,287.14,319.84,315.19,111.02,315.81,317.02,312.01,322.83,316.64,326.27,328.23,329.43,319.35,322.85,326.77,316.45,2.71,5.30,,299.88,310.47,329.10,,,,,,
2001-10-20 21:48:09.707000,L7,311.50,310.33,315.40,316.39,317.88,325.47,325.38,325.09,329.35,322.04,322.30,322.91,323.86,322.33,250.07,325.75,321.06,280.73,107.50,284.09,315.87,315.06,320.04,339.04,330.23,343.43,346.39,324.43,322.61,253.67,325.98,0.66,5.13,,,308.81,330.55,,,,,,
2001-11-05 21:48:14.934000,L7,305.95,306.93,308.07,309.49,309.27,315.10,315.23,313.17,313.58,312.41,313.42,320.26,321.14,321.99,245.82,272.27,321.42,317.35,238.61,282.12,165.38,294.76,350.68,334.00,333.60,342.89,345.45,339.42,333.15,328.20,321.35,4.70,2.68,352.70,354.91,338.63,,,,,,,
2002-01-24 21:48:42.967000,L7,311.39,309.95,308.20,383.62,382.15,381.24,386.88,366.67,397.18,395.94,399.92,401.88,402.75,397.29,398.85,394.82,396.67,394.65,394.69,394.92,393.29,262.73,236.71,222.38,393.71,390.38,395.76,386.75,385.10,380.04,379.12,310.24,168.38,257.98,269.01,254.00,377.86,374.76,378.21,365.39,348.26,368.76,357.58
