dates,nzd0222-0000,nzd0222-0001,nzd0222-0002,nzd0222-0003,nzd0222-0004,nzd0222-0005,nzd0222-0006,nzd0222-0007,nzd0222-0008,nzd0222-0009,nzd0222-0010,nzd0222-0011,nzd0222-0012,nzd0222-0013,nzd0222-0014,nzd0222-0015,nzd0222-0016,nzd0222-0017,nzd0222-0018,nzd0222-0019,nzd0222-0020,nzd0222-0021,nzd0222-0022,nzd0222-0023,nzd0222-0024,nzd0222-0025,nzd0222-0026,nzd0222-0027,nzd0222-0028,nzd0222-0029,nzd0222-0030,nzd0222-0031,nzd0222-0032,nzd0222-0033,nzd0222-0034,nzd0222-0035,nzd0222-0036,nzd0222-0037,nzd0222-0038,nzd0222-0039,nzd0222-0040,nzd0222-0041,nzd0222-0042,satname
1999-09-29 21:52:52+00:00,305.47,,,,,,,,,,,,,313.48,315.27,,314.48,,,,310.84,,292.38,296.73,,,,318.22,319.99,317.58,312.35,,,,,,,,,,,,,L7
1999-10-15 21:52:49+00:00,320.47,,342.66,338.17,,,,,,,,,,332.43,332.935,,331.775,,,,329.30499999999995,,272.48,282.95500000000004,,,,323.07500000000005,330.805,332.45,327.45500000000004,,,,268.81,,,,300.71,,,311.22,270.4,L7
2000-02-04 21:52:37+00:00,311.60333333333335,303.15,324.06,323.025,,,166.07,222.48,248.58,247.99,249.37,244.78,241.55,324.4633333333333,326.6366666666667,275.8,315.11333333333334,279.48,305.9,307.2,322.21,309.11,280.94,288.6933333333333,303.34,309.59,310.71,323.07500000000005,326.61333333333334,327.45666666666665,323.91333333333336,315.84,331.68,339.19,285.63,,,,300.71,,,311.22,270.4,L7
2000-02-20 21:52:29+00:00,306.9075,302.865,317.02,323.025,,,171.87,225.375,249.495,248.75,249.685,245.655,242.205,320.82,323.6625,294.635,313.63,292.985,309.69,307.975,317.28749999999997,308.505,285.3625,291.2075,304.29999999999995,309.46,311.195,320.93666666666667,325.04,324.625,321.1625,317.30499999999995,329.93,331.695,294.46666666666664,,,,300.71,,,311.22,270.4,L7
2000-08-14 21:50:56+00:00,298.04499999999996,305.17499999999995,303.96000000000004,307.12,309.93,312.08,177.67,228.27,250.41,249.51,250.0,283.525,280.415,312.79999999999995,315.27,315.29,312.015,307.4,313.96500000000003,308.75,302.52,307.9,298.63,298.75,304.745,310.39,311.31,317.02,321.11,318.82,316.23,318.77,326.05,323.88,312.14,,,,,,,,,L7
2000-12-04 21:50:10+00:00,299.945,306.445,304.68,308.63,311.98,312.65999999999997,169.59,202.98,222.95,229.95,240.09,323.32,315.785,313.90999999999997,315.8,317.11,314.85,308.31,311.65,310.76,312.37,310.07,297.71,299.59,303.55,310.395,310.61,317.115,321.005,318.95,316.28999999999996,310.8,319.96000000000004,320.73,314.74,319.12,333.36,,,,,,300.91,L7
2000-12-20 21:50:16+00:00,300.7633333333333,305.81666666666666,304.5266666666667,309.0,311.33,312.5333333333333,169.59,202.98,222.95,229.95,240.09,322.83,315.56,313.40000000000003,315.8,317.11,314.85,308.31,311.65,310.76,311.34000000000003,310.07,278.92999999999995,284.265,303.55,310.395,310.61,317.115,321.005,318.95,317.4066666666667,312.685,319.96000000000004,320.73,314.74,333.935,329.25,,,,,,300.91,L7
2001-01-05 21:50:16+00:00,303.1625,307.39,306.5625,310.84749999999997,313.60249999999996,313.495,169.59,202.98,222.95,229.95,240.09,322.44,316.745,313.3125,318.43,319.70500000000004,316.175,312.40999999999997,313.73333333333335,313.59000000000003,312.52666666666664,313.69,289.17,291.44,305.63000000000005,312.06333333333333,313.33666666666664,319.05,323.06333333333333,321.21666666666664,320.2175,316.0933333333333,320.16,321.3433333333333,317.21500000000003,331.17333333333335,327.04,,,,,,300.91,L7
2001-03-10 21:50:10+00:00,300.4875,304.52,305.07,312.09,314.8266666666666,313.9666666666667,175.595,213.035,232.745,238.14999999999998,244.745,323.08,316.33666666666664,310.48,321.06,322.3,317.5,316.51,313.375,313.59000000000003,310.2925,310.97333333333336,290.4225,291.44,304.8433333333333,310.59999999999997,312.0,318.1333333333334,321.96,310.74333333333334,320.44,314.3225,316.85999999999996,318.24,317.21500000000003,331.17333333333335,327.04,,,,,,300.91,L7
2001-03-26 21:50:01+00:00,301.154,304.326,304.57800000000003,310.8175,313.0275,313.385,175.595,213.035,232.745,238.14999999999998,244.745,321.3425,314.91,310.106,317.055,316.73,313.605,312.595,309.80333333333334,311.24,309.82399999999996,309.475,290.852,291.44,304.39,309.82,311.375,317.3175,321.43,312.485,319.0575,313.886,316.09999999999997,317.89,317.21500000000003,331.17333333333335,327.04,,,,,,300.91,L7
