dates,nzd0185-0000,nzd0185-0001,nzd0185-0002,nzd0185-0003,nzd0185-0004,nzd0185-0005,nzd0185-0006,satname
2013-07-16 22:07:36+00:00,338.985,320.88,315.0466666666666,306.8775,293.36,286.15,273.89,L8
2013-11-05 22:07:46+00:00,333.215,321.9525,316.34499999999997,297.0675,284.0075,278.255,269.2375,L8
2013-11-21 22:07:37+00:00,333.215,321.9525,316.34499999999997,300.416,287.73,281.546,271.416,L8
2014-01-24 22:06:45+00:00,332.12,317.6,311.45500000000004,300.96666666666664,296.34000000000003,288.88,266.20000000000005,L8
2014-02-09 22:06:57+00:00,334.49333333333334,320.3233333333333,312.8866666666667,300.1175,293.42,287.29999999999995,267.40250000000003,L8
2014-03-29 22:05:52+00:00,336.09000000000003,322.825,315.4425,300.578,294.125,287.655,268.912,L8
2014-04-30 22:05:22+00:00,334.224,320.724,312.976,298.28833333333336,289.40999999999997,283.626,267.95166666666665,L8
2014-08-20 22:05:42+00:00,335.5833333333333,324.4933333333333,314.65333333333336,296.6166666666666,286.1933333333333,280.16333333333336,271.68666666666667,L8
2014-11-08 22:06:16+00:00,339.11,330.83,317.74,300.59,291.79,284.26,294.65,L8
2015-02-12 22:05:51+00:00,339.11,333.05499999999995,328.83500000000004,312.255,300.925,290.68,291.1033333333333,L8
2015-02-28 22:05:24+00:00,339.31,331.04499999999996,327.75,311.28,299.97,291.87,291.08,L8
2015-03-16 22:05:13+00:00,339.31,331.04499999999996,327.75,318.7,299.97,300.79,293.04249999999996,L8
2015-06-04 22:04:48+00:00,332.71000000000004,324.72666666666663,319.98,310.7275,299.97,300.79,286.60999999999996,L8
2015-07-22 22:05:13+00:00,331.51,322.525,317.2675,306.826,291.97,293.68,280.7825,L8
2015-08-07 22:05:16+00:00,329.5325,319.73199999999997,312.998,302.985,283.325,287.16400000000004,276.082,L8
2015-12-29 22:06:09+00:00,326.355,312.23999999999995,302.525,287.5,266.67999999999995,266.7250000000001,276.65000000000003,L8
2016-03-02 22:05:55+00:00,,342.22,336.45,312.96,304.4,299.77,296.47,L8
