dates,satname,nzd0185-0000,nzd0185-0001,nzd0185-0002,nzd0185-0003,nzd0185-0004,nzd0185-0005,nzd0185-0006
1999-09-29 21:52:52.243000,L7,328.90,308.76,300.44,284.44,268.22,267.70,264.90
1999-12-09 21:58:57.676000,L7,360.25,357.28,304.84,289.20,280.46,283.34,266.73
2000-03-14 21:58:35.291000,L7,363.23,354.66,341.55,365.60,344.22,341.37,328.08
2000-03-30 21:58:33.541000,L7,368.25,366.91,360.60,344.81,331.95,327.20,326.61
2001-01-12 21:56:30.696000,L7,342.94,270.44,274.46,,,,
2001-09-09 21:54:36.880000,L7,350.33,378.99,292.08,281.36,266.87,270.49,259.63
2001-09-25 21:54:28.694000,L7,,338.28,335.80,319.34,305.68,305.32,300.85
2001-10-11 21:54:09.862000,L7,,306.59,342.73,279.23,343.34,271.70,271.46
2002-01-24 21:48:42.967000,L7,,353.99,350.95,331.83,315.58,302.17,331.62
2002-02-16 21:54:54.191000,L7,333.15,,273.87,268.72,254.92,259.78,245.32
2002-02-25 21:48:47.943000,L7,393.07,351.17,352.50,341.24,326.34,315.13,322.62
2002-03-20 21:54:48.224000,L7,327.39,307.01,260.51,283.12,265.85,269.12,256.60
2002-08-27 21:54:00.253000,L7,354.15,351.59,267.20,283.43,267.22,268.25,269.60
2002-10-14 21:53:43.769000,L7,379.26,344.33,361.54,348.46,333.62,333.08,262.58
2002-10-23 21:47:39.211000,L7,338.30,308.90,302.56,285.03,271.26,258.25,251.32
2003-01-18 21:54:30.278000,L7,382.21,374.72,362.48,351.50,343.67,333.78,324.68
2003-05-10 21:54:46.466000,L7,,267.45,326.31,302.54,297.09,273.57,276.37
2003-05-26 21:54:43.917000,L7,348.60,354.06,329.22,286.70,271.30,273.97,288.36
2003-07-21 21:42:33.857000,L5,340.06,324.43,320.24,302.81,274.15,,
2003-08-06 21:42:51.203000,L5,337.15,320.64,311.92,299.79,274.75,,
2003-08-15 21:36:48.503000,L5,344.18,333.07,324.78,305.96,287.24,268.75,
2003-10-18 21:37:48.406000,L5,376.45,355.86,344.92,330.66,310.20,305.19,286.85
2003-10-25 21:44:04.226000,L5,374.89,358.17,346.19,338.51,338.58,331.22,312.58
2003-11-19 21:38:14.402000,L5,363.68,346.47,340.42,327.20,304.34,303.58,286.45
2004-02-14 21:44:57.678000,L5,396.28,378.72,375.67,365.48,340.67,332.86,307.65
2004-03-01 21:45:02.553000,L5,,,,,275.36,274.95,271.92
2004-03-17 21:45:08.368000,L5,366.64,342.73,334.67,316.98,301.97,298.14,278.68
2004-04-02 21:45:18.969000,L5,335.54,321.63,313.89,,,,
