dates,nzd0426-0000,nzd0426-0001,nzd0426-0002,nzd0426-0008,nzd0426-0009,nzd0426-0010,nzd0426-0011,nzd0426-0013,nzd0426-0014,nzd0426-0015,nzd0426-0016,nzd0426-0017,nzd0426-0018,nzd0426-0019,nzd0426-0020,nzd0426-0021,nzd0426-0022,nzd0426-0023,nzd0426-0024,nzd0426-0025,nzd0426-0026,nzd0426-0027,nzd0426-0028,nzd0426-0029,nzd0426-0030,nzd0426-0031,nzd0426-0032,nzd0426-0033,nzd0426-0034,nzd0426-0035,nzd0426-0003,nzd0426-0004,nzd0426-0005,nzd0426-0006,nzd0426-0007,nzd0426-0012,nzd0426-0036,nzd0426-0037,nzd0426-0038,nzd0426-0039,nzd0426-0040,satname
1999-11-21 22:12:47+00:00,,285.93,212.06,,239.06,260.4,278.79,255.48,242.05,205.68,239.57,233.92,239.22,234.92,215.65,247.17,237.82,237.78,246.35,241.36,246.03,231.61,222.01,241.45,236.01,251.62,257.42,,253.82,260.42,,,,,,,,,,,,L7
2000-11-07 22:10:17+00:00,,,,,238.22,248.42,279.02,,,,,,,,,238.31,234.85,237.91,247.33,242.83,247.83,213.67,227.89,240.24,219.94,259.94,264.55,,265.72,259.43,,,,,,,248.03,,,,,L7
2002-02-14 22:08:53+00:00,,297.86,201.06,,,,,247.71,234.75,229.38,238.22,227.9,232.75,201.09,231.92,233.78,,227.68,241.49,,,,,,,256.47,,,246.41,256.89,,,,,,,246.2,248.94,,,,L7
2003-08-20 21:57:03+00:00,,,,,,,,,,,,,,,,,,,,,,,305.45,307.59,300.4,306.09,320.16,318.03,311.12,301.48,,,,,,,293.59,286.47,209.74,220.3,226.36,L5
2003-12-10 21:58:29+00:00,312.21,310.85,,276.09,274.72,282.89,295.55,270.74,279.63,286.04,280.23,282.39,,277.37,279.95,280.91,,288.65,288.83,286.28,285.7,286.25,301.14,299.77,296.735,308.875,319.91,318.345,313.125,303.19,293.53,284.6,284.99,279.35,262.36,282.48,298.465,279.39,209.16500000000002,216.16500000000002,220.81,L5
2004-01-27 21:58:50+00:00,306.11,308.935,,281.585,279.83000000000004,283.71500000000003,299.14,274.885,279.08500000000004,280.94500000000005,275.45000000000005,276.12,272.06,272.5,273.745,275.35,,292.40999999999997,293.005,291.2,289.905,290.45,301.81,297.94666666666666,292.3433333333333,307.0933333333333,316.25,315.6066666666666,309.56333333333333,300.00666666666666,292.25,279.32500000000005,280.83000000000004,279.0,267.05,286.015,297.7133333333333,278.68333333333334,211.75666666666666,216.82666666666668,221.29999999999998,L5
2004-05-18 22:00:38+00:00,306.11,308.935,,274.1133333333333,279.83000000000004,283.71500000000003,299.14,274.885,279.08500000000004,280.94500000000005,275.45000000000005,276.12,272.06,272.5,273.745,275.35,243.12,284.66333333333336,283.73,281.88666666666666,280.51,280.9433333333333,290.16,286.87000000000006,280.24333333333334,307.595,305.9066666666667,304.24333333333334,308.785,289.76666666666665,292.25,273.78000000000003,273.31333333333333,270.96,259.13,286.015,285.8233333333333,267.83666666666664,212.765,215.09,218.76999999999998,L5
2004-11-26 22:05:17+00:00,,,259.75,251.89,245.15,,267.14,,,,,,,,,242.24,255.18,268.2,263.71,264.53,261.24,265.85,264.74,260.87,244.18,,274.66,274.66,264.35,260.92,248.85,235.68,246.52,245.08,239.27,248.38,,,,,,L5
2005-02-14 22:06:33+00:00,269.21,,264.88,245.21499999999997,238.95,,267.14,,251.52,249.99,243.1,233.66,,,,242.24,255.18,259.91999999999996,258.88,255.33499999999998,254.575,258.565,261.47,266.865,251.26500000000001,277.15,274.66,280.025,271.805,260.92,255.23000000000002,242.39,248.81,239.7,233.305,248.38,,,,,,L5
2005-03-02 22:06:47+00:00,265.975,,268.5,250.83,244.16333333333333,,264.725,,251.52,249.99,243.1,233.66,,234.88,243.07,244.95499999999998,257.93,264.28666666666663,262.80333333333334,260.8333333333333,258.03333333333336,259.06,263.87666666666667,266.65000000000003,252.86666666666667,271.14,278.45000000000005,279.83,275.34666666666664,266.625,258.06,245.70333333333335,251.86333333333334,244.60333333333332,237.31000000000003,251.1,268.15,,,,,L5
