dates,satname,nzd0378-0000,nzd0378-0113,nzd0378-0114,nzd0378-0115,nzd0378-0116,nzd0378-0117,nzd0378-0149,nzd0378-0150,nzd0378-0151,nzd0378-0152,nzd0378-0213,nzd0378-0214,nzd0378-0215,nzd0378-0216,nzd0378-0217,nzd0378-0218,nzd0378-0043,nzd0378-0044,nzd0378-0045,nzd0378-0047,nzd0378-0048,nzd0378-0049,nzd0378-0042,nzd0378-0046,nzd0378-0006,nzd0378-0007,nzd0378-0008,nzd0378-0009,nzd0378-0024,nzd0378-0025,nzd0378-0026,nzd0378-0027,nzd0378-0028,nzd0378-0029,nzd0378-0139,nzd0378-0140,nzd0378-0141,nzd0378-0142,nzd0378-0169,nzd0378-0170,nzd0378-0171,nzd0378-0172,nzd0378-0173,nzd0378-0030,nzd0378-0039,nzd0378-0040,nzd0378-0041,nzd0378-0102,nzd0378-0103,nzd0378-0104,nzd0378-0105,nzd0378-0106,nzd0378-0107,nzd0378-0108,nzd0378-0109,nzd0378-0118,nzd0378-0119,nzd0378-0174,nzd0378-0175,nzd0378-0176,nzd0378-0177,nzd0378-0184,nzd0378-0185,nzd0378-0186,nzd0378-0196,nzd0378-0197,nzd0378-0198,nzd0378-0199,nzd0378-0200,nzd0378-0201,nzd0378-0202,nzd0378-0019,nzd0378-0020,nzd0378-0021,nzd0378-0022,nzd0378-0023,nzd0378-0187,nzd0378-0188,nzd0378-0189,nzd0378-0190,nzd0378-0058,nzd0378-0059,nzd0378-0060,nzd0378-0061,nzd0378-0062,nzd0378-0063,nzd0378-0065,nzd0378-0066,nzd0378-0067,nzd0378-0038,nzd0378-0068,nzd0378-0069,nzd0378-0070,nzd0378-0071,nzd0378-0072,nzd0378-0099,nzd0378-0100,nzd0378-0157,nzd0378-0158,nzd0378-0159,nzd0378-0160,nzd0378-0203,nzd0378-0204,nzd0378-0054,nzd0378-0055,nzd0378-0056,nzd0378-0057,nzd0378-0064,nzd0378-0053,nzd0378-0095,nzd0378-0096,nzd0378-0097,nzd0378-0098,nzd0378-0168,nzd0378-0010,nzd0378-0210,nzd0378-0211,nzd0378-0212,nzd0378-0050,nzd0378-0051,nzd0378-0073,nzd0378-0052,nzd0378-0011,nzd0378-0012,nzd0378-0032,nzd0378-0033,nzd0378-0034,nzd0378-0035,nzd0378-0036,nzd0378-0037,nzd0378-0074,nzd0378-0077,nzd0378-0078,nzd0378-0079,nzd0378-0080,nzd0378-0081,nzd0378-0082,nzd0378-0083,nzd0378-0085,nzd0378-0086,nzd0378-0031,nzd0378-0001,nzd0378-0002,nzd0378-0003,nzd0378-0018,nzd0378-0004,nzd0378-0205,nzd0378-0206,nzd0378-0084,nzd0378-0017,nzd0378-0094,nzd0378-0087,nzd0378-0013,nzd0378-0014,nzd0378-0015,nzd0378-0016,nzd0378-0101,nzd0378-0207,nzd0378-0208,nzd0378-0191,nzd0378-0192,nzd0378-0193,nzd0378-0194,nzd0378-0195,nzd0378-0136,nzd0378-0209,nzd0378-0121,nzd0378-0122,nzd0378-0123,nzd0378-0124,nzd0378-0125,nzd0378-0147,nzd0378-0148,nzd0378-0137,nzd0378-0138,nzd0378-0075,nzd0378-0076,nzd0378-0133,nzd0378-0134,nzd0378-0135,nzd0378-0183,nzd0378-0120,nzd0378-0166,nzd0378-0167,nzd0378-0180,nzd0378-0181,nzd0378-0182,nzd0378-0110
2003-04-24 21:55:58.309000,L7,,404.71,330.32,363.68,388.38,,,,,,,,,,,,,,,331.91,332.99,291.16,,303.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-04 21:47:27.968000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.56,320.50,,,,,,,,,,381.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-23 21:49:45.084000,L5,387.90,,,,,,,,,,,,404.26,329.56,350.54,383.68,324.01,,336.44,332.58,,,369.88,299.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-11-12 21:52:15.232000,L5,,,,,,,,,,,,,,,,,302.41,317.12,290.94,,,,335.00,,,,,,,,,,,,,,,,,,,,,,350.07,324.52,344.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.99,327.66,368.07,371.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-21 21:54:22.812000,L5,,,,,,,,,,,366.76,344.11,374.35,307.60,,,,,,,,,,,,,,,,354.39,328.68,409.78,404.67,421.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.42,369.03,367.85,385.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.48,287.88,378.39,,,342.43,,,,,,,,,,,363.61,,365.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-08 21:54:44.925000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.67,308.57,,,,
2005-07-10 21:54:55.488000,L5,,,,,,,,,,,,,,,,,373.23,,,,,,369.58,,,,,,,,321.26,385.90,380.49,446.41,,,,,,,,,,358.16,279.01,299.61,314.26,,,,,,,,,,,,,,,,,,,,,,,,,,371.15,408.12,416.83,346.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.85,333.79,,,,,,,,,,,,,,,369.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-27 21:55:20.007000,L5,,,,,,,,,,,,,,,,,,,,,,,271.30,,,,,,335.34,326.66,,,,,,,,,,,,,,,359.54,304.14,310.44,,,,,,,,,,,,,,,,,,,,,,,,,333.12,296.44,311.83,325.19,345.38,,,,,369.92,387.90,310.50,,,,,,,320.93,,,,,,,,,,,,,,,,268.57,305.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-28 21:55:20.450000,L5,,,,,,,408.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.37,341.36,,,,,,,,,,,,,,,
2008-02-25 21:57:37.029000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.28,375.61,362.91,356.20,341.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
