dates,satname,nzd0218-0000,nzd0218-0001,nzd0218-0002,nzd0218-0003,nzd0218-0004,nzd0218-0005,nzd0218-0006,nzd0218-0007,nzd0218-0008,nzd0218-0009,nzd0218-0010,nzd0218-0011,nzd0218-0012,nzd0218-0013,nzd0218-0014,nzd0218-0015,nzd0218-0016,nzd0218-0017,nzd0218-0018,nzd0218-0019,nzd0218-0020,nzd0218-0021,nzd0218-0022,nzd0218-0023,nzd0218-0024
1999-08-21 21:46:33.053000,L7,377.01,362.07,351.41,338.01,323.00,345.48,337.26,339.08,332.20,330.12,338.80,336.58,351.48,338.57,324.76,334.18,321.13,309.45,305.95,310.30,337.46,324.11,346.44,365.28,358.73
1999-09-22 21:46:36.849000,L7,368.50,367.59,364.63,346.61,351.22,348.05,334.02,351.23,347.00,354.95,355.84,350.91,350.27,350.93,340.54,331.05,322.34,326.20,330.59,332.25,340.48,354.88,354.59,366.31,372.93
1999-10-24 21:46:32.266000,L7,390.48,391.27,373.64,367.28,379.99,372.24,340.66,374.19,367.43,380.17,362.12,360.18,361.70,363.58,362.79,348.98,338.15,333.49,334.29,343.11,351.87,357.31,358.35,367.64,366.83
2000-05-19 21:45:43.918000,L7,366.18,348.32,348.38,342.69,342.79,344.66,344.12,350.11,341.08,351.32,351.25,342.69,335.76,328.93,317.17,324.26,309.13,316.95,322.25,324.40,324.60,330.22,343.64,363.81,
2000-08-07 21:44:45.034000,L7,351.62,339.10,313.56,,,,,,,,,,,,,,,,,,,,,,
2001-04-04 21:43:43.008000,L7,382.96,379.11,368.76,360.62,360.39,362.98,343.88,363.37,357.79,363.80,365.17,361.26,354.80,358.41,356.10,352.21,349.77,342.80,,,,,,,
2001-04-20 21:43:46.702000,L7,,,,390.94,367.24,367.44,374.28,381.92,378.88,367.84,370.72,362.73,364.74,360.18,,,,,,,,,,,
2001-05-22 21:43:30.869000,L7,,,,366.40,346.47,350.48,337.10,353.20,345.06,353.23,343.59,344.44,,,,,323.70,334.61,339.91,341.31,346.17,346.29,357.90,365.58,362.41
2001-08-10 21:42:36.562000,L7,362.25,376.52,341.47,328.49,319.07,334.79,325.43,330.93,322.78,291.24,307.31,318.31,342.72,345.99,306.84,326.02,327.74,315.31,307.03,324.60,313.81,307.71,340.53,338.25,360.86
2001-10-13 21:41:51.963000,L7,,,,366.50,354.59,344.83,338.05,363.41,340.73,308.77,356.77,325.74,327.83,276.07,,310.35,321.76,328.61,332.84,338.78,347.25,343.78,348.39,362.16,370.21
