dates,satname,nzd0124-0000,nzd0124-0001,nzd0124-0002,nzd0124-0003,nzd0124-0004,nzd0124-0005,nzd0124-0006,nzd0124-0007,nzd0124-0008,nzd0124-0009,nzd0124-0010,nzd0124-0011,nzd0124-0012,nzd0124-0013,nzd0124-0014,nzd0124-0015,nzd0124-0016,nzd0124-0017,nzd0124-0018,nzd0124-0019,nzd0124-0020,nzd0124-0021,nzd0124-0022,nzd0124-0023,nzd0124-0024,nzd0124-0025,nzd0124-0026,nzd0124-0027,nzd0124-0028,nzd0124-0029,nzd0124-0030,nzd0124-0031,nzd0124-0032,nzd0124-0033,nzd0124-0034,nzd0124-0035,nzd0124-0036,nzd0124-0037,nzd0124-0038,nzd0124-0039,nzd0124-0040
2000-08-12 22:02:54.094000,L7,308.01,319.75,,,298.66,289.08,314.47,,229.34,264.12,216.84,318.18,,301.82,285.76,238.69,265.45,246.90,269.51,310.94,265.23,287.92,301.23,298.43,296.96,294.53,301.13,298.00,268.59,311.30,261.68,307.47,,231.59,,308.28,304.37,299.71,295.59,286.93,279.38
2000-09-06 21:56:22.949000,L7,,,,,,,,332.90,382.17,450.52,319.80,245.84,221.52,214.52,,,220.83,258.96,278.11,313.28,292.74,248.51,300.69,302.99,291.29,315.74,300.78,303.77,277.10,216.88,259.73,297.86,299.52,308.61,300.14,,305.52,298.10,294.41,285.72,278.27
2000-09-13 22:02:26.190000,L7,,,,,,,,,,,,,,297.33,283.69,240.64,283.98,234.94,272.55,312.17,183.61,283.96,288.11,292.52,278.61,,287.87,300.56,301.89,311.85,285.49,311.08,202.46,238.96,250.45,245.08,226.53,208.69,289.98,283.54,279.33
2000-10-15 22:01:56.204000,L7,,,,,223.93,336.74,167.20,312.64,257.94,348.27,424.30,324.20,303.30,378.03,285.24,252.68,294.83,256.09,225.85,171.76,295.29,295.48,302.87,310.86,293.54,308.00,309.52,308.75,314.54,314.84,295.66,311.99,312.03,318.12,312.81,313.97,,,,,
2000-12-11 21:56:00.959000,L7,308.51,316.99,316.38,285.56,287.55,289.27,259.80,280.74,234.07,320.83,266.59,216.60,291.36,288.99,300.85,311.45,266.96,232.88,272.53,309.92,290.20,281.75,291.84,296.45,292.04,294.15,304.25,307.42,270.31,228.41,204.28,215.93,267.88,312.09,316.05,314.39,307.11,304.25,296.32,283.20,
2001-01-03 22:02:12.432000,L7,251.78,316.26,315.87,314.35,295.89,285.94,315.03,465.63,462.15,438.67,439.71,428.57,428.12,297.65,274.14,243.90,257.55,248.53,239.10,307.14,256.50,289.03,298.49,299.12,298.42,301.86,304.07,305.17,310.74,316.18,297.67,311.65,316.20,318.92,313.43,314.30,308.16,306.93,299.36,287.66,285.25
2001-01-12 21:56:06.772000,L7,461.45,439.15,431.36,428.19,419.55,415.54,410.95,284.46,325.52,325.16,262.21,273.95,232.72,309.58,281.21,256.34,273.26,256.13,269.11,242.70,295.23,295.35,303.78,307.42,303.95,307.72,310.24,311.86,316.55,326.03,173.59,318.32,326.66,320.17,318.91,319.20,306.29,304.39,294.45,442.61,409.50
2001-02-04 22:02:14.384000,L7,521.23,503.51,492.77,433.08,480.51,302.80,427.30,492.58,497.02,479.99,488.62,487.38,468.73,328.27,386.74,460.69,290.51,266.51,280.57,373.45,437.60,473.07,310.79,362.37,366.86,432.10,425.88,424.06,430.35,436.39,428.07,366.30,488.93,499.69,498.28,448.77,437.77,401.14,377.54,337.25,310.70
2001-02-13 21:56:03.778000,L7,314.64,477.29,478.01,517.07,504.92,518.12,442.79,452.02,434.98,448.74,430.77,441.13,430.36,437.49,508.88,449.17,276.11,253.42,272.40,313.46,293.12,293.09,302.49,305.98,303.99,313.24,315.01,312.81,317.62,320.16,308.14,320.56,322.80,323.49,320.68,321.15,314.34,309.81,302.08,290.71,291.55
2001-03-01 21:55:57.624000,L7,485.31,427.14,457.69,452.50,280.62,189.11,203.88,285.19,326.24,323.61,267.57,318.33,291.57,307.17,292.65,248.18,387.78,388.90,388.38,391.30,367.59,371.06,374.08,401.89,290.28,296.34,302.20,302.47,391.08,391.82,380.95,389.45,394.83,394.15,400.64,370.79,,,,,214.63
