dates,satname,nzd0487-0000,nzd0487-0001,nzd0487-0002
1999-08-26 22:07:32.686000,L7,280.34,294.46,294.48
1999-12-16 22:07:33.708000,L7,,278.44,281.83
2000-05-08 22:06:44.900000,L7,348.27,380.83,391.28
2000-06-25 22:06:19.852000,L7,,291.35,307.93
2000-07-27 22:05:48.258000,L7,343.97,377.75,396.48
2000-08-12 22:05:41.803000,L7,321.55,365.95,368.05
2000-12-18 22:05:01.704000,L7,306.93,313.58,322.70
2001-01-03 22:05:00.181000,L7,268.67,276.30,277.95
2001-02-20 22:05:00.525000,L7,380.10,390.64,
2001-04-09 22:04:41.882000,L7,354.79,386.63,396.40
2001-07-14 22:03:33.580000,L7,,366.77,385.03
2001-07-14 22:03:57.537000,L7,277.38,366.62,382.58
2001-08-15 22:03:26.328000,L7,291.38,305.85,374.28
2001-11-03 22:02:34.745000,L7,316.17,340.44,353.71
2001-11-03 22:02:58.699000,L7,319.19,342.08,362.83
2002-03-11 22:03:31.366000,L7,289.72,290.81,289.14
2002-04-12 22:03:25.302000,L7,313.08,375.65,370.83
2002-05-30 22:03:13.672000,L7,292.38,376.71,398.24
2002-06-15 22:03:07.576000,L7,296.97,371.43,394.60
2002-10-05 22:01:55.235000,L7,,284.30,283.87
2002-11-22 22:02:21.568000,L7,377.83,371.99,378.24
2002-11-22 22:02:45.529000,L7,366.63,368.09,376.42
2002-12-08 22:02:27.564000,L7,337.59,278.50,281.39
2002-12-08 22:02:51.522000,L7,330.75,,
2002-12-24 22:02:33.044000,L7,349.28,362.05,375.43
2003-08-13 21:51:08.818000,L5,289.98,304.46,312.18
2003-08-29 21:51:49.928000,L5,279.20,277.74,288.19
2003-09-30 21:52:18.101000,L5,191.02,289.54,295.85
2003-11-17 21:52:57.120000,L5,302.65,300.27,303.30
2004-06-12 21:55:59.429000,L5,287.16,298.76,306.31
2004-07-30 21:57:15.668000,L5,354.07,380.50,393.75
2004-08-15 21:57:37.379000,L5,300.85,316.46,323.62
2004-10-18 21:59:11.702000,L5,285.17,294.19,307.10
2005-03-11 22:01:31.683000,L5,193.09,291.07,299.41
2005-04-12 22:01:42.862000,L5,310.53,317.06,328.55
2005-05-05 22:07:37.767000,L5,288.56,297.86,305.92
2005-09-19 22:02:44.739000,L5,290.15,299.68,305.22
2005-10-05 22:02:41.026000,L5,301.59,310.67,312.32
2005-11-06 22:02:46.848000,L5,291.53,307.42,323.70
2006-07-04 22:07:29.185000,L5,,291.13,301.89
2006-08-05 22:07:55.109000,L5,289.74,305.48,316.37
2006-10-08 22:08:40.914000,L5,284.93,290.90,298.85
2006-12-11 22:08:52.184000,L5,300.91,305.35,314.93
2006-12-11 22:09:16.015000,L5,289.14,297.35,307.33
2007-09-09 22:07:45.163000,L5,287.66,298.61,304.99
2007-09-16 22:13:28.554000,L5,320.03,335.24,345.29
2008-11-14 21:57:52.281000,L5,178.69,296.46,306.11
2010-02-05 22:05:29.575000,L5,276.95,279.91,288.43
2011-01-30 22:10:20.732000,L5,277.42,,
2011-02-08 22:04:35.159000,L5,274.39,,
2011-02-15 22:10:22.480000,L5,391.86,,
2011-03-12 22:04:31.079000,L5,282.36,292.05,300.95
2011-03-28 22:04:02.070000,L5,289.45,299.69,308.37
2013-06-28 22:22:20.943000,L8,277.92,292.93,304.85
2013-07-07 22:16:11.966000,L8,278.53,289.02,296.08
2013-07-07 22:16:35.929000,L8,279.94,290.22,298.34
2013-07-23 22:16:10.674000,L8,,277.89,286.29
2013-07-23 22:16:34.633000,L8,,284.41,290.60
2013-09-25 22:16:04.975000,L8,271.16,281.01,285.07
2013-09-25 22:16:28.938000,L8,271.52,281.33,285.49
2013-10-02 22:22:16.506000,L8,,275.68,282.05
