dates,satname,nzd0475-0000,nzd0475-0001,nzd0475-0002,nzd0475-0003,nzd0475-0004,nzd0475-0005
1999-12-16 22:07:09.748000,L7,312.68,297.46,299.69,306.16,305.73,294.86
2000-03-21 22:06:49.022000,L7,282.42,280.07,298.86,289.02,277.84,
2000-06-25 22:05:55.844000,L7,,270.94,296.31,298.60,293.90,302.05
2000-07-27 22:05:24.302000,L7,,283.77,313.32,321.00,302.62,334.92
2000-08-03 22:11:31.842000,L7,,272.02,309.66,304.91,317.70,330.83
2000-08-12 22:05:17.927000,L7,302.81,295.55,390.75,383.49,328.21,313.89
2000-09-20 22:10:50.972000,L7,302.61,286.13,301.59,299.74,295.65,293.40
2000-12-18 22:04:37.758000,L7,315.95,318.81,325.31,322.58,297.00,327.33
2001-01-03 22:04:36.218000,L7,337.10,299.18,301.64,306.18,299.91,301.52
2001-02-20 22:04:36.568000,L7,315.25,285.59,339.86,304.58,301.82,296.39
2001-04-09 22:04:17.927000,L7,,282.52,299.84,303.97,300.10,295.88
2001-06-28 22:03:32.813000,L7,,268.84,306.34,303.50,300.07,310.17
2001-07-14 22:03:33.580000,L7,,275.68,309.03,305.21,339.46,
2001-08-15 22:03:02.378000,L7,,276.09,299.67,296.62,302.64,297.44
2001-11-03 22:02:34.745000,L7,334.26,311.59,312.46,316.68,304.28,302.25
2002-05-30 22:02:49.483000,L7,,277.78,299.21,300.43,301.64,302.11
2002-11-22 22:02:21.568000,L7,310.95,296.39,305.71,304.37,300.31,304.82
2002-12-08 22:02:27.564000,L7,300.37,286.33,291.83,296.85,289.40,290.50
2003-08-13 21:51:08.818000,L5,,296.74,307.71,304.14,306.26,293.81
2003-08-29 21:51:26.098000,L5,292.02,306.96,310.25,303.67,292.59,277.07
2003-09-14 21:51:42.461000,L5,314.84,300.20,308.73,307.73,306.72,303.91
2003-10-16 21:52:08.058000,L5,318.36,300.93,310.41,315.78,313.42,310.29
2003-11-17 21:52:33.290000,L5,312.38,296.53,303.05,299.09,294.15,296.37
2004-06-12 21:55:35.599000,L5,,,280.93,285.95,293.88,273.99
2004-06-28 21:56:04.477000,L5,,272.45,304.37,301.48,301.48,292.39
2004-07-30 21:56:51.838000,L5,300.22,291.70,311.23,310.71,317.44,305.76
2004-08-15 21:57:13.549000,L5,302.92,292.93,307.62,300.41,303.62,297.99
2004-10-18 21:58:47.729000,L5,347.87,323.78,329.45,328.23,324.18,318.11
2005-03-11 22:01:07.710000,L5,329.98,303.04,315.04,309.68,304.31,293.40
2005-04-12 22:01:18.889000,L5,330.80,313.20,320.72,323.42,324.24,318.82
2005-07-08 22:08:03.465000,L5,,,,308.14,308.62,303.48
2005-10-05 22:02:17.195000,L5,318.41,295.67,303.08,302.72,299.95,298.11
2005-11-06 22:02:22.875000,L5,337.78,318.15,326.21,321.88,319.23,305.03
2006-02-17 22:10:58.804000,L5,341.08,312.86,316.68,315.67,364.63,
2006-02-26 22:04:59.098000,L5,335.15,316.54,313.66,308.25,317.02,305.15
2006-08-05 22:07:31.136000,L5,,304.16,303.44,306.30,302.66,289.81
2006-08-21 22:07:43.467000,L5,301.59,293.77,303.17,302.10,300.69,294.34
2006-12-11 22:08:52.184000,L5,361.00,333.54,338.87,336.90,335.21,329.34
2007-02-13 22:09:11.063000,L5,332.21,315.50,324.89,322.82,310.87,309.82
2007-09-09 22:07:21.190000,L5,318.90,300.18,311.99,308.90,309.93,301.94
2007-09-16 22:13:28.554000,L5,337.43,317.03,322.88,322.53,319.64,290.11
2008-02-16 22:04:45.714000,L5,316.54,302.09,311.24,305.75,311.62,309.91
2008-11-14 21:57:28.308000,L5,339.84,309.63,314.23,308.49,302.39,294.13
2008-11-14 21:57:52.281000,L5,336.10,307.60,312.29,306.47,300.29,290.49
2009-01-01 21:58:55.309000,L5,322.28,296.05,308.39,305.30,304.44,305.22
2009-01-17 21:59:20.568000,L5,306.92,291.16,301.20,294.54,291.49,296.66
2011-01-30 22:10:20.732000,L5,339.91,321.90,325.91,323.41,322.49,316.39
2011-02-08 22:04:11.186000,L5,339.27,315.50,323.02,319.99,314.85,313.96
2011-03-12 22:04:07.249000,L5,304.58,286.85,295.55,291.08,282.50,286.83
2011-03-28 22:04:02.070000,L5,299.20,283.14,290.90,288.11,290.97,276.56
2013-05-11 22:22:18.973000,L8,276.06,270.39,298.52,270.82,,
2013-09-25 22:16:28.938000,L8,315.72,295.65,308.01,310.03,302.75,306.99
2013-10-11 22:16:05.328000,L8,326.70,302.73,313.13,312.38,310.40,309.61
2013-10-11 22:16:29.291000,L8,309.13,290.60,301.73,302.02,299.56,300.78
2013-10-27 22:15:55.590000,L8,322.32,297.62,305.94,310.30,303.91,308.30
2013-10-27 22:16:19.549000,L8,322.28,297.52,305.95,310.29,303.84,308.22
