dates,satname,nzd0521-0000,nzd0521-0010,nzd0521-0011,nzd0521-0012,nzd0521-0013,nzd0521-0014,nzd0521-0015,nzd0521-0016,nzd0521-0026,nzd0521-0027,nzd0521-0028,nzd0521-0029,nzd0521-0030,nzd0521-0031,nzd0521-0032,nzd0521-0033,nzd0521-0034,nzd0521-0035,nzd0521-0036,nzd0521-0037,nzd0521-0038,nzd0521-0039,nzd0521-0041,nzd0521-0042,nzd0521-0043,nzd0521-0044,nzd0521-0045,nzd0521-0046,nzd0521-0047,nzd0521-0048,nzd0521-0049,nzd0521-0050,nzd0521-0051,nzd0521-0052,nzd0521-0053,nzd0521-0054,nzd0521-0055,nzd0521-0056,nzd0521-0057,nzd0521-0058,nzd0521-0059,nzd0521-0060,nzd0521-0061,nzd0521-0062,nzd0521-0063,nzd0521-0064,nzd0521-0065,nzd0521-0069,nzd0521-0070,nzd0521-0071,nzd0521-0078,nzd0521-0079,nzd0521-0080,nzd0521-0081,nzd0521-0082,nzd0521-0083,nzd0521-0084,nzd0521-0085,nzd0521-0086,nzd0521-0087,nzd0521-0089,nzd0521-0090,nzd0521-0091,nzd0521-0092,nzd0521-0093,nzd0521-0094,nzd0521-0095,nzd0521-0096,nzd0521-0097,nzd0521-0098,nzd0521-0099,nzd0521-0100,nzd0521-0066,nzd0521-0067,nzd0521-0068,nzd0521-0072,nzd0521-0073,nzd0521-0074,nzd0521-0075,nzd0521-0076,nzd0521-0077,nzd0521-0001,nzd0521-0020,nzd0521-0021,nzd0521-0022,nzd0521-0023,nzd0521-0003,nzd0521-0004,nzd0521-0005,nzd0521-0006,nzd0521-0007,nzd0521-0008,nzd0521-0009,nzd0521-0017,nzd0521-0018,nzd0521-0019,nzd0521-0025,nzd0521-0040,nzd0521-0088,nzd0521-0002,nzd0521-0024
1999-08-17 22:13:37.953000,L7,,,,,,,,,,,365.02,372.38,360.51,355.64,385.87,378.29,377.11,376.67,378.40,370.89,333.06,324.09,317.94,337.23,352.98,327.18,331.64,379.93,393.44,338.70,335.90,336.51,,,,337.96,359.72,342.00,324.06,330.97,335.02,318.61,338.14,347.98,344.13,,,,,,351.05,391.15,340.33,337.38,380.40,388.65,390.58,397.41,,,,,,,,,,476.25,454.61,449.28,442.29,,,,,,,,,,,317.69,,,,,380.46,367.46,359.95,,,,,,,,,316.24,,368.04,
1999-11-05 22:13:40.966000,L7,208.86,364.36,285.94,318.48,348.01,366.75,376.36,385.09,306.33,344.16,338.94,337.41,332.33,325.65,318.84,312.49,312.46,275.76,295.52,313.15,311.21,292.04,286.34,319.34,322.48,314.38,316.41,316.51,363.65,356.39,353.00,362.91,374.12,270.62,376.31,357.92,388.84,384.32,359.35,349.45,348.10,326.44,320.61,326.31,304.10,305.53,293.45,365.83,389.27,343.97,326.05,339.04,330.26,330.55,344.72,357.88,358.02,433.17,410.96,410.70,401.11,420.57,321.59,348.25,383.44,401.51,427.41,452.55,451.06,428.17,411.26,408.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-07 22:13:41.663000,L7,,368.52,392.05,329.54,354.26,364.02,372.71,368.41,351.05,347.59,344.74,347.72,342.63,333.50,325.70,317.60,309.90,283.91,307.21,320.17,317.63,386.05,371.94,318.42,379.22,375.26,375.49,373.27,360.08,359.85,300.11,358.13,359.75,358.89,361.68,356.34,352.46,341.68,323.80,327.22,331.82,328.21,325.36,334.27,306.95,340.45,,415.47,409.95,399.42,355.29,356.03,352.82,357.45,,,,,395.58,396.81,401.17,375.57,416.30,441.50,451.70,450.15,480.45,430.02,427.57,426.21,425.39,422.26,,,432.34,368.83,364.74,374.34,379.41,395.09,308.64,,353.65,349.40,347.53,352.06,324.17,345.80,348.43,346.84,351.16,365.47,371.39,362.13,354.83,346.87,,370.31,401.62,,
1999-12-16 22:07:33.708000,L7,,,371.99,326.71,348.18,357.67,370.05,366.40,350.66,352.90,346.87,346.05,388.02,382.78,373.99,366.64,368.93,376.93,373.27,379.48,365.44,388.10,311.60,380.17,363.50,355.13,356.99,354.01,342.57,331.09,331.10,330.95,340.61,309.62,365.25,379.02,355.52,345.56,322.75,316.59,,,,,,,,398.69,366.06,398.23,412.84,,,,,,,,,385.69,390.77,384.82,363.56,410.85,420.58,413.17,453.96,483.01,423.69,420.81,417.45,422.35,422.75,421.26,401.56,378.00,352.54,361.83,354.72,379.75,394.96,,352.42,348.79,348.18,351.97,329.94,347.61,350.84,352.26,348.94,371.76,,360.42,353.86,345.91,,377.79,384.45,,
2000-05-08 22:06:44.900000,L7,,,,,,,,,,357.79,355.40,349.27,347.09,339.05,391.32,386.16,381.48,380.01,372.22,382.74,365.90,372.30,334.87,351.01,343.36,339.72,349.02,351.63,364.21,311.60,295.46,303.43,312.18,322.45,323.16,376.57,359.07,382.57,330.87,357.72,364.78,365.63,357.60,349.54,355.00,342.09,344.51,,,,328.23,371.40,389.44,380.60,,,,,,,399.77,399.88,377.76,446.39,394.90,415.71,431.85,449.51,,,,,325.26,,,,,,,,320.87,,,,,,324.97,365.66,365.41,360.32,,,,,,,,359.04,,,
2000-05-15 22:12:54.183000,L7,211.54,,,,,,,,,,,,,392.41,376.50,377.83,376.17,326.74,376.95,372.53,,,,,,335.10,354.52,375.58,354.33,,,,,,,,,,,,,,,,,,312.53,417.97,391.30,395.03,326.48,373.11,,,,,,,,,,407.97,410.60,426.49,446.79,,,,,,,,344.06,359.13,370.80,368.47,336.53,357.15,328.15,315.62,340.30,,,,,,,,,,,,,,,,,,,,
2000-06-16 22:12:38.425000,L7,,,,,,,,,,360.09,325.61,345.25,336.26,344.80,309.41,275.07,276.02,,302.67,319.18,326.33,329.40,312.48,319.98,334.33,392.63,381.76,383.04,377.39,292.14,291.75,288.61,302.48,318.71,293.33,,,,,290.85,311.94,312.79,305.78,305.33,290.68,291.30,278.59,,,,315.94,324.08,328.39,331.44,350.31,360.18,359.35,370.34,379.11,377.34,371.67,369.29,350.85,360.01,382.48,400.29,410.14,409.14,406.47,400.90,410.09,387.88,,,,,,,,,,,,,,,,,,,,,,,,,,307.61,370.29,,
2000-06-25 22:06:19.852000,L7,298.87,,366.76,378.62,,,,,,,,,,,,360.19,354.47,324.38,341.72,370.42,316.38,319.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.63,433.16,463.21,,,,,,,,,,,,,,,242.58,278.80,255.60,267.77,293.25,,,,,,,,,,,,,,,
2000-09-20 22:11:14.930000,L7,,353.99,297.03,,,339.51,354.91,348.70,334.09,336.53,334.36,323.94,324.92,315.86,305.57,300.64,301.04,277.99,,305.63,307.97,311.34,300.65,311.29,312.59,301.70,310.22,300.16,296.41,287.73,292.69,285.46,294.44,277.18,,,,,,276.41,304.42,303.19,301.89,295.92,290.86,298.12,,,,,,314.35,321.66,329.87,344.16,355.06,360.44,368.78,371.93,372.59,355.57,356.84,349.99,366.51,376.96,396.72,424.13,425.63,424.06,444.79,415.52,433.08,,,,,,,,,,,347.68,332.41,326.80,343.80,304.10,326.80,332.47,334.93,337.66,347.57,359.84,347.33,332.56,305.69,336.79,303.58,375.06,,341.50
2000-12-18 22:05:01.704000,L7,317.37,380.71,,318.93,338.52,355.16,361.66,355.42,349.75,351.84,342.26,339.11,333.05,328.91,316.75,306.56,298.78,280.21,297.47,318.35,316.85,314.32,302.61,315.86,320.31,317.15,317.52,313.23,310.33,292.63,298.11,298.25,305.81,307.39,310.95,268.00,270.29,273.17,283.68,291.29,316.51,311.23,310.93,308.93,304.14,295.68,321.93,418.43,416.05,421.58,407.22,347.16,346.06,346.96,,,375.34,382.26,394.31,397.14,394.08,390.19,355.54,365.51,381.56,412.55,460.53,465.48,423.45,448.66,452.53,411.71,314.44,449.03,433.14,400.02,371.88,364.22,362.52,365.11,398.70,,344.65,344.16,335.29,352.09,327.72,346.93,346.78,344.56,347.49,357.22,366.98,353.09,350.12,338.59,348.07,309.61,407.77,,
2001-01-03 22:05:00.181000,L7,,358.25,373.13,318.94,340.23,357.15,361.96,358.17,348.52,353.41,343.20,341.81,339.22,329.97,325.88,315.39,308.48,281.56,301.30,318.80,316.50,314.30,303.13,316.31,320.59,316.38,314.88,308.72,311.75,297.73,298.94,299.67,304.54,310.07,308.52,284.55,275.41,288.07,304.96,288.87,307.10,309.53,310.10,301.26,294.01,294.24,354.20,,,,346.67,351.48,351.82,352.71,365.96,379.03,381.70,392.70,392.42,399.48,401.56,400.69,404.27,420.42,429.92,432.84,455.43,469.73,471.20,424.39,418.18,418.99,306.11,,,,,,312.80,269.34,325.98,,345.68,348.21,344.05,348.96,314.36,334.65,334.16,339.35,347.25,354.49,366.80,353.50,349.61,344.89,344.03,310.40,408.05,,347.44
2001-02-20 22:05:00.525000,L7,,366.03,357.46,387.75,345.55,356.38,367.90,359.01,351.02,351.95,345.35,343.61,339.14,329.49,322.06,315.60,311.75,280.20,298.21,319.12,316.34,314.09,306.14,323.63,324.10,322.78,318.36,317.04,314.01,297.02,298.69,299.51,306.24,310.20,314.83,273.28,347.02,343.36,331.62,337.79,348.64,355.93,356.88,356.40,353.74,363.71,370.77,,,,357.19,358.60,354.06,353.38,384.77,389.39,400.03,406.02,419.85,423.57,393.52,401.15,412.93,375.26,385.32,451.94,476.85,481.50,430.07,425.97,422.00,419.64,372.21,363.68,372.77,,,,319.11,322.69,344.40,,350.75,349.51,348.91,,327.99,345.02,346.35,346.86,347.25,353.88,367.03,354.94,352.99,344.18,,310.60,392.36,351.57,
2001-04-16 22:10:54.636000,L7,,,,,,,,,,357.71,366.23,359.63,355.28,351.32,342.14,329.65,321.88,279.96,308.97,330.50,344.93,352.12,341.49,352.87,345.19,382.81,329.61,326.20,318.77,384.47,379.75,371.90,337.71,337.36,365.79,380.65,364.58,365.40,327.39,380.00,359.04,366.05,340.49,347.16,341.66,347.94,341.35,437.93,418.01,375.37,352.28,365.98,355.84,356.75,379.88,391.68,401.67,370.42,399.19,406.98,394.66,,,,,,,,,,,,341.12,345.41,336.39,392.82,384.99,403.82,389.43,390.46,410.53,285.89,,,,,380.78,366.37,362.29,363.80,368.47,362.57,,,,,,338.20,406.51,368.55,
2001-06-19 22:10:17.246000,L7,,,,,,,,,,,,,,366.64,359.95,361.30,366.76,368.02,353.68,376.79,357.55,393.57,313.73,310.31,378.38,384.85,358.58,380.23,371.52,364.26,335.47,357.57,303.65,321.03,314.22,342.61,,,,371.80,377.62,327.37,346.40,356.59,300.54,,407.67,402.10,397.45,406.80,375.38,382.60,379.71,324.24,340.73,359.79,363.02,366.97,378.07,401.86,370.38,334.46,364.33,,,,,,,,,,375.15,444.43,434.83,362.29,345.91,353.81,359.59,380.92,412.87,,,,,,,,,,,,,,,,,373.48,376.56,,
2001-08-15 22:03:26.328000,L7,,,,,,,,,351.59,355.63,346.76,347.92,341.22,336.76,318.52,325.30,313.90,280.81,308.93,320.82,323.70,321.98,314.48,320.12,338.50,368.65,355.62,385.15,363.53,340.09,297.35,302.78,354.26,363.75,381.05,331.51,350.08,365.72,,,,,328.66,335.14,388.46,302.82,,414.56,416.26,410.73,320.55,327.02,325.81,335.98,356.76,368.65,381.24,386.38,387.28,386.02,368.37,366.16,360.18,372.13,381.95,411.81,438.40,424.66,432.11,433.90,423.90,430.87,,435.46,435.81,,,327.83,320.12,314.47,360.53,,,,,,333.20,342.82,343.88,352.57,350.11,361.11,,,,,,312.78,382.96,,
2001-11-03 22:02:58.699000,L7,,360.04,290.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.51,421.92,387.92,359.59,438.05,,,,,,,,,,,,,,,,,,,,,,,,,337.89,347.37,341.07,344.37,351.99,363.18,,,,,,404.38,,
2002-03-11 22:03:31.366000,L7,,365.96,336.60,327.33,352.57,369.43,372.94,368.81,,362.13,354.62,349.06,343.84,338.85,328.67,317.58,374.86,291.71,372.63,375.20,365.02,353.61,342.27,349.75,353.16,352.14,353.46,344.44,336.65,337.35,336.63,344.80,357.11,357.61,334.25,359.39,276.23,313.70,297.74,346.01,,,,,348.28,368.15,303.34,,,,366.34,369.35,376.17,383.02,398.51,390.97,400.36,430.97,433.17,382.35,414.52,411.86,412.03,410.92,418.97,431.35,,,,,,,360.00,,,,,,312.29,310.40,345.04,,358.96,355.82,352.89,,318.84,346.09,341.09,350.46,349.83,353.63,370.81,364.00,357.20,350.65,,347.72,409.42,227.81,
