dates,nzd0296-0000,nzd0296-0001,nzd0296-0002,nzd0296-0003,nzd0296-0004,nzd0296-0005,nzd0296-0006,nzd0296-0007,nzd0296-0008,nzd0296-0009,nzd0296-0010,nzd0296-0011,nzd0296-0012,nzd0296-0013,nzd0296-0014,nzd0296-0015,nzd0296-0016,nzd0296-0017,nzd0296-0018,nzd0296-0019,nzd0296-0020,nzd0296-0021,nzd0296-0022,nzd0296-0023,nzd0296-0024,nzd0296-0025,nzd0296-0026,nzd0296-0027,nzd0296-0028,nzd0296-0029,nzd0296-0030,nzd0296-0031,nzd0296-0032,nzd0296-0033,nzd0296-0034,nzd0296-0035,nzd0296-0036,nzd0296-0037,nzd0296-0038,nzd0296-0039,nzd0296-0040,nzd0296-0041,nzd0296-0042,nzd0296-0043,nzd0296-0044,nzd0296-0045,nzd0296-0046,nzd0296-0047,nzd0296-0048,nzd0296-0049,nzd0296-0050,nzd0296-0051,nzd0296-0052,satname
2000-05-19 21:46:31+00:00,314.98,297.72,307.44,298.26666666666665,290.24666666666667,281.125,291.94666666666666,274.56666666666666,274.3666666666666,267.34749999999997,270.4225,282.325,272.7325,274.4666666666667,265.6,253.19,243.35500000000002,233.445,224.94,221.92000000000002,255.17333333333332,321.54,231.08,289.575,303.55,265.935,240.1,258.99,306.3433333333333,259.18,322.08666666666664,229.49,261.0,272.2,,,325.12,292.16333333333336,314.24499999999995,277.73,264.055,246.01,219.27,282.13,248.55,256.31,247.86,259.23,259.98,272.13,242.36,253.17,330.08500000000004,L7
2000-05-26 21:52:12+00:00,313.68333333333334,296.07500000000005,304.33,292.5375,288.5475,277.656,286.99,273.225,271.7525,266.688,269.022,280.93,270.134,273.15,265.07,251.16333333333333,242.93666666666664,234.76333333333332,227.74333333333334,221.92000000000002,255.17333333333332,321.54,226.75,277.54,292.0425,260.4733333333333,241.51,258.095,295.56,253.53999999999996,303.73999999999995,235.45499999999998,258.96500000000003,273.34000000000003,,265.38,325.12,292.16333333333336,297.3333333333333,270.38666666666666,257.59999999999997,251.565,235.07,276.1666666666667,250.28,256.365,247.2,257.76,262.165,273.325,247.04000000000002,257.33,317.05333333333334,L7
2000-07-29 21:51:26+00:00,310.34999999999997,293.295,302.53333333333336,287.93,286.91749999999996,276.23400000000004,286.99,273.44,269.81,263.65,267.05,276.38,271.4725,261.56,260.64666666666665,248.77666666666667,234.4766666666667,230.34999999999997,217.47,221.92000000000002,259.5,321.54,226.75,270.7775,265.775,250.2325,239.18666666666664,257.6466666666667,276.6225,252.40666666666664,273.65999999999997,231.96666666666667,258.96500000000003,273.34000000000003,,265.38,325.12,293.645,281.5,261.905,250.0625,253.68666666666664,238.54,262.48,252.13666666666666,256.5366666666667,249.35333333333332,245.24666666666667,262.165,273.325,245.53666666666666,250.41,284.46333333333337,L7
2000-08-07 21:45:32+00:00,310.34999999999997,293.295,302.53333333333336,287.93,286.91749999999996,276.23400000000004,286.99,273.44,269.758,263.65,267.05,276.38,268.864,253.01999999999998,250.85999999999999,248.77666666666667,231.5525,230.34999999999997,217.47,221.92000000000002,259.5,321.54,226.75,270.7775,265.775,250.2325,239.18666666666664,257.6466666666667,270.86,250.04,267.068,231.60750000000002,258.96500000000003,273.34000000000003,,265.38,325.12,293.645,270.88199999999995,258.504,245.244,251.9025,240.2575,261.5175,253.5175,256.47,245.0975,248.925,262.165,273.3433333333333,245.4275,250.355,283.435,L7
2000-08-14 21:51:44+00:00,309.96999999999997,286.43666666666667,302.27250000000004,286.346,287.22799999999995,274.045,286.99,273.356,269.758,263.65,267.05,275.37166666666667,267.7283333333333,255.30499999999998,251.27999999999997,245.9875,231.288,230.34999999999997,217.47,221.92000000000002,259.5,321.54,226.75,262.748,264.31,250.68400000000003,239.51749999999998,256.84749999999997,267.875,250.71599999999998,263.63,232.12800000000001,258.96500000000003,273.34000000000003,,265.38,325.12,293.645,264.18,254.23499999999999,243.86,243.842,241.038,261.384,255.07200000000003,256.804,245.88000000000002,251.032,264.08666666666664,273.7,246.452,249.006,283.246,L7
2000-09-15 21:50:49+00:00,310.28999999999996,288.58750000000003,302.098,286.37333333333333,287.1033333333333,268.5183333333333,274.1433333333334,272.685,269.915,263.946,265.99399999999997,274.175,260.79,257.13,252.91,247.17399999999998,233.68666666666664,242.35,228.06,221.92000000000002,241.93,,228.97,248.808,250.89600000000002,240.93800000000002,240.13000000000002,257.55,256.5333333333333,251.62833333333333,251.67999999999998,232.50833333333333,258.52,273.7133333333333,262.26,261.56,305.47,309.75,256.3766666666666,243.93999999999997,235.95166666666668,244.45000000000002,243.37833333333333,261.384,255.07200000000003,258.195,247.205,253.31500000000003,264.08666666666664,280.14,246.452,249.006,288.8966666666667,L7
2000-10-26 21:44:46+00:00,310.28999999999996,288.58750000000003,302.098,286.37333333333333,287.1033333333333,268.5183333333333,274.1433333333334,272.685,269.915,263.946,265.99399999999997,274.175,260.79,257.13,252.91,247.17399999999998,233.68666666666664,242.35,239.564,221.92000000000002,241.93,307.78,228.97,254.88833333333332,256.675,240.93800000000002,240.13000000000002,257.55,256.5333333333333,251.62833333333333,251.67999999999998,232.50833333333333,258.52,273.7133333333333,262.26,261.56,305.47,309.75,256.3766666666666,243.93999999999997,235.95166666666668,258.5214285714286,243.37833333333333,261.384,255.07200000000003,258.195,247.205,253.31500000000003,264.08666666666664,280.14,246.452,249.006,288.8966666666667,L7
2000-11-27 21:44:50+00:00,309.6733333333333,286.64000000000004,308.0175,291.555,293.07,265.25,,270.9933333333333,268.92,267.98,276.3933333333334,280.825,271.6625,256.986,255.00799999999998,256.1225,236.254,266.35,264.15749999999997,,260.38,306.15999999999997,233.41,260.81,256.57,250.2525,249.73250000000002,265.37,261.398,260.408,260.966,231.035,257.63,294.435,290.62,284.16499999999996,305.47,,249.66199999999998,253.292,245.56000000000003,261.304,247.5325,257.47,258.2666666666667,259.11,247.2075,251.09250000000003,267.93,284.6833333333333,246.05999999999997,243.45666666666668,288.21250000000003,L7
2000-12-13 21:44:52+00:00,309.6733333333333,286.64000000000004,304.706,291.555,291.23199999999997,265.555,,270.9933333333333,268.92,279.3825,273.39,280.722,271.6625,259.56666666666666,255.00799999999998,254.234,236.9433333333333,270.03,264.15749999999997,,260.38,306.15999999999997,227.995,264.87333333333333,265.98199999999997,258.79200000000003,249.73250000000002,264.32399999999996,260.66333333333336,262.71,263.16833333333335,235.058,256.46500000000003,295.70666666666665,303.73333333333335,298.2,305.8,,252.08333333333334,264.59,257.52500000000003,269.5733333333333,259.452,269.1325,268.86750000000006,259.11,247.2075,251.09250000000003,267.93,291.46999999999997,246.05999999999997,243.45666666666668,297.93600000000004,L7
2001-01-05 21:50:40+00:00,309.6733333333333,286.64000000000004,304.706,300.26599999999996,292.33166666666665,265.555,,270.9933333333333,268.92,279.3825,279.42400000000004,280.722,281.11,266.4842857142857,262.72166666666664,258.5916666666667,236.9433333333333,280.93,274.03,,260.38,308.8566666666666,227.995,271.1014285714286,272.00166666666667,260.88166666666666,260.22799999999995,264.32399999999996,260.66333333333336,262.71,263.16833333333335,235.058,256.46500000000003,303.07,311.82,308.6975,313.84666666666664,,261.8642857142857,267.71,266.97285714285715,276.6685714285714,268.00666666666666,275.894,274.982,266.368,255.596,258.658,267.93,291.46999999999997,246.05999999999997,243.45666666666668,297.93600000000004,L7
