dates,satname,nzd0296-0000,nzd0296-0001,nzd0296-0002,nzd0296-0003,nzd0296-0004,nzd0296-0005,nzd0296-0006,nzd0296-0007,nzd0296-0008,nzd0296-0009,nzd0296-0010,nzd0296-0011,nzd0296-0012,nzd0296-0013,nzd0296-0014,nzd0296-0015,nzd0296-0016,nzd0296-0017,nzd0296-0018,nzd0296-0019,nzd0296-0020,nzd0296-0021,nzd0296-0022,nzd0296-0023,nzd0296-0024,nzd0296-0025,nzd0296-0026,nzd0296-0027,nzd0296-0028,nzd0296-0029,nzd0296-0030,nzd0296-0031,nzd0296-0032,nzd0296-0033,nzd0296-0034,nzd0296-0035,nzd0296-0036,nzd0296-0038,nzd0296-0039,nzd0296-0040,nzd0296-0041,nzd0296-0042,nzd0296-0043,nzd0296-0044,nzd0296-0045,nzd0296-0046,nzd0296-0047,nzd0296-0048,nzd0296-0049,nzd0296-0050,nzd0296-0051,nzd0296-0052,nzd0296-0037
1999-08-05 21:47:23.016000,L7,361.61,348.59,309.38,297.62,321.59,307.45,306.08,306.07,300.98,298.74,308.75,322.11,316.24,318.72,303.99,294.25,291.89,286.56,285.98,288.45,268.47,231.40,291.15,310.04,310.35,300.68,301.52,311.07,312.38,322.51,322.93,322.07,309.06,319.17,315.74,324.48,317.51,302.95,313.55,314.93,315.70,308.16,299.20,306.47,302.14,305.13,306.01,311.63,320.82,321.18,327.28,337.25,
1999-08-21 21:47:20.968000,L7,387.47,382.04,388.02,387.90,277.46,330.96,292.54,291.86,322.47,325.52,324.46,356.78,325.52,332.57,332.21,321.36,321.40,314.77,305.55,326.74,281.60,,315.82,325.01,327.39,287.98,327.54,327.90,338.13,336.98,341.91,347.52,345.66,337.29,,292.24,323.68,295.79,292.10,289.25,281.01,283.21,319.66,271.64,270.38,273.54,274.46,258.84,288.70,300.40,306.36,309.66,280.16
1999-09-22 21:47:24.746000,L7,396.42,398.06,382.71,379.36,370.78,376.56,359.95,351.34,359.28,344.51,353.04,359.90,344.23,358.56,340.76,317.03,353.37,335.65,334.76,346.28,286.08,216.87,331.44,337.50,335.84,341.68,339.64,343.31,354.48,349.02,365.28,270.95,379.71,304.77,311.11,301.64,373.29,334.76,347.13,347.46,329.81,326.48,328.57,338.14,332.61,335.42,328.33,332.01,333.54,351.00,362.05,360.85,385.34
1999-09-29 21:53:16.190000,L7,314.80,297.19,321.06,308.91,357.29,360.01,365.78,338.20,345.60,332.28,337.95,348.49,330.67,334.82,343.81,358.12,266.30,268.11,267.44,263.48,225.86,269.13,323.71,348.66,275.12,279.02,271.03,278.23,281.67,285.62,287.56,292.60,289.17,291.70,298.24,300.16,344.38,331.01,364.22,,326.88,317.48,310.26,310.79,321.74,318.06,346.04,320.69,325.21,336.65,349.18,348.72,304.67
1999-09-29 21:53:40.155000,L7,392.58,399.99,385.21,369.00,355.52,357.75,366.47,337.35,344.47,328.39,336.52,344.16,328.80,334.94,343.10,357.54,267.08,268.64,267.48,263.90,226.12,309.24,321.96,320.89,275.60,276.58,271.12,278.69,282.18,286.19,287.81,292.67,289.22,292.32,298.27,300.24,339.40,329.39,328.35,339.30,324.49,315.80,308.18,304.32,319.94,317.44,306.62,317.95,323.87,335.13,346.39,347.06,302.50
1999-10-24 21:47:20.173000,L7,397.85,389.90,384.05,382.99,,,,,,,,380.56,372.17,369.32,359.79,356.64,349.49,352.36,,,,,,,,,,,,,,,,,,,,,,,,,,343.16,346.75,341.51,350.88,345.08,351.76,350.92,368.57,380.38,
1999-10-31 21:53:08.082000,L7,345.91,354.24,358.34,326.35,321.57,305.42,290.85,297.69,291.25,296.94,302.27,311.63,287.65,276.95,281.98,328.88,325.49,261.89,291.14,280.20,225.40,333.44,346.17,343.66,335.90,333.58,331.59,344.63,343.68,345.85,352.57,356.18,346.06,346.18,345.69,348.27,347.27,341.98,351.04,289.97,262.21,269.10,348.94,317.97,325.71,319.34,362.51,276.84,275.95,294.20,309.74,310.12,330.39
1999-11-16 21:53:32.114000,L7,343.46,339.68,344.14,333.46,324.55,316.96,309.53,307.29,309.98,312.07,319.26,325.09,312.37,305.22,300.49,295.22,292.88,299.70,308.64,293.75,228.18,299.24,298.69,299.82,303.31,297.77,301.53,311.20,314.21,328.89,382.97,392.61,375.08,369.57,379.17,379.13,374.84,365.21,355.89,362.38,298.35,291.27,289.87,280.26,,,,,293.82,309.15,323.08,325.89,370.63
2000-01-19 21:53:01.775000,L7,338.98,336.85,333.45,318.01,309.05,265.04,290.50,298.29,302.62,304.30,308.38,309.19,299.69,301.72,302.66,285.44,279.55,284.65,283.58,274.43,233.39,296.85,296.72,297.76,305.15,304.78,306.75,308.36,304.20,309.11,307.72,312.32,312.06,315.86,327.64,314.05,293.75,308.92,304.01,295.32,290.18,279.36,278.75,275.60,271.48,254.62,276.99,264.43,359.44,351.72,354.65,361.34,277.52
2000-01-19 21:53:25.812000,L7,396.62,401.25,388.69,385.71,370.96,303.27,290.71,298.52,304.18,303.14,309.02,308.53,299.79,302.37,303.36,287.21,280.05,284.86,283.75,272.13,232.36,294.67,296.42,298.65,304.72,305.18,308.56,309.59,304.92,310.42,308.73,312.45,312.30,316.10,327.75,313.99,291.95,310.42,305.21,295.12,290.16,280.23,279.61,252.89,273.25,279.31,278.85,282.12,292.41,303.07,313.96,316.93,346.90
