dates,nzd0290-0000,nzd0290-0004,nzd0290-0005,nzd0290-0001,nzd0290-0002,nzd0290-0003
2006-06-13 21:46:37+00:00,303.65999999999997,323.11999999999995,313.66857142857145,303.24285714285713,306.7371428571428,322.21999999999997
2006-07-22 21:53:22+00:00,300.42,325.18666666666667,317.5285714285714,303.1657142857143,307.29714285714283,322.7257142857143
2006-08-23 21:53:47+00:00,295.64666666666665,324.66333333333336,324.1383333333333,300.5933333333333,304.44666666666666,323.5416666666667
2006-09-01 21:47:43+00:00,293.87999999999994,326.8016666666667,330.60166666666663,301.9816666666667,306.41833333333335,325.2416666666666
2006-09-17 21:47:54+00:00,303.74999999999994,330.38166666666666,335.575,304.21166666666664,309.2133333333333,326.82166666666666
2006-10-10 21:54:20+00:00,306.92499999999995,328.9814285714286,334.4714285714286,303.1042857142857,308.5814285714286,325.7857142857143
2007-01-30 21:55:12+00:00,306.92499999999995,330.79799999999994,335.51000000000005,308.61,312.80800000000005,330.54
2007-02-08 21:49:02+00:00,307.938,330.7933333333333,331.95166666666665,307.84,311.0166666666667,330.1066666666666
2011-01-02 21:43:59+00:00,,344.14,341.74,321.68,317.27,346.55
2011-01-25 21:50:11+00:00,,343.73,342.445,327.77,320.32,349.295
2011-09-06 21:48:52+00:00,,,253.28,,,
2011-10-24 21:48:11+00:00,300.62,,271.545,271.47,285.05,308.09
2013-05-31 21:56:07+00:00,194.52,321.27,321.86,286.42,289.73,326.11
2013-06-07 22:02:16+00:00,210.26,323.15,326.27,292.875,298.07000000000005,328.14
2013-06-23 22:02:10+00:00,208.38333333333333,322.5333333333333,330.42333333333335,291.37,309.0133333333333,327.53000000000003
2013-07-25 22:02:13+00:00,218.645,321.335,330.015,289.02750000000003,302.6725,325.55
2013-08-26 22:02:18+00:00,227.898,316.1,324.104,289.02750000000003,295.286,325.55
2013-10-06 21:55:57+00:00,238.96833333333333,316.5833333333333,326.12833333333333,288.802,296.215,324.91400000000004
2013-10-29 22:01:58+00:00,248.2942857142857,317.62,327.6857142857143,290.62833333333333,298.06857142857143,325.61
2014-02-02 22:01:17+00:00,293.15749999999997,317.4075,326.21,298.7,297.34499999999997,329.45
2014-02-11 21:54:56+00:00,292.056,318.342,325.38599999999997,297.78,297.692,328.5875
2014-03-06 22:00:49+00:00,294.9,321.07399999999996,326.428,294.59,300.514,325.754
2014-05-02 21:53:46+00:00,280.65999999999997,320.8433333333333,319.61999999999995,295.09666666666664,291.245,322.66249999999997
2014-05-09 21:59:51+00:00,281.442,322.655,323.5225,297.53,296.128,323.81
2014-05-18 21:53:35+00:00,271.68333333333334,321.336,321.164,293.71799999999996,294.505,322.8
2014-05-25 21:59:46+00:00,268.81,322.1516666666667,323.01666666666665,294.3833333333333,296.1914285714286,324.2757142857143
2014-06-19 21:53:47+00:00,262.03999999999996,322.8757142857143,325.0128571428572,292.8528571428571,298.0225,324.5275
2014-07-12 22:00:07+00:00,262.03999999999996,321.79625,322.9125,290.15625,296.0877777777778,323.9711111111111
2014-08-06 21:54:05+00:00,253.64625,320.39142857142855,318.02750000000003,287.5442857142857,290.58111111111106,322.35625
2014-08-13 22:00:18+00:00,253.0525,321.1457142857143,318.63624999999996,287.24571428571426,289.51874999999995,322.50875
2014-09-07 21:54:12+00:00,249.655,323.2,320.4885714285714,288.1483333333333,290.9,323.6642857142857
2014-10-25 21:54:16+00:00,255.45555555555555,323.9942857142857,320.72625,289.96,292.8875,324.09749999999997
2014-11-01 22:00:26+00:00,262.07222222222225,324.415,322.4466666666666,291.56125,297.67875,326.86125
2014-11-10 21:54:18+00:00,264.7711111111111,324.53249999999997,322.33,291.3075,297.11,326.745
2014-12-03 22:00:25+00:00,276.90125,326.0,323.58,293.5842857142857,298.4042857142857,328.4757142857143
2015-03-18 21:53:39+00:00,301.38,325.284,329.596,294.86199999999997,299.334,326.942
2015-04-03 21:53:26+00:00,297.7666666666667,323.615,329.07666666666665,292.6133333333333,296.38166666666666,324.4216666666667
2015-04-19 21:53:26+00:00,296.0371428571429,321.7628571428572,330.7528571428571,291.09142857142854,292.52285714285716,322.16285714285715
2015-05-05 21:53:12+00:00,290.4916666666667,317.9033333333333,330.3533333333333,285.865,285.0783333333333,316.2916666666667
2015-05-12 21:59:17+00:00,282.6666666666667,315.1233333333333,331.46999999999997,282.64,281.75,313.42
2015-05-28 21:59:19+00:00,271.57000000000005,313.82571428571424,329.08714285714285,279.3757142857143,281.75,310.51000000000005
2015-06-06 21:53:16+00:00,259.44,312.8528571428571,330.3328571428571,276.1657142857143,278.1483333333333,306.35714285714283
2015-06-29 21:59:38+00:00,252.50125000000003,313.93125,331.56125000000003,276.1825,278.4785714285714,307.005
2015-07-15 21:59:48+00:00,248.1988888888889,314.28555555555556,331.7033333333333,275.9822222222222,278.73375,306.7888888888889
2015-08-25 21:53:51+00:00,251.17800000000003,314.313,331.413,276.099,279.34777777777776,305.86199999999997
2015-10-03 22:00:16+00:00,247.71333333333334,314.51,331.65777777777777,276.8633333333333,281.81624999999997,304.4811111111111
2015-11-13 21:54:10+00:00,243.00571428571428,315.3128571428571,328.17285714285714,274.5157142857143,283.455,303.78428571428566
2016-01-16 21:54:09+00:00,288.935,315.96750000000003,324.2475,279.04499999999996,291.2975,308.9925
2016-01-23 22:00:20+00:00,290.188,316.71000000000004,323.046,280.37199999999996,292.892,311.2
2016-02-01 21:54:07+00:00,291.62833333333333,318.71333333333337,323.79833333333335,282.9166666666667,296.49666666666667,313.4483333333333
2016-02-17 21:53:58+00:00,290.67,319.0457142857143,323.67857142857144,284.1742857142857,297.13714285714286,314.6242857142857
2016-02-24 22:00:08+00:00,291.6042857142857,319.66857142857145,322.07714285714286,285.62428571428575,299.45285714285717,317.8885714285714
2016-03-04 21:53:57+00:00,291.6042857142857,317.52750000000003,322.07714285714286,285.62428571428575,296.13875,316.52375
2016-03-20 21:53:51+00:00,290.045,317.4222222222222,322.21125,286.13750000000005,296.7966666666667,316.9177777777778
2016-03-27 21:59:57+00:00,286.06111111111113,317.4222222222222,322.21125,286.13750000000005,296.7966666666667,315.21799999999996
2016-04-21 21:53:36+00:00,286.9555555555556,317.73,322.7675,287.945,298.6333333333333,316.98199999999997
2016-05-07 21:53:39+00:00,286.33500000000004,317.87600000000003,323.4777777777778,288.6277777777778,299.18999999999994,317.25454545454545
2016-05-14 21:59:48+00:00,281.727,317.468,322.7677777777778,290.15625,298.475,317.10636363636365
2016-05-23 21:53:41+00:00,274.04727272727274,316.5709090909091,322.01699999999994,290.15625,296.48727272727274,316.4891666666667
2016-06-15 21:59:57+00:00,268.9116666666667,317.1941666666667,323.53272727272724,289.7055555555555,297.30833333333334,316.963076923077
2016-07-01 22:00:06+00:00,268.9116666666667,317.7907692307693,324.97499999999997,290.23699999999997,298.3184615384616,318.2085714285714
2016-07-26 21:54:04+00:00,261.8345454545455,317.10583333333335,326.24818181818176,290.2444444444444,296.0166666666667,317.6469230769231
2016-08-11 21:54:06+00:00,257.6118181818182,314.6516666666667,324.4081818181818,289.57,291.3591666666667,317.06
2016-08-27 21:54:14+00:00,254.619,314.24636363636364,324.482,288.2557142857143,288.6227272727273,316.57454545454544
2016-09-12 21:54:18+00:00,254.8,315.41700000000003,324.482,288.2557142857143,285.9763636363636,317.53499999999997
2016-09-19 22:00:29+00:00,252.36700000000002,315.2877777777778,324.63,288.01,281.4327272727273,317.25333333333333
2016-11-22 22:00:35+00:00,261.59,317.9716666666667,328.08,287.93600000000004,280.195,325.038
2016-12-24 22:00:29+00:00,277.8933333333333,318.705,326.765,290.376,279.71375,326.936
2017-01-09 22:00:26+00:00,277.49285714285713,316.11333333333334,323.95,286.31000000000006,275.2325,323.194
2017-02-03 21:54:05+00:00,282.465,319.01,330.95799999999997,292.754,274.29285714285714,325.28200000000004
2017-03-30 21:59:50+00:00,291.07,323.48249999999996,343.53000000000003,295.88,289.1325,322.956
2017-06-11 21:53:45+00:00,281.9066666666667,325.15749999999997,348.67,292.34499999999997,288.82,323.496
2017-07-04 22:00:02+00:00,267.74,325.53499999999997,353.1966666666667,290.8,291.44,324.12
2017-08-21 22:00:19+00:00,253.66,329.57499999999993,344.6550000000001,288.70000000000005,297.0566666666667,324.5466666666666
2017-12-04 21:54:13+00:00,276.485,329.18,342.04,291.69,308.1366666666667,330.7
2017-12-11 22:00:24+00:00,285.1033333333333,329.22999999999996,337.1666666666667,293.49,307.74,330.11
2018-01-28 22:00:10+00:00,288.815,330.28333333333336,330.59999999999997,296.7866666666667,306.4266666666667,330.33666666666664
2018-02-22 21:53:49+00:00,298.6425,329.9525,329.7675,297.77250000000004,306.8125,330.495
2018-03-26 21:53:33+00:00,290.68199999999996,325.004,329.7675,297.77250000000004,300.21,326.804
2018-04-11 21:53:25+00:00,287.7033333333333,323.8983333333333,324.36,297.77250000000004,294.97166666666664,324.90833333333336
2018-04-18 21:59:31+00:00,286.3514285714286,322.99571428571426,321.2316666666666,297.77250000000004,292.01,324.1742857142857
2018-06-30 21:53:07+00:00,279.216,321.49666666666667,318.11600000000004,292.7633333333333,285.04833333333335,322.97333333333336
2018-07-16 21:53:15+00:00,279.216,320.6871428571429,318.28833333333336,292.7633333333333,281.99857142857144,321.29285714285714
2018-08-01 21:53:22+00:00,271.264,319.9842857142857,321.21166666666664,285.3966666666667,278.35857142857145,319.5057142857143
2018-08-24 21:59:45+00:00,265.17600000000004,316.5828571428571,317.85333333333335,277.73,271.50714285714287,317.59499999999997
2018-09-09 21:59:51+00:00,261.51666666666665,316.5828571428571,317.85333333333335,277.73,271.50714285714287,317.59499999999997
2018-09-25 21:59:56+00:00,262.295,315.7885714285714,316.46714285714285,273.19,270.74,315.7033333333333
2018-10-04 21:53:50+00:00,265.16,315.90375,317.80375000000004,274.595,272.615,316.1657142857143
2018-10-20 21:53:56+00:00,266.315,315.4628571428571,323.88428571428574,276.254,275.6142857142857,316.135
2018-11-05 21:54:00+00:00,271.96285714285716,316.09875,324.97249999999997,278.37666666666667,279.02125,316.9157142857143
2018-11-12 22:00:11+00:00,276.39250000000004,316.30333333333334,326.4422222222222,280.86857142857144,281.94666666666666,317.85375
2018-12-07 21:53:57+00:00,279.6088888888889,316.889,326.691,282.19625,284.04,318.3877777777777
2018-12-14 22:00:07+00:00,279.11,315.6363636363636,326.691,282.19625,283.0763636363636,317.44
2018-12-30 22:00:07+00:00,279.11,314.62600000000003,329.815,283.1457142857143,283.73699999999997,316.74555555555554
2019-03-04 21:59:54+00:00,285.1766666666667,315.3825,331.5725,285.4685714285714,291.47375,318.72125
2019-05-23 21:59:54+00:00,281.0475,317.4225,332.5325,288.20000000000005,289.0975,321.08500000000004
2019-06-08 22:00:02+00:00,272.95,314.20500000000004,328.4,286.55500000000006,277.7175,316.415
2019-06-17 21:53:54+00:00,272.115,319.82,330.536,284.78000000000003,285.02250000000004,320.6775
2019-07-10 22:00:11+00:00,272.115,317.552,322.764,284.78000000000003,282.508,317.84
2019-08-04 21:54:09+00:00,272.49,317.37166666666667,326.11333333333334,284.71750000000003,283.01166666666666,318.65333333333336
