dates,satname,nzd0197-0000,nzd0197-0001,nzd0197-0002,nzd0197-0003,nzd0197-0004,nzd0197-0005,nzd0197-0006,nzd0197-0007,nzd0197-0008,nzd0197-0009,nzd0197-0010,nzd0197-0011,nzd0197-0012,nzd0197-0013,nzd0197-0014,nzd0197-0015,nzd0197-0016,nzd0197-0017,nzd0197-0018,nzd0197-0024,nzd0197-0025,nzd0197-0026,nzd0197-0027,nzd0197-0028,nzd0197-0029,nzd0197-0030,nzd0197-0031,nzd0197-0032,nzd0197-0033,nzd0197-0034,nzd0197-0035,nzd0197-0036,nzd0197-0037,nzd0197-0038,nzd0197-0039,nzd0197-0040,nzd0197-0041,nzd0197-0019,nzd0197-0020,nzd0197-0021,nzd0197-0022,nzd0197-0023
1999-09-29 21:52:52.243000,L7,,356.59,352.23,354.76,365.00,353.46,330.45,320.33,298.07,292.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-15 21:52:49.322000,L7,398.43,377.52,371.61,378.06,383.93,367.48,350.03,341.63,265.73,263.23,313.32,322.09,324.91,327.44,339.88,336.44,334.21,334.65,335.60,319.80,335.90,350.35,364.13,356.69,351.22,320.26,318.06,313.79,320.75,328.81,320.80,308.55,302.81,301.58,292.61,291.05,285.68,,,,,
2000-02-04 21:52:37.377000,L7,389.40,363.26,352.97,361.27,376.60,353.06,334.84,321.31,311.46,306.49,308.67,317.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-20 21:52:29.720000,L7,377.12,367.29,352.12,357.44,362.51,348.42,330.28,287.92,301.05,294.37,297.56,293.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-14 21:58:35.291000,L7,354.76,330.88,320.77,284.29,312.45,265.23,262.59,254.74,329.20,326.58,332.41,337.89,336.34,340.33,354.54,349.28,353.77,352.38,359.50,337.11,354.88,368.99,383.45,377.96,368.86,374.23,383.01,395.23,306.23,321.09,307.79,298.73,290.14,281.85,277.06,271.39,271.60,349.30,342.74,347.82,365.74,375.26
2000-03-30 21:58:33.541000,L7,,,,380.62,383.83,368.05,338.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-17 21:58:07.485000,L7,,,365.49,389.32,409.76,338.44,345.19,329.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-14 21:50:56.232000,L7,,,,358.16,376.70,341.38,301.70,308.04,305.86,298.54,294.87,291.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-17 21:50:01.277000,L7,376.69,363.83,359.26,356.60,349.97,351.16,318.71,303.35,301.52,293.29,277.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-20 21:50:16.996000,L7,405.74,386.82,367.29,368.81,383.31,367.30,334.91,315.42,306.33,278.38,,,,,,,,,,,,,,,,,,,,,,,,323.17,323.79,324.59,328.58,,,,,
2001-01-05 21:50:16.585000,L7,365.43,341.68,337.72,337.29,348.01,314.90,298.91,275.19,272.88,271.63,274.73,268.53,273.43,293.91,309.71,307.52,305.05,311.10,318.57,289.80,308.42,333.18,328.96,317.90,308.42,306.93,301.18,315.03,326.03,338.67,318.35,310.74,364.60,361.68,366.30,372.45,359.77,308.56,310.90,312.06,324.27,322.12
2001-03-10 21:50:10.732000,L7,387.76,371.62,361.51,371.09,376.70,345.22,322.91,313.58,289.26,281.12,281.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-26 21:50:01.268000,L7,385.08,373.19,371.13,366.42,373.68,349.53,330.19,288.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-21 21:55:29.297000,L7,,371.76,363.83,365.09,377.91,328.09,344.91,335.98,322.78,311.18,307.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-09 21:54:36.880000,L7,,,,,,341.85,329.82,307.47,304.14,303.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-25 21:54:28.694000,L7,392.70,368.95,360.50,369.94,383.98,364.64,333.61,324.25,321.84,324.33,325.12,322.40,323.85,328.03,334.72,323.34,,,,,,356.24,371.09,362.59,344.27,341.12,344.21,350.54,296.73,311.72,293.99,282.93,274.69,268.06,346.51,337.42,338.02,,,,,
2001-10-20 21:48:09.707000,L7,352.75,325.05,317.48,328.52,339.06,307.29,284.80,266.55,262.55,241.53,259.53,269.26,271.43,274.75,,,,,,,,,,,279.45,281.41,286.53,290.63,304.15,319.77,302.71,292.43,285.72,278.49,272.40,269.58,266.18,,,,,
2002-01-24 21:48:42.967000,L7,,,343.00,367.27,375.93,357.36,331.27,325.09,313.26,313.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-31 21:54:50.570000,L7,,,,356.26,377.25,367.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-16 21:54:54.191000,L7,836.62,348.70,373.48,372.67,384.40,,,,,,,,,,,,,,,,,,,,,,,,,,338.35,333.62,330.82,325.46,325.49,323.94,318.07,,,,,
2002-02-25 21:48:47.943000,L7,,368.17,358.42,359.65,367.89,349.90,328.98,315.53,294.77,294.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-29 21:48:39.145000,L7,385.44,366.69,358.15,363.28,374.88,350.83,,301.68,298.63,297.12,282.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-01 21:48:28.245000,L7,393.03,366.89,365.34,380.06,384.81,365.76,335.28,329.39,311.87,304.96,306.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-27 21:54:00.253000,L7,398.05,386.30,376.18,381.67,386.17,368.91,338.50,333.86,318.17,316.86,311.03,319.35,305.17,,,,,,,,,,,,,,,,,,361.92,345.41,351.27,352.52,346.45,335.93,336.60,,,,,
2002-10-14 21:53:43.769000,L7,,,,,367.16,342.67,311.47,320.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-23 21:47:39.211000,L7,389.24,373.77,363.26,368.51,377.32,347.37,323.63,315.99,308.91,302.20,273.58,310.09,317.81,302.31,,,,,,,,,,,,,,,,,,,,327.38,327.24,327.44,328.27,,,,,
2003-01-18 21:54:30.278000,L7,390.55,371.30,362.53,364.31,375.60,340.38,326.32,314.24,300.41,295.76,296.15,287.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-24 21:54:46.433000,L7,397.27,351.61,369.16,368.36,377.62,356.96,333.47,320.22,312.53,296.11,315.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-03 21:48:37.175000,L7,,,,,361.77,339.77,332.57,322.64,316.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-06 21:42:51.203000,L5,,,,,,,,,,,,,,,,,,,,,,,310.28,301.13,284.71,278.92,276.11,303.57,,,,,,,,,,,,,,
2003-10-18 21:37:48.406000,L5,339.91,332.36,321.58,322.18,350.89,327.34,298.04,293.45,280.52,271.33,264.39,264.66,278.53,294.43,306.86,303.58,299.84,295.20,298.60,273.08,294.96,333.31,340.43,328.44,315.23,318.20,315.61,326.40,335.17,352.78,341.17,332.17,324.19,329.19,312.88,315.83,303.21,295.91,296.83,286.82,290.49,
2003-10-25 21:44:04.226000,L5,358.11,333.98,328.31,336.94,343.59,313.02,288.56,284.34,268.63,270.06,276.46,276.41,293.32,309.06,317.28,314.81,313.61,296.38,298.32,271.43,295.60,321.04,346.01,340.52,326.25,328.97,324.22,331.42,348.63,348.35,334.12,320.85,316.78,315.57,311.47,324.61,318.53,293.49,293.60,291.32,288.25,
2003-11-19 21:38:14.402000,L5,841.34,329.37,333.46,331.80,345.67,323.40,296.86,289.51,275.42,252.94,274.80,274.68,290.79,324.19,,317.91,303.83,294.42,297.93,271.05,292.74,328.44,339.28,332.50,324.64,322.67,330.94,329.10,344.46,354.56,338.46,329.51,322.16,319.96,315.98,320.85,314.71,296.91,297.24,289.25,290.76,
2004-01-22 21:38:40.402000,L5,,,,,,,,,,,,,,,,,,,,,265.21,298.31,313.24,294.20,289.75,286.49,293.99,304.61,,336.17,313.28,307.65,297.63,287.95,,,,,,,,
2004-02-14 21:44:57.678000,L5,,,,295.69,333.20,309.94,288.85,293.55,281.24,270.60,265.66,253.05,,314.39,322.91,304.58,333.50,290.29,272.92,,,,,,,,315.33,324.76,319.86,338.77,330.00,323.88,314.14,317.77,310.35,306.38,306.89,,,,,
