dates,satname,nzd0005-0000,nzd0005-0001,nzd0005-0006,nzd0005-0007,nzd0005-0008,nzd0005-0012,nzd0005-0013,nzd0005-0014,nzd0005-0018,nzd0005-0019,nzd0005-0020,nzd0005-0021,nzd0005-0022,nzd0005-0023,nzd0005-0024,nzd0005-0025,nzd0005-0026,nzd0005-0027,nzd0005-0028,nzd0005-0030,nzd0005-0031,nzd0005-0032,nzd0005-0033,nzd0005-0034,nzd0005-0035,nzd0005-0036,nzd0005-0037,nzd0005-0038,nzd0005-0039,nzd0005-0040,nzd0005-0041,nzd0005-0005,nzd0005-0015,nzd0005-0016,nzd0005-0017,nzd0005-0029,nzd0005-0002,nzd0005-0003,nzd0005-0004,nzd0005-0009,nzd0005-0010,nzd0005-0011
2014-05-14 22:17:08.923000,L8,,,,,,,,,,,,,,,,,,,,,,,,,231.49,202.15,239.69,250.71,,,,,,,,,,,,,,
2014-07-01 22:17:22.417000,L8,,,,273.88,257.62,,,,,,,,,,,,,,,,,189.60,228.93,223.55,240.89,222.58,251.66,252.69,,,,,,,,,,,,,,
2014-07-17 22:17:28.260000,L8,,,264.28,269.70,267.75,,,,,245.48,271.46,282.86,281.01,274.72,207.71,219.25,233.80,,,,,,224.52,225.52,244.28,225.33,255.21,261.08,280.92,286.86,291.46,,,,,,,,,,,
2014-11-06 22:17:49.451000,L8,,,274.36,322.59,261.74,,,,210.26,245.92,273.55,257.30,274.81,272.50,212.15,228.58,256.12,265.39,246.99,251.22,244.26,226.39,236.04,238.78,248.46,221.88,258.67,264.19,285.10,291.28,289.85,,,,185.43,,,,,,,
2015-02-10 22:17:27.012000,L8,,,,,,,,,,,,,,,,,,,,,,,225.65,228.21,242.70,216.74,253.71,260.22,276.32,224.93,,,,,,,,,,,,
2015-02-26 22:17:23.009000,L8,,,278.24,302.39,251.30,,,,,,,,,,,,,,,,230.72,215.83,237.00,232.63,248.18,216.77,255.99,263.15,280.58,290.83,293.19,,,,,,,,,,,
2015-07-20 22:17:10.706000,L8,,,261.52,252.61,265.57,,,,,,,,,,,,,,,,222.46,207.25,238.13,227.72,244.07,223.47,254.13,259.32,,,,,,,,,,,,,,
2015-08-05 22:17:13.094000,L8,,,262.06,306.42,254.51,,,,,,,,,,,,,,,,223.51,214.36,238.15,228.74,243.44,221.26,252.09,264.99,277.40,283.91,286.39,,,,,,,,,,,
2015-12-11 22:17:42.627000,L8,,,,,,,,,,,,,,,,,,,,,,213.16,223.69,230.41,243.70,214.19,254.20,260.21,273.70,286.94,279.15,,,,,,,,,,,
2015-12-27 22:17:43.409000,L8,,,270.19,306.50,248.77,,,,205.44,220.30,270.51,239.57,267.55,247.20,,,,,,,236.30,222.53,222.87,235.90,245.97,217.73,255.13,262.53,279.89,288.72,284.33,,,,,,,,,,,
