dates,nzd0005-0000,nzd0005-0001,nzd0005-0002,nzd0005-0003,nzd0005-0004,nzd0005-0006,nzd0005-0007,nzd0005-0008,nzd0005-0012,nzd0005-0013,nzd0005-0014,nzd0005-0017,nzd0005-0018,nzd0005-0019,nzd0005-0020,nzd0005-0021,nzd0005-0022,nzd0005-0023,nzd0005-0024,nzd0005-0025,nzd0005-0026,nzd0005-0027,nzd0005-0028,nzd0005-0029,nzd0005-0030,nzd0005-0031,nzd0005-0032,nzd0005-0033,nzd0005-0034,nzd0005-0035,nzd0005-0036,nzd0005-0037,nzd0005-0038,nzd0005-0039,nzd0005-0040,nzd0005-0041,nzd0005-0015,nzd0005-0016,nzd0005-0005,nzd0005-0011,nzd0005-0009,nzd0005-0010,satname
2014-01-06 22:18:54+00:00,300.57,260.45,,,,,302.71,256.125,,,,221.78,211.19666666666663,235.65333333333334,253.64,249.87,269.5525,261.26750000000004,209.45499999999998,220.0,223.37,241.3125,247.1,246.64,240.9025,241.375,217.416,224.11166666666668,231.1833333333333,245.95333333333335,219.76666666666665,256.56333333333333,262.93666666666667,280.75333333333333,290.7266666666667,289.85833333333335,,,,,,,L8
2014-02-07 22:18:33+00:00,301.755,263.2,,,,280.7,307.515,256.125,,,,221.78,211.19666666666663,235.65333333333334,261.548,249.87,273.948,266.564,209.45499999999998,223.37,223.37,241.3125,247.1,246.64,240.9025,243.638,218.03,226.70857142857145,233.17714285714283,246.9857142857143,220.29571428571427,257.0814285714286,264.03000000000003,281.16,292.9414285714286,291.74142857142857,,,273.74,,,,L8
2014-02-23 22:18:20+00:00,301.755,263.2,,,,280.7,307.515,256.125,,,,221.78,211.19666666666663,235.65333333333334,261.548,249.87,273.948,266.564,209.45499999999998,223.37,223.37,241.3125,247.1,246.64,240.9025,243.638,213.72714285714284,226.3475,232.55374999999998,246.8475,219.63125,256.96875,263.95124999999996,281.1975,292.58625,290.86625,,,273.74,,,,L8
2014-04-28 22:17:22+00:00,302.94,265.95,,,,280.7,307.515,248.62,,,,,195.54,215.72,270.64500000000004,244.12,279.755,271.985,208.88,222.83,220.43,232.66,245.58,,240.74,245.495,208.5125,224.93399999999997,231.98399999999998,244.09833333333336,217.762,253.96,262.0566666666667,280.522,292.7,289.99199999999996,,,273.74,,,,L8
2014-05-14 22:17:08+00:00,302.94,265.95,,,,280.7,307.515,248.62,,,,,,,293.18,,291.53,287.75,,230.11,,,,,,252.69,205.8233333333333,224.74749999999997,231.915,242.22166666666666,218.0275,251.77833333333334,260.59999999999997,281.28,293.9,290.5875,,,273.74,,,,L8
2014-07-01 22:17:22+00:00,302.94,265.95,,,,280.7,307.515,248.62,,,,,,,293.18,,291.53,287.75,,230.11,,,,,,252.69,200.2925,228.46249999999998,230.605,241.82,217.76333333333332,251.296,260.464,282.7466666666666,294.8666666666667,292.2333333333333,,,273.74,,,,L8
2014-07-17 22:17:28+00:00,302.94,265.95,,,,280.7,312.32,,,,,,,,293.18,,291.53,287.75,,230.11,,,,,,252.69,197.56999999999996,224.66,228.815,241.45,219.22500000000002,250.2975,259.89,280.31666666666666,293.15333333333336,291.02,,,273.74,,,,L8
2014-11-06 22:17:49+00:00,,,,,,274.36,322.59,261.74,,,,185.43,210.26,245.92,273.55,257.3,274.81,272.5,212.15,228.58,256.12,265.39,246.99,,251.22,244.26,205.045,222.85666666666665,226.90333333333334,241.43,221.88,251.01,258.695,280.495,287.205,287.565,,,,,,,L8
2015-02-26 22:17:23+00:00,,,,,,276.75,322.59,256.845,,,,185.43,210.26,245.92,273.55,271.96000000000004,281.21500000000003,272.5,212.15,228.58,256.12,265.39,246.99,,251.22,239.175,221.855,237.39499999999998,236.08499999999998,248.54000000000002,219.535,257.545,263.815,283.08500000000004,291.315,291.95500000000004,,,,,,,L8
2015-07-20 22:17:10+00:00,,,,,,268.405,,252.42,,,,,,,,286.62,287.62,,,,,,,,,234.09,203.95,236.07,229.58999999999997,245.71,217.19,254.74000000000004,260.365,281.07,291.35,294.06,,,,,,,L8
2015-08-05 22:17:13+00:00,,,,,,266.29,306.42,253.11666666666665,,,,,,,,286.62,287.62,,,,,,,,,228.8,207.42,236.76333333333332,229.30666666666664,244.95333333333335,217.19,253.85666666666668,261.9066666666667,281.07,287.63,290.225,,,,,,,L8
2015-12-11 22:17:42+00:00,,,,,,262.4766666666667,304.83000000000004,251.84,,,,,,,272.5,,268.19,252.14,,,,,,,,207.77499999999998,208.28666666666666,233.79333333333332,230.11333333333334,244.39000000000001,218.4,254.03666666666672,261.8633333333333,276.5,287.37,285.48,,,,,,,L8
2015-12-27 22:17:43+00:00,,,,,,263.83,304.8666666666667,250.70749999999998,,,,,,,272.5,,268.19,252.14,,,,,,,,203.58666666666667,211.21,230.1025,231.26749999999998,244.4925,217.66500000000002,254.07500000000002,261.875,277.605,287.6033333333333,284.70666666666665,,,,,,,L8
2016-01-12 22:17:40+00:00,,,,,,263.83,304.8666666666667,250.70749999999998,,,,,,,272.5,,268.19,252.14,,,,,,,,203.58666666666667,211.93800000000002,227.95999999999998,231.4,244.106,217.41,253.76000000000005,261.77,277.71666666666664,287.74,284.955,,,,,,,L8
2016-05-19 22:17:11+00:00,,,,,,267.79499999999996,304.09000000000003,249.01666666666665,,,,,,,272.5,,268.19,252.14,,,,,,,,193.625,216.14749999999998,225.0725,233.18,244.085,218.1925,253.97500000000002,261.15250000000003,276.9975,288.3875,284.7325,,,,,,,L8
2016-09-24 22:17:49+00:00,300.67,271.94,270.69,271.64,270.62,282.92,332.74,263.315,,296.52,270.85,,,,293.68,294.5,288.06,288.83,,276.66,286.67,274.72,265.28,262.34,258.42,,209.84,232.03,230.25,242.05,220.54,257.34000000000003,267.555,283.15999999999997,295.96500000000003,285.5,287.24,293.75,273.02,,,,L8
2016-10-10 22:17:54+00:00,300.67,271.94,270.69,271.64,270.62,280.33500000000004,321.83000000000004,263.53333333333336,,296.52,270.85,191.07,209.54,247.68,285.625,279.01,282.39,277.54499999999996,214.02,261.38,273.175,270.08500000000004,258.505,262.34,249.865,245.36,219.985,232.14,234.615,246.115,222.04,257.43666666666667,267.06,282.73333333333335,295.5233333333333,289.90999999999997,287.24,293.75,273.02,,,,L8
2017-03-03 22:17:25+00:00,300.67,271.94,270.69,271.64,270.62,280.33500000000004,321.83000000000004,269.49,,296.52,270.85,191.07,209.54,247.68,285.625,279.01,282.39,277.54499999999996,214.02,261.38,273.175,270.08500000000004,258.505,262.34,249.865,245.36,230.13,232.25,238.98,250.18,216.70999999999998,253.32000000000002,265.5133333333334,286.68000000000006,300.03499999999997,294.32,287.24,293.75,273.02,,,,L8
2017-05-06 22:16:55+00:00,,,,,,271.01,,260.04,,,,,,245.17,284.1,246.07,263.75,252.27,,,,,,,,,,,,,209.88,239.9,253.4,,,,,,,,,,L8
2017-06-07 22:17:15+00:00,,,,,,270.645,,261.86,,,,,207.96,264.77,284.985,251.815,266.02,256.93,211.85,237.2,241.92,,,,,,221.45,227.28,231.65,,215.39999999999998,247.36500000000004,255.78,266.69,,,,,,,,,L8
2017-08-10 22:17:37+00:00,,,,,,270.645,,261.86,,,,,207.96,264.77,284.985,251.815,266.02,256.93,211.85,237.2,241.92,,,,,,214.12,219.54000000000002,229.14,231.67,213.51999999999998,245.47000000000003,253.64333333333335,266.69,,,,,,,,,L8
2017-09-11 22:17:42+00:00,298.41,265.84,263.69,265.7,264.73,272.35999999999996,318.99,262.8533333333333,,,,195.66,211.895,268.3733333333333,283.43333333333334,259.57666666666665,267.18,260.59,211.85,250.97,253.34999999999997,264.71,251.51,230.75,241.52,243.72,221.78333333333333,219.54000000000002,229.14,241.1,218.87666666666667,251.28666666666672,258.43666666666667,273.83500000000004,294.65,,,,266.18,,,,L8
2018-06-26 22:16:36+00:00,334.66,282.46,276.68,271.71,273.41,281.11,,282.15,317.39,308.5,299.84,,,301.39,299.13,292.03,284.52,282.9,,287.42,284.99,280.65,268.5,257.05,,,248.75,248.37,252.0,,231.24,,,,,,284.15,291.66,275.58,,,,L8
