dates,satname,nzd0087-0000,nzd0087-0001,nzd0087-0002,nzd0087-0003,nzd0087-0004,nzd0087-0005
1999-09-27 22:04:48.949000,L7,,,,251.49,231.36,
1999-11-14 22:04:42.286000,L7,,,235.44,260.01,249.49,
2000-01-01 22:04:37.439000,L7,179.19,197.37,203.40,211.60,294.72,
2000-01-17 22:04:35.821000,L7,199.63,203.56,180.85,216.70,190.30,
2000-02-18 22:04:29.218000,L7,175.09,181.06,,,,
2000-10-15 22:01:56.204000,L7,272.96,267.06,237.54,247.40,221.04,247.59
2001-01-03 22:02:12.432000,L7,,,,,,279.88
2001-03-24 22:01:59.719000,L7,190.39,,,,,
2001-06-12 22:01:24.980000,L7,190.86,,,,,
2001-08-15 22:00:38.680000,L7,184.29,,,,,
2001-10-02 22:00:04.650000,L7,177.81,,,,,178.82
2002-01-22 22:00:40.906000,L7,281.64,272.71,276.63,285.79,277.84,
2002-02-23 22:00:43.620000,L7,204.35,208.26,188.84,214.20,299.23,
2002-04-28 22:00:38.357000,L7,245.92,,,,,
2002-06-15 22:00:19.658000,L7,255.30,230.55,,,,
2002-07-01 22:00:15.186000,L7,211.14,207.65,177.32,215.12,194.30,280.03
2002-08-18 21:59:57.690000,L7,194.13,,,,,
2002-09-19 21:59:35.083000,L7,,290.62,283.95,298.48,277.56,297.12
2002-10-21 21:59:36.443000,L7,245.52,243.03,272.65,288.06,267.19,265.93
2003-01-25 22:00:18.779000,L7,258.42,303.81,271.36,297.21,281.39,288.27
2003-09-14 21:49:18.766000,L5,206.02,198.24,181.03,,,
2004-07-30 21:54:28.143000,L5,230.96,242.30,237.79,241.83,221.95,238.07
2004-09-16 21:55:41.721000,L5,236.03,235.84,223.39,243.42,224.88,232.55
2004-10-18 21:56:23.891000,L5,282.31,267.85,285.62,277.79,259.37,277.96
2004-11-03 21:56:42.977000,L5,221.07,196.18,182.08,218.64,192.04,181.87
2004-11-19 21:56:55.269000,L5,247.84,239.22,241.67,244.85,210.27,241.41
2005-02-23 21:58:31.621000,L5,290.06,280.22,289.56,288.10,262.97,272.61
2005-03-11 21:58:44.158000,L5,191.32,181.80,176.94,213.28,182.64,
2005-04-12 21:58:55.193000,L5,287.17,263.13,289.21,287.57,262.59,310.71
2005-05-30 21:59:15.499000,L5,237.51,237.36,218.27,243.82,225.86,238.22
2005-07-17 21:59:35.576000,L5,234.77,237.88,207.39,247.55,232.77,234.15
2005-11-22 22:00:23.113000,L5,196.45,173.15,186.01,200.96,,
2006-04-15 22:03:30.798000,L5,216.19,214.99,199.04,223.68,207.15,209.30
2006-05-17 22:03:57.969000,L5,217.41,217.46,197.78,223.78,210.57,209.70
2006-07-04 22:04:41.660000,L5,273.96,286.90,296.60,299.26,289.47,296.28
2008-10-29 21:55:24.451000,L5,217.51,197.44,193.27,226.40,201.78,206.97
2009-02-02 21:57:22.411000,L5,209.99,211.43,204.77,225.64,189.68,218.95
2011-01-07 22:01:44.406000,L5,269.80,266.04,284.71,285.72,265.75,280.61
2011-03-12 22:01:43.554000,L5,195.83,184.53,183.91,213.47,192.96,188.88
2011-04-13 22:01:34.017000,L5,192.94,169.39,,,,
2011-09-04 22:00:27.603000,L5,243.89,245.33,261.41,254.38,231.38,243.76
2013-05-20 22:13:50.559000,L8,,,,,,260.18
2013-06-05 22:13:51.261000,L8,183.49,,,,,219.80
2013-06-21 22:13:43.313000,L8,211.08,212.42,195.08,225.12,208.31,297.34
2013-07-07 22:13:48.209000,L8,211.61,216.21,195.29,223.97,210.54,287.63
2013-09-25 22:13:41.239000,L8,193.77,,,,,
2013-10-11 22:13:41.596000,L8,194.43,171.56,,,,262.07
2013-11-12 22:13:32.202000,L8,172.79,170.23,,,,
2013-11-28 22:13:25.971000,L8,196.38,197.92,174.15,218.04,186.48,
2013-12-14 22:13:21.591000,L8,202.04,205.62,178.07,222.42,195.81,283.28
2013-12-30 22:13:13.343000,L8,,,,,,228.17
2014-04-05 22:11:58.702000,L8,,,,,,215.08
2014-04-21 22:11:42.175000,L8,191.38,,,,,223.86
2014-05-23 22:11:18.694000,L8,203.09,208.12,187.31,221.35,198.81,283.44
2014-10-14 22:12:02.705000,L8,211.89,212.39,182.17,227.27,208.20,273.51
2015-01-02 22:11:50.958000,L8,204.19,205.15,177.58,223.45,198.68,282.18
2015-03-07 22:11:30.209000,L8,191.83,199.18,168.11,211.12,179.48,262.42
2015-04-24 22:11:08.401000,L8,194.65,195.23,173.08,210.39,188.59,219.15
2015-05-10 22:10:52.487000,L8,192.32,,,,,
2015-06-27 22:11:10.298000,L8,,,,,,251.92
2015-07-29 22:11:25.856000,L8,195.33,193.34,169.42,206.08,,252.83
2015-08-14 22:11:31.426000,L8,,,,,,221.31
2015-12-20 22:11:57.501000,L8,200.07,201.60,175.29,222.60,195.39,
2016-02-22 22:11:42.580000,L8,192.45,171.41,166.86,208.42,174.36,222.21
2016-03-09 22:11:40.902000,L8,207.24,211.96,186.32,226.64,204.99,277.73
2016-04-26 22:11:21.230000,L8,210.30,216.69,180.22,228.68,206.64,280.45
2016-05-12 22:11:20.683000,L8,213.05,216.66,194.58,229.51,206.83,280.06
2016-06-13 22:11:30.674000,L8,,,,,,220.81
2016-08-16 22:11:53.694000,L8,195.45,,,,,
2016-11-20 22:12:09.409000,L8,210.22,203.75,179.98,226.42,199.61,266.74
2016-12-22 22:12:03.110000,L8,202.65,200.16,176.66,220.04,191.68,277.89
2017-07-18 22:11:40.412000,L8,238.99,214.66,193.82,211.54,193.31,
2017-08-03 22:11:47.949000,L8,213.84,215.36,198.53,227.24,207.57,286.87
2017-08-19 22:11:53.133000,L8,207.42,203.40,180.66,221.82,199.87,279.98
2017-09-04 22:11:55.578000,L8,208.56,205.07,194.42,226.99,203.73,285.66
2018-01-10 22:11:54.118000,L8,204.48,206.33,179.76,222.85,197.73,286.29
2018-07-05 22:10:54.795000,L8,193.59,198.13,169.00,213.40,191.55,258.76
2018-09-07 22:11:24.397000,L8,212.29,210.88,197.20,226.52,204.70,287.87
2019-03-02 22:11:29.304000,L8,205.54,203.65,178.32,220.12,195.36,284.16
2019-05-21 22:11:27.314000,L8,212.61,218.27,194.83,229.70,207.96,282.83
