dates,satname,nzd0268-0000,nzd0268-0001,nzd0268-0002,nzd0268-0003,nzd0268-0004,nzd0268-0005,nzd0268-0006,nzd0268-0007,nzd0268-0008,nzd0268-0009,nzd0268-0010,nzd0268-0011,nzd0268-0012,nzd0268-0013,nzd0268-0014,nzd0268-0015,nzd0268-0016,nzd0268-0017,nzd0268-0018,nzd0268-0019,nzd0268-0020,nzd0268-0021,nzd0268-0022,nzd0268-0023,nzd0268-0024,nzd0268-0025,nzd0268-0026,nzd0268-0027,nzd0268-0028,nzd0268-0029,nzd0268-0030,nzd0268-0031,nzd0268-0032,nzd0268-0033,nzd0268-0034,nzd0268-0035,nzd0268-0036,nzd0268-0037,nzd0268-0038,nzd0268-0039,nzd0268-0040,nzd0268-0041,nzd0268-0042,nzd0268-0043,nzd0268-0044,nzd0268-0045
2001-08-10 21:43:00.495000,L7,,,,,,,,,344.73,336.26,345.33,353.68,364.14,366.08,349.48,337.67,328.82,316.80,308.77,326.13,327.71,332.60,331.54,329.50,332.28,333.18,331.16,327.48,320.32,356.24,328.41,318.82,320.77,339.94,467.42,433.14,443.46,448.43,460.99,330.14,333.43,428.30,410.38,399.41,341.52,392.35
2001-09-11 21:42:38.257000,L7,,,,,,165.12,337.39,352.95,341.01,346.85,345.80,360.68,361.96,367.74,349.34,338.46,324.17,307.54,286.91,298.47,320.33,336.12,334.89,339.41,338.26,346.13,334.29,331.48,326.33,350.88,339.13,317.28,310.49,328.93,325.58,330.95,345.11,345.51,351.86,363.98,385.21,413.08,392.96,370.78,367.92,370.79
2001-09-27 21:42:29.269000,L7,506.65,480.57,432.65,388.13,339.99,369.53,348.46,251.44,355.94,355.76,349.40,370.40,371.80,367.40,350.51,336.92,333.52,331.67,322.56,316.98,335.63,346.24,321.78,369.60,349.39,351.78,331.54,344.18,305.45,355.54,323.01,312.87,306.68,336.89,329.58,360.21,356.27,362.45,378.30,362.87,361.87,364.15,371.05,367.84,372.45,360.07
2001-10-13 21:42:15.922000,L7,379.02,489.14,455.46,410.83,369.38,370.06,363.41,369.85,352.80,350.96,348.58,364.89,373.74,365.33,351.32,340.22,330.81,341.93,327.60,334.84,336.40,347.97,345.49,348.30,346.17,350.10,334.60,357.83,323.86,346.57,352.87,331.38,328.14,353.52,359.93,376.38,351.91,331.88,341.64,372.79,376.23,372.58,385.35,379.33,382.66,388.74
2001-10-29 21:42:21.289000,L7,,,333.70,347.60,357.16,349.69,347.59,345.50,339.05,334.77,338.58,351.22,354.86,353.69,339.23,323.32,314.55,321.40,299.22,319.84,316.61,317.63,330.25,335.75,333.82,348.34,334.08,334.06,311.60,353.14,351.10,323.50,322.62,348.47,350.45,370.56,366.31,371.26,313.10,367.70,357.19,363.13,306.04,286.44,328.43,348.30
2002-01-17 21:42:52.816000,L7,,,318.50,322.67,320.05,308.63,312.38,332.03,319.42,319.69,321.88,335.38,345.09,334.49,318.15,310.15,302.10,270.40,287.08,292.93,298.11,304.10,224.62,185.42,186.61,235.84,305.08,314.09,288.32,312.58,303.44,292.17,299.39,313.11,308.76,334.87,341.63,272.17,201.57,328.86,346.27,328.72,316.82,354.68,350.12,345.76
2002-02-18 21:42:54.191000,L7,,,318.55,324.57,316.23,319.43,304.50,334.48,328.49,321.82,329.24,335.84,350.01,344.90,327.70,308.61,308.27,297.94,288.15,298.60,303.65,310.06,319.72,319.08,311.17,323.41,313.49,306.50,288.36,325.54,315.44,303.29,309.47,322.60,320.13,333.13,336.23,249.55,276.75,351.73,337.13,343.44,366.90,359.18,357.08,371.81
2002-09-14 21:41:55.072000,L7,,,,322.96,353.25,341.31,337.84,343.24,332.68,329.46,338.58,350.88,356.36,357.31,341.94,331.82,321.23,331.55,307.19,324.08,326.73,329.20,340.11,336.14,335.45,341.06,334.53,339.81,325.38,352.90,334.69,324.99,321.41,342.30,351.80,357.48,370.42,369.83,369.41,368.07,337.54,342.83,385.46,369.70,370.10,376.97
2002-09-30 21:41:47.719000,L7,,,342.79,356.12,362.02,358.38,352.45,358.59,349.32,351.17,347.84,362.91,363.12,366.47,355.20,349.67,340.51,345.88,330.42,343.07,342.84,343.11,349.94,350.31,348.72,354.28,348.49,349.52,348.25,375.31,365.29,331.30,334.83,374.74,385.64,389.90,399.98,396.33,392.47,385.16,370.63,387.92,391.23,370.24,370.37,372.80
2002-11-01 21:41:54.382000,L7,,,337.01,334.62,208.78,354.52,350.95,349.63,346.18,335.85,342.65,348.34,363.88,363.54,348.69,340.71,329.01,332.61,321.59,328.21,330.08,334.97,348.54,341.06,329.68,354.12,318.18,345.43,312.65,319.14,307.20,325.92,333.98,313.26,325.79,327.67,381.65,366.30,391.28,380.32,370.11,370.48,379.63,318.95,367.51,364.41
2002-11-17 21:42:06.289000,L7,302.31,338.46,341.52,347.57,352.81,349.03,340.31,344.12,334.57,337.10,337.31,351.36,359.83,356.90,342.37,330.58,326.10,330.22,326.85,325.97,330.48,334.00,336.97,342.26,357.86,383.53,401.08,349.57,324.80,356.88,347.32,326.61,325.56,352.21,364.47,330.94,371.23,377.87,361.76,367.73,346.47,350.99,378.26,366.54,364.20,370.55
2003-01-20 21:42:33.373000,L7,,318.14,320.28,316.30,312.21,299.91,303.18,316.13,309.51,310.09,299.77,318.42,317.00,293.37,294.01,288.53,458.33,457.23,456.12,284.33,279.86,213.23,220.75,223.56,227.90,231.14,288.82,298.69,420.38,452.08,432.35,283.24,282.95,276.33,313.62,314.60,322.36,395.68,393.11,376.84,361.58,312.40,306.54,354.49,350.49,349.96
2003-02-05 21:42:41.878000,L7,,328.55,349.29,356.51,355.30,351.07,342.24,348.52,342.40,346.42,348.29,373.27,382.73,371.84,355.35,346.48,335.70,323.21,339.34,296.88,291.81,295.62,313.41,211.33,222.43,203.34,305.74,302.78,270.21,282.71,293.34,293.92,292.94,299.93,320.94,320.96,327.35,437.18,399.47,391.75,385.79,381.50,351.22,362.91,371.08,370.80
2003-02-21 21:42:44.547000,L7,,,335.71,224.52,346.20,343.30,338.96,346.68,337.37,342.83,343.14,359.65,356.51,361.42,340.27,329.58,323.29,332.70,326.27,447.01,428.43,477.32,462.43,343.62,353.70,349.10,335.01,325.83,323.05,348.87,344.88,329.63,324.11,352.48,350.01,337.04,333.85,313.06,321.19,332.62,331.86,322.73,325.49,374.74,369.82,365.87
2003-05-12 21:42:48.091000,L7,,,,,,,,,331.02,326.62,341.47,346.14,362.39,358.91,344.35,332.92,325.30,327.11,308.71,324.98,338.90,333.37,363.54,342.60,349.38,351.24,335.42,343.73,334.54,361.94,383.16,351.64,327.18,355.93,361.28,389.86,382.72,380.37,391.10,380.76,338.24,372.47,380.55,373.60,368.65,376.74
2003-05-28 21:42:46.560000,L7,,,,,,,,,,,,,355.11,361.40,347.75,331.05,326.82,343.12,347.20,323.05,324.42,338.74,368.73,350.69,371.46,358.89,342.22,344.02,333.49,354.77,337.80,342.52,333.44,385.92,338.36,348.62,339.33,339.00,336.94,335.30,331.60,374.44,384.71,376.29,374.58,385.85
2003-09-25 21:31:42.973000,L5,278.85,332.15,334.36,343.48,345.58,337.26,335.35,336.88,337.56,330.37,340.72,352.38,360.71,350.85,343.38,327.65,320.50,316.03,306.24,315.51,317.30,322.70,330.92,336.61,338.53,340.19,337.72,337.59,317.35,352.20,336.74,321.26,317.70,336.25,347.54,357.95,361.33,360.36,345.98,344.28,341.89,355.42,373.84,366.70,366.49,371.33
2003-11-28 21:32:34.027000,L5,338.39,348.12,345.24,354.11,350.15,348.61,344.60,353.36,348.31,347.92,345.81,359.93,368.53,365.25,349.23,338.85,338.59,344.54,348.20,342.74,348.83,354.16,356.67,354.18,353.29,358.03,344.57,344.05,332.07,357.93,349.31,326.48,326.22,353.39,361.63,371.24,378.92,381.83,377.50,371.77,369.94,375.12,384.97,369.60,359.75,363.85
2003-12-14 21:32:38.364000,L5,356.51,363.26,359.33,370.06,363.55,359.32,358.34,367.52,363.00,365.38,358.74,379.94,387.58,382.87,368.77,355.20,362.91,367.93,374.61,373.56,378.89,378.81,379.39,374.58,382.72,388.21,357.60,354.00,356.34,389.66,384.38,359.23,348.78,373.54,372.73,380.06,398.33,400.98,394.21,390.34,385.59,391.33,395.62,386.47,362.94,375.60
2003-12-30 21:32:48.382000,L5,306.02,318.20,307.54,313.61,309.81,300.01,306.41,316.91,311.33,307.36,308.72,319.89,324.30,318.84,302.98,289.22,281.16,257.07,273.33,278.98,281.92,291.70,298.25,299.15,297.93,298.77,289.50,288.60,278.88,287.39,191.24,200.60,188.49,,,,,,,,,219.04,337.13,258.69,342.17,317.92
2004-01-15 21:32:50.035000,L5,325.03,334.25,337.05,336.26,339.58,326.54,329.64,330.43,318.99,320.04,322.84,320.92,325.19,232.98,251.21,215.28,,,,,,,,,,,,,,,,,,,,,322.86,338.53,326.49,349.26,353.11,347.21,369.10,356.19,361.65,365.62
2004-05-06 21:34:22.023000,L5,207.09,272.00,,179.47,190.26,208.95,194.87,355.96,355.27,357.21,356.16,387.59,390.02,378.35,368.02,365.05,364.70,357.77,358.85,356.14,364.40,362.37,366.93,363.81,362.73,372.71,356.65,354.36,336.79,359.88,357.22,342.90,341.25,368.76,376.53,384.30,388.21,403.76,383.18,383.40,377.45,376.47,383.46,372.66,369.47,377.86
2004-06-23 21:35:46.683000,L5,277.56,299.14,,,,168.94,202.20,177.07,343.49,,,,,364.14,350.38,328.50,338.15,344.60,344.40,344.83,345.04,357.36,354.33,359.34,360.24,365.73,346.69,349.57,341.65,373.44,355.20,346.15,353.53,377.06,378.32,376.38,378.45,380.68,376.31,369.94,363.25,370.03,385.22,373.21,370.57,381.20
2004-07-25 21:36:37.854000,L5,,,,,169.33,212.97,180.25,348.18,360.52,362.52,360.85,,379.06,370.14,365.27,348.73,364.06,363.12,360.03,374.03,381.21,392.45,394.83,381.58,382.71,373.05,387.88,407.28,387.16,417.00,421.47,381.86,362.77,388.48,376.54,377.83,384.60,384.32,385.32,375.20,372.00,379.58,397.83,377.29,383.46,392.52
2004-08-10 21:36:56.635000,L5,,,,,165.03,186.47,175.90,237.29,331.66,334.20,333.70,350.82,359.64,359.29,337.40,330.72,323.10,322.68,308.05,322.65,326.45,328.29,338.29,331.58,332.38,337.99,332.62,328.71,316.02,346.54,338.84,322.19,320.62,347.73,355.35,364.71,368.42,370.14,362.01,348.31,339.77,353.78,373.96,365.61,365.26,374.44
2004-09-11 21:37:49.351000,L5,509.08,478.30,444.35,497.79,430.64,436.73,,,,,,,,,279.19,295.44,297.22,278.43,277.03,288.52,296.37,307.53,315.48,311.89,306.31,307.00,304.72,302.19,291.23,322.55,307.73,300.18,294.72,320.54,320.55,337.02,340.41,343.73,312.86,313.59,317.29,323.58,350.20,346.52,343.99,358.52
