dates,nzd0268-0000,nzd0268-0001,nzd0268-0002,nzd0268-0003,nzd0268-0004,nzd0268-0005,nzd0268-0006,nzd0268-0007,nzd0268-0008,nzd0268-0009,nzd0268-0010,nzd0268-0011,nzd0268-0012,nzd0268-0013,nzd0268-0014,nzd0268-0015,nzd0268-0016,nzd0268-0017,nzd0268-0018,nzd0268-0019,nzd0268-0020,nzd0268-0021,nzd0268-0022,nzd0268-0023,nzd0268-0024,nzd0268-0025,nzd0268-0026,nzd0268-0027,nzd0268-0028,nzd0268-0029,nzd0268-0030,nzd0268-0031,nzd0268-0032,nzd0268-0033,nzd0268-0034,nzd0268-0035,nzd0268-0036,nzd0268-0037,nzd0268-0038,nzd0268-0039,nzd0268-0040,nzd0268-0041,nzd0268-0042,nzd0268-0043,nzd0268-0044,nzd0268-0045
2001-09-11 21:42:38+00:00,,,,,356.55,347.42,349.975,350.19500000000005,344.6766666666667,342.04333333333335,343.45,357.18333333333334,363.8325,363.75,346.886,335.9575,324.84999999999997,321.27,299.88666666666666,320.63,330.165,338.772,331.1666666666667,338.46,335.3933333333334,338.5733333333333,329.185,327.40000000000003,323.4266666666667,344.6275,336.65,319.72249999999997,318.0475,332.56666666666666,338.9125,338.02,349.87,340.12,362.49,336.63,332.97,329.36,307.7,337.5,326.94,
2001-09-27 21:42:29+00:00,,,,,337.67,358.725,349.95,350.72333333333336,347.57,345.59000000000003,345.035,360.605,365.54200000000003,364.526,347.5933333333333,336.264,327.1625,323.9775,305.7575,320.054,331.6,340.59666666666664,328.92,338.46,339.07000000000005,338.5733333333333,330.12,327.40000000000003,319.4225,346.962,333.992,318.46999999999997,315.872,333.825,337.12,349.28,352.1133333333333,347.82,362.49,343.335,340.3725,347.22,307.7,337.5,326.94,
2001-10-13 21:42:15+00:00,,,,,337.67,358.725,352.8866666666666,356.7475,349.004,347.046,346.034,361.852,367.2516666666667,364.9066666666667,348.18833333333333,336.264,328.38,323.9775,310.702,322.9916666666667,333.0683333333333,341.40000000000003,328.92,338.46,341.014,338.5733333333333,332.105,327.40000000000003,320.97200000000004,347.15166666666664,337.65500000000003,321.3283333333333,315.872,338.306,342.185,349.28,352.405,348.0233333333333,358.49,349.688,340.3725,347.22,307.7,337.5,326.94,
2001-10-29 21:42:21+00:00,,,333.7,347.6,337.67,355.7133333333333,351.5625,357.0175,348.168,345.672,346.452,361.272,364.9433333333333,362.215,347.1666666666667,333.06600000000003,325.134,321.105,311.266,319.4266666666667,328.11,336.74333333333334,329.305,337.7825,339.382,338.27,332.5,333.54,319.534,350.44999999999993,340.645,322.48,317.136,342.644,344.3383333333333,349.28,352.1366666666666,348.0233333333333,358.49,355.73,344.2966666666666,365.08,306.04,337.5,,
2002-01-17 21:42:52+00:00,,,326.1,335.135,331.7966666666667,355.7133333333333,343.726,352.02,343.3766666666667,341.3416666666667,342.3566666666666,356.95666666666665,362.10714285714283,358.25428571428574,343.0214285714286,329.24666666666667,321.295,321.105,307.235,315.64142857142855,328.11,335.026,329.305,335.09000000000003,339.382,338.27,332.5,333.54,319.534,350.44999999999993,340.645,322.48,317.136,342.644,344.3383333333333,344.4766666666667,349.51,348.0233333333333,358.49,350.356,344.78999999999996,346.9,311.43,346.09000000000003,350.12,345.76
2002-02-18 21:42:54+00:00,,,326.1,336.49666666666667,336.85,354.88,343.2183333333333,350.45666666666665,342.48333333333335,340.8883333333333,341.2733333333333,356.42,362.04,358.17333333333335,342.62166666666667,326.84,320.12,326.75,310.0375,314.12166666666667,328.892,336.0625,327.57666666666665,336.815,341.68,344.015,333.0675,325.95500000000004,313.99250000000006,351.6625,341.608,322.618,316.7975,344.228,344.482,344.4766666666667,349.51,348.0233333333333,354.49,355.8033333333333,354.42499999999995,346.9,311.43,354.68,350.12,345.76
2002-09-14 21:41:55+00:00,,,,322.96,353.25,341.31,337.84,343.24,332.68,,,,,357.31,341.94,331.82,321.23,331.55,307.19,324.08,326.73,329.2,340.11,336.14,335.45,341.06,334.53,339.81,325.38,352.9,334.69,324.99,321.41,342.3,351.8,357.48,,,,,337.54,,,,,
2002-09-30 21:41:47+00:00,,,340.78,338.875,357.09000000000003,349.15,344.4,350.21000000000004,340.195,349.08,346.54,361.57,362.16,361.305,341.94,331.82,321.23,331.55,317.65,332.39,333.28499999999997,329.2,340.11,336.14,335.45,341.06,334.53,339.81,325.38,352.9,334.69,324.99,321.41,342.3,351.8,357.48,,,,,337.54,,,,,
2002-11-01 21:41:54+00:00,,,338.895,337.45666666666665,357.09000000000003,350.94,346.5833333333333,350.01666666666665,342.19,342.46500000000003,344.595,354.955,363.02,362.05,345.315,331.82,325.12,332.08000000000004,318.9633333333333,330.99666666666667,332.21666666666664,332.08500000000004,340.11,336.14,332.565,347.59000000000003,326.355,342.62,319.015,336.02,320.945,324.99,321.41,327.78,338.795,342.57500000000005,,,,,337.54,,,318.95,,
2002-11-17 21:42:06+00:00,305.4,340.34,340.2633333333333,340.3825,357.09000000000003,350.7575,345.40999999999997,348.875,340.605,341.15333333333336,342.78,354.41333333333336,362.43,361.32,345.15000000000003,331.82,325.98,332.15000000000003,318.9633333333333,330.3875,332.3025,333.26,340.11,336.14,332.565,347.59000000000003,326.355,342.62,321.75666666666666,336.02,320.945,324.99,321.41,327.78,338.795,338.87,,,,,337.54,,,318.95,,
