dates,satname,nzd0412-0000,nzd0412-0001,nzd0412-0002,nzd0412-0003,nzd0412-0004,nzd0412-0005,nzd0412-0009,nzd0412-0010,nzd0412-0011,nzd0412-0012,nzd0412-0013,nzd0412-0014,nzd0412-0015,nzd0412-0016,nzd0412-0017,nzd0412-0018,nzd0412-0019,nzd0412-0020,nzd0412-0021,nzd0412-0022,nzd0412-0023,nzd0412-0024,nzd0412-0025,nzd0412-0026,nzd0412-0027,nzd0412-0028,nzd0412-0029,nzd0412-0030,nzd0412-0031,nzd0412-0032,nzd0412-0033,nzd0412-0037,nzd0412-0038,nzd0412-0039,nzd0412-0040,nzd0412-0041,nzd0412-0042,nzd0412-0043,nzd0412-0044,nzd0412-0006,nzd0412-0007,nzd0412-0008,nzd0412-0034,nzd0412-0035,nzd0412-0036,nzd0412-0045,nzd0412-0046,nzd0412-0047,nzd0412-0048,nzd0412-0054,nzd0412-0055,nzd0412-0056,nzd0412-0057,nzd0412-0058,nzd0412-0059,nzd0412-0060,nzd0412-0061,nzd0412-0049,nzd0412-0067,nzd0412-0068,nzd0412-0069,nzd0412-0050,nzd0412-0051,nzd0412-0052,nzd0412-0053,nzd0412-0062,nzd0412-0063,nzd0412-0064,nzd0412-0065,nzd0412-0066
2000-09-06 21:58:22.821000,L7,318.41,311.53,308.32,311.04,320.19,327.53,317.70,296.06,294.18,295.44,310.85,301.77,295.08,294.12,271.71,253.83,275.91,293.44,303.26,308.49,313.35,319.83,328.62,325.73,339.07,327.09,352.92,348.46,351.53,344.56,354.39,366.10,366.15,381.21,382.12,378.43,378.03,372.66,373.28,,,345.57,,,,366.51,372.45,373.20,385.65,384.81,358.08,315.68,322.61,328.85,334.11,356.41,353.84,,,,,,,,,,,,,
2000-10-08 21:58:00.300000,L7,313.54,307.25,303.62,310.22,322.77,330.98,317.37,292.96,285.87,281.84,295.11,293.88,293.62,294.60,277.42,258.86,289.45,303.94,315.50,321.35,317.71,319.09,318.29,323.46,322.45,321.68,344.38,341.53,346.33,350.93,,362.10,363.35,374.58,375.14,375.96,376.05,375.52,373.12,,,344.75,,,,372.02,371.31,377.30,383.75,,367.07,327.88,331.02,333.57,348.06,357.65,354.27,,,,,,,,,,,,,
2000-11-09 21:57:57.236000,L7,310.20,304.89,302.02,305.91,319.81,327.06,318.84,296.49,295.57,295.72,308.17,313.81,316.63,313.53,288.59,262.58,303.09,317.72,317.68,314.37,317.55,319.52,319.01,320.59,323.12,316.47,348.63,342.93,347.55,342.77,355.38,361.49,362.44,380.67,373.13,376.64,374.24,377.43,375.44,336.76,,345.21,,,,370.57,368.13,373.58,384.03,,366.67,325.59,325.37,333.39,342.13,355.74,352.39,,,,,,,,,,,,,
2000-11-25 21:57:58.896000,L7,310.18,302.89,307.06,311.86,320.00,333.59,324.14,312.08,337.23,330.35,333.65,328.58,326.09,318.88,288.46,293.51,310.16,320.44,320.91,324.47,315.71,323.63,324.15,325.26,326.59,320.00,350.63,349.69,350.26,,,365.34,375.83,379.61,382.76,378.41,380.38,379.17,377.13,337.99,,346.55,,,,,,,,,373.68,331.45,334.98,340.11,350.40,361.39,358.09,,,,,,,,,,,,,
2001-02-13 21:58:03.568000,L7,,,,,,,,,,316.57,329.80,317.68,311.52,317.02,290.93,254.40,282.20,328.80,314.92,338.77,333.77,329.64,336.96,342.91,329.34,325.60,352.33,347.21,338.00,,,365.14,362.42,375.27,373.88,370.76,372.02,374.65,369.12,,,,,,,365.79,368.63,368.76,382.60,376.14,356.59,319.77,320.50,331.16,335.36,350.85,339.53,,,,,,,,,364.19,355.10,389.67,,
2001-06-05 21:57:16.389000,L7,329.65,318.14,316.81,322.47,331.08,336.43,320.60,315.16,296.31,288.29,300.54,295.30,298.68,305.73,270.28,251.62,292.96,309.50,318.15,319.88,317.89,328.34,335.95,332.13,346.37,327.34,349.94,355.94,349.28,351.60,358.01,372.30,371.48,376.78,384.51,353.31,382.99,370.85,364.34,,,,,,,374.30,378.01,375.52,386.99,,285.43,290.32,329.82,318.33,338.10,347.32,351.90,,,,,,,,,,,,,
2001-07-07 21:57:00.006000,L7,329.72,320.47,314.89,331.16,341.19,340.33,319.68,308.87,293.67,273.98,297.39,300.36,286.33,294.19,280.13,255.97,296.60,311.17,312.18,323.43,325.73,329.38,338.98,,,,,,,,,367.92,375.19,376.37,374.62,376.43,384.14,374.85,374.56,,,345.64,,,,,,,,,262.60,288.36,328.03,331.46,351.32,361.71,363.02,,,,,,,,,,,,,
2001-08-24 21:56:24.380000,L7,319.73,311.50,314.09,320.61,326.74,332.12,326.33,294.90,283.72,280.34,297.84,293.17,295.87,291.28,274.08,242.99,271.69,301.00,309.63,320.23,323.34,329.02,322.89,328.70,319.64,320.45,350.08,355.54,352.14,352.28,,,368.61,379.69,377.29,384.00,381.42,385.98,380.87,,,347.04,,,,,,,,,,,,,,346.24,320.96,,,375.77,466.62,,,,,332.96,353.47,364.07,342.36,
2001-09-25 21:56:04.528000,L7,312.61,305.77,306.65,311.33,318.09,326.60,,336.62,341.04,341.14,326.54,337.81,344.05,331.23,301.01,253.37,328.11,323.49,324.03,316.86,316.56,319.92,313.75,306.82,319.35,318.82,349.70,348.29,343.43,339.16,350.16,358.27,361.32,374.59,377.08,368.34,375.59,371.26,373.04,,,,349.78,356.50,357.67,366.53,366.28,373.24,378.58,,361.75,325.01,323.27,329.42,341.99,354.76,344.37,370.73,,,,,,,,,,,,
2001-12-14 21:56:17.682000,L7,308.51,300.35,306.27,314.29,324.76,318.94,323.95,304.40,304.68,301.52,309.88,308.34,307.02,302.70,285.35,277.31,287.07,305.06,317.00,322.69,321.74,325.72,329.05,327.86,326.87,321.65,354.73,350.52,353.42,347.15,357.71,362.44,363.21,375.64,374.95,372.55,376.24,379.85,377.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-30 21:56:13.010000,L7,305.11,298.81,301.88,303.91,313.17,318.32,317.68,296.48,288.73,291.05,306.71,305.17,311.14,310.51,290.95,304.47,324.84,309.73,326.57,324.43,318.01,322.47,328.84,330.12,328.84,327.15,351.92,353.83,354.39,,,365.39,370.12,378.56,382.04,378.32,383.72,381.33,383.18,337.61,344.29,341.32,,,,,,,,,369.52,329.69,330.15,334.20,348.52,360.74,358.19,,,,,,,,,,,,,
2002-02-16 21:56:30.006000,L7,,,,,,,316.53,294.61,292.44,288.45,301.14,301.45,292.13,295.31,271.02,255.23,233.97,276.86,280.59,290.65,310.29,322.53,336.09,336.40,340.44,331.70,351.71,354.13,352.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
