dates,nzd0531-0000,nzd0531-0001,nzd0531-0002,nzd0531-0003,nzd0531-0004,nzd0531-0005,nzd0531-0006,nzd0531-0007,nzd0531-0008,nzd0531-0009,nzd0531-0010,nzd0531-0044,nzd0531-0045,nzd0531-0046,nzd0531-0047,nzd0531-0048,nzd0531-0049,nzd0531-0050,nzd0531-0051,nzd0531-0052,nzd0531-0011,nzd0531-0012,nzd0531-0013,nzd0531-0014,nzd0531-0015,nzd0531-0016,nzd0531-0017,nzd0531-0018,nzd0531-0019,nzd0531-0020,nzd0531-0021,nzd0531-0022,nzd0531-0023,nzd0531-0024,nzd0531-0025,nzd0531-0026,nzd0531-0027,nzd0531-0028,nzd0531-0029,nzd0531-0030,nzd0531-0031,nzd0531-0032,nzd0531-0033,nzd0531-0034,nzd0531-0035,nzd0531-0036,nzd0531-0037,nzd0531-0043,nzd0531-0041,nzd0531-0042,nzd0531-0038,nzd0531-0039,nzd0531-0040,satname
1999-08-17 22:13:37+00:00,,,,,,347.37,365.62,372.72,361.84,353.42,352.51,,,433.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-07 22:13:41+00:00,,293.25,290.88,296.82,314.85,341.735,360.59000000000003,367.615,358.145,349.225,346.83,,,433.17,,,,,380.3,377.91,345.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-08 22:06:44+00:00,,297.47,295.31,299.645,320.345,339.025,360.71500000000003,366.125,358.865,345.16999999999996,346.955,,,,,,,,380.3,377.91,345.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-09-20 22:11:14+00:00,,299.16999999999996,300.03499999999997,302.615,322.955,342.22,361.89,365.09000000000003,362.41499999999996,347.805,352.76,,,430.33,429.47,412.98,402.46,389.38,,378.44,352.92,,,,,,,,,,,,,,,,,,,,,,,336.84,,,,425.12,409.04,427.73,,348.83,427.12,L7
2001-07-14 22:03:57+00:00,373.32,349.66,,,366.52,375.16,381.6,380.02,373.22,351.79,353.68,,,,,,,,,380.74,362.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-08-15 22:03:26+00:00,373.32,349.66,340.53,306.92,362.02,361.985,370.015,371.75,373.22,351.79,353.68,,,,,,,,,380.74,362.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-01-29 22:09:33+00:00,,,340.53,306.92,357.52,348.81,358.43,363.48,,,,,,,,,,387.35,374.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-05-05 22:09:37+00:00,,342.47,332.86,343.43,,357.88,355.72,359.44,,,,,,,,,,387.35,374.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-05-14 22:03:19+00:00,,342.47,332.86,343.43,,357.88,355.72,359.44,,,,,,417.63,413.11,414.19,381.69,387.35,374.61,,,,,,,,,353.5,351.64,,,,,,,,,,,411.3,,,341.86,351.37,386.76,385.89,388.76,,394.7,,390.5,391.74,390.32,L7
2002-06-15 22:03:07+00:00,,342.47,332.86,343.43,,357.88,355.72,359.44,,,,,,417.63,413.11,414.19,381.69,387.35,374.61,,,,,,,,,353.5,351.64,,,359.38,,399.75,406.23,409.9,393.81,,,411.3,,,341.86,351.37,386.76,385.89,388.76,,375.565,,390.5,391.74,390.32,L7
2002-06-22 22:09:15+00:00,,342.47,332.86,343.43,,357.88,355.72,359.44,,356.62,,,,417.63,413.11,414.19,381.69,387.35,374.61,,,,,,,,,353.5,351.64,,,359.38,,399.75,406.23,409.9,393.81,,,411.3,,,341.86,351.37,386.76,385.89,388.76,,375.565,,390.5,391.74,390.32,L7
2002-08-09 22:08:57+00:00,,346.5,332.31,343.43,,357.88,355.72,359.44,,345.89,,,,417.63,413.11,414.19,381.69,,,,272.85,,,,,,363.12,353.5,351.64,371.56,382.79,349.52,381.26,394.21500000000003,391.05,405.91999999999996,386.015,357.52,,411.3,381.18,,355.92,351.37,386.76,385.89,388.76,,375.565,,390.5,391.74,390.32,L7
2002-09-10 22:08:43+00:00,,335.5,324.0233333333333,330.15999999999997,341.1,346.55,348.095,342.125,315.66,333.6566666666667,,,,417.63,413.11,414.19,381.69,,,,278.47,,,,,,363.12,353.5,351.64,371.56,382.79,349.52,381.26,394.21500000000003,391.05,405.91999999999996,386.015,357.52,,411.3,381.18,,355.92,351.37,386.76,385.89,388.76,,375.565,,390.5,391.74,390.32,L7
