dates,nzd0067-0000,nzd0067-0001,nzd0067-0002,nzd0067-0003,nzd0067-0004,nzd0067-0005,nzd0067-0006,nzd0067-0007,nzd0067-0008,nzd0067-0009,nzd0067-0010,nzd0067-0011,nzd0067-0012,nzd0067-0013,nzd0067-0014,nzd0067-0015,nzd0067-0016,nzd0067-0017,nzd0067-0018,nzd0067-0019,nzd0067-0020,nzd0067-0021,nzd0067-0022,nzd0067-0023,nzd0067-0024,nzd0067-0025,nzd0067-0026,nzd0067-0027,nzd0067-0028,nzd0067-0029,nzd0067-0030,nzd0067-0031
2001-12-12 22:06:14+00:00,,,,279.27,,,,374.96,,,,,381.69,364.96,,386.16,358.98,338.38,,,,351.66,335.58,,360.58,,,,,,,
2002-02-14 22:06:29+00:00,,,,279.27,,,,393.07,,,,,369.32,379.28,,373.59000000000003,358.98,338.38,355.69,,,344.02,334.25,333.35,364.04499999999996,,,,205.74,220.65,244.89,
2003-01-16 22:06:02+00:00,,,,,,,,,,,,,,407.45,,354.28,,320.68,303.64,,,,,336.84,382.85,,,,,,,
2004-05-18 21:58:14+00:00,232.94,227.65,241.36,245.6,210.83,185.55,,,,,,,,,,,,,,,,,,,,,228.91,237.28,244.36,247.34,231.94,
2005-01-13 22:03:41+00:00,241.74,237.59,245.33,247.74,215.2,192.86,,,,,,,,,,,,,,,,,,,,,239.53,247.8,243.0,252.86,239.94,264.31
2005-04-03 22:04:40+00:00,241.74,237.59,254.44,247.74,215.2,192.86,276.77,213.39,272.79,273.15,,,,,,,,,,,,,,,,260.13,244.95999999999998,249.73000000000002,246.375,255.16,242.915,260.77
2005-04-19 22:04:43+00:00,240.10000000000002,235.865,249.98000000000002,245.805,214.82,192.94,276.77,213.39,272.79,273.15,,,,,,,,,,,,,,,,260.13,233.74666666666667,246.21,244.15,253.26,239.40333333333334,260.77
2005-08-25 22:05:41+00:00,243.215,234.305,249.84,243.95,218.755,200.145,276.77,213.39,272.79,273.15,,,,,,,,,,,,,,,,262.36,242.57000000000002,247.1,248.49666666666667,257.9433333333333,243.3133333333333,256.665
2006-08-28 22:11:11+00:00,255.51,248.01,257.55,277.46,229.69,219.84,,,,,,,,,,,,,,,,,,,,202.54,261.36,247.67,252.77,264.11,246.22,253.45
2010-02-12 22:08:30+00:00,237.39,237.74,231.17,235.45,221.99,197.28,,,,,,,,,,,,,,,,,,,,232.65,240.88,244.59,240.71,255.7,241.07,263.87
