dates,satname,nzd0377-0000,nzd0377-0052,nzd0377-0053,nzd0377-0054,nzd0377-0055,nzd0377-0056,nzd0377-0057,nzd0377-0058,nzd0377-0059,nzd0377-0063,nzd0377-0064,nzd0377-0065,nzd0377-0066,nzd0377-0067,nzd0377-0068,nzd0377-0073,nzd0377-0074,nzd0377-0075,nzd0377-0076,nzd0377-0077,nzd0377-0078,nzd0377-0080,nzd0377-0081,nzd0377-0082,nzd0377-0083,nzd0377-0084,nzd0377-0085,nzd0377-0086,nzd0377-0087,nzd0377-0088,nzd0377-0089,nzd0377-0090,nzd0377-0091,nzd0377-0092,nzd0377-0093,nzd0377-0094,nzd0377-0079,nzd0377-0095,nzd0377-0096,nzd0377-0097,nzd0377-0098,nzd0377-0099,nzd0377-0100,nzd0377-0101,nzd0377-0102,nzd0377-0069,nzd0377-0070,nzd0377-0001,nzd0377-0002,nzd0377-0003,nzd0377-0039,nzd0377-0040,nzd0377-0041,nzd0377-0042,nzd0377-0032,nzd0377-0033,nzd0377-0034,nzd0377-0035,nzd0377-0031,nzd0377-0044,nzd0377-0045,nzd0377-0046,nzd0377-0047,nzd0377-0048,nzd0377-0049,nzd0377-0050,nzd0377-0051,nzd0377-0060,nzd0377-0043,nzd0377-0072,nzd0377-0061,nzd0377-0062,nzd0377-0004,nzd0377-0005,nzd0377-0006,nzd0377-0007,nzd0377-0023,nzd0377-0024,nzd0377-0025,nzd0377-0026,nzd0377-0038,nzd0377-0008,nzd0377-0071,nzd0377-0009,nzd0377-0010,nzd0377-0011,nzd0377-0012,nzd0377-0013,nzd0377-0014,nzd0377-0017,nzd0377-0018,nzd0377-0019,nzd0377-0020,nzd0377-0021,nzd0377-0022,nzd0377-0027,nzd0377-0028,nzd0377-0029,nzd0377-0030,nzd0377-0036,nzd0377-0037,nzd0377-0106,nzd0377-0107,nzd0377-0108,nzd0377-0109,nzd0377-0110,nzd0377-0111,nzd0377-0112,nzd0377-0015,nzd0377-0016,nzd0377-0113,nzd0377-0114,nzd0377-0103,nzd0377-0104,nzd0377-0105
1999-09-04 22:00:09.953000,L7,,,,,,,,,,,,369.80,362.36,338.98,355.40,375.45,359.01,347.57,341.51,343.17,345.21,340.58,349.97,349.53,339.89,336.08,337.22,315.27,299.45,306.07,291.22,,,,,,337.02,,,,,,,,,379.36,358.85,,,,,,,,,,,,,,,,,,,,,,,356.36,,,,,,,,,,,,,344.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-20 22:00:08.403000,L7,,,,,,,,,,,,,,,,,,413.39,409.01,410.35,409.57,396.07,390.66,381.86,415.98,407.18,400.01,376.34,383.14,370.16,370.44,358.75,349.04,344.61,324.70,319.59,396.74,365.43,360.67,344.77,362.83,347.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-22 22:00:04.598000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.16,380.60,382.39,361.35,365.30,336.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.53,373.73,373.99
1999-12-09 22:00:09.551000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.38,395.79,394.75,381.51,368.95,359.79,,350.14,362.49,336.54,325.10,315.56,308.94,303.35,297.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.87,319.21,302.19
1999-12-25 22:00:04.067000,L7,,,,,,,,,,,,,,,,,,408.35,404.87,397.79,409.38,407.01,404.21,399.11,398.06,388.10,381.17,,,341.85,358.61,348.94,337.69,328.66,319.27,310.39,396.87,354.66,332.74,321.32,322.32,309.84,307.68,296.64,298.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.12,,,,,,,,,,,290.86,322.32,301.19
2000-01-26 22:00:02.226000,L7,312.59,323.10,340.66,373.64,376.55,368.85,370.94,364.20,379.23,394.40,383.45,372.14,360.70,334.78,293.85,330.31,340.78,338.34,333.23,326.36,327.57,411.60,405.15,404.92,398.93,388.74,384.49,377.91,400.46,366.86,383.68,379.91,365.56,358.57,338.14,331.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-11 21:59:57.866000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.08,,351.20,376.67,340.98,318.69,340.02,353.09,336.44,357.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-27 21:59:52.393000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.07,349.56,388.68,367.09,408.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.20,,
2000-03-14 21:59:47.162000,L7,,320.53,336.94,378.27,376.55,357.00,358.97,363.62,372.54,,,,,,,,337.69,329.82,332.09,334.98,323.27,,,,,,,,,,,,,,,,294.74,,,,,,,,,,,,,,332.31,307.46,299.16,355.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:59:45.397000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,410.58,357.70,354.03,397.58,394.43,381.86,375.23,344.75,364.82,362.26,328.34,,349.20,339.31,321.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
