dates,nzd0238-0000,nzd0238-0001,nzd0238-0002,nzd0238-0003,nzd0238-0004,nzd0238-0005,nzd0238-0006,nzd0238-0007,nzd0238-0008,nzd0238-0009,nzd0238-0010,nzd0238-0011,nzd0238-0012,nzd0238-0013,nzd0238-0014,nzd0238-0015,nzd0238-0016,nzd0238-0017,nzd0238-0018,nzd0238-0019,nzd0238-0020,nzd0238-0021,nzd0238-0022,nzd0238-0023,nzd0238-0024,nzd0238-0025,nzd0238-0026,nzd0238-0027,nzd0238-0028,nzd0238-0029,nzd0238-0030,nzd0238-0031,nzd0238-0032,nzd0238-0033,nzd0238-0034,nzd0238-0035,nzd0238-0036,nzd0238-0037,nzd0238-0038,nzd0238-0039,nzd0238-0040,nzd0238-0041,nzd0238-0042,nzd0238-0043,nzd0238-0044,nzd0238-0045,nzd0238-0046,nzd0238-0047,nzd0238-0048,nzd0238-0049,nzd0238-0050,nzd0238-0051,nzd0238-0052,nzd0238-0053,nzd0238-0054,nzd0238-0055,nzd0238-0056,nzd0238-0057,nzd0238-0058,nzd0238-0059,satname
2000-05-19 21:45:43.918,342.216,331.6675,306.728,289.312,306.2975,303.024,302.2,309.998,314.254,322.322,325.814,330.354,336.04200000000003,344.816,340.346,337.32,335.938,332.422,333.20799999999997,332.914,332.342,335.34000000000003,335.76,336.548,337.642,341.38,342.006,339.494,340.808,347.17,341.7075,344.14,341.462,345.34,341.066,336.36400000000003,338.642,326.07399999999996,325.092,325.635,316.1275,284.6125,259.7125,287.0825,281.98,296.9075,322.846,319.184,326.92600000000004,317.09,318.198,340.006,330.01750000000004,301.384,289.504,283.88,292.65999999999997,336.985,335.0925,302.76,L7
2000-05-26 21:51:48.668,345.05833333333334,335.928,306.728,292.49,309.71000000000004,305.50166666666667,306.56333333333333,309.998,318.78833333333336,322.322,328.21166666666664,332.67,341.17,347.4266666666667,344.5216666666667,340.30333333333334,345.76666666666665,338.00166666666667,337.6616666666667,336.3016666666667,338.66833333333335,337.9266666666667,337.2583333333333,337.72166666666664,340.675,341.38,343.4866666666667,343.74666666666667,344.33,351.47200000000004,341.7075,347.77666666666664,345.27,351.25,342.90333333333336,339.605,340.91833333333335,329.80333333333334,327.33,329.798,319.786,290.856,261.072,287.93199999999996,283.37800000000004,296.576,325.0983333333333,320.9116666666667,327.845,319.4883333333333,321.87166666666667,340.11833333333334,330.898,303.68666666666667,291.62833333333333,287.68333333333334,296.282,337.424,333.058,302.76,L7
2000-08-07 21:44:45.034,353.2,336.696,311.1975,293.70799999999997,307.82,303.79,305.43666666666667,308.22799999999995,318.34,323.254,330.38666666666666,337.885,345.8066666666667,351.77666666666664,348.03999999999996,345.8433333333333,351.2933333333333,345.9666666666667,341.48499999999996,339.85499999999996,342.205,340.31333333333333,339.6433333333334,339.80333333333334,342.96000000000004,342.688,345.17333333333335,346.51666666666665,346.3333333333333,362.106,340.27666666666664,353.76,349.66,354.844,350.34666666666664,342.508,344.43666666666667,333.69,331.3983333333333,339.212,327.756,288.754,258.90250000000003,288.164,281.038,296.5975,325.75,322.795,329.4066666666667,316.24333333333334,321.2033333333333,340.1516666666667,330.22,303.86,290.76000000000005,288.41833333333335,293.03000000000003,334.598,329.462,299.7866666666667,L7
2000-08-14 21:50:56.232,353.18142857142857,337.84,313.928,295.585,309.18,305.37,307.31142857142856,311.635,320.12,325.5333333333333,331.85571428571427,340.27714285714285,346.76142857142855,352.70142857142855,348.39,347.2442857142857,351.6885714285714,346.32571428571424,342.70142857142855,341.1457142857143,343.78000000000003,342.02714285714285,340.61285714285714,340.79714285714283,344.37142857142857,343.8666666666666,346.40142857142854,347.2357142857143,347.52,361.325,340.27666666666664,354.82000000000005,350.67571428571426,355.23499999999996,350.71285714285716,343.78999999999996,344.9757142857143,335.34142857142854,333.0257142857143,340.07666666666665,328.685,291.9216666666666,258.90250000000003,289.335,281.69166666666666,296.5975,327.3885714285715,323.8014285714286,329.2657142857143,315.50428571428574,319.90142857142854,341.02714285714285,331.40833333333336,304.92428571428576,288.21571428571434,286.4142857142857,290.35333333333335,333.1383333333333,328.99333333333334,303.36,L7
2000-09-15 21:50:25.712,357.71,338.8775,312.13333333333327,294.71,307.7125,305.09400000000005,308.366,308.165,320.94800000000004,324.44499999999994,332.4,341.628,349.29799999999994,354.28999999999996,349.99,349.35,356.45399999999995,350.77199999999993,346.15199999999993,344.468,346.334,343.82800000000003,342.772,341.77,346.692,344.2775,347.224,346.65600000000006,347.05199999999996,368.55749999999995,318.4,357.95,352.102,359.3399999999999,354.98,347.37249999999995,349.21,337.05199999999996,333.71999999999997,347.635,334.85499999999996,302.18249999999995,265.08500000000004,290.6925,281.4925,291.89,326.5200000000001,323.47200000000004,330.428,312.75200000000007,318.13199999999995,348.08666666666664,340.028,302.814,286.642,284.728,289.1175,329.84749999999997,324.1625,295.875,L7
2000-12-04 21:50:10.162,371.75333333333333,335.82499999999993,324.85,304.97,300.03999999999996,301.3650000000001,305.06499999999994,310.40999999999997,319.1000000000001,327.80999999999995,336.79999999999995,352.235,353.3499999999999,362.1599999999999,352.77000000000004,359.74,357.58999999999986,363.19499999999994,351.2249999999999,350.05500000000006,353.78999999999996,349.05500000000006,347.02,346.97,352.26,348.78,351.14,352.56500000000005,353.81499999999994,375.8549999999999,,369.3400000000001,359.19500000000005,355.1599999999999,365.0800000000001,350.2,347.93999999999994,343.775,346.06499999999994,356.995,342.67999999999995,292.29999999999995,,292.18,277.46500000000003,,334.34000000000015,326.71500000000003,327.9600000000001,304.62000000000006,309.54999999999995,362.775,353.05,307.0450000000001,278.55500000000006,283.0350000000001,280.14000000000004,324.71,323.63,314.08,L7
2000-12-20 21:50:16.996,371.75333333333333,332.28666666666663,307.165,295.51,298.2033333333333,299.17333333333335,301.81333333333333,307.59999999999997,314.54,321.71666666666664,330.11666666666673,342.2166666666667,344.6433333333334,354.52666666666664,344.73333333333335,348.73333333333335,347.3566666666666,350.82,342.43333333333334,341.65000000000003,345.0233333333333,341.63000000000005,340.0566666666667,341.45000000000005,346.25666666666666,344.27333333333337,345.32,347.01666666666665,349.48333333333335,364.09,344.8,360.43,351.1966666666667,348.41333333333336,352.55333333333334,338.78,340.1333333333333,334.6366666666667,338.2233333333333,343.8,331.43333333333334,287.59,231.68,289.3433333333333,276.57,288.75,333.87000000000006,324.16,325.0,306.85999999999996,306.55,362.775,353.05,310.41333333333336,287.56666666666666,287.05,284.8,328.84999999999997,333.12666666666667,333.895,L7
2001-01-05 21:50:16.585,378.7375,332.28666666666663,307.165,295.51,298.2033333333333,299.17333333333335,301.81333333333333,307.59999999999997,314.54,321.71666666666664,330.11666666666673,342.2166666666667,344.6433333333334,354.52666666666664,344.73333333333335,348.73333333333335,347.3566666666666,350.82,342.43333333333334,341.65000000000003,345.0233333333333,341.63000000000005,340.0566666666667,341.45000000000005,346.25666666666666,344.27333333333337,345.32,347.01666666666665,349.48333333333335,364.09,344.8,360.43,351.1966666666667,348.41333333333336,352.55333333333334,338.78,340.1333333333333,334.6366666666667,338.2233333333333,343.8,331.43333333333334,287.59,231.68,289.3433333333333,276.57,288.75,333.87000000000006,324.16,325.0,306.85999999999996,306.55,371.962,359.59000000000003,310.41333333333336,287.56666666666666,287.05,284.8,328.84999999999997,333.12666666666667,333.895,L7
2001-03-03 21:44:00.567,391.64500000000004,322.05499999999995,287.28499999999997,285.83500000000004,293.395,298.625,299.11,306.57000000000005,308.22,313.32,316.75,320.365,322.725,332.405,325.13,324.57500000000005,322.7099999999999,321.625,321.875,320.15,321.71000000000004,323.895,321.49,325.97,328.9,331.185,328.945,331.19500000000005,335.08,335.975,340.45500000000004,336.815,331.775,329.125,326.0,323.53,320.655,314.055,311.845,307.98,296.57,278.17,231.68,271.78,257.355,288.75,332.93,319.05,306.66499999999996,303.73,296.90999999999997,392.0833333333333,377.58666666666664,304.095,287.12,295.08,276.46000000000004,337.13,337.675,353.71,L7
2001-03-10 21:50:10.732,391.6566666666667,322.05499999999995,287.28499999999997,285.83500000000004,293.395,298.625,299.11,306.57000000000005,308.22,313.32,316.75,320.365,322.725,332.405,325.13,324.57500000000005,322.7099999999999,321.625,321.875,320.15,338.8933333333334,323.895,321.49,325.97,328.9,331.185,328.945,331.19500000000005,335.08,335.975,340.45500000000004,336.815,331.775,329.125,326.0,323.53,320.655,314.055,311.845,307.98,296.57,278.17,231.68,271.78,257.355,288.75,332.93,319.05,306.66499999999996,303.73,296.90999999999997,390.66499999999996,377.265,304.095,287.12,295.08,276.46000000000004,337.13,337.675,353.71,L7
