dates,satname,nzd0238-0000,nzd0238-0001,nzd0238-0002,nzd0238-0003,nzd0238-0004,nzd0238-0005,nzd0238-0006,nzd0238-0007,nzd0238-0008,nzd0238-0009,nzd0238-0010,nzd0238-0011,nzd0238-0012,nzd0238-0013,nzd0238-0014,nzd0238-0015,nzd0238-0016,nzd0238-0017,nzd0238-0018,nzd0238-0019,nzd0238-0020,nzd0238-0021,nzd0238-0022,nzd0238-0023,nzd0238-0024,nzd0238-0025,nzd0238-0026,nzd0238-0027,nzd0238-0028,nzd0238-0029,nzd0238-0030,nzd0238-0031,nzd0238-0032,nzd0238-0033,nzd0238-0034,nzd0238-0035,nzd0238-0036,nzd0238-0037,nzd0238-0038,nzd0238-0039,nzd0238-0040,nzd0238-0041,nzd0238-0042,nzd0238-0043,nzd0238-0044,nzd0238-0045,nzd0238-0046,nzd0238-0047,nzd0238-0048,nzd0238-0049,nzd0238-0050,nzd0238-0051,nzd0238-0052,nzd0238-0053,nzd0238-0054,nzd0238-0055,nzd0238-0056,nzd0238-0057,nzd0238-0058,nzd0238-0059
1999-08-12 21:52:44.265000,L7,,,241.67,234.76,240.38,251.80,256.41,267.68,265.11,270.62,276.85,286.21,283.35,291.67,291.48,286.90,278.87,285.03,286.78,277.61,287.53,283.87,289.17,293.74,288.33,287.83,290.39,294.00,299.46,299.45,299.52,302.41,286.72,,267.46,293.68,292.68,270.77,270.56,207.26,219.86,188.19,,,,,,,,,,,,,,,,,,
1999-08-21 21:46:33.053000,L7,,,,,236.33,208.79,258.45,267.42,265.60,278.94,278.58,272.93,290.90,292.91,287.36,276.53,277.00,282.76,285.34,275.86,283.42,287.28,287.73,288.68,224.75,,264.91,292.17,290.27,298.62,304.46,300.35,295.41,298.85,288.66,291.25,290.07,280.10,273.21,278.56,237.21,184.35,,,,,,,,,,,,,,,,,,
1999-09-22 21:46:36.849000,L7,338.60,332.94,297.52,295.72,299.19,303.94,306.24,312.71,316.94,319.58,327.68,332.76,338.15,347.12,339.01,337.13,335.65,336.77,337.09,336.26,336.21,336.63,337.85,339.65,340.53,340.78,341.09,344.55,348.46,348.90,351.08,348.30,343.19,342.13,340.89,338.71,331.41,327.67,328.62,327.15,316.32,288.13,273.51,290.43,284.53,299.65,322.31,314.41,322.97,303.11,303.65,328.98,329.48,304.29,299.98,292.16,292.63,323.04,343.14,296.50
1999-09-29 21:52:52.243000,L7,386.37,385.18,378.60,379.27,383.10,396.39,394.43,388.33,396.87,400.37,397.42,404.08,427.31,427.31,425.82,415.24,411.13,407.55,407.72,428.27,406.37,403.34,410.29,411.90,416.32,416.69,410.80,422.84,423.00,429.78,441.26,436.54,425.13,407.18,415.85,427.37,416.14,414.13,406.99,409.11,397.21,389.40,379.79,376.00,373.83,385.28,391.59,383.84,378.30,377.93,394.64,387.92,377.40,378.79,378.14,392.32,372.12,381.59,376.99,373.41
1999-10-15 21:52:49.322000,L7,382.95,386.91,381.14,376.77,380.24,378.33,381.37,385.41,394.63,394.86,403.55,405.92,416.48,422.03,423.56,421.93,416.25,400.70,401.70,401.36,401.08,402.61,404.61,414.79,414.47,409.83,413.71,415.43,411.39,412.97,414.70,417.37,411.56,418.88,424.20,410.94,409.02,425.26,407.76,394.76,380.97,385.79,375.43,369.23,385.01,395.16,405.94,381.84,360.06,354.08,367.33,405.71,444.77,424.12,436.74,388.50,382.50,408.70,384.84,381.37
1999-10-24 21:46:32.266000,L7,341.36,331.39,310.96,302.78,311.12,317.90,318.61,329.00,331.49,343.50,341.92,345.00,350.70,360.04,358.00,358.46,352.16,348.97,349.10,353.09,353.77,352.01,347.31,346.17,346.76,347.07,351.58,355.62,355.58,359.24,366.29,357.69,359.59,360.16,351.09,352.31,344.56,343.10,343.08,341.08,332.26,293.95,277.22,299.36,285.41,300.33,332.93,332.00,336.74,328.94,331.09,348.86,338.84,316.19,301.00,306.12,301.76,341.21,351.29,348.49
2000-02-04 21:52:37.377000,L7,329.74,324.25,288.85,286.40,293.55,298.15,298.33,301.00,310.09,314.03,319.88,318.55,326.39,339.97,333.94,330.59,327.96,330.12,329.51,329.90,333.13,331.48,333.30,334.69,337.97,341.26,338.39,336.96,340.97,341.12,346.00,341.60,335.28,335.16,332.59,325.09,326.56,318.98,324.93,322.52,312.18,287.35,269.75,288.01,281.67,296.49,327.55,312.29,318.13,317.64,311.02,337.08,331.23,301.74,289.37,287.27,299.57,337.71,338.59,311.68
2000-02-20 21:52:29.720000,L7,328.05,330.10,315.57,291.59,297.08,299.00,300.78,316.82,316.98,321.25,326.93,332.57,335.67,340.56,342.03,339.29,330.43,331.14,329.90,326.74,332.64,333.44,332.40,334.60,335.07,342.13,341.73,348.31,344.58,342.90,346.68,343.52,341.39,339.20,332.10,328.11,327.08,323.03,322.68,319.65,313.02,262.79,248.15,283.72,281.74,298.67,327.43,318.87,320.99,314.20,319.84,333.37,325.29,290.40,291.87,279.77,293.14,337.45,336.61,287.61
2000-03-16 21:46:15.139000,L7,350.58,331.56,308.26,294.96,303.33,306.22,302.46,313.77,314.44,325.92,327.20,335.18,335.72,346.37,342.47,337.53,344.20,333.75,333.76,333.85,336.96,335.27,334.27,338.56,338.68,340.80,340.82,342.09,348.27,347.75,351.48,345.38,346.58,342.62,342.91,340.51,337.39,333.79,334.22,326.49,316.03,273.21,254.04,286.37,278.18,292.87,327.75,324.30,328.76,323.30,326.78,341.53,333.66,315.65,289.58,286.84,289.49,339.62,337.62,285.73
2000-05-03 21:45:55.224000,L7,378.09,390.83,321.18,295.22,310.39,311.54,313.62,325.82,328.01,332.53,332.92,349.48,353.66,354.33,349.39,346.98,344.64,338.70,343.15,340.82,354.05,341.07,345.08,343.60,344.08,344.52,348.40,349.38,355.46,360.86,398.61,392.55,353.77,355.91,349.63,356.17,371.94,343.73,338.82,332.31,321.73,312.53,267.20,288.79,284.06,292.55,326.87,323.75,322.89,325.56,334.52,339.92,328.09,307.16,288.51,276.34,288.13,333.59,247.50,281.01
2000-05-19 21:45:43.918000,L7,323.16,330.89,294.23,273.47,249.65,296.35,292.85,293.62,300.65,312.89,317.52,315.72,323.15,335.78,333.50,328.81,330.89,325.19,328.24,330.62,310.51,331.22,332.81,329.88,331.19,336.89,337.13,315.83,313.15,304.87,318.40,326.84,329.51,275.39,345.90,332.24,329.15,310.12,301.96,287.27,261.73,222.92,,,,243.19,303.80,313.26,344.46,300.87,299.40,346.12,215.03,287.11,288.02,276.88,508.59,,,
2000-05-26 21:51:48.668000,L7,359.27,352.97,339.41,308.38,323.36,317.89,328.38,341.98,341.46,374.69,340.20,344.25,366.81,360.48,365.40,355.22,394.91,365.90,359.93,353.24,370.30,350.86,344.75,343.59,355.84,392.94,350.89,365.01,361.94,368.68,371.26,365.96,364.31,374.89,352.09,355.81,352.30,348.45,338.52,346.45,334.42,315.83,266.51,291.33,288.97,295.25,336.36,329.55,332.44,331.48,340.24,340.68,334.42,315.20,302.25,306.70,310.77,339.18,324.92,
