dates,nzd0027-0000,nzd0027-0001,nzd0027-0002,nzd0027-0003,nzd0027-0028,nzd0027-0029,nzd0027-0030,nzd0027-0041,nzd0027-0042,nzd0027-0043,nzd0027-0044,nzd0027-0045,nzd0027-0046,nzd0027-0047,nzd0027-0056,nzd0027-0057,nzd0027-0058,nzd0027-0059,nzd0027-0060,nzd0027-0061,nzd0027-0062,nzd0027-0063,nzd0027-0064,nzd0027-0004,nzd0027-0005,nzd0027-0006,nzd0027-0007,nzd0027-0008,nzd0027-0009,nzd0027-0010,nzd0027-0011,nzd0027-0012,nzd0027-0013,nzd0027-0014,nzd0027-0015,nzd0027-0016,nzd0027-0017,nzd0027-0018,nzd0027-0019,nzd0027-0020,nzd0027-0021,nzd0027-0039,nzd0027-0040,nzd0027-0065,nzd0027-0066,nzd0027-0067,nzd0027-0068,nzd0027-0022,nzd0027-0023,nzd0027-0024,nzd0027-0025,nzd0027-0026,nzd0027-0035,nzd0027-0036,nzd0027-0037,nzd0027-0038,nzd0027-0027,nzd0027-0031,nzd0027-0032,nzd0027-0033,nzd0027-0034,nzd0027-0048,nzd0027-0049,nzd0027-0050,nzd0027-0051,nzd0027-0052,nzd0027-0053,nzd0027-0054,nzd0027-0055,nzd0027-0069,nzd0027-0070,nzd0027-0071,nzd0027-0072,nzd0027-0073,nzd0027-0074,nzd0027-0075,nzd0027-0076,nzd0027-0077,nzd0027-0078,nzd0027-0079,nzd0027-0080,nzd0027-0081,nzd0027-0082,nzd0027-0083,nzd0027-0084,nzd0027-0085,nzd0027-0086,nzd0027-0087,nzd0027-0088,nzd0027-0089,nzd0027-0090,nzd0027-0091,nzd0027-0092,nzd0027-0093,nzd0027-0094,nzd0027-0095,nzd0027-0096,satname
1999-08-17 22:10:26+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,357.95,363.6,410.75,380.24,,391.09,392.76,410.46,386.56,381.29,382.62,386.79,406.14,383.86,394.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-04 22:10:38+00:00,,,,,,,,,,,,,,,,,,,,364.33,353.93,,,384.55,373.23,390.17,357.95,363.6,410.75,380.24,,391.09,392.76,410.46,386.56,381.29,382.62,386.79,406.14,383.86,394.52,,,,,,,,,,,,,,,,,,,,,,,,,371.43,363.23,393.75,,,,384.45,,,384.91,380.33,,,,,,,,,,,,,,,,,319.2,325.2,386.77,366.83,368.14,L7
2000-02-09 22:10:19+00:00,,,,347.73,397.02,385.35,375.96,376.83,367.69,363.08,361.17,355.93,,359.22,330.38,332.76,333.93,327.68,321.6,364.33,353.93,,,368.23,354.71500000000003,392.22,369.71000000000004,377.79,401.095,385.28999999999996,395.87,389.66499999999996,386.91499999999996,399.83,389.6,386.295,387.78499999999997,396.5,404.69,391.05,401.22,,377.54,,,,,421.51,420.81,410.1,407.92,409.81,411.61,417.85,413.52,412.93,407.5,365.72,360.13,367.4,393.16,,,336.96,326.43,345.61,363.23,393.75,,,,382.45,356.37,349.58,373.83500000000004,361.38,333.73,353.1,356.06,343.58,364.86,362.35,343.67,343.2,329.54,335.69,340.28,316.73,356.65,345.77,364.39,320.07,349.54999999999995,342.79499999999996,391.45,366.83,368.14,L7
2000-04-29 22:09:53+00:00,,400.89,396.87,363.865,397.02,385.35,375.96,392.71500000000003,385.555,380.45,377.765,374.855,394.4,377.58500000000004,347.58,347.46500000000003,349.86,344.61,338.07000000000005,343.38,338.07,,,367.83500000000004,356.16999999999996,408.30499999999995,390.61,399.25,407.40999999999997,407.98,407.90999999999997,402.07500000000005,398.005,410.155,409.49,408.01,408.79999999999995,419.775,403.24,398.24,407.92,,377.54,334.26,324.78,,,421.51,420.81,410.1,407.92,409.81,411.61,417.85,413.52,412.93,407.5,365.72,360.13,367.4,393.16,390.58,380.48,356.85,343.32,334.56,352.12,369.98,369.78,,319.82,374.49,354.70500000000004,355.07,365.76,344.18,344.20500000000004,350.61,358.5,349.355,366.46000000000004,362.025,330.26,333.53499999999997,323.83000000000004,325.875,326.34,314.69500000000005,340.455,333.53499999999997,345.03,309.515,379.9,360.39,396.13,,,L7
2000-05-15 22:09:42+00:00,,400.89,382.875,363.8766666666667,397.02,385.35,375.96,398.27666666666664,390.3966666666667,385.64000000000004,377.765,374.855,394.4,377.58500000000004,361.5733333333333,365.2966666666666,359.66,357.51666666666665,356.9266666666667,374.16499999999996,361.575,394.91,393.64,369.68333333333334,359.39333333333326,408.97333333333336,378.72333333333336,404.0333333333333,411.8766666666667,410.3666666666666,413.8033333333333,401.94000000000005,401.3433333333333,409.62999999999994,415.57666666666665,409.04333333333335,408.6666666666667,420.78,417.31,410.23,407.92,,377.54,327.97,324.78,,,421.51,420.81,410.1,407.92,409.81,411.61,417.85,413.52,412.93,407.5,365.72,360.13,367.4,393.16,390.58,380.885,372.7133333333333,343.32,334.56,359.175,372.845,370.63,367.16,327.02,363.9866666666667,348.90000000000003,344.1366666666666,353.9266666666667,347.44,349.1933333333333,344.99666666666667,358.5,349.355,366.46000000000004,362.025,330.26,333.53499999999997,323.83000000000004,325.875,326.34,314.69500000000005,340.455,333.53499999999997,345.03,309.515,379.9,360.39,396.13,,,L7
2000-08-03 22:08:44+00:00,,400.89,378.90000000000003,367.0075,397.02,385.35,375.96,395.07,387.205,385.64000000000004,377.765,368.17333333333335,394.4,391.4166666666667,361.5733333333333,372.72249999999997,366.6775,363.81,360.58500000000004,374.16499999999996,361.575,377.78,375.725,369.68333333333334,364.46,408.97333333333336,374.1375,394.44,411.8766666666667,404.8925,413.8033333333333,391.4325,401.3433333333333,400.03999999999996,415.57666666666665,410.1975,408.6666666666667,420.78,407.52666666666664,399.04,400.21000000000004,439.98,386.315,334.80333333333334,332.27,,337.21,421.51,420.81,410.1,407.92,409.81,411.61,417.85,413.52,412.93,407.5,365.72,360.13,367.4,393.16,390.58,380.885,372.7133333333333,343.32,334.56,359.175,372.845,370.63,367.16,327.02,363.9866666666667,348.90000000000003,344.1366666666666,353.9266666666667,347.44,349.1933333333333,344.99666666666667,358.5,349.355,366.46000000000004,362.025,330.26,333.53499999999997,323.83000000000004,325.875,326.34,314.69500000000005,340.455,333.53499999999997,345.03,309.515,379.9,360.39,396.13,,,L7
2000-11-07 22:07:53+00:00,,,369.915,370.15,,,,403.95666666666665,388.85499999999996,396.02,415.38,354.81,,419.08,389.56,397.9799999999999,383.495,383.01,383.1,404.95,385.08,377.78,375.725,373.38,372.75,410.31,357.66499999999996,389.63,420.81,401.80499999999995,425.59,380.78999999999996,408.02,389.92499999999995,427.75,412.385,408.4,422.79,409.66999999999996,399.44000000000005,392.5,439.98,401.855,335.07500000000005,339.76,,337.21,,,,,,,,,,,,,,,,381.29,404.44,,,366.23,375.71,371.48,367.16,334.22,342.98,337.29,322.27,330.26,353.96,359.17,333.77,,,,,,,,,,,,,,,,,,,,L7
2001-06-03 22:07:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,406.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-06-19 22:07:05+00:00,,367.56,,,,,,,,,,,,,,,,,,,,,,406.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-12-12 22:06:14+00:00,,367.56,,,,,,413.99,400.74,,393.43,395.82,387.67,386.48,,401.42,400.68,405.61,404.54,399.96,399.67,403.41,,,,393.24,,,410.12,397.37,,,400.63,,423.86,421.57,424.62,423.15,,,,414.22,409.38,392.05,393.54,390.06,,,,,,,,,,433.06,,,,,,380.74,369.31,,,,,,,373.98,,368.35,361.73,353.56,342.33,343.15,331.09,333.25,,,,,,,,,,,,,,,,,,,,L7
2002-01-29 22:06:21+00:00,,,,340.55,,,,394.67,387.58500000000004,363.49,377.53999999999996,376.485,380.665,375.355,,401.42,400.68,410.61,406.125,399.745,384.72,386.92,416.38,,331.61,393.24,,375.43,410.12,406.015,424.63,389.77,391.1,391.76,414.72,405.02,408.22,415.205,423.52,401.28,417.63,417.655,392.77,403.40999999999997,393.54,390.06,,,,,,,421.78,420.67,435.92,416.41499999999996,,,,417.56,435.18,368.355,361.53999999999996,339.78,,312.13,331.57,,,373.98,,368.35,361.73,353.56,356.92499999999995,358.77,342.75,333.25,396.88,,,,320.33,,,,,,,,,,,,,316.73,350.6,L7
2002-06-22 22:06:03+00:00,,,354.77,340.55,,,,375.35,374.43,363.49,361.65,357.15,373.66,364.23,,,,415.61,407.71,399.53,369.77,370.43,416.38,,331.61,,,388.765,387.76,399.33500000000004,402.47,384.225,393.69,386.39,402.085,392.54,400.25,410.15,423.52,401.28,417.63,421.09,376.16,414.77,,,,,,,,,421.78,420.67,435.92,399.77,,,,417.56,435.18,355.97,353.77,339.78,,312.13,331.57,,,,,,,,371.52,374.39,354.41,,396.88,,,,320.33,,,,,,,,,,,,,316.73,350.6,L7
2003-01-16 22:06:02+00:00,,,,,,,,,,402.8,399.18,,,,374.18,,424.18,412.24,407.54,394.86,380.3,378.45,376.44,,,,,,,,,,,,,,,,,,,,,378.93,371.6,361.16,317.83,,,,,,,,,,,,,,,,,,,,,,387.03,,,,,320.81,331.61,,,,,,,,,,,,,,,,,,,,,,,L7
2003-04-22 22:06:19+00:00,,,352.41,359.28,413.47,410.81,410.73,389.02,382.14,392.625,392.93,381.13,373.49,377.43,374.18,,424.18,412.24,407.54,394.86,380.3,378.45,376.44,375.42,362.78,381.94,384.2,390.78,397.91,403.65,419.72,384.36,384.36,398.65,417.95,416.72,401.12,412.3,418.8,408.26,424.21,413.6,392.37,378.93,371.6,361.16,317.83,428.05,438.76,420.16,417.67,415.31,437.18,428.57,423.17,419.87,426.59,408.64,411.21,424.72,,372.84,368.15,355.86,,,,,387.03,,,,,320.81,331.61,,,,,,,,,,,,,,,,,,,,,,,L7
