dates,satname,nzd0027-0000,nzd0027-0001,nzd0027-0002,nzd0027-0003,nzd0027-0028,nzd0027-0029,nzd0027-0030,nzd0027-0041,nzd0027-0042,nzd0027-0043,nzd0027-0044,nzd0027-0045,nzd0027-0046,nzd0027-0047,nzd0027-0056,nzd0027-0057,nzd0027-0058,nzd0027-0059,nzd0027-0060,nzd0027-0061,nzd0027-0062,nzd0027-0063,nzd0027-0064,nzd0027-0004,nzd0027-0005,nzd0027-0006,nzd0027-0007,nzd0027-0008,nzd0027-0009,nzd0027-0010,nzd0027-0011,nzd0027-0012,nzd0027-0013,nzd0027-0014,nzd0027-0015,nzd0027-0016,nzd0027-0017,nzd0027-0018,nzd0027-0019,nzd0027-0020,nzd0027-0021,nzd0027-0039,nzd0027-0040,nzd0027-0065,nzd0027-0066,nzd0027-0067,nzd0027-0068,nzd0027-0022,nzd0027-0023,nzd0027-0024,nzd0027-0025,nzd0027-0026,nzd0027-0035,nzd0027-0036,nzd0027-0037,nzd0027-0038,nzd0027-0027,nzd0027-0031,nzd0027-0032,nzd0027-0033,nzd0027-0034,nzd0027-0048,nzd0027-0049,nzd0027-0050,nzd0027-0051,nzd0027-0052,nzd0027-0053,nzd0027-0054,nzd0027-0055,nzd0027-0069,nzd0027-0070,nzd0027-0071,nzd0027-0072,nzd0027-0073,nzd0027-0074,nzd0027-0075,nzd0027-0076,nzd0027-0077,nzd0027-0078,nzd0027-0079,nzd0027-0080,nzd0027-0081,nzd0027-0082,nzd0027-0083,nzd0027-0084,nzd0027-0085,nzd0027-0086,nzd0027-0087,nzd0027-0088,nzd0027-0089,nzd0027-0090,nzd0027-0091,nzd0027-0092,nzd0027-0093,nzd0027-0094,nzd0027-0095,nzd0027-0096
1999-08-17 22:10:26.276000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,357.95,363.60,410.75,380.24,428.45,391.09,392.76,410.46,386.56,381.29,382.62,386.79,406.14,383.86,394.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-04 22:10:38.131000,L7,,,383.29,392.94,,,,,424.73,424.50,422.00,405.85,395.36,399.24,375.31,396.58,393.27,372.27,369.27,364.33,353.93,343.70,346.08,384.55,373.23,390.17,,,,,,,,,,,,,,,,,,343.03,337.93,326.94,330.59,,,,,,,,,,,,,,,,,404.63,395.84,371.43,363.23,393.75,381.55,322.20,315.13,384.45,400.34,396.39,384.91,380.33,,,,,,,,,,,,,,,,,319.20,325.20,386.77,366.83,368.14
1999-12-07 22:10:30.042000,L7,384.53,347.66,416.55,394.21,436.93,401.99,390.71,425.78,421.54,369.91,366.40,434.63,416.39,406.83,414.57,406.83,402.44,397.88,413.23,407.79,391.58,385.79,372.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-09 22:10:19.398000,L7,,,352.49,347.73,397.02,385.35,375.96,376.83,367.69,363.08,361.17,355.93,353.32,359.22,330.38,332.76,333.93,327.68,321.60,,,417.28,422.16,351.91,336.20,394.27,381.47,391.98,391.44,390.34,395.87,388.24,381.07,389.20,392.64,391.30,392.95,406.21,403.24,398.24,407.92,399.86,377.54,424.52,404.39,411.56,396.24,421.51,420.81,410.10,407.92,409.81,411.61,417.85,413.52,412.93,407.50,365.72,360.13,367.40,393.16,348.50,337.15,336.96,326.43,319.79,,,322.55,389.94,382.81,380.45,356.37,349.58,362.76,342.43,333.73,353.10,356.06,343.58,364.86,362.35,343.67,343.20,329.54,335.69,340.28,316.73,356.65,345.77,364.39,320.07,379.90,360.39,396.13,,
2000-03-28 22:10:07.233000,L7,,,370.49,368.04,,,,,,408.96,410.47,398.08,394.36,391.86,355.30,365.95,350.85,347.72,337.87,329.04,327.23,326.23,325.02,390.77,295.74,326.06,432.02,427.29,410.55,407.82,414.19,422.73,,,,,,,,,,,,322.56,,,,,,,,,,,,,,,,,,394.77,,391.85,358.91,348.65,339.68,350.49,358.28,,,,,,,,,,,,,,,,,,,,,,,,,,315.00,331.41,353.60
2000-04-29 22:09:53.797000,L7,,400.89,396.87,380.00,,,,408.60,403.42,397.82,394.36,393.78,394.40,395.95,364.78,362.17,365.79,361.54,354.54,343.38,338.07,341.29,338.66,383.76,376.14,422.34,399.75,406.52,423.38,425.62,419.95,415.91,414.94,431.11,426.34,424.72,424.65,433.34,,,,437.04,411.35,334.26,324.78,323.51,318.60,,,,,,,,,,,,,,,390.58,380.48,376.74,360.21,349.33,352.12,369.98,369.78,320.16,319.82,368.53,353.04,360.56,368.76,345.93,354.68,348.12,360.94,355.13,368.06,361.70,316.85,323.87,318.12,316.06,312.40,312.66,324.26,321.30,325.67,298.96,,,,,
2000-05-15 22:09:42.527000,L7,,,368.88,363.90,,,,409.40,400.08,396.02,,,,,389.56,400.96,379.26,383.33,394.64,404.95,385.08,394.91,393.64,373.38,365.84,410.31,354.95,413.60,420.81,415.14,425.59,401.67,408.02,408.58,427.75,411.11,408.40,422.79,431.38,422.22,,419.87,411.65,321.68,427.24,400.65,399.18,,,,,,,,,,,,,,,,381.29,404.44,401.56,402.25,366.23,375.71,371.48,367.16,334.22,342.98,337.29,322.27,330.26,353.96,359.17,333.77,,,,,,,,,,,,,,,,,,,
2000-08-03 22:08:44.137000,L7,414.97,401.90,370.95,376.40,,,,385.45,377.63,354.61,430.57,354.81,427.72,419.08,328.57,395.00,387.73,382.69,371.56,371.05,375.25,360.65,357.81,376.30,379.66,432.17,360.38,365.66,369.44,388.47,372.28,359.91,357.16,371.27,373.27,413.66,434.76,380.73,387.96,376.66,392.50,439.98,395.09,348.47,339.76,334.80,337.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-19 22:08:38.248000,L7,,,329.50,369.75,383.54,374.68,341.91,364.21,,,,,,,,,,,,,,,,377.22,299.78,,404.12,395.22,407.71,408.87,403.44,379.47,353.41,366.36,409.93,402.64,414.14,390.62,392.64,390.22,405.18,370.58,356.85,,,,,407.54,391.98,385.13,407.63,402.28,386.64,375.45,402.99,409.54,406.43,316.81,,306.78,390.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-04 22:08:22.800000,L7,,,405.34,399.98,330.36,,,,,,,,,,,,,,,,,,,414.96,399.69,395.12,,,,,,,,,,,,,,,,,,,,,,428.64,385.78,371.74,351.64,367.07,,,,,341.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
