dates,satname,nzd0436-0000,nzd0436-0001,nzd0436-0002,nzd0436-0005,nzd0436-0006,nzd0436-0007,nzd0436-0008,nzd0436-0003,nzd0436-0004,nzd0436-0009
1999-11-21 22:12:47.994000,L7,271.72,185.63,213.52,251.08,232.67,227.62,206.70,,,
2002-09-10 22:07:55.438000,L7,271.10,258.21,214.92,167.19,208.67,220.29,209.86,190.38,179.88,
2003-08-11 22:03:03.501000,L5,,,,,229.31,241.56,258.66,,,269.15
2003-08-27 22:03:21.662000,L5,,,,,,250.73,154.74,,,261.32
2003-12-10 21:58:29.659000,L5,260.97,224.88,228.70,219.72,227.11,226.08,251.20,184.08,226.89,261.32
2003-12-26 21:58:42.145000,L5,,,,,237.11,238.38,253.94,,,252.38
2004-01-18 22:04:57.325000,L5,,,,224.19,240.33,243.52,249.47,,243.58,252.25
2004-02-19 22:05:07.713000,L5,,,,,,226.56,235.85,,,251.21
2004-08-22 22:03:12.259000,L5,,,,,,213.58,238.57,,,257.58
2004-09-30 22:10:21.832000,L5,253.07,,,,,238.44,254.88,,,260.63
2004-10-09 22:04:22.371000,L5,,,,,,235.13,176.55,,,268.09
2004-11-26 22:05:17.306000,L5,247.54,244.72,245.44,237.49,241.28,245.99,252.51,244.22,245.67,272.68
2005-02-14 22:06:33.160000,L5,,,,,221.32,227.38,245.54,,,286.04
2005-09-10 22:08:07.620000,L5,,,224.99,235.81,233.58,241.40,260.51,234.41,236.05,274.79
2005-11-13 22:08:20.468000,L5,266.61,238.14,232.58,231.70,228.72,237.05,254.72,183.43,235.43,267.15
2006-02-01 22:10:13.684000,L5,,,,219.18,230.28,227.79,249.84,,225.60,268.68
2006-02-08 22:16:33.840000,L5,,,,,,226.10,250.14,,,
2006-03-12 22:17:13.956000,L5,265.96,242.08,246.03,233.75,235.08,239.36,257.66,242.17,240.25,272.76
2006-10-22 22:20:22.725000,L5,253.62,231.90,229.65,234.42,232.30,240.86,259.71,230.95,242.97,278.22
2006-10-31 22:14:17.081000,L5,,,,231.05,237.61,240.49,257.03,,229.50,273.82
2006-12-09 22:20:48.644000,L5,266.80,250.61,251.81,231.31,235.74,238.81,256.39,251.50,237.21,272.49
2007-01-26 22:21:06.903000,L5,250.47,226.97,223.75,210.78,222.33,,,220.44,220.29,
2007-02-04 22:14:57.320000,L5,254.90,239.85,238.86,231.53,240.96,249.69,266.70,236.04,238.12,285.50
2007-02-11 22:21:08.430000,L5,251.46,245.89,250.25,233.43,244.26,247.66,258.25,243.85,248.88,276.09
2007-09-07 22:19:19.580000,L5,265.38,240.96,230.03,222.89,190.61,234.51,250.94,237.41,235.16,275.66
2007-10-02 22:12:54.699000,L5,,,,,236.71,234.97,242.61,,,240.21
2008-12-23 22:04:28.225000,L5,,,,,210.15,234.44,262.56,,,276.65
2010-01-27 22:10:50.221000,L5,,,,,227.16,218.15,245.03,,,259.11
2010-12-13 22:09:49.260000,L5,,,250.78,231.29,233.02,195.82,,246.81,244.25,
2011-01-21 22:16:06.266000,L5,247.25,228.35,225.57,218.90,220.46,228.14,262.96,223.59,221.92,278.26
2011-02-15 22:09:58.365000,L5,252.90,,,,,215.18,253.22,,,263.42
2013-05-02 22:27:58.439000,L8,295.23,277.77,274.04,267.47,276.83,274.07,285.03,276.23,274.92,283.98
2013-07-14 22:21:58.456000,L8,301.52,287.26,268.76,267.93,270.11,274.80,285.39,276.46,271.68,287.12
2013-09-16 22:21:57.385000,L8,300.81,282.67,274.26,275.37,278.85,278.89,292.06,279.13,275.22,297.63
2013-09-23 22:28:04.083000,L8,301.73,283.82,276.10,274.48,278.31,277.42,297.56,279.08,275.05,306.57
2013-10-18 22:21:49.490000,L8,285.33,272.57,259.54,193.76,200.46,212.53,175.44,193.15,197.31,270.32
2013-12-21 22:21:27.090000,L8,302.25,281.04,281.53,271.66,278.29,280.20,298.06,276.60,274.51,301.10
2014-02-07 22:20:57.101000,L8,297.48,274.07,273.33,269.36,275.92,270.72,290.04,275.15,274.16,294.42
2014-03-02 22:26:45.220000,L8,300.66,275.48,282.38,257.54,277.29,266.69,287.97,271.17,267.17,273.75
2014-05-14 22:19:32.642000,L8,304.65,282.51,264.95,251.57,,,,268.24,274.59,
2014-09-03 22:20:06.649000,L8,295.25,275.38,269.68,260.88,268.27,267.84,284.68,269.62,272.51,286.92
2014-09-19 22:20:06.551000,L8,289.90,268.86,259.79,254.43,263.67,268.89,278.96,262.68,282.25,274.55
2014-10-21 22:20:13.482000,L8,297.55,272.76,270.48,260.34,266.06,269.28,293.50,263.82,273.45,294.80
2014-11-06 22:20:13.200000,L8,,,,262.24,234.08,264.52,283.18,238.05,270.76,285.95
