dates,nzd0436-0000,nzd0436-0001,nzd0436-0002,nzd0436-0003,nzd0436-0004,nzd0436-0005,nzd0436-0006,nzd0436-0007,nzd0436-0008,nzd0436-0009
2002-09-10 22:07:55+00:00,272.71,258.66,216.08,242.49,228.39,,260.92,241.1,,
2003-08-11 22:03:03+00:00,,,,,,,240.56,245.46,264.77,275.68
2003-08-27 22:03:21+00:00,266.34,243.45,247.13,247.73,242.1,,236.26,251.71500000000003,260.04499999999996,273.96000000000004
2003-12-26 21:58:42+00:00,266.34,243.45,247.13,247.73,242.1,,235.66666666666666,245.88333333333335,257.5133333333333,265.65333333333336
2004-01-18 22:04:57+00:00,250.83499999999998,228.63,242.86,236.52499999999998,243.29500000000002,229.79,237.2825,245.8075,255.7025,262.7275
2004-02-19 22:05:07+00:00,250.83499999999998,228.63,242.86,236.52499999999998,243.29500000000002,229.79,236.18999999999997,241.62,249.1925,257.4975
2004-08-22 22:03:12+00:00,,,,,,,,226.2,,
2004-09-30 22:10:21+00:00,253.07,,,,,,,232.32,254.88,260.63
2004-10-09 22:04:22+00:00,253.07,,,,,,,233.25666666666666,254.88,264.36
2004-11-26 22:05:17+00:00,249.07,240.7,239.78,237.82,242.91,233.38,237.09,235.83499999999998,252.91,266.53999999999996
2005-09-10 22:08:07+00:00,256.66,223.74,229.05,237.57,237.97,238.2,236.99,243.07,263.49,276.83
2005-11-13 22:08:20+00:00,261.635,230.94,230.815,237.57,236.7,234.95,232.85500000000002,240.06,259.105,271.99
2006-02-01 22:10:13+00:00,261.635,230.94,230.815,237.57,236.7,234.95,231.10666666666668,232.88,254.01666666666665,267.1066666666666
2006-02-08 22:16:33+00:00,259.74666666666667,234.53,233.1,236.99,236.97,233.26333333333332,231.18,234.535,254.60500000000002,269.09999999999997
2006-03-12 22:17:13+00:00,262.84666666666664,240.64333333333335,238.76,239.29,237.73,231.77999999999997,230.70250000000001,233.6075,253.1475,268.0825
2006-10-22 22:20:22+00:00,256.01,236.05,233.22,235.18,245.39,236.91,236.96,242.8,262.27,280.52
