dates,satname,nzd0003-0000,nzd0003-0001,nzd0003-0002,nzd0003-0030,nzd0003-0031,nzd0003-0005,nzd0003-0006,nzd0003-0007,nzd0003-0008,nzd0003-0009,nzd0003-0010,nzd0003-0011,nzd0003-0012,nzd0003-0013,nzd0003-0014,nzd0003-0015,nzd0003-0016,nzd0003-0017,nzd0003-0018,nzd0003-0003,nzd0003-0004,nzd0003-0019,nzd0003-0020,nzd0003-0029,nzd0003-0021,nzd0003-0022,nzd0003-0026,nzd0003-0027,nzd0003-0028
2000-11-07 22:07:53.532000,L7,,,301.39,,,346.50,,,,,,,,,,,,,,317.93,351.83,,,,,,,,
2002-11-13 22:05:30.425000,L7,392.41,373.76,356.35,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-26 21:56:18.593000,L5,,,,236.64,311.37,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-06 22:00:22.463000,L5,316.33,270.93,260.01,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-03 22:04:40.528000,L5,302.24,263.93,256.93,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-19 22:04:43.597000,L5,,,,236.48,301.52,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-06 22:05:05.724000,L5,317.28,281.04,260.76,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-26 22:05:42.687000,L5,309.42,277.92,260.72,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-13 22:05:57.059000,L5,307.99,276.96,267.95,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-08 22:09:38.251000,L5,309.19,271.78,262.22,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-25 22:10:20.606000,L5,317.29,277.90,268.03,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-12 22:10:59.603000,L5,,,,250.88,308.10,,,,,,,,,,,,,,,,,,,,,,,,
2008-11-21 22:01:05.982000,L5,310.37,278.32,268.23,243.45,305.68,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-24 22:02:55.057000,L5,309.27,283.03,263.03,264.74,325.14,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-27 22:08:26.527000,L5,,,,244.42,313.14,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-15 22:07:34.670000,L5,305.76,269.70,259.87,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-11 22:06:09.236000,L5,,,,229.50,293.53,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-25 22:19:21.025000,L8,,,,309.00,296.91,,386.46,374.29,384.57,373.88,387.71,,,,,,,,,,,,,,,,,,
2013-05-11 22:19:31.249000,L8,,,,310.80,299.76,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-28 22:19:33.252000,L8,,,,311.84,300.77,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-14 22:19:34.707000,L8,,,,309.80,305.07,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-31 22:19:38.558000,L8,,,,259.92,297.27,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-06 22:18:54.881000,L8,,,,,288.90,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-23 22:18:20.398000,L8,,,,249.78,294.05,370.78,394.02,372.52,382.15,373.79,367.02,394.77,388.10,361.82,360.94,365.90,360.49,358.16,365.91,,,360.95,363.92,,371.54,374.28,,,
2014-03-11 22:18:08.266000,L8,,,,253.96,293.30,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-12 22:17:37.464000,L8,376.59,,,255.64,299.75,354.07,362.35,372.70,383.37,374.90,378.30,396.61,381.52,366.02,366.97,365.72,356.68,374.50,374.42,,,,,,,,,,
2014-05-30 22:17:11.184000,L8,,,,,280.70,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-01 22:17:22.417000,L8,,,,,285.45,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10 22:17:27.012000,L8,,,,254.30,295.29,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26 22:17:23.009000,L8,,,,252.31,297.27,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-04 22:17:02.361000,L8,,,,308.66,299.18,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-20 22:17:10.706000,L8,,,,310.12,297.61,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-05 22:17:13.094000,L8,,,,308.91,303.47,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-11 22:17:42.627000,L8,394.24,369.76,363.93,,,,,,,,,,,,,,,,,371.76,,,,,,,,,
2015-12-27 22:17:43.409000,L8,371.40,372.18,,299.27,299.38,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-12 22:17:40.472000,L8,,,,305.64,296.69,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-03 22:17:13.318000,L8,392.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-19 22:17:11.230000,L8,,,,312.45,300.18,,,,,,,,,,,,,,,,,,,247.00,,,,,
2016-07-22 22:17:35.206000,L8,,,,,282.96,,,,,,,,,,,,,,,,,,,,,,,,
