dates,nzd0341-0000,nzd0341-0001,nzd0341-0002,nzd0341-0003,nzd0341-0004,nzd0341-0005,nzd0341-0006,nzd0341-0018,nzd0341-0019,nzd0341-0020,nzd0341-0021,nzd0341-0022,nzd0341-0023,nzd0341-0024,nzd0341-0025,nzd0341-0026,nzd0341-0027,nzd0341-0028,nzd0341-0029,nzd0341-0030,nzd0341-0031,nzd0341-0032,nzd0341-0033,nzd0341-0034,nzd0341-0035,nzd0341-0036,nzd0341-0037,nzd0341-0038,nzd0341-0039,nzd0341-0040,nzd0341-0041,nzd0341-0042,nzd0341-0043,nzd0341-0044,nzd0341-0014,nzd0341-0015,nzd0341-0016,nzd0341-0017,nzd0341-0008,nzd0341-0009,nzd0341-0010,nzd0341-0011,nzd0341-0012,nzd0341-0013,nzd0341-0007,satname
1999-08-21 21:47:44+00:00,,,,,,,,,,,,,310.85,307.35,,329.26,,,,333.16,320.18,320.56,295.64,299.95,,,,,,,,,,,,,,,,,,,,,,L7
1999-08-28 21:53:59+00:00,,,,370.16,,,,,,,,,310.85,307.35,,329.26,,,342.35,337.94500000000005,320.18,324.69,297.29999999999995,301.43,,,,,,,333.99,342.59,344.78,,,,,,,,,,,,,L7
1999-09-22 21:47:48+00:00,,,,370.16,,,,,,,,,310.85,307.35,,329.26,,,342.35,337.94500000000005,320.18,324.69,297.29999999999995,301.43,,,,,332.39,,333.99,342.59,344.78,,,,,,,,,,,,,L7
1999-09-29 21:54:04+00:00,338.7,339.26,335.55,359.935,345.18,298.41,258.97,,311.8,318.51,298.83,315.05,305.16,304.67,314.31,323.485,323.58,319.69,338.95500000000004,333.3966666666667,317.565,319.92,293.40000000000003,299.15333333333336,,,,,332.39,,324.635,332.315,334.345,324.81,,,,,,,,,,,,L7
1999-10-24 21:47:44+00:00,338.7,339.26,335.55,359.935,345.18,298.41,258.97,,311.8,318.51,298.83,315.05,305.16,304.67,314.31,323.485,323.58,319.69,338.95500000000004,333.3966666666667,317.565,319.92,293.40000000000003,299.15333333333336,,,,,338.53499999999997,,324.635,332.315,334.345,324.81,,,,,,,,,,,,L7
1999-12-11 21:47:48+00:00,338.7,348.48,345.255,359.935,345.18,298.41,274.42,327.91,311.8,318.51,308.41499999999996,312.525,307.6666666666667,311.6366666666667,320.935,325.72666666666663,330.75,329.065,339.79333333333335,332.7825,322.8333333333333,319.92,293.40000000000003,299.15333333333336,,,,,338.53499999999997,,324.635,332.315,334.345,324.81,305.31,285.57,284.7,,344.52,,,,395.64,,,L7
2000-01-19 21:53:25+00:00,338.7,348.48,345.255,359.935,345.18,298.41,274.42,327.91,311.8,318.51,308.41499999999996,312.525,317.95500000000004,311.6366666666667,320.935,325.72666666666663,330.75,329.065,339.79333333333335,332.7825,322.8333333333333,319.92,293.40000000000003,299.15333333333336,,,,,338.53499999999997,,324.635,332.315,334.345,324.81,305.31,285.57,284.7,,328.145,318.4,,,395.64,,,L7
2000-05-26 21:53:00+00:00,347.21,362.93,357.91999999999996,373.91,349.63,268.85,278.91499999999996,328.545,333.0,332.18,318.0,310.0,330.75000000000006,327.82,327.56,330.21,342.26,338.44,341.47,330.94,333.37,324.96,284.51,312.76,,,312.35,326.0,327.79,338.12,352.84,,,,305.31,285.57,284.7,292.95,328.145,318.4,,,398.72,,,L7
2000-07-13 21:52:07+00:00,347.21,368.16,360.88,373.91,349.63,271.135,264.97,329.18,333.0,332.18,,,328.16999999999996,319.935,,,346.6,,333.7,,321.43,324.96,290.685,305.755,,303.64,311.615,315.815,324.415,331.83000000000004,339.59,326.25,333.45,334.55,,308.65,,292.95,311.77,318.4,,,401.8,,,L7
2000-07-29 21:51:50+00:00,347.21,368.16,360.88,373.91,349.63,279.9666666666667,270.41,329.18,333.0,332.18,,,307.52,319.935,,,346.6,,333.7,,321.43,324.96,296.59,305.755,,303.64,314.55,315.6933333333333,325.7866666666667,334.32,339.59,326.25,338.83,340.82500000000005,,308.65,,292.95,,,,,401.8,,,L7
2000-08-14 21:52:08+00:00,347.21,368.16,360.88,373.91,349.63,287.7825,270.41,329.18,333.0,332.18,,,307.52,319.935,,,346.6,,333.7,,321.43,324.96,296.59,303.68,,307.34000000000003,315.39750000000004,314.01,325.095,333.5425,339.59,326.25,338.11999999999995,341.6966666666667,,308.65,,292.95,,,,,401.8,,,L7
2000-09-15 21:51:13+00:00,347.21,368.16,360.88,373.91,349.63,287.7825,272.15,329.18,333.0,332.18,,,307.52,319.935,,,346.6,348.24,333.7,,321.43,324.96,296.59,303.68,,308.5833333333333,317.224,313.438,327.302,333.5425,336.76,330.315,337.4425,341.6966666666667,,308.65,,292.95,,,,,401.8,,,L7
2000-10-26 21:45:10+00:00,347.21,368.16,360.88,373.91,349.63,287.7825,272.15,329.18,333.0,332.18,,,307.52,319.935,,,346.6,348.24,333.7,,321.43,324.96,296.59,303.68,,308.5833333333333,317.224,313.438,330.81333333333333,336.64,339.895,336.2133333333333,337.4425,341.6966666666667,,308.65,,292.95,327.18,351.63,,,401.8,,,L7
2001-01-05 21:51:28+00:00,,,,,,294.09333333333336,273.5466666666666,,,,,,307.52,309.8,,,,348.24,333.7,,321.43,,302.63,299.14,,308.5833333333333,318.4425,310.2975,331.418,336.27,335.58,336.2133333333333,337.4425,341.6966666666667,336.29,291.23,298.55,,330.28,351.63,,322.93,352.59,354.16,327.66,L7
2001-04-27 21:51:07+00:00,,,,,,,,,,,265.9,276.97,272.39,271.49,286.32,,294.12,344.92,300.92,300.87,284.21,,306.41,,303.03,307.2,307.91,247.15,,,,,,,336.29,273.81,298.55,,333.38,,,322.93,352.59,354.16,327.66,L7
2001-05-13 21:50:33+00:00,331.72,332.59,,,,,,,,,275.99,293.07500000000005,276.585,272.52,287.28999999999996,291.0,312.93,326.105,304.665,300.87,302.92999999999995,310.19,299.01,,304.47,307.2,309.91,257.125,281.2,284.74,285.61,,322.18,321.05,336.29,273.81,298.55,,333.38,,,322.93,352.59,354.16,327.66,L7
