dates,satname,nzd0341-0000,nzd0341-0001,nzd0341-0002,nzd0341-0003,nzd0341-0004,nzd0341-0005,nzd0341-0006,nzd0341-0018,nzd0341-0019,nzd0341-0020,nzd0341-0021,nzd0341-0022,nzd0341-0023,nzd0341-0024,nzd0341-0025,nzd0341-0026,nzd0341-0027,nzd0341-0028,nzd0341-0029,nzd0341-0030,nzd0341-0031,nzd0341-0032,nzd0341-0033,nzd0341-0034,nzd0341-0035,nzd0341-0036,nzd0341-0037,nzd0341-0038,nzd0341-0039,nzd0341-0040,nzd0341-0041,nzd0341-0042,nzd0341-0043,nzd0341-0044,nzd0341-0014,nzd0341-0015,nzd0341-0016,nzd0341-0017,nzd0341-0008,nzd0341-0009,nzd0341-0010,nzd0341-0011,nzd0341-0012,nzd0341-0013,nzd0341-0007
1999-08-21 21:47:44.927000,L7,376.84,361.15,359.33,369.88,359.83,310.02,274.25,340.65,322.49,368.33,385.71,370.48,310.85,307.35,331.27,329.26,354.78,337.27,393.92,333.16,320.18,320.56,295.64,299.95,307.58,315.02,312.06,308.87,313.96,320.06,318.07,328.96,343.39,338.35,,,,,,,,,,,
1999-08-28 21:53:35.950000,L7,372.02,369.44,363.03,368.57,370.10,344.11,345.04,,,,,,381.87,359.07,348.56,333.36,337.12,355.96,340.93,342.31,346.15,326.67,297.75,302.57,312.78,322.65,316.84,314.24,358.20,,376.04,339.55,343.55,357.13,,,,,,,,,,,
1999-08-28 21:53:59.920000,L7,374.27,368.78,364.33,370.16,371.46,346.08,345.91,,,,,350.93,340.20,336.98,348.78,334.40,337.66,359.11,342.35,342.73,350.77,328.82,298.96,302.91,313.52,,,,,,333.99,342.59,344.78,357.30,,,,,,,,,,,
1999-09-22 21:47:48.716000,L7,388.34,377.98,375.94,377.57,380.04,358.66,369.05,332.20,329.89,335.79,348.62,356.51,,,343.16,348.44,359.03,361.24,372.33,363.01,351.77,336.63,327.69,312.88,318.27,320.88,322.94,331.70,332.39,354.05,350.52,356.03,352.45,343.43,377.19,360.96,344.20,334.73,,,,,,,
1999-09-29 21:53:40.155000,L7,341.77,340.36,337.50,353.38,351.98,301.52,259.94,349.08,316.07,322.83,313.30,316.25,301.90,302.35,316.23,319.79,331.14,320.35,338.12,324.56,316.13,311.11,286.29,295.34,315.76,325.51,349.26,347.21,354.80,356.65,356.46,345.93,325.01,325.37,,,,374.29,,,,,,,
1999-09-29 21:54:04.102000,L7,338.70,339.26,335.55,349.71,345.18,298.41,258.97,348.43,311.80,318.51,298.83,315.05,299.47,301.99,314.31,317.71,323.58,319.69,335.56,324.30,314.95,310.38,285.60,294.60,312.98,327.95,349.90,347.92,356.08,363.12,315.28,322.04,323.91,324.81,,,,374.74,,,,,,,
1999-10-24 21:47:44.121000,L7,,,373.25,383.92,381.17,355.42,356.56,,,371.50,354.55,335.47,327.73,332.48,344.61,347.74,362.16,363.34,371.42,362.94,355.11,342.32,,329.28,319.49,317.56,328.90,340.77,344.68,360.60,354.57,350.07,348.52,347.32,,,,,392.22,,,,,,357.02
1999-12-11 21:47:48.967000,L7,356.99,357.70,354.96,379.23,367.57,344.04,289.87,327.91,333.03,333.56,318.00,310.00,312.68,325.57,327.56,330.21,337.92,338.44,341.47,330.94,333.37,338.64,324.20,316.17,,,,,,,,,,,305.31,285.57,284.70,335.63,344.52,360.47,364.85,381.34,395.64,392.45,
2000-01-12 21:47:42.353000,L7,349.80,355.62,346.62,359.00,361.34,321.71,296.79,330.17,318.69,323.33,293.25,319.41,284.03,390.13,375.37,355.39,349.28,341.80,335.33,351.69,321.12,349.97,302.93,309.24,309.46,299.63,315.88,285.32,326.23,362.36,355.10,349.95,342.07,342.28,370.38,342.34,329.09,325.11,,,,,,,
2000-01-19 21:53:25.812000,L7,389.79,383.35,378.32,385.20,390.87,362.96,357.70,352.49,357.42,356.09,358.58,352.59,348.82,355.44,353.49,358.13,367.96,382.38,380.59,359.21,341.97,330.27,323.59,322.60,328.28,330.51,329.21,340.44,338.51,346.59,351.51,361.30,355.94,354.87,,369.73,360.89,352.79,311.77,318.40,316.61,,,,278.65
2000-01-19 21:53:49.771000,L7,391.46,383.28,378.83,384.60,390.82,364.29,358.39,353.29,357.76,355.66,357.88,353.14,347.46,355.34,353.88,359.08,366.52,381.57,380.16,359.96,341.88,329.52,324.62,322.09,326.53,331.57,328.52,340.88,339.77,345.87,349.52,358.04,355.81,355.36,305.13,370.87,362.66,353.91,318.33,319.75,318.39,340.06,361.59,299.63,281.44
2000-05-03 21:47:07.085000,L7,372.38,374.17,375.08,382.03,385.69,365.18,367.05,355.29,355.31,352.00,346.53,347.65,331.35,337.67,339.28,343.76,353.52,349.98,369.00,359.23,352.25,348.40,331.80,332.20,326.22,317.57,323.20,327.45,335.11,339.83,320.54,315.78,321.32,348.38,377.32,354.46,356.52,355.69,373.52,374.84,381.05,393.43,403.08,391.07,273.22
2000-05-26 21:52:36.566000,L7,309.13,356.62,350.60,367.09,332.21,261.67,264.48,281.08,300.53,314.09,295.82,301.14,289.70,292.26,307.13,302.19,314.81,329.37,319.76,327.08,316.27,313.95,278.82,297.16,294.58,306.99,281.82,296.04,317.90,296.14,307.31,321.56,316.77,338.63,,,,274.15,,,,,,,
2000-05-26 21:53:00.524000,L7,347.21,368.16,360.88,373.91,349.63,268.85,267.96,329.18,333.00,332.18,333.77,327.94,342.77,330.07,382.98,348.98,346.60,353.89,364.68,374.32,347.87,324.96,284.51,312.76,315.08,316.36,312.35,326.00,327.79,338.12,352.84,,,,367.43,,,292.95,,,,,401.80,391.32,
