dates,satname,nzd0280-0000,nzd0280-0001,nzd0280-0002,nzd0280-0003,nzd0280-0004,nzd0280-0005,nzd0280-0006,nzd0280-0007,nzd0280-0008,nzd0280-0009,nzd0280-0010,nzd0280-0011,nzd0280-0012,nzd0280-0013,nzd0280-0014,nzd0280-0015,nzd0280-0016,nzd0280-0017,nzd0280-0018,nzd0280-0019,nzd0280-0020,nzd0280-0021,nzd0280-0022,nzd0280-0023,nzd0280-0024,nzd0280-0025,nzd0280-0026,nzd0280-0027,nzd0280-0028,nzd0280-0029,nzd0280-0030,nzd0280-0031,nzd0280-0032,nzd0280-0033,nzd0280-0034,nzd0280-0035,nzd0280-0036,nzd0280-0037,nzd0280-0039,nzd0280-0040,nzd0280-0041,nzd0280-0042,nzd0280-0043,nzd0280-0044,nzd0280-0045,nzd0280-0057,nzd0280-0058,nzd0280-0059,nzd0280-0060,nzd0280-0061,nzd0280-0073,nzd0280-0074,nzd0280-0075,nzd0280-0076,nzd0280-0077,nzd0280-0078,nzd0280-0079,nzd0280-0080,nzd0280-0081,nzd0280-0082,nzd0280-0083,nzd0280-0084,nzd0280-0085,nzd0280-0086,nzd0280-0087,nzd0280-0088,nzd0280-0089,nzd0280-0090,nzd0280-0091,nzd0280-0092,nzd0280-0093,nzd0280-0094,nzd0280-0095,nzd0280-0096,nzd0280-0097,nzd0280-0098,nzd0280-0099,nzd0280-0100,nzd0280-0101,nzd0280-0102,nzd0280-0103,nzd0280-0104,nzd0280-0105,nzd0280-0106,nzd0280-0107,nzd0280-0108,nzd0280-0109,nzd0280-0110,nzd0280-0111,nzd0280-0112,nzd0280-0113,nzd0280-0114,nzd0280-0115,nzd0280-0116,nzd0280-0117,nzd0280-0118,nzd0280-0119,nzd0280-0123,nzd0280-0124,nzd0280-0125,nzd0280-0126,nzd0280-0127,nzd0280-0128,nzd0280-0129,nzd0280-0130,nzd0280-0131,nzd0280-0132,nzd0280-0133,nzd0280-0134,nzd0280-0135,nzd0280-0137,nzd0280-0138,nzd0280-0139,nzd0280-0140,nzd0280-0141,nzd0280-0142,nzd0280-0143,nzd0280-0144,nzd0280-0145,nzd0280-0146,nzd0280-0147,nzd0280-0148,nzd0280-0149,nzd0280-0150,nzd0280-0151,nzd0280-0152,nzd0280-0153,nzd0280-0154,nzd0280-0155,nzd0280-0156,nzd0280-0157,nzd0280-0158,nzd0280-0159,nzd0280-0160,nzd0280-0161,nzd0280-0162,nzd0280-0163,nzd0280-0164,nzd0280-0165,nzd0280-0166,nzd0280-0167,nzd0280-0168,nzd0280-0055,nzd0280-0056,nzd0280-0070,nzd0280-0071,nzd0280-0072,nzd0280-0038,nzd0280-0068,nzd0280-0069,nzd0280-0136,nzd0280-0046,nzd0280-0047,nzd0280-0049,nzd0280-0050,nzd0280-0051,nzd0280-0052,nzd0280-0053,nzd0280-0054,nzd0280-0062,nzd0280-0063,nzd0280-0064,nzd0280-0065,nzd0280-0066,nzd0280-0067,nzd0280-0120,nzd0280-0121,nzd0280-0122,nzd0280-0048
1999-08-21 21:46:56.985000,L7,304.62,337.19,336.24,340.67,338.19,344.19,381.58,340.09,334.70,340.58,323.13,424.78,423.40,431.22,413.21,424.68,421.87,357.58,348.82,337.62,332.70,335.78,328.25,326.27,360.66,337.74,420.81,411.52,412.14,410.59,395.99,293.48,407.40,408.30,348.15,326.71,280.54,288.80,392.04,403.28,348.35,346.82,342.51,340.95,402.94,416.87,424.50,401.89,402.13,399.58,278.30,304.21,300.01,295.33,314.05,314.69,317.61,292.32,321.45,312.82,412.77,412.23,418.12,398.38,396.04,391.86,401.37,400.74,403.21,423.65,410.62,424.45,421.89,415.62,398.51,400.46,398.00,396.11,395.98,390.92,395.93,387.12,391.81,404.59,406.50,407.77,403.40,385.16,392.85,389.91,387.92,390.16,391.00,398.42,392.13,399.96,398.30,307.84,329.00,299.84,313.07,336.52,292.93,309.46,298.48,284.50,272.29,402.85,400.60,393.44,385.35,388.82,386.61,390.46,385.20,393.82,389.82,389.85,407.37,415.97,409.33,406.44,317.13,341.57,360.49,356.15,319.92,302.57,276.22,382.25,389.25,346.20,340.95,338.43,330.57,306.82,316.38,296.80,285.06,308.82,302.75,303.80,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-22 21:47:00.785000,L7,395.52,338.26,340.55,340.67,341.10,345.86,341.00,346.71,339.17,337.52,325.96,323.77,318.85,320.34,312.11,339.79,353.32,354.50,344.42,335.99,334.67,336.54,334.15,333.06,344.12,336.46,339.61,329.63,337.31,340.21,326.74,295.41,293.30,,,,,,,,,,343.55,401.79,,415.17,426.39,,,,285.09,306.11,304.24,297.59,317.86,320.58,318.41,301.60,331.46,325.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.38,329.85,332.01,330.85,349.09,348.30,311.24,313.06,311.69,287.18,391.76,,,,,,,,,,,,,,,319.72,345.90,344.86,390.81,343.71,315.23,286.49,268.45,386.30,400.85,327.19,332.34,328.78,381.04,382.30,389.37,385.87,394.38,392.65,400.86,416.99,413.74,293.14,302.90,284.89,,,,,,,,,,,,,,,,,,,,,,
1999-10-24 21:46:56.203000,L7,316.06,427.35,,,366.80,371.75,387.52,349.48,344.44,342.26,333.92,325.20,327.27,318.92,317.85,405.49,389.16,385.53,371.54,415.46,397.74,405.67,344.55,368.34,413.60,387.96,361.51,397.99,361.96,393.32,344.93,392.29,320.20,304.98,340.14,313.77,333.26,313.38,316.51,,408.61,387.36,357.08,356.07,,,,,,,361.18,317.42,382.80,409.95,362.08,330.99,323.30,307.16,336.66,333.43,289.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.93,338.08,336.38,342.56,327.68,307.76,319.33,315.16,318.27,300.07,393.87,392.70,404.14,365.23,334.46,407.46,,,,,,,,,,,,,388.58,330.18,319.44,305.42,292.89,372.14,303.22,328.37,336.82,334.73,345.58,354.27,311.07,336.17,399.25,,325.19,,,372.98,336.66,311.53,318.86,296.97,284.37,385.55,,,,,,,,,,,,,,,,,,
2000-02-13 21:46:48.016000,L7,347.03,345.17,343.00,341.83,344.70,341.58,345.17,349.55,353.84,352.58,347.32,389.91,394.80,318.44,313.06,325.84,354.19,355.84,349.37,342.57,339.15,336.98,334.03,334.08,340.10,333.32,331.83,330.98,336.72,349.44,340.78,340.78,337.61,339.01,379.29,393.98,346.96,348.47,352.28,332.08,315.36,325.08,333.15,324.06,321.33,336.83,338.78,324.37,306.77,334.56,321.20,319.58,291.15,303.95,317.46,321.90,325.43,345.70,335.42,338.58,313.64,,,346.27,343.48,408.48,414.49,394.74,401.76,339.47,323.61,420.07,412.36,366.30,396.00,400.58,403.51,400.69,411.82,352.39,334.31,331.91,326.64,326.30,328.14,316.14,323.68,317.04,324.33,342.88,388.21,327.07,323.34,317.21,329.55,,357.58,340.64,335.98,332.25,343.80,377.69,,384.11,383.17,377.85,377.85,375.72,319.67,326.47,378.44,394.08,384.85,391.70,379.21,391.08,312.35,327.50,338.20,328.58,347.42,335.29,336.84,402.92,376.44,354.34,395.37,386.19,395.06,400.40,344.15,341.56,343.33,337.15,343.26,324.67,332.87,333.19,335.25,338.23,338.01,336.78,336.62,331.56,321.32,317.72,310.99,347.50,304.63,308.48,332.03,322.95,322.39,308.98,317.40,333.62,328.13,336.23,331.56,325.13,320.49,320.42,318.77,319.98,315.59,360.78,351.31,387.07,
2000-04-01 21:46:34.573000,L7,286.62,356.21,354.60,369.92,346.91,348.28,368.17,355.15,352.95,341.58,324.48,328.51,327.24,324.77,314.75,354.17,372.37,363.00,352.91,345.84,345.35,349.29,341.64,345.85,357.17,334.67,347.67,329.30,346.44,350.84,332.53,298.52,304.81,,,,,,,,,341.43,348.06,348.60,,,,,,,,,,,,,,,,,,,,332.50,364.08,358.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.62,308.25,315.26,316.91,301.50,276.30,301.07,299.33,280.23,,,,,,,,,,,,,,,,,,,,,,,,,,,294.99,308.35,311.86,272.04,311.57,286.35,271.50,293.68,286.36,294.07,,,,,,,376.05,,,,,287.58,357.61,416.71,371.05,,,,,,,384.03,390.17,,,,
2000-05-19 21:46:07.873000,L7,312.61,334.41,333.47,338.94,336.09,336.78,338.21,334.63,328.39,325.14,315.70,317.70,314.80,314.64,307.44,329.21,351.07,350.08,336.61,330.04,327.05,329.36,324.75,324.62,317.98,317.71,319.64,317.94,310.89,322.30,310.67,315.48,299.31,313.91,,,,,,,,,,,,,,,,,,,,,290.79,295.39,311.57,292.80,330.98,311.99,,,,,405.61,400.02,406.59,409.37,387.82,400.59,415.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.81,375.05,345.90,386.24,384.90,388.15,400.98,,380.07,387.53,350.75,354.22,352.50,352.54,329.80,342.52,311.23,299.49,290.79,276.23,,286.38,341.90,339.49,335.16,322.73,322.40,297.74,297.14,313.56,313.55,309.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-07 21:45:08.975000,L7,323.73,354.45,354.24,355.84,353.63,353.94,348.16,350.87,336.52,338.50,323.34,319.02,318.77,313.24,301.91,357.99,348.74,354.55,351.87,343.54,332.42,329.69,324.04,324.23,354.26,341.16,341.64,350.70,345.53,337.07,316.74,292.07,286.49,286.61,393.15,354.04,338.39,334.60,293.39,389.16,375.76,378.44,386.45,,,,,,,405.70,278.02,292.67,332.78,290.80,302.63,308.76,316.82,,,,398.84,391.51,415.00,396.55,399.68,,418.34,404.14,409.97,431.44,,,,416.19,404.46,396.09,399.03,395.66,395.45,391.20,417.00,409.01,395.36,406.15,396.35,383.98,402.22,,,,,,,,,,,310.80,295.76,286.70,266.81,288.87,295.92,313.90,333.61,315.55,280.50,388.12,382.63,385.39,,,,,,397.63,400.70,391.86,388.35,384.39,405.32,396.77,359.90,395.37,391.38,392.25,408.29,402.44,396.40,395.51,389.61,285.20,331.45,338.15,336.79,315.11,339.48,335.83,329.85,338.03,330.71,310.10,332.42,,288.76,303.97,271.19,302.04,,,387.43,418.69,398.13,396.83,402.07,337.61,328.06,331.35,347.45,403.08,412.65,407.56,411.61,,,,,,397.09
2000-10-26 21:44:22.850000,L7,,343.41,342.05,344.88,344.84,347.10,340.23,345.26,341.25,338.14,326.12,319.06,323.61,322.59,323.44,326.12,346.67,352.22,341.05,337.83,335.21,336.34,333.30,335.66,338.78,330.41,327.10,323.69,328.36,330.55,339.68,293.84,290.87,,344.37,345.66,351.36,345.92,405.73,400.91,410.85,407.46,392.49,,,,,,,,,,289.66,285.63,302.47,311.36,313.33,291.74,330.91,315.69,406.04,404.09,394.52,399.62,409.33,405.57,418.96,408.82,412.92,414.77,,422.40,414.30,420.72,402.63,399.19,399.83,394.82,395.57,411.42,394.21,,,,,,,,,,,,,,,382.60,396.24,354.60,355.77,351.08,351.55,352.29,337.57,307.84,307.73,311.52,259.20,386.34,346.58,348.95,328.48,337.65,348.50,352.11,352.13,322.98,350.60,369.40,,,386.77,401.13,387.59,389.79,,,,,,,,,,,,,,,,,,,,,,,,399.34,,,350.17,,,,,,,,,,,,,,,394.92,394.69,391.41,
2000-11-27 21:44:26.720000,L7,349.81,400.33,360.07,335.78,324.69,336.56,329.53,343.41,353.01,352.87,345.52,346.00,347.58,382.54,413.57,366.65,410.64,411.74,407.25,361.10,354.98,359.63,351.57,372.64,415.43,411.68,382.78,354.74,357.43,393.35,392.92,389.64,379.42,381.70,378.67,404.66,,391.45,396.48,398.08,398.93,400.81,354.41,356.19,350.57,347.68,418.36,408.29,,,324.86,327.47,386.24,409.54,412.66,382.66,344.47,339.86,352.37,351.33,284.20,,,,,,,,,420.22,426.59,411.10,416.48,411.35,325.09,331.07,323.73,327.77,404.50,410.84,346.06,342.72,366.40,337.87,386.83,405.64,398.28,403.87,,,,,,,293.21,303.91,321.50,338.17,,,,,354.93,350.95,402.90,396.97,323.05,326.63,361.24,404.22,395.58,332.86,401.04,405.15,379.11,399.51,367.89,,,403.31,336.97,349.40,402.10,401.55,,,,,,374.12,351.53,338.23,388.74,385.50,346.03,344.55,352.64,,,,406.51,354.28,358.24,342.77,324.27,327.46,324.23,343.81,323.86,308.59,370.47,352.26,338.30,308.90,317.96,355.01,343.97,354.79,355.66,,305.62,322.43,329.05,350.24,324.34,357.06,345.40,327.84,
2000-12-13 21:44:28.287000,L7,322.73,342.67,345.62,345.40,346.80,347.80,343.69,347.98,344.78,339.17,335.79,329.82,334.92,331.63,337.42,341.10,354.20,356.70,350.61,347.71,342.80,343.40,340.73,341.38,342.55,338.58,337.89,333.03,335.42,336.46,327.48,312.86,308.70,304.17,,322.80,336.07,324.77,307.70,298.89,,,,,,,,,,,289.35,307.81,300.88,305.71,317.72,323.03,328.32,301.14,331.32,325.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.48,331.24,339.94,335.38,334.93,300.54,316.00,316.25,316.43,288.70,,,,,,,,,,,,,,,,328.04,351.69,343.90,343.88,337.13,321.19,294.00,267.43,,288.76,333.30,337.11,330.16,323.16,330.00,303.46,320.89,316.18,325.06,324.39,,,298.59,307.89,303.70,321.20,301.54,262.94,,,,,,,,,,,,,,,,,,,
