dates,satname,nzd0103-0000,nzd0103-0001,nzd0103-0002
1999-08-26 22:04:44.971000,L7,,313.69,319.20
2000-02-18 22:04:29.218000,L7,273.72,316.52,325.61
2000-05-24 22:03:46.662000,L7,351.59,335.16,336.97
2001-10-02 22:00:04.650000,L7,354.90,306.48,316.77
2002-01-22 22:00:40.906000,L7,,,312.10
2002-07-17 22:00:08.747000,L7,362.82,338.54,336.50
2003-12-03 21:50:19.675000,L5,276.91,254.12,294.84
2004-09-16 21:55:41.721000,L5,285.14,264.47,301.31
2005-03-11 21:58:44.158000,L5,275.06,259.17,298.09
2005-07-17 21:59:35.576000,L5,284.11,258.18,303.06
2006-05-17 22:03:57.969000,L5,287.10,266.90,305.20
2006-07-04 22:04:41.660000,L5,173.39,262.44,303.78
2007-09-25 22:04:48.945000,L5,283.58,255.70,292.20
2011-01-07 22:01:44.406000,L5,274.96,252.15,291.28
2013-04-11 22:07:51.092000,L8,319.20,313.10,323.90
2013-06-05 22:13:51.261000,L8,276.13,277.99,313.11
2013-07-07 22:13:48.209000,L8,368.79,356.35,342.40
2013-09-09 22:13:49.699000,L8,276.38,282.86,
2013-10-27 22:13:31.854000,L8,276.15,283.18,321.26
2013-11-12 22:13:32.202000,L8,268.74,270.53,302.57
2014-02-16 22:12:38.819000,L8,267.17,269.62,310.50
2014-07-26 22:11:43.162000,L8,,272.30,325.69
2014-10-14 22:12:02.705000,L8,,271.92,305.44
2014-12-01 22:12:00.318000,L8,272.79,271.77,327.71
2015-03-07 22:11:30.209000,L8,280.10,281.35,341.64
2015-04-24 22:11:08.401000,L8,284.50,290.03,313.18
2015-05-10 22:10:52.487000,L8,284.45,311.44,319.15
2015-07-29 22:11:25.856000,L8,280.50,279.70,330.00
2016-02-22 22:11:42.580000,L8,275.60,275.61,312.47
2016-03-09 22:11:40.902000,L8,291.65,308.09,323.31
2016-04-26 22:11:21.230000,L8,277.91,278.89,319.83
2016-05-12 22:11:20.683000,L8,274.64,272.62,317.74
2016-07-15 22:11:46.335000,L8,285.18,274.11,324.00
2016-08-16 22:11:53.694000,L8,166.62,268.91,310.32
2016-11-20 22:12:09.409000,L8,267.38,265.16,296.94
2017-07-18 22:11:40.412000,L8,276.42,276.29,320.69
2017-08-19 22:11:53.133000,L8,285.69,276.04,324.94
2018-05-02 22:10:57.873000,L8,273.27,271.54,309.91
2018-07-05 22:10:54.795000,L8,284.01,280.60,320.78
2018-09-07 22:11:24.397000,L8,271.31,265.67,302.17
2019-06-22 22:11:40.996000,L8,279.97,290.22,335.47
2019-08-09 22:11:55.358000,L8,276.31,279.93,313.81
2020-07-10 22:11:39.723000,L8,271.20,272.96,300.69
2020-07-26 22:11:44.648000,L8,275.89,285.38,319.47
2020-08-27 22:11:56.368000,L8,274.35,274.93,311.54
2021-01-18 22:11:57.463000,L8,290.54,304.14,322.35
2021-05-26 22:11:31.065000,L8,292.41,290.70,325.52
2021-06-11 22:11:38.046000,L8,287.00,289.78,337.98
2021-07-13 22:11:43.513000,L8,288.46,306.58,339.35
