dates,satname,nzd0022-0000,nzd0022-0001,nzd0022-0006,nzd0022-0002,nzd0022-0003,nzd0022-0004,nzd0022-0005
2021-12-19 22:17:52.616000,L9,,,324.14,323.68,324.52,323.59,324.58
2022-02-21 22:17:43.336000,L9,,,318.77,321.56,322.93,330.93,323.56
2022-08-09 22:11:34.517000,L9,162.09,63.13,337.49,316.56,327.29,333.13,339.44
2022-09-09 22:18:11.619000,L8,327.87,320.37,330.99,334.02,337.38,339.81,337.85
2022-09-17 22:17:54.625000,L9,321.97,311.10,326.52,328.61,331.05,333.82,330.49
2022-10-19 22:18:03.080000,L9,344.40,333.41,345.35,343.95,345.98,348.80,353.28
2022-11-12 22:18:10.437000,L8,,,315.12,,,,316.92
2022-12-22 22:17:59.519000,L9,340.12,330.74,340.45,343.61,339.35,346.09,350.21
2023-01-15 22:17:53.980000,L8,,,326.86,325.40,327.11,332.98,327.87
2023-01-31 22:17:58.841000,L8,325.40,315.18,331.64,331.88,334.16,339.81,334.31
2023-02-08 22:18:06.517000,L9,334.75,325.94,337.04,333.73,339.16,342.80,340.59
2023-02-16 22:17:50.035000,L8,318.32,309.86,329.54,326.81,329.73,338.16,333.75
2023-03-04 22:17:37.574000,L8,331.86,320.37,338.47,342.80,342.00,347.24,346.60
2023-03-28 22:17:33.498000,L9,330.34,318.32,338.25,335.13,338.34,342.43,349.86
2023-07-18 22:17:12.131000,L9,326.90,315.11,333.35,329.62,333.94,338.66,342.32
2023-08-28 22:11:20.303000,L9,,,340.23,314.72,326.45,336.16,340.79
2023-09-20 22:17:40.026000,L9,337.35,324.82,343.66,337.89,341.68,346.59,351.66
2023-09-28 22:17:43.092000,L8,,,313.19,,,,312.57
2023-10-14 22:17:45.774000,L8,318.22,309.17,327.05,323.44,326.57,329.02,327.69
2023-10-15 22:11:39.127000,L9,,,339.29,,321.22,329.36,336.49
2023-10-22 22:17:50.479000,L9,320.50,310.34,327.90,325.13,326.89,330.64,329.78
2023-11-15 22:17:47.856000,L8,328.24,314.63,334.80,330.94,332.27,337.10,341.81
2023-12-17 22:17:48.418000,L8,336.44,326.58,344.87,338.54,337.61,345.91,350.18
2024-01-18 22:17:42.241000,L8,,,316.64,318.39,314.88,320.26,317.33
2024-02-04 22:11:43.788000,L9,,,328.84,,311.51,324.18,324.32
2024-02-11 22:17:53.113000,L9,,,319.11,318.78,320.46,319.82,319.13
2024-02-19 22:17:39.652000,L8,321.65,310.04,329.98,327.13,329.96,331.98,329.95
2024-03-30 22:17:36.478000,L9,318.65,308.64,329.12,325.02,328.11,330.84,327.44
2024-04-15 22:17:28.257000,L9,329.26,320.83,333.37,335.71,336.02,343.16,340.77
2024-05-01 22:17:11.831000,L9,342.91,330.79,348.55,342.32,341.19,350.11,355.79
2024-05-09 22:16:51.826000,L8,,,313.35,316.00,320.28,320.18,318.05
2024-05-17 22:17:03.987000,L9,328.39,319.31,334.69,333.12,337.24,341.22,340.85
2024-08-29 22:17:21.978000,L8,330.51,319.82,334.81,334.81,337.69,342.54,339.93
2024-09-22 22:17:21.161000,L9,322.02,310.41,322.98,324.91,328.20,331.68,327.18
2024-11-17 22:17:38.841000,L8,,,317.01,318.34,320.20,322.17,319.48
2024-11-25 22:17:51.900000,L9,323.62,312.67,328.90,327.30,329.46,334.82,333.17
2024-12-03 22:17:45.212000,L8,331.61,319.83,337.93,332.85,336.51,339.74,341.73
2024-12-04 22:11:36.525000,L9,,,326.85,,314.23,324.66,327.15
2025-01-12 22:17:45.559000,L9,333.49,324.80,346.34,335.29,340.36,348.90,349.16
2025-01-28 22:17:42.532000,L9,,,326.89,324.61,326.30,328.36,327.51
2025-03-09 22:17:26.663000,L8,325.70,314.80,330.53,331.96,332.69,338.07,336.09
2025-03-25 22:17:16.100000,L8,327.64,319.37,334.47,332.63,335.39,342.35,339.27
2025-08-08 22:17:36.495000,L9,,,321.92,323.10,325.88,329.35,326.92
2025-10-19 22:17:50.450000,L8,86.41,339.06,349.34,348.37,350.76,351.69,359.36
2025-11-04 22:17:53.875000,L8,,,317.36,319.98,321.64,323.36,321.16
