dates,satname,nzd0082-0000,nzd0082-0001,nzd0082-0002,nzd0082-0003,nzd0082-0004,nzd0082-0005,nzd0082-0006,nzd0082-0007,nzd0082-0008,nzd0082-0009,nzd0082-0010,nzd0082-0011,nzd0082-0012,nzd0082-0013,nzd0082-0014,nzd0082-0015,nzd0082-0016,nzd0082-0017,nzd0082-0018,nzd0082-0019,nzd0082-0020,nzd0082-0021,nzd0082-0022,nzd0082-0023,nzd0082-0024,nzd0082-0025,nzd0082-0026,nzd0082-0027,nzd0082-0028,nzd0082-0029,nzd0082-0030,nzd0082-0031,nzd0082-0032,nzd0082-0033,nzd0082-0034,nzd0082-0035,nzd0082-0036,nzd0082-0037,nzd0082-0038,nzd0082-0039,nzd0082-0040,nzd0082-0041,nzd0082-0042,nzd0082-0043,nzd0082-0044,nzd0082-0045,nzd0082-0046,nzd0082-0047,nzd0082-0048,nzd0082-0049,nzd0082-0050,nzd0082-0051,nzd0082-0052,nzd0082-0053,nzd0082-0054,nzd0082-0055,nzd0082-0056,nzd0082-0057,nzd0082-0058,nzd0082-0059,nzd0082-0060,nzd0082-0061,nzd0082-0062,nzd0082-0063,nzd0082-0064,nzd0082-0065,nzd0082-0066,nzd0082-0067,nzd0082-0068,nzd0082-0069,nzd0082-0070,nzd0082-0071,nzd0082-0072,nzd0082-0073,nzd0082-0074,nzd0082-0075,nzd0082-0076,nzd0082-0077,nzd0082-0078,nzd0082-0079,nzd0082-0080,nzd0082-0081,nzd0082-0082,nzd0082-0083,nzd0082-0084,nzd0082-0085,nzd0082-0086,nzd0082-0087,nzd0082-0088,nzd0082-0089,nzd0082-0090,nzd0082-0091,nzd0082-0092,nzd0082-0093,nzd0082-0094,nzd0082-0095,nzd0082-0096,nzd0082-0097,nzd0082-0098,nzd0082-0099,nzd0082-0100,nzd0082-0101,nzd0082-0102,nzd0082-0103,nzd0082-0104,nzd0082-0105,nzd0082-0106,nzd0082-0107,nzd0082-0108,nzd0082-0109,nzd0082-0111,nzd0082-0112,nzd0082-0113,nzd0082-0114,nzd0082-0115,nzd0082-0135,nzd0082-0136,nzd0082-0137,nzd0082-0110,nzd0082-0116,nzd0082-0117,nzd0082-0118,nzd0082-0119,nzd0082-0120,nzd0082-0121,nzd0082-0122,nzd0082-0123,nzd0082-0124,nzd0082-0125,nzd0082-0126,nzd0082-0127,nzd0082-0128,nzd0082-0129,nzd0082-0130,nzd0082-0131,nzd0082-0132,nzd0082-0133,nzd0082-0134,nzd0082-0138,nzd0082-0139,nzd0082-0140,nzd0082-0141
2000-08-19 22:09:02.201000,L7,,,320.07,399.52,,468.55,454.75,467.84,313.29,329.88,291.67,255.51,,325.16,230.81,183.66,217.10,214.02,232.76,243.72,415.28,314.72,352.00,368.44,328.87,224.36,513.61,261.11,283.06,308.87,395.89,293.92,279.05,260.80,244.12,230.93,223.04,216.14,227.27,230.92,482.02,486.40,,443.74,324.31,248.47,526.14,549.45,538.89,539.32,550.36,282.35,,457.77,418.05,420.66,447.36,427.77,369.97,401.10,281.99,296.07,281.81,492.42,345.92,202.88,308.00,299.68,455.30,408.76,318.75,309.39,330.76,351.71,379.66,425.25,414.03,448.01,387.73,335.21,335.67,339.94,359.59,427.67,209.84,298.11,466.75,483.44,499.90,520.39,496.20,472.74,462.59,547.23,530.31,540.98,489.14,555.90,454.54,183.48,471.03,467.23,289.87,257.16,463.51,443.29,,334.41,265.42,327.50,262.11,280.62,330.81,338.48,372.00,462.35,452.35,477.86,267.35,556.24,424.90,,,,456.23,507.08,553.03,458.57,502.80,508.36,485.74,477.93,513.44,,,,,486.47,501.30,,461.25,434.16
2000-10-15 22:01:56.204000,L7,,,,,,,,,,,,,263.38,299.90,,265.64,304.13,278.89,261.98,,,,265.34,360.76,,,,,,,,204.07,278.29,268.35,287.45,258.42,,,,,,,,,,,,,232.09,249.27,277.69,280.82,340.81,352.87,376.33,436.62,465.13,347.61,261.02,447.23,242.26,258.25,246.01,256.96,491.87,298.96,551.50,517.99,483.76,535.08,442.57,375.93,545.27,542.61,466.28,535.01,426.60,393.04,410.61,425.47,430.66,486.71,369.15,515.37,544.74,546.06,501.12,266.25,299.74,299.59,195.92,193.46,218.77,232.96,229.92,242.07,242.67,252.39,250.07,261.39,257.72,260.30,264.15,263.08,255.91,272.16,285.17,268.00,251.60,281.18,300.73,306.73,316.53,323.95,312.50,545.55,510.63,507.52,294.44,303.43,298.32,343.92,363.47,418.30,418.98,428.44,435.36,519.13,512.45,506.72,538.74,520.30,486.87,476.82,516.98,489.77,543.58,506.57,483.61,,506.48,498.64
2000-11-23 22:08:18.410000,L7,498.75,485.60,506.15,498.44,524.12,526.66,,381.18,359.26,374.86,379.67,547.88,474.46,414.51,395.31,418.07,397.61,382.44,378.38,373.95,378.17,412.45,414.41,375.74,533.27,239.49,228.83,242.00,243.34,,,401.81,427.60,188.39,260.03,286.04,337.54,341.76,283.32,319.55,293.41,233.42,216.26,200.32,173.64,310.87,288.34,371.74,407.40,411.82,445.25,433.61,269.62,276.11,454.10,531.60,529.72,539.36,551.85,491.55,334.46,381.30,222.07,481.14,252.83,327.28,306.44,315.50,340.13,352.03,352.18,174.14,192.25,184.95,417.71,346.62,352.69,328.26,324.62,417.62,,,455.46,466.01,386.35,425.36,427.73,440.62,402.78,480.24,474.79,488.92,191.54,293.22,335.70,342.15,344.73,328.45,538.61,491.91,495.71,187.28,517.58,545.95,514.12,520.72,510.31,530.82,442.45,531.28,340.51,304.62,354.78,337.62,342.15,530.00,539.94,476.02,499.26,337.49,324.67,279.91,357.35,362.04,313.18,318.49,375.36,338.35,385.31,458.35,517.51,525.57,529.34,422.36,322.25,508.89,538.42,471.65,211.15,239.83,221.58,392.87
2001-03-24 22:01:59.719000,L7,,,,,,,,,,,,,,,,,,,,,,,,180.74,249.24,220.38,231.99,256.13,189.20,298.16,282.79,236.60,273.98,326.22,262.72,256.68,284.79,239.20,293.71,282.12,243.68,265.25,292.44,291.24,227.57,176.65,242.26,274.22,432.48,433.10,317.63,271.21,309.42,240.79,289.45,299.24,292.74,298.78,316.89,364.10,385.79,388.20,309.79,329.85,279.25,274.36,317.19,325.67,420.70,484.11,455.61,352.31,366.35,412.13,402.34,396.73,410.33,467.39,495.11,466.25,436.08,431.02,447.86,491.56,516.48,541.91,559.42,,,,,553.57,519.37,498.06,504.10,489.35,513.68,415.82,406.53,467.75,484.28,489.68,506.63,532.62,520.91,530.10,,493.04,501.55,514.15,525.78,498.79,476.49,462.66,,,,,524.66,,,,,,,,,,,,,,,,,,,,,,,
2001-05-18 22:07:50.829000,L7,515.31,328.80,362.23,271.52,469.04,390.80,402.29,511.83,365.66,248.15,535.14,436.86,397.94,483.43,307.83,394.06,244.35,258.62,503.02,517.23,514.81,377.86,384.04,536.14,547.94,429.85,271.10,267.77,243.89,485.91,465.51,450.54,526.48,480.48,462.77,416.77,474.55,529.48,447.76,541.25,546.43,,453.13,197.61,300.73,200.32,457.26,446.73,435.00,428.38,458.05,479.31,232.34,243.78,270.34,375.97,409.60,319.82,,,,256.73,335.49,406.42,365.03,259.90,253.95,232.10,305.75,434.66,526.53,456.54,548.57,509.45,221.17,223.26,223.64,208.48,421.46,405.57,291.63,421.32,281.05,232.00,179.04,180.24,196.60,210.22,451.04,453.37,468.82,491.50,490.66,487.83,358.71,462.91,488.20,472.33,449.97,460.66,231.78,535.95,234.07,298.31,281.81,303.15,352.26,361.65,359.16,379.39,415.07,382.17,357.52,362.51,378.56,446.49,492.38,482.12,473.52,433.73,402.87,428.78,449.52,465.91,460.47,473.17,343.79,363.83,374.42,381.83,392.97,487.44,388.45,391.10,248.31,528.30,517.87,506.00,452.04,461.74,440.39,421.73
2001-06-03 22:07:40.672000,L7,,,,,,,338.91,379.36,264.60,303.04,294.20,281.97,505.10,443.75,274.10,,,490.42,544.39,263.59,476.05,389.63,,333.59,543.41,457.49,505.22,478.32,433.70,456.10,468.74,453.14,453.45,488.25,398.71,370.56,408.91,429.32,483.32,433.46,434.18,366.92,474.46,492.67,390.68,261.11,273.93,267.67,305.32,339.56,309.00,300.42,317.43,299.01,229.34,248.71,276.66,288.07,298.73,,,,,,508.94,471.29,488.52,,471.76,477.95,468.26,447.91,494.75,518.52,546.21,409.74,385.74,458.65,470.89,283.00,352.12,284.15,427.71,431.80,438.99,437.70,448.32,445.88,454.17,429.90,443.52,462.42,471.04,498.04,194.27,454.91,456.93,481.90,495.42,,289.04,440.40,512.13,,477.48,474.27,486.90,491.55,505.10,,205.39,245.77,269.40,266.61,482.36,307.37,280.68,258.64,,485.46,422.34,520.63,518.55,508.76,483.45,486.39,473.35,492.27,476.52,499.88,510.28,549.97,496.30,487.16,499.16,454.70,411.64,520.10,469.71,218.09,212.16,
2001-06-12 22:01:24.980000,L7,,,,,,,,270.36,234.46,,,252.98,213.58,248.27,262.99,244.27,270.69,280.20,299.64,299.69,309.12,328.68,367.33,380.71,392.45,382.43,,227.00,212.97,300.31,298.66,341.71,270.28,402.48,238.28,442.74,356.36,180.56,251.62,251.03,,297.60,250.46,287.77,482.46,,,315.91,364.62,361.57,361.49,376.51,380.71,391.84,364.92,424.49,427.86,273.67,352.10,358.55,344.21,285.96,398.88,403.46,361.32,335.61,,,348.10,416.05,362.98,187.43,214.85,268.36,255.65,246.25,334.98,323.95,385.05,344.85,331.53,317.84,263.07,287.87,237.90,237.11,321.03,320.97,434.85,454.95,197.81,432.80,310.92,324.77,336.14,347.30,334.56,326.19,269.91,420.88,408.18,424.37,400.70,254.28,,,,242.21,241.82,360.05,413.62,428.54,447.56,442.32,505.72,476.55,,,423.23,,,,,,,,,,365.23,317.13,513.17,432.35,367.38,426.47,507.90,517.10,487.23,465.82,,398.06,409.89,437.48
2001-10-02 22:00:04.650000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.37,388.39,344.00,446.91,424.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.90,297.37,,,,,289.67,295.89,316.71,325.37,306.45,352.26,263.76,,,,,274.45,181.54,194.62,213.62,225.63,226.67,235.05,231.93,246.28,239.72,257.40,254.49,322.20,345.84,342.56,352.09,377.53,390.76,373.05,225.97,273.16,300.00,300.61,302.79,309.12,299.59,522.00,520.51,541.27,295.90,290.21,316.69,,191.14,336.44,345.90,333.89,399.14,370.48,,,,270.34,358.12,475.63,509.71,440.32,529.64,431.52,518.16,512.02,508.71,402.78
2001-11-03 22:00:10.954000,L7,238.14,267.58,257.49,251.65,233.06,235.10,228.25,265.20,,,,269.42,306.05,258.71,327.49,322.47,388.86,396.76,373.82,389.95,408.87,402.79,416.17,402.72,355.63,382.22,421.98,445.96,324.07,464.83,471.74,467.78,439.22,490.63,481.79,495.46,510.12,480.41,472.87,442.77,534.35,523.64,498.30,393.06,371.90,335.66,388.49,382.75,404.60,434.82,474.80,449.17,493.09,491.20,495.39,522.55,515.44,,524.68,514.52,516.17,536.75,380.52,373.37,264.74,242.57,315.55,234.96,190.72,267.91,300.27,235.14,271.15,469.00,487.30,434.32,378.23,511.69,489.47,397.93,518.52,280.99,435.81,444.35,363.07,325.07,192.71,197.74,202.51,218.96,228.93,272.20,308.65,252.43,287.32,286.51,497.92,527.03,362.15,366.81,366.15,368.04,366.58,293.31,281.49,288.41,449.11,447.90,454.79,462.10,431.31,444.19,446.30,452.73,550.95,529.40,499.26,534.70,392.06,479.55,413.17,281.22,304.17,404.99,544.26,470.83,443.01,391.38,359.65,314.85,350.89,,,,,,,547.26,196.78,233.18,375.94,370.83
2001-12-05 22:00:18.987000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.15,344.00,352.98,200.62,226.69,220.41,277.52,371.37,378.82,399.70,408.60,478.32,447.08,261.91,290.71,555.65,374.11,431.55,497.03,408.37,387.53,406.95,415.07,432.81,428.46,205.65,210.43,239.15,264.45,283.34,464.93,316.72,255.25,267.55,286.92,189.20,194.59,217.34,228.84,231.70,240.28,240.93,246.32,245.65,257.33,253.89,254.85,258.37,535.19,433.07,261.19,277.47,269.71,243.36,283.11,302.56,383.84,392.41,400.55,405.61,,,,299.00,400.83,406.99,350.86,197.73,338.22,342.99,337.57,407.73,416.67,425.74,419.65,383.62,458.62,500.25,531.08,,,,,500.48,510.85,529.61,515.79
